{'短评内容': '价廉物美，在节假日很超值！', '短评打分': 5}
{'短评内容': '房间干净整洁，还配有上网电脑，性价比超高，值得推荐。', '短评打分': 3}
{'短评内容': '单人间的房间不整齐，后来就加钱换成了标间，标间不错的。在舟山这个价住这样的房间也算性价比高的。', '短评打分': 5}
{'短评内容': '性价比超高的酒店，房间装修不错，蛮新的，以后到沈家门还会住的。', '短评打分': 5}
{'短评内容': '床大', '短评打分': 3}
{'短评内容': '服务员很差。。。其他还可以。这样的价格的话。。', '短评打分': 5}
{'短评内容': '房间干净整洁，设施齐全较新，性价比高。值得推荐。', '短评打分': 5}
{'短评内容': '各方面感觉还不错，性价比比较高、下次还会继续住这家酒店。', '短评打分': 5}
{'短评内容': '酒店还不错，房间有电脑免费可上网。但是酒店位置偏僻，周边商业和服务网点很少，打车也不好打，不太方便 \n', '短评打分': 5}
{'短评内容': '酒店设施齐全，干净，对得起这个价位。赞', '短评打分': 3}
{'短评内容': '性价比高，设施也不错，地理位置不错，环境好。', '短评打分': 5}
{'短评内容': '环境还不错，就是国庆期间房价贵了点，早上有电钻声睡不着', '短评打分': 5}
{'短评内容': '入驻。性价比还行吧！', '短评打分': 3}
{'短评内容': '酒店比较干净，离海鲜市场也很近，挺好的，下次还会再去的！', '短评打分': 5}
{'短评内容': '没想象中的好，被子还是破的。。。烧水的插头也是坏的，烧个水还让我放在床头烧，真是晕', '短评打分': 1}
{'短评内容': '卫生比较差\u3000居然茶杯里长满了霉\u3000哎\u3000是这样价位的就只能降低要求吗？', '短评打分': 1}
{'短评内容': '酒店环境很不错，装潢很新，房间面积大、卫生间非常整洁。房间有免费的电脑供住客使用，网络速度非常快！在舟山地区这个价位享受这种服务算是不错的，赞一个！', '短评打分': 5}
{'短评内容': '还是一路既往的干净 地段不错\n如果去普陀山，还住这里\n价格也不错，现在可以刷卡了，呵呵，有进步！\n穿过永兴隧道就是海鲜一条街，很方便', '短评打分': 5}
{'短评内容': '离沈家门海鲜一条街很近，房间挺干净，早餐差强人意，有地下停车场，但三家酒店公用，第二天车子竟然被工作人员的车堵住开不了，找了总台的服务员，这脸就像欠了她钱一样，不过还算好很快就找到了车主。服务理念还有待加强。', '短评打分': 5}
{'短评内容': '大床超大，估计有两米吧，反正比家里的六尺床大，加上宝宝三个人一点都不挤。不过因为临街所以有点吵。房间里还有电脑免费上宽带不错，还有IPTV，满足了宝宝的动画需求。最最重要的是看上去很干净。但早餐实在不行，太差了，东西太少，连鸡蛋都没有，牛奶就像洗奶瓶的水这么稀，而且我们宝宝只有3岁，竟然还要付10块。', '短评打分': 5}
{'短评内容': '大床超大，估计有两米吧，反正比家里的六尺床大，加上宝宝三个人一点都不挤。不过因为临街所以有点吵。房间里还有电脑免费上宽带不错。最最重要的是看上去很干净。', '短评打分': 5}
{'短评内容': '房间蛮干净但早餐太差', '短评打分': 3}
{'短评内容': '酒店地理位址还可以，硬件设施还行，房间卫生不好，地毯上有烟灰，早餐一般。', '短评打分': 3}
{'短评内容': '酒店设施还是很不错的，也比较安静！', '短评打分': 3}
{'短评内容': '干净，舒适。整体来说可以，就是早餐品种过于单调，有待进一步丰富。网络尽管是说免费的，但时常上不去。前台的服务人员的服务意识还有待进一步的加强，看到客人来了，不是起身迎客，依旧各自聊天。', '短评打分': 5}
{'短评内容': '说实话，出去旅游能住这种宾馆真的很不错了，饭店内菜价还可以，不是贵的离谱。。。交通也很方便。。。感觉挺好的，就是房间里烟味儿挺大。', '短评打分': 5}
{'短评内容': '位置不错，设施和设计很好，离山很近，可以爬山。可以看内海。早餐一般。', '短评打分': 5}
{'短评内容': '房间不错，服务态度还好，交通方便 ，处于主干道上', '短评打分': 5}
{'短评内容': '房间很干净，地理位置也不错。喜欢吃海鲜的朋友离沈家门夜排档很近，值得推荐！', '短评打分': 5}
{'短评内容': '酒店环境不错，设施也好，有电脑，就是早餐差点', '短评打分': 5}
{'短评内容': '酒店环境还不错，备有电脑可上网。自驾出行还比较方便，位置不在闹市区，很安静。\n去码头要打车，10元左右。酒店大堂mm比较冷漠，问什么都爱理不理。价格在岛上不算贵。', '短评打分': 5}
{'短评内容': '挺不错的酒店，到沈家门渔港很方便。2楼餐厅值得推荐。就是早餐很一般~', '短评打分': 5}
{'短评内容': '房间很干净，去沈家门吃夜排档也很近，值得推荐！', '短评打分': 5}
{'短评内容': '酒店环境和餐厅不错,价格也不贵.特别是还有免费的上网,比我家里的还快,值得推荐!', '短评打分': 5}
{'短评内容': '设施新，但服务跟不上，早餐差点，像这样的早餐可以说是不用包含在房价里，没有什么意义。不过周末也只有200多块的价格，应该来说还是体现了相当高的性价比的。', '短评打分': 5}
{'短评内容': '房间内地毯太旧，走廊的还算可以', '短评打分': 3}
{'短评内容': '和朋友一起入住的，朋友说床睡的很舒服，可能是累了吧\n硬件不错，前台服务有点欠缺\n虽然有早餐券赠送，不过味道实在不咋地\n建议自己准备\n比如家168那些设施好一点点\n价位还可以接受\n就是离码头还有一点电距离', '短评打分': 5}
{'短评内容': '朋友推荐的，离码头不远，订的大床房，配有麻将桌和电脑，还有IPTV，晚上LG还可以看球赛，性价比不错\n\n', '短评打分': 5}
{'短评内容': '第二次入住。酒店本身没什么问题\n前台的服务态度实在是\n问什么都是：不知道 ，不可以 ，没有。\n除了帮你办个卡其他什么都不做。以后建议省了前台。让客人自助算了', '短评打分': 5}
{'短评内容': '很干净，很舒服，还是山景房，交通也便利，虽然在闹区，但是一点都不吵。', '短评打分': 5}
{'短评内容': '我住的房间在路边，有些吵。房间蛮大的，住着总体舒适性还算不错。', '短评打分': 3}
{'短评内容': '下次还会入住', '短评打分': 3}
{'短评内容': '我住的是豪华套房，房间很大，有自动麻将桌，总体来说还行。而且靠近码头，去普陀很方便，周边有很多海鲜大排档，就是应该不是什么星级酒店。。', '短评打分': 5}
{'短评内容': '还不错吧 要是房间卫生能更干净点就好了 呵呵', '短评打分': 5}
{'短评内容': '宾馆房间挺大卫生也可以就是初来驾到地方不好找', '短评打分': 3}
{'短评内容': '现价比还不错，就在隧道边，有点吵，但是出行和吃饭真得很方便，还算干净，要求不高的话还不错的', '短评打分': 5}
{'短评内容': '应该是已经评过了，因为我是预定一晚入住后又续住一晚，各位从这点来看就知是不错的。', '短评打分': 5}
{'短评内容': '酒店硬件还可以，就是总台服务员印象不好，跟她说话（问她情况）都爱理不理的。', '短评打分': 5}
{'短评内容': '酒店没有想象的大，停车位子有限，早餐没吃没法评价。性价比一般。', '短评打分': 5}
{'短评内容': '帮别人定的，自己也不知道怎么样啊~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '这家酒店还不错，离沈家门轮渡码头不远，步行十几分钟就可以到，离海鲜大排档更近，吃海鲜方便。我住的豪华标准间房间大，卫生间舒服，不错。有地下停车场方便自驾车者。就是早餐有点不理想，说是开到9点，8点不到连煮鸡蛋都没有了也不给加。', '短评打分': 5}
{'短评内容': '酒店设施不错,卫生也不错.最主要酒店附近的春良排挡东西很好而且价格公道的.还可以帮客人一起去挑海鲜,呵呵 不错', '短评打分': 5}
{'短评内容': '不错的地理位置，很大的房间，下次还会去。', '短评打分': 5}
{'短评内容': '酒店价格适中，位子原来是在永兴隧道口边而不是东港隧道那，还好都离的近的。房间还算过得去，只是普通单间可能因为有麻将桌的原因，之前的一些旅客抽烟什么的弄的地毯比较脏还有很多破损，另外细节地方的卫生一般般，柜子里都有之前旅客留下的空瓶子~基本上还过得去~', '短评打分': 5}
{'短评内容': '环境还真的不错，服务也很好，还有洗衣券送，就是离市区有点远', '短评打分': 5}
{'短评内容': '房價合理,房間大小有優勢,二樓海鮮很有特色!值得推薦!', '短评打分': 5}
{'短评内容': '永兴假日酒店硬件较好位置也可早餐较差', '短评打分': 3}
{'短评内容': '环境不错，很干净。', '短评打分': 3}
{'短评内容': '酒店不错，蛮新的。出门也方便。', '短评打分': 3}
{'短评内容': '酒店设施不错，比较新，价廉物美，下次去一定还要定！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店装修较新，离半升洞不远，打车起步费。早餐一般。', '短评打分': 5}
{'短评内容': '环境还是不错的，但是不能刷卡，太不方便啦点吧', '短评打分': 5}
{'短评内容': '酒店位置不错，就在隧道旁很容易找，离沈家门很近，只需穿过隧道，晚上去海鲜一条街也方便。房间的设施超越了我们对此价位酒店的期望，很大，还有免费的上网和双早，最满意的是还有地下停车场。我们结账的那天刚好下雨，真是很方便，自驾游的首选，下次来舟山游玩还选择这里入住。', '短评打分': 5}
{'短评内容': '服务不错,环境不错.性价比很不错的一家酒店.', '短评打分': 5}
{'短评内容': '位置很好找，离码头也不算远，穿过条隧道就到了，但是因为就在马路边上，晚上有点吵，另外房间内居然没有吹风机，希望能配一个。另外早饭不是很满意，但是想想房间的价格确实蛮实惠的，而且是包含早饭的，能接受。总之值得推荐', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '帮别人订的，反映说很好，经济实惠，酒店很干净，位置也不错', '短评打分': 5}
{'短评内容': '位置不是很显眼，在一条隧道的旁边。我坐机场大巴在灵秀路上下车以后摸索着找到的。酒店比较新，无论是外部或者内部装修，还没有入住就庆幸自己没选错酒店。\n到店时是早上8点多，房间还没有打扫好，等了25分钟后办理了入住。房间宽敞舒适，还有一个麻将桌，不知道是不是每个房间都这样。免费宽带上网，可以找客房要吹风机。前台和客房工作人员都比较热情，服务到位。\n酒店到半升洞码头步行15分钟，到热闹的东河市场步行20', '短评打分': 5}
{'短评内容': '不错的酒店，性价比很高，以后到舟山还会选择这家酒店', '短评打分': 5}
{'短评内容': '性价比很高的酒店，比较干净，因为是新的，设施一流。就是不能刷卡，有点麻烦，要赶紧改进哦', '短评打分': 3}
{'短评内容': '没有想象中的好。最多只能算镇头上的一个干净旅社。', '短评打分': 1}
{'短评内容': '卫生还可以  早餐很寒碜  早上居然都没热水的  ', '短评打分': 5}
{'短评内容': '酒店比较新，离码头和海鲜排档都不远打的才一个起步价；不足的地方也有，比如说毛巾不够新看上去也脏脏的，一点不白，卫生间也稍嫌小。', '短评打分': 5}
{'短评内容': '我认为这是一间值得推荐的酒店，尤其对于自驾的朋友。\r\n\r\n位置上有那么一点难找，但是找到之后会发现离沈家门夜排档也不过就500米的距离。\r\n\r\n酒店有自己的室内停车场，空旷，车位多。\r\n酒店三楼是上岛咖啡，旁边是个公园，实在是惬意的去处。\r\n房间房间很大，而且安静，玄关的灯是感应的，洗手间配置了110V插座，没有电吹风\r\n酒店全部IPTV，宽带速率100M，值得称道\r\n\r\n缺点：不能刷卡，早餐实在', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友很满意，说是性价比很高，值得推荐，位置也很不错', '短评打分': 5}
{'短评内容': '大床房看上去还是挺干净的，还有个自动麻将桌呵呵。。。停车场双休日的时候略微有点紧张，其他都还挺好，对了，目前只能用现金不能刷卡', '短评打分': 3}
{'短评内容': '还行~回房间倒头就睡。。。缺点是不能刷卡。', '短评打分': 5}
{'短评内容': '很不错的宾馆，房间很大，很干净，环境也不错。就是早餐真是，呵呵，还是下去买煎包吧，哈哈，还有就是刷卡比较麻烦，要改进哦。总之还是不错的，物有所值哦~！', '短评打分': 3}
{'短评内容': '酒店还不错，很干净，很舒适，就是位置稍微有点便', '短评打分': 5}
{'短评内容': '酒店不错，这个价格住到这样的酒店非常的意外，房间的电脑速度很快，酒店的浴室是全玻璃的，在房间里可以看到里面哦！', '短评打分': 5}
{'短评内容': '住宿还可以，早饭不灵', '短评打分': 5}
{'短评内容': '中秋去住了2天要了4个房间。价格有点贵356\r\n房间很新设施也不错。液晶电视。大花洒。热水很足。还有很多电影可以看\r\n如果是平日2百左右的价格性价比很高\r\n交通也比较方便去码头起步价。边上还有个小公园爬上去看看风景很不错\r\n餐厅水平高于预计。价格也不算贵，厨师水平不错服务也不错。不用去那些海鲜排挡了价格不便宜而且烧的很难吃，\r\n\r\n缺点就是前台服务很冷淡。除了开房间其他一律回答没有，不知道\r\n很有', '短评打分': 5}
{'短评内容': '不错的性价比！很合适出游，房间很新，隔音也不错', '短评打分': 3}
{'短评内容': '虽然地方不大，但是很干净，性价比很高，各个方面都很满意', '短评打分': 5}
{'短评内容': '房间有个自动麻将桌，很少见，晚上无聊正好可以打打麻将。', '短评打分': 5}
{'短评内容': '房间很不错，性价比很高。车库也很大，很满意。', '短评打分': 3}
{'短评内容': '很一般，不是很干净，还有很多蟑螂！前台和其他酒店服务员的态度真是。。。。。。！让人无语！卫生间水暴小', '短评打分': 1}
{'短评内容': '＋不错，很好的环境，价格也实惠', '短评打分': 5}
{'短评内容': '卫生设施还过得去，就是服务很一般，前台服务态度生硬，看见客人也不怎么搭理。另外没有发票可以提供～～', '短评打分': 5}
{'短评内容': '酒店是新的，房间也蛮大的各项设施都还行，就是前台的接待态度不是很好，还有就是不能刷卡', '短评打分': 3}
{'短评内容': '不错。干净卫生。性价比高,位置有点离渔港稍远。', '短评打分': 5}
{'短评内容': '房间还可以?就是前台的服务不能让人满意,还有就是不能使用信用卡', '短评打分': 5}
{'短评内容': '很不错的酒店干净舒适,服务也很好,一看就让人很舒服.', '短评打分': 3}
{'短评内容': '很不错的酒店干净舒适,服务也很好,一看就让人很舒服.', '短评打分': 3}
{'短评内容': '很漂亮舒适的酒店,服务还很好呢!非常满意', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房子设施和卫生还不错，据说是新装修的酒店，问题在于位置太偏僻，宾馆旁边就是一个隧道，感觉不太安全', '短评打分': 1}
{'短评内容': '环境真的不错，虽然没有海景，但下次还会选择。', '短评打分': 5}
{'短评内容': '卫生状况不错，位置不错，就是酒店服务还有待提高。', '短评打分': 5}
{'短评内容': '一家新的酒店，出租车司机居然还不太清楚，设施不错，楼下的餐厅味道也还不错，价格也不贵，还是不错的。', '短评打分': 5}
{'短评内容': '这宿不错，下次还会选这里', '短评打分': 5}
{'短评内容': '房间感觉还可以，就房间里的灯太少有些昏暗。', '短评打分': 5}
{'短评内容': '原本我想吧服务打成非常好的，但是酒店的前台服务太差，本人晚上10点入住，该服务员当着我的面在吃夜宵，其男朋友坐在客户座位上，把脚翘在桌子上，离店的时候还是该服务员，在管自己做事，结完帐后账单也不给本人看下！不过该店的客房服务员非常的热情，影响特好！对该店的餐厅影响也比较深，厨师的水品也不错，烧的菜也非常的入味，价格适中五菜一汤加一瓶啤酒140元（有海鲜）。', '短评打分': 5}
{'短评内容': '价格实惠，有自助早餐，环境很好，接近风景区。', '短评打分': 5}
{'短评内容': '酒店的条件还可以.位置好方便出行,服务也比较到位,综合来讲还不错.', '短评打分': 5}
{'短评内容': '很不错~设施比较完善，感觉很舒适，下次还会去住的~~', '短评打分': 3}
{'短评内容': '不错啊，一家老小都很满意啊,下次我还来住啊，真的不错的，特别是淋浴', '短评打分': 5}
{'短评内容': '很不错，性价比很高，应该是新装修的酒店，所以很实惠，强烈推荐', '短评打分': 5}
{'短评内容': '性价比高，卫生、位置、服务、都不错，早餐也很丰富，还是赠送的，真值，位置也比较好找 ，在永兴隧道人口。不说了 ，要 去 玩桃花岛了 。', '短评打分': 5}
{'短评内容': '200多的价格住这个酒店真的超级值得的~很不错', '短评打分': 5}
{'短评内容': '酒店很干净舒适，服务也很好，安静，在中兴隧道口前，过了隧道200米左右就是海边码头和沈家门夜市大排挡，下次去还会去住。', '短评打分': 5}
{'短评内容': '+设施不错,还满新的。吃海鲜也很方便。但是洗手间发现硕大的小强,洗发水什么的有点劣。电脑不是很利索，但是床很舒服。不错~', '短评打分': 5}
{'短评内容': '房间干净，设施新。', '短评打分': 3}
{'短评内容': '房间干净，设施新。就是前台服务员有点短路。', '短评打分': 3}
{'短评内容': '房间干净，设施新。就是前台服务员有点短路。', '短评打分': 5}
{'短评内容': '设施不错，就是床有点不合理，两边太宽容易碰到脚，再有早餐不怎么丰富。', '短评打分': 5}
{'短评内容': '新装修的酒店，我们住的是5楼，房间干净卫生，服务态度也很好，就是房间窗户紧临马路，早上有点吵，性价比高。', '短评打分': 5}
{'短评内容': '性价比高的经济型酒店', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '设施还行但是我们住的时候洗手间的下水道堵塞了跟他们服务员说了之后但是都没有来修，服务很一般，卫生还行，位置还是很好找的离码头也很近，价格的话还行吧，整体看还是挺不错的，就是那个下水道的问题希望可以把服务再做的更好些。', '短评打分': 5}
{'短评内容': '设施还行但是我们住的时候洗手间的下水道堵塞了跟他们服务员说了之后但是都没有来修，服务很一般，卫生还行，位置还是很好找的离码头也很近，价格的话还行吧，整体看还是挺不错的，就是那个下水道的问题希望可以把服务再做的更好些。', '短评打分': 5}
