{'短评内容': '宽敞，整洁，安静！', '短评打分': 5}
{'短评内容': '标准的如家酒店，并且是新开业的，设施，服务都不错，价格也适中。离地铁6，7号线很近，出门路对面就是，离世博园也很近，唯独吃饭的地方少，且据酒店较远。总体来说是不错的酒店，下次还会住的。唯一的小插曲就是结账时酒店打印机坏了，没法打发票，让留个地址给邮寄，让我比较郁闷的是前台服务员说快递费由我来承担，虽然钱不多，但好像不是这个理儿。离开酒店后10多天都没收到发票，打电话问是否邮寄了出来，前台说待会给回', '短评打分': 5}
{'短评内容': '酒店的卫生状况 服务 以及硬件 都还是符合如家一贯的水准的  ok   给好评', '短评打分': 5}
{'短评内容': '房间不错，比其他店如家要好，就是附近生活设施少些', '短评打分': 5}
{'短评内容': '优点：酒店是新开业的，设施方面都比较新，服务也不错，离地铁6，,7号线高科西路站非常近，就在酒店马路对面，出行很方便，特惠房的价格也比较合适；缺点：周围吃饭的地方少，并且要走10多分钟才能找到；下次还会入住的。', '短评打分': 5}
{'短评内容': '价格优惠，房间卫生不错～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '很方便～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '不错，很方便～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '价格不错～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '便宜，设置也很温馨，特别适合女孩子住，地处地铁口，交通方便，离世博园也很近', '短评打分': 5}
{'短评内容': ' 酒店设施不错 离地铁站很近 早餐不好', '短评打分': 3}
{'短评内容': '我对如家的印象一直都很好！这次入住再次印证了他们的服务和酒店的设施都相当不错！我入住的是上海高科西路世博园店，该店离世博园很近，走路10分钟左右，离新国展5站地铁，需要说明的是该店距离地铁7号线高科西路站非常近，从4号口出来斜对面就是如家。还有，该店2012年春节后刚装修过，所以非常干净！大床房比双人间的设施更好些。', '短评打分': 5}
{'短评内容': '如果不是在附近办事，最好不要住这里，周边吃饭相当不方便。感觉人气实在不旺', '短评打分': 1}
{'短评内容': '酒店较新，也比较卫生，交通不方便，地铁站就在对面，但想小吃真不方便，旁边没什么酒店排档之类场所，建议含早餐会更好！', '短评打分': 5}
{'短评内容': '不错，离世博园比较近，还有晚餐提供，比较方便', '短评打分': 5}
{'短评内容': '交通很方便，房间也干净', '短评打分': 3}
{'短评内容': '酒店卫生、服务还好，但位置稍偏了点，旁边也没有饭店，小吃不是很方便。', '短评打分': 5}
{'短评内容': '酒店非常好，服务也不错！门口就有地铁出行也很便捷，就是周围没有神马吃的，稍微偏僻了点！但是入住离演艺中心馆挺近的，演唱会结束走走回来就好，不用打的这个很方便！', '短评打分': 5}
{'短评内容': 'it is good hotel for my business travel!', '短评打分': 5}
{'短评内容': '房间还不错，而且去晚了没有特惠房了免费给升成有窗的了，貌似特惠房是没有窗的？这个我也不知道，总之还挺满意的。但是地方有点偏呀，不太好找。', '短评打分': 1}
{'短评内容': '毕竟是新开的，很干净，就是服务还需要改进呀', '短评打分': 3}
{'短评内容': '真的很不错哦，离地铁很近，就是周围没有什么吃的，到沃尔玛超市大概要走20分钟吧', '短评打分': 5}
{'短评内容': '房间不错，很干净', '短评打分': 3}
{'短评内容': '环境不错，隔音效果很好，早餐也不错，既经济又实惠！', '短评打分': 3}
{'短评内容': '房间很干净，就是周围没有什么饭店，优点是出了地铁站就可以看到如家，真方便。', '短评打分': 5}
{'短评内容': '除了网络有点慢，其他都不错，服务也很好，位置很方便，也很卫生。', '短评打分': 5}
{'短评内容': '距离展会较近，卫生不错。希望可以在客户预订时间到点后电话通知哈哈', '短评打分': 5}
{'短评内容': '优点：很干净的酒店，毛巾很白，床单干净，前台服务热情。离地铁口很近，出行很方便。\n不足：早餐太简陋，总比没有强。房间里的地板太低档。网速太慢。\n总体感觉是一家不错的酒店，出差办事很方便。', '短评打分': 5}
{'短评内容': '很新很干净，温馨的感觉，厕所也非常棒，地铁出来就能看到，交通方便~下次看演唱会再住~', '短评打分': 5}
{'短评内容': '旁边就是地铁很方便，但是吃饭要走好远…大概得走十到十五分钟。隔音一般…', '短评打分': 3}
{'短评内容': '很干净,很整洁,服务也不错,重要的是门口就是地铁7号线,去会展,去市区都非常的方便.值得推荐!', '短评打分': 5}
{'短评内容': '干净，安静，方便', '短评打分': 3}
{'短评内容': '交通便利，服务不错。唯一的缺点可能就是周围没有什么商店，没有饭馆之类的。', '短评打分': 5}
{'短评内容': '出地铁口就看见了，交通很方便。酒店环境也不错。新装修，看起来明亮整洁。服务态度也不错。', '短评打分': 5}
{'短评内容': '位置说好也好，就在地铁站边；说不好也是，周围太偏僻，商店、饭店什么都没有。', '短评打分': 5}
{'短评内容': '不错，值得推荐的，干净实惠，交通方便，就是地铁边', '短评打分': 5}
{'短评内容': '挺不错的，价格实惠，很干净，但附近吃的比较不好找', '短评打分': 5}
{'短评内容': '很不错。酒店挺新，挺干净的，价格也不贵。', '短评打分': 5}
{'短评内容': '去奔驰文化中心看演唱会的，距离不远，两站地铁的距离，而且酒店离地铁口非常近。酒店也很干净、舒服，总之不错~', '短评打分': 5}
{'短评内容': '很好,乾淨方便,地鐵站就在隔壁,不過附近沒啥特色小吃', '短评打分': 5}
{'短评内容': '酒店因为才开业不久,很干净,房间布置虽然简单但是很温馨,住得很舒服,离地铁高科西路站很近,一出站就看到了。\n但是附近没什么商店,早餐15元,但是太简单了,咖啡味道很淡,我第二天要赶飞机,请柜台7:30叫醒,结果直到7:45才打电话,很不准时,如果耽误客人时间就很不好了!\n', '短评打分': 5}
{'短评内容': '新建成的，设备什么的比较新，就是电话不能用很麻烦~~~', '短评打分': 5}
{'短评内容': '在地铁7号线对面，出行方便，房费包括洗潄用品，早餐15元另付，在3楼用早餐。网速比较快，感觉电视遥控不太好用，其他还好。', '短评打分': 5}
{'短评内容': '新开的，不错，很干净，设施比较全，周边的交通也很方便。', '短评打分': 5}
{'短评内容': '很整洁舒适，离地铁站口很近，但可能是新建的原因，有点装修污染', '短评打分': 3}
{'短评内容': '离地铁口很近，出行还算方便，周边比较冷清。酒店比较新，干净整洁。', '短评打分': 5}
{'短评内容': '挺好的，酒店很新，新盖的貌似！就是木有吹风机！', '短评打分': 3}
{'短评内容': '酒店非常新，里边设施也很新很干净，热水很好。服务员态度也蛮好的。离地铁口非常近，出行方便。就是酒店周围没有什么吃饭的地方。', '短评打分': 5}
{'短评内容': '酒店不错。非常干净  ', '短评打分': 3}
{'短评内容': '不错宾馆确实干净很静', '短评打分': 3}
{'短评内容': '地点不错，去世博园参展比较方便。 \n\n对得起这种价格，服务也过得去。', '短评打分': 5}
{'短评内容': '不错啊，我预订的优惠标准间没有了，给我换了个标准间。', '短评打分': 3}
{'短评内容': '果然是新开的，服务和环境都不错，就是前台小妹都不能确定房间里有没有人，让我们等了一会儿，业务水平有待提高啊', '短评打分': 3}
{'短评内容': '新开业，房间很干净，预定的房间没有了，免费调了一间商务大床间，服务态度很好！', '短评打分': 5}
