{'短评内容': '服务很好，就是房间有些旧了！', '短评打分': 5}
{'短评内容': '很干净，就是没有电梯和刷卡机，感觉有点不太方便；', '短评打分': 5}
{'短评内容': '不错，交通方便，离南站很近', '短评打分': 3}
{'短评内容': '位置还行,大床间房间不怎么样', '短评打分': 3}
{'短评内容': '酒店服务员素质太差，中午休息时打扫卫生，但是维修的师傅态度特别好，都能像他那样就好了。', '短评打分': 1}
{'短评内容': '第二次来住了，不能刷信用卡，房间一晚上都有下水道流水的声音，房间隔音效果太差了，有噪音。', '短评打分': 1}
{'短评内容': '价格适中，设施可以，但是房间隔音效果差，晚上有噪音。还有不能信用卡刷卡结账！', '短评打分': 5}
{'短评内容': '环境很不错、房间很干净、我喜欢厕所的风格、就是隔音不太好、下次还选择这里、', '短评打分': 3}
{'短评内容': '商务标准间不错，又大又舒服，卫生间设计的有特色。二楼房间隔音不太好', '短评打分': 5}
{'短评内容': '地方比较难找，在一个小弄堂里面，一楼是一个饭店，感觉性价比不高，电吹风需要到前台借，必须付押金，而且结帐不能用信用卡，必须用现金，太落后了', '短评打分': 1}
{'短评内容': '周边很好，吃的东西很多，酒店设施也还可以，房间挺精致的', '短评打分': 5}
{'短评内容': '酒店的服务不错,房间也挺舒适,玻璃卫生间挺有特色.不过应该说明下，以免有人接受不了。持房卡可以在一体的饭店吃饭时打折,还能免费健身.一体的饭店不错,饭菜的价格不算贵,环境不错.房间的水是桶装水,这一点可能有的人会不喜欢.房间内还有附近的一些设施的位置,包括酒店附近的饭店以及一些北京特色饮食的地址和公交路线,很细心.\n', '短评打分': 5}
{'短评内容': '规模不大,房间却不小,简洁干净,大堂和过道的颜色让人赏心悦目', '短评打分': 3}
{'短评内容': '这个价位来说我可能要求过高了，可是还不得不说一句，这样的酒店价格可能和MOTEL168差不多，可是条件太简陋了，特别是洗手间，肉眼看上去就很脏，底楼是个小饭店生意不错，踩在楼梯上就油腻腻的，总共三楼也没有电梯，当时看到写着09年开张以为新的酒店环境还可以，但实际上一看，明显就是有些年头了，和我说99年我可能会相信的，总之那天是穿着牛仔裤睡得，也没有洗澡，因为是机票买不到，所以多住了一天才临时订在那', '短评打分': 1}
{'短评内容': '定的商务标准间，房间很大，洗手间也很大很干净', '短评打分': 5}
{'短评内容': '优点：\r\n1、地理位置不错，离家乐福不远，离地铁大约步行15分钟的距离，不愿意走的话可以在门口花5块钱打个三轮摩托过去。\r\n2、附近餐饮店较多，人均消费10-100元的都有。想吃好点的话酒店下面的开阳楼就不错。\r\n3、1.8米的大床睡起来挺舒服，这在经济型酒店里算是比较有吸引力的。\r\n缺点：\r\n1、最最不能容忍的，隔壁的开阳楼饭店（其实是一家人）竟然在早上7点就开始装修施工，还是那种噪音非常响的打', '短评打分': 1}
{'短评内容': '很干净，交通也比较方便，态度也不错。', '短评打分': 5}
{'短评内容': '离地铁站有距离，地方也不太好找。卫生状况还可以，厕所和淋浴是分开的，但还是有一些味道。我住的已经是商务标房，面积算大的了，但感觉卫生间和台盆区域太小，过道区域太大，并没有什么用处。\r\n\r\n最最不推荐的原因是这个酒店不能刷卡！押金和房款都必须支付现金！事先不知道，还好只住两天，不然异地取现还要手续费，现在这个年代，不能使用信用卡的酒店也不多了吧，所以下次住不会考虑这里了', '短评打分': 1}
{'短评内容': ' 酒店很干净，不错！', '短评打分': 5}
{'短评内容': '酒店的服务不错,房间也挺舒适,玻璃卫生间挺有特色.持房卡可以在一体的饭店吃饭时打折,还能免费健身.一体的饭店不错,饭菜的价格不算贵,环境不错.房间的水是桶装水,这一点可能有的人会不喜欢.房间内还有附近的一些设施的位置,包括酒店附近的饭店以及一些北京特色饮食的地址和公交路线,很细心.', '短评打分': 5}
{'短评内容': '很干净，舒适。由于去北京出差地点就在酒店附近就订了这家。离地铁站也还比较近，出行还是挺方便。', '短评打分': 3}
{'短评内容': '干净 舒适  性价比还不错   正好在附近工作   所以还是相当不错的', '短评打分': 5}
{'短评内容': '离北京南站较近，打车不到3公里，还有公交车直达南站广场，适合一早坐动车的。酒店条件不错，服务也不错，比较对得起188元的价格。', '短评打分': 5}
{'短评内容': '都还不错，挺好', '短评打分': 5}
{'短评内容': '周边很方便，房间也不错，我周边的酒店基本都住过，没他们的房间好。以后都定这里了。', '短评打分': 5}
{'短评内容': '性价比不错，离南站也很近，服务比较周到，用房卡在他们饭庄吃饭还能打折，还能免费去健身房，就是健身房远了点儿。', '短评打分': 5}
{'短评内容': '这是新酒店还不到一年，以前经常在这里住，才知道还有这么个酒店，外观不大就三层，装修感觉挺好，花园式的。', '短评打分': 5}
{'短评内容': '交通非常方便，门口就是公车站，像个公交枢纽似的。就是没有早餐，比较郁闷，不过好在马路对面有很多的小饭店。', '短评打分': 5}
{'短评内容': '酒店招牌不很明显，倒是开阳楼饭庄的招牌在正街，第一次来感觉有点绕。房间还好，比想象中的大，装修也不错，好像老板比较重视环保，楼道里还有鱼池和绿树，总体感觉挺舒服的。就是刚开始给了我一间靠着树的房间，景观还真不多，就是没有窗户很不喜欢，换了房间。', '短评打分': 5}
