{'descr': '差劲', 'star': 1}
{'descr': '房间很好呢！也很干净！前台的服务态度超好！赞！', 'star': 3}
{'descr': '还好。。。也算是在地铁站附件。有一点距离。房间么，就是那种标准的布丁模式，小小的。。。', 'star': 5}
{'descr': '房间还可以，前台接待也很耐心，就是房间隔音不好，稍微有点响动都能听到，因为临近马路，白天有点吵，凌晨以后倒还好，没有那么吵。', 'star': 1}
{'descr': '服务态度挺好，装修很别致', 'star': 3}
{'descr': '交通还算便利。不过旁边就是高架，开窗的时候很吵，关上就安静多了。服务人员的态度很好，很热情，订的早饭到了还会提醒。', 'star': 5}
{'descr': '环境、装修都不错。只是周围吃的选择少些。', 'star': 5}
{'descr': '酒店房间比较温馨', 'star': 3}
{'descr': '服务很好，帮助寄送快递，并且将遗漏的数据线快递回来，很感谢', 'star': 5}
{'descr': '有点小，但是总体感觉不错，经济实惠！前台小妹服务不错！', 'star': 3}
{'descr': '入住环境不错，虽然房间小，但是感觉很舒服，唯一不足是没有洗漱用品，害得我们又买洗漱用品还有梳子，浴巾也没有，洗澡完很不方便', 'star': 3}
{'descr': 'Not bad, simple but clean and ', 'star': 5}
{'descr': '!!!!价格还可以，，就是位置很难找，。。,,,,,,,,,,,', 'star': 5}
{'descr': '很简单，最好厕所带个门', 'star': 3}
{'descr': '房间挺干净的，就是标识不是特别明显。总体不错！', 'star': 3}
{'descr': '很温馨哦~~  适合小女生住  颜色很明亮  酒店外景色也不错  就是找的时候没有很容易找到  ╮(╯▽╰)╭     不过还是给好评', 'star': 5}
{'descr': '可以，就是没有电脑或电脑电视都有最好。性价比有些高', 'star': 3}
{'descr': '挺好，布丁酒店一直都不错。\n虽然小，但是比较干净，舒服。\n       价钱也比较合理。\n酒店地理位置也比较好', 'star': 5}
{'descr': '酒店环境不错，服务亲切，价格适中，下次再来！', 'star': 3}
{'descr': '还好  很温馨。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '不错呀，客服还不错吧，房间也挺温馨的。总体还不错。', 'star': 3}
{'descr': '房间太小，和其他连锁酒店相比相差太大，隔音效果也不好', 'star': 1}
{'descr': '挺不错的，性价比高。房间虽然不大，但装修的挺舒服。前台的工作人员很热情。但是晾衣架有点不干净，希望好好洗下', 'star': 5}
{'descr': '酒店在别人的单位里面，停个车还得和保安讲半天，上海人真酒类', 'star': 1}
{'descr': '，这个酒店就是比较难找，房间很小，但是有电脑上网，价格实惠。', 'star': 3}
{'descr': '帮朋友定的，阿门说还不错 ，价格也很优惠', 'star': 5}
{'descr': '很不错哈。。。服务生也很nice。下次可以再去的。。。就是离地铁站有点远', 'star': 5}
{'descr': '好袖珍，厕所只是用玻璃隔开，应该说也很经济吧，唯一明显不足就是在南浦大桥下太吵了，隔音效果不好。', 'star': 5}
{'descr': '很好 干净 喜欢那边的装修 就是地方有点偏 周围没有大排挡', 'star': 5}
{'descr': '整体感觉还不错的，比较活力，清新那种。交通还算方便。干净整洁，\n不足之处：下次太旧破的毛巾建议换掉吧，有损形象。空调开的声音有点吵', 'star': 5}
{'descr': '还可以吧，不过硬件一般。应该加强一下硬件设施。', 'star': 1}
{'descr': '服务态度好，房间干净整洁，在环保型经济型酒店中算不错的', 'star': 5}
{'descr': '房间整洁，地理位置十分方便，服务很好，经济实惠！', 'star': 5}
{'descr': '不错，酒店很干净，房间不大，但是很温馨，下次还会来的。', 'star': 5}
{'descr': '布丁酒店还是不会令人失望的，虽然上海这家店比之前去过的杭州西湖店小点，整体感觉差一点，不过还是不错的，希望大床房的浴室能弄个门，不然洗澡的时候必须拉上浴帘，可是浴帘圈起来的的空间又很小，帘子总往身上贴，想拉开帘又感觉冷，如果夏天洗倒是没问题。', 'star': 5}
{'descr': '方便，能及时订到所需的酒店，机票等，真实有效地信息提供了更有效更便捷的服务', 'star': 5}
{'descr': '房间不大，但是橙色调的装修我很喜欢，特别是那个马的窗帘很可爱，就是电脑基本玩不成，太慢了，没电视，很是无聊，希望能把电脑弄好点，没电视看，可以玩电脑也行哦', 'star': 5}
{'descr': '  小巧精致。', 'star': 3}
