{'descr': '地理位置好，交通便利，离地铁站很近。推荐', 'star': 5}
{'descr': '房间好小，又灰暗地板又脏隔音很不好，能清清楚楚的听到隔壁房间说话，以后绝不会再', 'star': 1}
{'descr': '房间好小，又灰暗地板又脏隔音很不好，能清清楚楚的听到隔壁房间说话，以后绝不会再住', 'star': 3}
{'descr': '一分钱，一分货。北京200元以下的旅店的水准不能奢望太高，将就将就吧。', 'star': 1}
{'descr': '店很干净舒适，离地铁步行只需十分钟。', 'star': 3}
{'descr': '已入住', 'star': 3}
{'descr': '房间很不干净的感觉，窗帘，地板，床单都有很多污点，甚至洞。整体感觉很部舒服。窗户不能开，晚上有人在门外说话都能听见，隔音效果一般。这个酒店太让我失望了', 'star': 1}
{'descr': '太脏，床单和没有换似的，实在不想再去，而且周边交通不好 ', 'star': 1}
{'descr': '我是第二天一早坐火车西站的火车住在这里的，总的来说还不错，虽然房间有点小，但毕竟是在北京，算得上性价比高的了', 'star': 5}
{'descr': '服务很好，地方也很干净，下了地铁天比较晚找了一会没找到，问了几个人总算找到了。', 'star': 5}
{'descr': '一楼有些潮湿，房间比较小！一楼有些潮湿，房间比较小！', 'star': 5}
{'descr': '地理位置还可以，出行很方便，就是房间有点小了。', 'star': 5}
{'descr': '距离中央音乐学院很近，标准间和单人大床间都还不错，服务稍差，有时没有新的毛巾用。', 'star': 5}
{'descr': '房间要是透气好点就行了，其他的卫生什么的还不错', 'star': 5}
{'descr': '这个酒店打车不好找，服务差的不行，被单都不够，真是不配这个价格', 'star': 3}
{'descr': '不错，推荐。不错，推荐。不错，推荐。不错，推荐。不错，推荐。', 'star': 5}
{'descr': '酒店还可以', 'star': 3}
{'descr': '所谓的大床房，跟实际介绍的，是有出入的。不光面积上。而且房间窗口就是对着街道，而且在一楼，必须拉上窗帘。网络，竟然在晚上就没了，前台服务人员说解决不了。不过这个价格在这个地段，也是可以理解的了。', 'star': 1}
{'descr': '很安静，干净，服务态度也很好,如有机会会再次入住的', 'star': 5}
{'descr': '酒店环境干净卫生，就是房间里比较潮湿。', 'star': 3}
{'descr': '地理位置还是可以的，离观前街很近，就是房间太小，入住的感觉不是很舒服，再就是没有早餐供应，酒店对面有家7+7，但是质量不好。', 'star': 1}
{'descr': '交通便利 比较干净 门口吃的比较多，有机会再住', 'star': 5}
{'descr': '地理位置不错，但是酒店太简陋了，前台一开始说没有空调，太早不开，结果客人提出房间太闷了不透气，他们又说可以开空调换气。房间也不大~', 'star': 1}
{'descr': '地段还好，但卫生设施一般，房间面积不大，价格偏高。', 'star': 1}
{'descr': '快捷酒店的典范，性价比非常高。帮外地出差的同事订的，反映说还不错', 'star': 5}
{'descr': '  208元这个价格来说房间较大。床是1.2的。不过房间隔音差。临近房间的电视声音晚上能听的很清楚。', 'star': 3}
{'descr': '房间没有隔壁附近的布丁好  晚上很吵  出行倒是很方便', 'star': 5}
{'descr': '地势好不用说，服务还是不错的，感觉蛮温馨的，就是停车不是很方便！', 'star': 5}
{'descr': '价格适中,环境及设施良好', 'star': 3}
{'descr': ' 交通较方便，内部干净，但服务一般，入住时没有给我们水壶和水杯，后来要了才给了水壶，到退房时硬说我们丢了水杯，有点不讲理。', 'star': 5}
{'descr': '一般 感觉不值那些钱 以前在天津住168的比这个好 可能因为是北京吧  卫生还可以吧 ', 'star': 1}
{'descr': '位置不太好找，一楼靠马路的房间声音太大，希望能解决隔音问题。', 'star': 5}
{'descr': '还行， 我的朋友们说不错，下次还定这。 \n要是可以在优惠点就更好了。', 'star': 5}
{'descr': '房间比较宽敞，208的价格还算合理。比较满意。周边吃饭的地方少。我对北京不熟，周边交通不做评价。', 'star': 3}
{'descr': '床很大，但是设备都很旧了，厕所的味道也不好，下次应该不会再住了', 'star': 1}
{'descr': '很好', 'star': 3}
{'descr': '干错卫生', 'star': 3}
{'descr': '1楼大床房靠马路边的声音太吵，晚上睡觉不方便，而且窗户开不开呀，其它还可以。', 'star': 5}
{'descr': '还不错吧,交通便利,环境一般,价格实惠,可以住住', 'star': 5}
{'descr': '不错，住的挺舒服，就是不提供早餐挺遗憾的。', 'star': 5}
{'descr': '房间好小好小 啊.................', 'star': 1}
{'descr': '交通便捷，出行方便，邻近繁华地区，服务较到位。', 'star': 5}
{'descr': '有点过于简陋了，桌子太小了，只有放置一台电脑的空间.', 'star': 5}
{'descr': 'soso,同样的价格不如那边的MOTEL', 'star': 5}
{'descr': '一般的经济型酒店，只住了一个晚上没什么特别感觉，早餐简单晚餐没有不是很方便！没什么吸引力。', 'star': 3}
{'descr': '酒店闹中取静', 'star': 3}
{'descr': '房间较小，墙壁上有霉斑。空调声音大，厕所有点小。总体来说一般。', 'star': 5}
{'descr': '价格还好的！ 就是房间出奇的小啊！ 位置非常方便！', 'star': 5}
{'descr': '酒店最好有挂衣柜，服务还还可以', 'star': 3}
{'descr': '还可以，地理位置好，服务员态度好，酒店一般', 'star': 5}
{'descr': '总体还算不错，房间干净，晚上隔音效果不是很好。', 'star': 5}
{'descr': '房间还是比较干净的，但是电水壶比较脏，看得我没有喝水的想法，还有电视机的信号不好，基本都有干扰，频道太少，隔音还可以，房间小了点，布局不错的，空调热度还是可以的', 'star': 5}
{'descr': '我们已入住，条件较好，服务周到热情，非常感谢！', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '不错！经济实惠！', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '很不错的酒店。房间大小适宜，卫生条件也不错。大床房和单人间差20元，感觉完全不同。建议一个人多花20元住大床房。', 'star': 5}
{'descr': '很好，性价比高，市中心，出行很方便，下次再住！', 'star': 5}
{'descr': '已入住。', 'star': 3}
{'descr': '地理位置好，卫生干净，交通便利。服务态度和蔼', 'star': 5}
{'descr': '还好啦，一般般满意…', 'star': 3}
{'descr': '就是有点难找，一些的士司机都不知道酒店位置。\n酒店其他方面还是不错的', 'star': 5}
{'descr': '便宜~交通方便，周边商业区多~玩的也多~环境也可以', 'star': 5}
{'descr': '酒店房间有点小', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '还好，就是稍微绕了点', 'star': 3}
{'descr': '交通很便利，房间设施实在不怎么样！不过有价格优势！', 'star': 5}
{'descr': '房间太小了。。。。要不是锦江没有，我也不会订这个。', 'star': 1}
{'descr': '干净整洁挺不错的', 'star': 3}
{'descr': ' 环境不错。', 'star': 3}
{'descr': '优点：交通比较便利，步行到长椿街地铁2号线15分钟左右，离前门3站，到北京西站也很近。\n缺点：宾馆环境不是令人满意：148元特惠单人房房间很小，而且是地下室。房间隔音效果很差，隔壁走路都能听见，热水壶烧水声大的吓人。床中间都塌陷了，睡着很不舒服。最关键的是在浴室发现了一条叫不上名字的虫子。唯一感到欣慰的是服务员态度比较好，本来定了2天，最后还是只住了1天就走了。', 'star': 1}
{'descr': '酒店位置还可以，房间小点儿，服务尚可。', 'star': 3}
{'descr': '酒店位置不错.设施也可以接受.这个价位算不错的选择.', 'star': 5}
{'descr': '房间太小了，不是很温馨的感觉，出来进去绕来绕去的，不过服务态度还行', 'star': 1}
{'descr': '虽然是快餐式酒店，设施也太过简单，连放衣物的橱都没有，比民工宿舍强些。对比价格还是不足的。', 'star': 3}
{'descr': '我们订的大床房,进去以后只是一张床的地方,很拥挤,连放行李的地方也没有,房间卫生也很差.', 'star': 1}
{'descr': '不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '环境不错，临近地铁。卫生好。。。。。。。', 'star': 5}
{'descr': '基本不错，就是房间太小了。桌子也太小了.对面也有99元旅店，性价比不高', 'star': 5}
{'descr': '房间太小！空调也无法使用！不过地理位置还好，离观前街比较近。', 'star': 1}
{'descr': '隔壁叫床太吵', 'star': 3}
{'descr': '房间小了点!', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '+不错，爽！', 'star': 5}
{'descr': '各方面都比较好，房间比较干净，位置也不错。', 'star': 5}
{'descr': '地段好离观前街很近值得住在这里,房价也还蛮大的！', 'star': 5}
{'descr': '地理位置好，交通方便，卫生好，比较嘈杂，服务一般。', 'star': 1}
{'descr': '位置非常好，就是卫生差了点，尤其是地毯，有不如没有干净。', 'star': 1}
{'descr': '很不错', 'star': 5}
{'descr': '一般', 'star': 5}
{'descr': '简直恶心死了，霉味儿巨大房间巨小，这都不说了，一大早房间对面装修。电锯电锤全上……一辈子不来了！还投诉无门啊', 'star': 3}
{'descr': '房间太小。墙皮发霉...', 'star': 5}
{'descr': '位于市中心，离观前街2分钟的路程，但门口不好停车。逛街、吃早、中、晚饭都很方便。房间有些小，家具有些老，墙壁好像刚粉刷过，地摊上有涂料的印迹。', 'star': 3}
{'descr': '乌镇锦星宾馆不错', 'star': 3}
{'descr': ' 房间小,设备简单。服务态度好。', 'star': 5}
{'descr': ' 苏州格林豪泰很不错', 'star': 5}
{'descr': ' 上海联邦大酒店没有装修 环境很差 地毯很脏 被 卫生间一般', 'star': 3}
{'descr': '环境一般', 'star': 5}
{'descr': '挺干净，位置不错，设施也都很新，以后还会入住', 'star': 5}
{'descr': '还不错，虽然是地下室，但是通风很好，没有异味。。', 'star': 3}
{'descr': '环境卫生还可以  喜欢洗手间的喷头 特别大 就是离地铁站稍微远一点', 'star': 5}
{'descr': '房间太小，性价比不高，自己没有早餐，早上发10块钱餐券去对面别的快餐厅。', 'star': 1}
{'descr': '整体还不错', 'star': 5}
{'descr': '房间很小,有股霉味,位置还行,感觉一般,下次不会入住!', 'star': 1}
{'descr': '很干净、也很安静，价格平民价，总之比较适合工薪阶层', 'star': 5}
{'descr': '设施陈旧，不推荐', 'star': 5}
{'descr': '位置不错', 'star': 5}
{'descr': '坐公交非常方便，晚上出门就可以逛观前街，吃饭也很多选择，店面很安静，房间小，设施有点旧', 'star': 5}
{'descr': '房间太小，有异味，设施显得陈旧，床单有斑迹，不推荐。', 'star': 3}
{'descr': '房间太小了。住的不舒服、\r\n位置还不错。', 'star': 1}
{'descr': '房间比较小，墙面有些发霉，别的还行，靠近观前，外出很方便。', 'star': 5}
{'descr': '地理位置还算可以，就是设施比较陈旧，房间太小，床单还不干净', 'star': 1}
{'descr': '房间比较小，隔音效果较差，位置不错,比较适合去旅游的。', 'star': 3}
{'descr': '酒店房间太小，隔音效果太差,不过地段很好，周围商业繁华。', 'star': 5}
{'descr': '房间比较小', 'star': 5}
{'descr': '大床房间太小，墙壁很脏，退房很慢，除了地理位置好之外其他都不好。', 'star': 1}
{'descr': '酒店的位置很好. 離景區近 .但不吵 .服務沒話講.  只是房間小眼一點.\n', 'star': 3}
{'descr': '服务态度非常好，停车条件较差，网速慢，房间隔音效果较差', 'star': 5}
{'descr': '+房间太小，卫生很好。环境也还行。', 'star': 5}
{'descr': '位置还可以，环境还不错，服务态度也很好，房间呆小也正合适', 'star': 5}
{'descr': '酒店位置比较好.离步行街较近,但酒店没有餐厅.幸好对面有个7 7,24小时的。总的还不错', 'star': 3}
{'descr': '酒店位置比较好.离步行街较近,但酒店没有餐厅.幸好对面有个7 7,24小时的。总的还不错', 'star': 3}
{'descr': '酒店的墙壁上全是霉点，位置不是很少找，其它的还行', 'star': 5}
{'descr': '位置比较方便，但房间太小，从舒适度角度来说比较一般，而且价格有点小贵，可能跟当地的经济有关，总的来说一般', 'star': 1}
{'descr': '总体说不错离观前街很近。', 'star': 5}
{'descr': 'good. good,剛住進飯店 就感覺一種親切的feeling 櫃臺很親切.房間還勿不錯 .雖然有點小 . but it is ok', 'star': 5}
{'descr': '总的来说酒店各方面还不错，离步行街就几分钟。酒店没有餐厅的。服务还是挺满意的。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '房间超小,地理位置不错，离观前街非常近，周边餐馆很多', 'star': 1}
{'descr': '楼里感觉设施很久，房间太小了，屋里就两张床一个简易衣柜和电视，卫生倒是还不错', 'star': 1}
{'descr': '还好吧。应该是开了很长时间了，设施比较老旧。房间小！', 'star': 5}
{'descr': '不错。', 'star': 3}
{'descr': '位置挺好找，服务态度很好。不过环境一般，窗户打不开，没法换气。', 'star': 1}
{'descr': '位置确实不好找，在火车站找了几辆的士，告知具体的街道、门牌号的哥都不知道酒店在哪。最后打电话让酒店服务员跟的哥聊了近2分钟，的哥才知道大概方位。酒店的卫生、舒适度都挺好。', 'star': 5}
{'descr': '离火车站很近很方便', 'star': 3}
{'descr': '位置就在马路边上，不过我们住地下一层，不吵。离崇文门地铁不远，走过去就行。', 'star': 5}
{'descr': 'liansuodianjiaoshao', 'star': 5}
{'descr': '房间有霉味，还好开窗很快就好了，但是担心蚊子。\r\n酒店设施有些陈旧。房间很小。\r\n不过，在网上订酒店，这个价格也就这样了。', 'star': 1}
{'descr': '交通很便利离北京站和北京西站都很近。。。', 'star': 5}
{'descr': '帮朋友订 说环境很差', 'star': 1}
{'descr': '地理位置还可以。', 'star': 3}
{'descr': '位置距离西单不是很远，公交车两站可以到达，离中央音乐学院很近。总体还还可以。', 'star': 5}
{'descr': '不选择。', 'star': 1}
{'descr': '还可以。干净。', 'star': 5}
{'descr': '交通和位置挺合适的，距离北京西站和儿童医院，我的两个目的地都比较近。去得时候，正值两会，服务人员很规范，检查行李，感觉安全了不少。总体挺满意的。', 'star': 5}
{'descr': '很不错', 'star': 5}
{'descr': ' 位置很不错，在这个地段应当是性价比比较高的了，总体上来说很推荐。不足之处是大床房都在一楼考路面一侧，很吵，不够安静，并且由于靠音乐学院比较近，白天的时候有练琴的声音。', 'star': 5}
{'descr': '还好吧，不过旁边就有如家，感觉不管价钱还是服务都要更好一点……', 'star': 3}
{'descr': '在北京这种价格还是挺合适的，服务还行，但服务人员业务水平有待进步提高。', 'star': 3}
{'descr': '条件还不错，但是性价比比较低，交通也不算方便\r\n旁边就有一家如家快捷，比这更要强，更近的地方还有一个，虽然条件差点，但是很便宜……', 'star': 1}
{'descr': '空调有问题，冻了一晚上，叫服务员加被子，服务员也说没有。取东西都需要自己动手', 'star': 1}
{'descr': '价格还是挺实惠的,但是房间里面的的设施不是太好,也没有接触到什么服务,位置还行但是当时我打电话给酒店问怎么走的时候连前台的服务员都不知道位置在那儿不知道怎么走我想还是酒店的管理方面有些欠缺的,还是挺一般的酒店.', 'star': 3}
{'descr': '感觉不错，性价比高。\r\n本人今年8月曾住一个月，比较称心。', 'star': 5}
{'descr': '住的单人间，房门距离门框有一条大缝子，外面的声音听的一清两楚。浴室的门开关时有很大的响声，排风扇的噪音很大，地板拼的不齐，有很大的缝隙。床很硬，我把被子折了一半垫在身子下面还能感觉到床垫的弹簧，很不舒服。没有椅子，冬天衣服多，脱下来没处放，墙上有三个挂勾和衣架，可是大衣挂上衣服太长，背包什么的都没处放。', 'star': 1}
{'descr': '酒店离北京移动研究院很近，服务人员服务态度非常好，我订的特价房，到的时候因为客人还没退房，前台给我免费升级了房型，我很满意，唯一不足的是部分房间无法上网，只能到大堂，希望尽快改进。', 'star': 5}
{'descr': '卫生条件还可以,设施完善,地理位置比较方便,性价比不错,服务也很好,值得推荐', 'star': 3}
{'descr': '环境还不错,附近的交通不是很方便,服务也还可以,卫生和设施相对于价格来说都还不错,就是出行不是很方便,还是感觉不错的酒店.', 'star': 3}
{'descr': '在西便门桥下，位置不是很好找，房间的通风不是很好，卫生和设施还是可以的，服务还行，我觉得这家酒店性价比还是比较高的 值得推荐', 'star': 3}
{'descr': '整体来讲还是一家很不错的酒店,房间的设施也很附合酒店的价位,卫生和服务方面做的也都不错,下次来可能还会选择这家酒店.', 'star': 3}
{'descr': '地板需要仔细检查，有比较大的缝隙容易藏污纳垢。', 'star': 5}
{'descr': '隔音不好，晚上睡觉隔壁打呼噜的声音都能听得到。', 'star': 5}
{'descr': '跟周围的几家酒店相比此家店的性价比都不错，房间也很干净，服务也好，只是隔音不太好，白天能听到外面不知哪里传来的音乐声音。', 'star': 5}
{'descr': '酒店位置很偏不好找我去的那天晚上找了2个多小时问她门的服务员怎么走她们也说不清.出租司机也跟他们说了半天也没说清楚,还好第二天她们的经理过来道歉.', 'star': 3}
{'descr': '按照价格来讲酒店还是蛮不错的,房间里卫生打扫的蛮干净的,设施方面也比较齐全的,周边交通也蛮方便的,整体感觉性价比还是比较合适的.', 'star': 3}
{'descr': '酒店的地理位置有些偏了,出行不太方便, 住宿条件还是可以的,房间弄的挺干净,挺舒适的,价格方面还算比较合适的.', 'star': 5}
{'descr': '酒店的地理位置有些偏了,出行不太方便, 住宿条件还是可以的,房间弄的挺干净,挺舒适的,价格方面还算比较合适的.', 'star': 5}
{'descr': '个别服务员的素质需要提高，不能只考虑自己的方便而增加客人的麻烦。', 'star': 1}
{'descr': '住宿条件很好，就是有些偏，不好坐车，离市中心也较远；另外住地下室房间较小，隔音效果不是很好，总有音乐系学生演奏，影响休息！\r\n后继服务很好，我离店时没有发票，等回到单位后该店已将发票通过快件寄回~', 'star': 1}
