{'短评内容': '不错 服务比较可以 前台很有礼貌', '短评打分': 5}
{'短评内容': '很不错的一家店！对面有夜市茶店，很方便。', '短评打分': 5}
{'短评内容': '房型多样，服务还不错，位置也较好，就是空气比较混浊，好像排气系统和中央空调用的是一个的管道，整天都闻着二手烟，很难受，希望改善。', '短评打分': 5}
{'短评内容': '不错，性价比很好。房间空间大，很舒适，很安静。', '短评打分': 5}
{'短评内容': '环境不错，周围有商场、超市，饭店也很多。不过经济房有点小，一个人住也还可以，两个人就太局促了。', '短评打分': 5}
{'短评内容': '朋友推荐住感的，卫生，环境觉比同级的酒店好，附近吃的也很方便。', '短评打分': 5}
{'短评内容': '就是房间小了一点，有点窄，其他设施都很齐全，很新。', '短评打分': 5}
{'短评内容': '酒店干净,入住舒适', '短评打分': 3}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '不错！电脑房网速很好！在湛江算比较好又实惠的了', '短评打分': 5}
{'短评内容': '位置不错，交通方便，早餐时餐厅服务不够专业', '短评打分': 3}
{'短评内容': '服务周到', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '挺好的酒店，当天到店里结果没沟通好188的休闲特色房没有了，后来店家免费升级成了豪华房，服务态度一流，就是那个位置打的不容易，因为是单行道。', '短评打分': 5}
{'短评内容': '卫生条件好。', '短评打分': 3}
{'短评内容': '酒店设施还不错,就是身处老城区,大环境很一般。', '短评打分': 3}
{'短评内容': '相当不错！！就是玻璃隔音差了点..', '短评打分': 3}
{'短评内容': '性价比极高得酒店安静，舒适。特别是一楼餐吧的钢琴和吉他弹奏非常好', '短评打分': 5}
{'短评内容': '不错，欢迎大家来住，我很喜欢这个酒店，下次还来。', '短评打分': 5}
{'短评内容': '酒店周边环境很好，有大型的购物商场，附近又有公园，交通野很方便，房间就更加不用说了，很干净，格调也不错，最重要的是床很舒服，隔音做得也不错，餐厅的自助早餐也不错。这次有连住两晚送一晚的活动，很实惠，很可惜这次我只住一天，但下次还是会选择这家酒店。', '短评打分': 5}
{'短评内容': '比较干净，但宾馆规模偏小。\n\n楼下是西餐厅，还不错。', '短评打分': 5}
{'短评内容': '还不错.', '短评打分': 3}
{'短评内容': '酒店非常干净，服务也好！很舒适，下次来还会住的！', '短评打分': 3}
{'短评内容': '性价比不错，周边购物和买东西都方便，不远就是国贸大厦', '短评打分': 5}
{'短评内容': '酒店位于赤坎的中心区，交通还算方便，早餐较为简单', '短评打分': 5}
{'短评内容': '酒店设施设备都很新，交通方便，有地下停车场，房间卫生很干净，房间很宽敞，早餐很丰富，服务态度不错，是一间很好的酒店。', '短评打分': 5}
{'短评内容': '房间环境还不错，停车有地下停车位，安全也方便，早餐还好！', '短评打分': 5}
{'短评内容': '位置好,周围比较繁华,办事方便. 酒店早餐不错,附近有夜市. 房间也挺干净. 性价比挺高的,下次来湛江还住这.', '短评打分': 5}
{'短评内容': '酒店设施完备，交通方便，是商旅住宿的不错选择。不足是房内地毯较脏，其实不用更好。还有早餐质量尚需提高，比如芋头是冷的。', '短评打分': 5}
{'短评内容': '干净。推荐。', '短评打分': 3}
{'短评内容': '湛江赤坎区不错的酒店，2011-02-10入住的，新酒店，房间内设施都不错，味道也没有，挺好的，218的标双，还含双早，早餐还不错，可以吃饱、吃好，这个价位很值，房间电话可以国内免费拨打！地理位置也挺好，周围购物挺方便！缺点是：周围有些和这个酒店差不多档次的，但是价位便宜一些！根据个人的需求来选择吧，还是推荐的！', '短评打分': 5}
{'短评内容': '酒店干争，装修不错：早餐方便', '短评打分': 3}
{'短评内容': '不错，房间很干净，早餐也不错，对得起这个价格。', '短评打分': 5}
{'短评内容': '干净卫生，周边交通方便，服务态度好，购物方便，会再住。', '短评打分': 5}
{'短评内容': '干净卫生，周边交通方便，服务态度好，在再住。谢谢', '短评打分': 5}
{'短评内容': '不错，早餐还可以，就是不好停车。。。。。。。。。。', '短评打分': 5}
{'短评内容': '，早餐不错，还有草莓。房间门隔音不好，走道里人来人往声音大。', '短评打分': 3}
{'短评内容': '干净，第二次还选这。', '短评打分': 3}
{'短评内容': '环境很不错，空间宽敞，住着舒适，谢谢所有店员的热情服务！', '短评打分': 5}
{'短评内容': '地下停车很小', '短评打分': 3}
{'短评内容': '早餐不错，房间也不错，我四点多赶到的酒店，五点半才入住。总体感觉还不错。', '短评打分': 5}
{'短评内容': '早餐不错 房间还可以  市中心  购物方便', '短评打分': 5}
{'短评内容': '不错的酒店，房间的设施比较新，就是靠窗的房间有点吵。', '短评打分': 5}
{'短评内容': '非常高性价比的酒店，早餐也很好，非常非常好················', '短评打分': 5}
{'短评内容': '非常不错。自主早餐很丰盛。周围处于市区，买东西很方便。', '短评打分': 5}
{'短评内容': '非常期待着酒店!应该会很干净~', '短评打分': 3}
{'短评内容': '酒店性价比可以，早餐也比较丰富，非常适合出差人士！', '短评打分': 5}
{'短评内容': '交通便利 早餐不错', '短评打分': 3}
{'短评内容': '早餐不错，房间也很干净，比较安静。就是房间的淋浴间小了点，能改一下就更好了。', '短评打分': 5}
{'短评内容': '地毯实在太脏了，味也重。其它还行，希望能改进一下。', '短评打分': 5}
{'短评内容': 'Recently hotel with good customer service', '短评打分': 5}
{'短评内容': '不错！！早餐在湛江来说蛮丰富的，内部环境也OK！！', '短评打分': 5}
{'短评内容': '酒店位置在市中心，很新很干净，离商场也很近，酒店一楼西餐厅的环境很不错，整体的服务都不错，值得推荐...', '短评打分': 5}
{'短评内容': '不错！比较近我上班的地方，出差很合适！111111', '短评打分': 5}
{'短评内容': '在朋友的推荐下入住此店，感觉很舒服。离湛江师范/卫校都很近，交通也很方便。虽然酒店大堂不是很大，但整体的服务都很好。特别是1楼的西餐厅，环境很好，值得推荐.', '短评打分': 3}
{'短评内容': '+酒店还不错.几次都安排住那里.朋友很满意!', '短评打分': 5}
{'短评内容': '酒店在老城区，如果在附近办事情住这里性价比很好，很新的酒店。', '短评打分': 3}
{'短评内容': '房间还行,早餐也可以,但是早晚都没有行李员,服务有待改进', '短评打分': 5}
{'短评内容': '服务态度还蛮好的!卫生环境还行', '短评打分': 5}
{'短评内容': '住了一晚.还行.早餐品种少了点', '短评打分': 5}
{'短评内容': '酒店真差，不值', '短评打分': 5}
{'短评内容': '+房间有不良味道，其它方面还可以。', '短评打分': 5}
{'短评内容': '还不错，干净，地理位置不错，很方便，下次还会考虑来住的\r\n', '短评打分': 5}
{'短评内容': '前台的服务人员做事情不够清楚 态度不好 不过环境还不错 但是房间的地毡没有清洁 不够干净', '短评打分': 5}
{'短评内容': '值得推荐的酒店，很新，在老城区，周围吃饭的地方很多。性价比高。', '短评打分': 5}
{'短评内容': '休闲房太小了，靠街很吵。', '短评打分': 5}
{'短评内容': '还不错，比我想象之中要好一些！', '短评打分': 5}
{'短评内容': '不錯，有免費自助早餐，牛奶和報紙。。', '短评打分': 5}
{'短评内容': '各方面都比较理想，网速挺快的。不错', '短评打分': 5}
{'短评内容': '比较舒适，环境也不错，卫生也ok，附近的交通方便，有商场超市..', '短评打分': 5}
{'短评内容': '超值！', '短评打分': 5}
{'短评内容': '是液晶电视。酒店比较新，不错', '短评打分': 3}
{'短评内容': '不错的酒店，就是只有一个西餐厅，可供选择的食物不多', '短评打分': 5}
{'短评内容': '位置好，交通便利', '短评打分': 5}
{'短评内容': '还是比较不错，总体来说，就是我退房时候出现了点问题，幸好能及时处理，但是一些小问题，明明可以处理的。不然就不会浪费那么多时间了。', '短评打分': 5}
{'短评内容': '价格算是合理  环境不错', '短评打分': 5}
{'短评内容': '我在这家酒店住过几次,几乎每次来湛江都是落户在此.比起其它的,,价格不贵,送水果,送两早,送宽带,房间干净舒适,就在市中心,晚上去玩也很方便.值得推荐.', '短评打分': 5}
{'短评内容': '不错，不错，还会入住', '短评打分': 3}
{'短评内容': '是家不错的酒店，环境不错，卫生不错', '短评打分': 5}
{'短评内容': '交通不好，单行道太多，不适合开车者住。', '短评打分': 5}
{'短评内容': '远扬城市酒店还不错，服务态度好，离开时还买了一个酒店用来装房卡的小皮夹，质感不错！可装少量名片使用但上面印有酒店名称，权当义务做广告吧！自助餐种类尚可，但入住第一、二天几乎无变化，还好每三天早餐品种有了一些调整！', '短评打分': 5}
{'短评内容': '交通方便，临近世贸澳门街等购物吃饭的地方，楼下就有公车站直到市区，大概20min，晚上很安静，都还不错。', '短评打分': 5}
{'短评内容': '着酒店房间很干净，大堂很气派，早餐很不错', '短评打分': 5}
{'短评内容': '不要住“休闲房”，太吵，性价比低，其他房型还可以。', '短评打分': 5}
{'短评内容': '很超值', '短评打分': 5}
{'短评内容': '酒店的硬件条件和服务都是比较不错的，位置我觉得也挺方便的，就是价格稍微有一点点贵，但是总的来说条件不错的。', '短评打分': 3}
{'短评内容': '酒店设施很新，很舒服。', '短评打分': 5}
{'短评内容': '服务方面挺好的，很热情周到，性价比也很高，而且交通对于我们来讲也很便利', '短评打分': 3}
{'短评内容': '还可以,比较新的酒店!', '短评打分': 5}
{'短评内容': '房間不錯！就是小了一點，還有就是特價房連個晾衣服的地方也沒有，連最基本的衣架也沒有。其他的都還好！上網速度一流啊！', '短评打分': 5}
{'短评内容': '酒店位置很好在市中心购物很方便,酒店也是新开业的各方面都很完善下次还会在住这家酒店.', '短评打分': 3}
{'短评内容': '\r\n服务很细心，该酒店的“休闲特色房”不错，188还含双早，房间虽然不是很大，但很温馨，给人一种回家的感觉，晚上拉开窗帘还可以看市景，很舒适，值得推荐。', '短评打分': 5}
{'短评内容': '\r\n酒店虽然没有想象中的那么豪华，但给人的感觉很舒服，很干净很新的酒店，设施设备也挺齐全的，下次来湛江还住这里，', '短评打分': 5}
{'短评内容': '\r\n整体服务还好，酒店的西餐厅很环境很优雅，晚上还有表演看，挺OK的', '短评打分': 3}
{'短评内容': '酒店服务挺好的,房间小了些,设施较新较干净,酒店位置出行很方便,送早餐,房间还可以免费拨打国内长途/市话,下次来还会再选择这家酒店.', '短评打分': 5}
{'短评内容': '1.酒店看起来虽然不豪华，但服务不错，房间设施很新，住得非常舒服，早餐还不错，周围交通方便，在市中心。\r\n \r\n2.优点：装修新、网速快、入住送自助早餐和欢迎水果。 \r\n  缺点：房间的隔音不是很好。\r\n', '短评打分': 5}
{'短评内容': '酒店很干净，不豪华，但感觉很温馨。处于市中心，交通方便，从酒店步行两三分钟就到世贸大厦和沃尔玛广场，很适合出差在外的我，不需花很多时间也可以顺便购物。下次过来，还会选择这酒店。', '短评打分': 5}
{'短评内容': '\r\n\r\n干净/ 整洁 ，整体都不错，入住还有水果和欢迎卡赠送， 价钱也适中，特别是上网，很方便 而且网速很快，房间还可以免费拨打国内长途和市话 ，很好，很适合商务出差的酒店。\r\n', '短评打分': 5}
{'短评内容': '酒店位置很好，购物也很方便，房价也很优惠，入住还有欢迎水果和早餐送，以后出差来湛江还会住这里。', '短评打分': 3}
{'短评内容': '酒店的服务很热情，房间也很干净，下次来湛江还会选择这家酒店。', '短评打分': 3}
{'短评内容': '酒店较新净，整体的服务不错，只是酒店的房间稍小了点，但很舒适，每次入住这里都有种回家的感觉。挺舒服的。', '短评打分': 5}
{'短评内容': '酒店的服务挺好的，设施比较新很干净，酒店位置出行很方便，房价也比价实惠，如果早餐的品种多一点就更好了....', '短评打分': 5}
