{'短评内容': '不好', '短评打分': 1}
{'短评内容': '我在这住了半个月，总体上还是满意的，出行很方便，吃饭的地方也多，附件还有超市，下回还考虑住在这！', '短评打分': 5}
{'短评内容': '地铁、公交、出租车等，出行很方便。离超市也很近，附件也有很多吃饭的地方。', '短评打分': 5}
{'短评内容': '房间很漂亮,很舒服,交通也方便,离地铁口很近', '短评打分': 5}
{'短评内容': '就在地铁会展中心站E出口，交通很方便，附近商业设施也很多，感觉达不到4星级水准。', '短评打分': 5}
{'短评内容': '值得住。条件不错。在热闹区。下面都是吃饭的地方、方便的很。', '短评打分': 5}
{'短评内容': '在办公楼里某一层用办公室改的酒店式公寓，套房非常大，离会展中心举步之遥，楼下就是地铁站，还有很多快餐和餐厅，很方便。', '短评打分': 5}
{'短评内容': '此酒店下面就是地铁一号线会展中心站，楼下有美食广场、楼内和附近有大型餐厅；离中心城步行只需要5分钟，中心城内有家乐福、购物和很多餐厅。出行和用餐都非常方便。\n酒店前台在大厦的10层，房内设施非常普通与一般快捷酒店无异，卫生间较为陈旧，尤其是淋浴间地面看起来相当的脏，而面盆的龙头设计很匪夷所思，在那里洗脸想不弄湿自己和地面是很难的。床垫非常硬。\n如果交通和用餐方便是第一条件建议选择这里，若要求住着舒', '短评打分': 5}
{'短评内容': '酒店位置很好，出门就是地铁站出行很方便。但酒店服务人员素质不高，我在酒店楼下打电话询问酒店入口，居然没人能回答我，害得我在酒店楼下绕了N圈。', '短评打分': 5}
{'短评内容': '真的不怎么样!本来订的338元的房间，忽然连桌子也木有！而且网络也无法连接（得不到IP地址），无奈只好加钱换到418元的房间。可是房间洗澡间里居然没有放洗浴用品的托架！晕呀！', '短评打分': 1}
{'短评内容': '会向我的朋友推荐这家酒店会向我的朋友推荐这家酒店', '短评打分': 5}
{'短评内容': '还不错，交通方便，比较安静，但里面的用品比较旧，有待改善，谢谢！', '短评打分': 5}
{'短评内容': '精致的房间，设施尚可，离会展中心很近，附近有很多洗浴中心，购物中心（家乐福）就相隔一街，方便。\n估计房间的空调风道该清洗了，总感觉有尘土的味道', '短评打分': 5}
{'短评内容': 'GOOD', '短评打分': 3}
{'短评内容': '酒店整体还不错，离会展中心非常近，来参展或者来看展的人住很方便。就是有一点不好，没早餐，希望可以改进……', '短评打分': 5}
{'短评内容': '交通比较便利，楼下即是地铁，房间内一般般吧。\n商务酒店就是住宿的地方了。\n下次还会选择这的。\n\n下次还会选择这的。\n', '短评打分': 5}
{'短评内容': '离地铁站比较近，房间一般。价格不是很优惠。比附近的城市客栈稍微逊色点。同地区的酒店算一般', '短评打分': 1}
{'短评内容': '酒店氛围很好,颜色搭配也很好,对套房和感觉尤其好,卧室内的光线,窗帘用色,床单的颜色都搭配的很好.希望价格再能便宜些就好了.', '短评打分': 5}
{'短评内容': '除了离会展中心近这个·优点。实在没啥好说的了。', '短评打分': 1}
{'短评内容': '客房不错', '短评打分': 3}
{'短评内容': '酒店的早餐有待改善啊，像我们这种粉丝经常提的意见都不在意的话，也真的进步不了 了。', '短评打分': 5}
{'短评内容': '酒店卫生还不错，交通比较便利，距离会展中心比较近，酒店大厅比较难找。', '短评打分': 5}
{'短评内容': '房间位置方便,但房间一些设计不良,尤其是浴室部分,服务普通,信价比偏低。', '短评打分': 1}
{'短评内容': '酒店像MOTEL 168那些一樣，沒什么特別的，靠近浴室的地方還發霉。隔音非常差，隔壁打呼嚕我都聽得到！最最重要的是停車費就不包的，沒有停車票！那是CBD啊，停車一個晚上就是60塊啊，我多給60，就400塊了！絕對不推薦！這是第一次住，也會是最后一次！', '短评打分': 1}
{'短评内容': '感觉太吵了！房间也小！其他没什么特点了！', '短评打分': 1}
{'短评内容': '老客户了，现在的服务不如以前了。就只有一点位置好。不喜欢', '短评打分': 1}
{'短评内容': '位置较好，靠近会展中心，步行可达；由于使用时间较长，房间环境一般。', '短评打分': 5}
{'短评内容': '服务还好，房间比加大，设施也算不错，性价比应该算比较高，地理位置好、交通方便。美中不足的是，我住店需要发票报销，店里给的发票盖的是财务章，我们必须是发票专用章才能报销，很遗憾，住宿费得自己负担了。', '短评打分': 5}
{'短评内容': '酒店很不错，在写字楼里面，比同等的商务酒店的房间要大点，但是也比较贵，性价比不是很高，如果是图地段方便的话，还是可以的。', '短评打分': 5}
{'短评内容': '性价比还不错,离地铁很近,离coco park也不远。洗澡水很大很舒服。', '短评打分': 5}
{'短评内容': '酒店位于金中环10楼，比金中环金领公寓性价比高，价格适中，卫生不错。美中不足早餐在-1层', '短评打分': 5}
