{'短评内容': '服务好，位置好，出行方便！', '短评打分': 5}
{'短评内容': '酒店性价比挺高的,离南宁朝阳广场很近,交通也非常方便', '短评打分': 5}
{'短评内容': '酒店里的设施一般，不过服务还不错，环境也挺好的，地理位置好，交通方便，价格适中。', '短评打分': 5}
{'短评内容': '很好，这个店的地理位置很好，交通方便，价格适中，而且他的环境服务也不错。', '短评打分': 5}
{'短评内容': '位置很好，只是没有想象中好，在同等价位中没有什么优势', '短评打分': 5}
{'短评内容': '酒店整体的感觉还不错，而且我住的是新春特价房，价格也可以接受，交通比较方便，在市区，硬件和服务都挺不错的。', '短评打分': 5}
{'短评内容': '以后也要继续住汉庭.\r\n那是家是感觉!\r\nperfect.', '短评打分': 5}
{'短评内容': '我第一次尝试汉庭，确实是个惊喜。首先位于朝阳广场——南宁的市中心，可以一睹南宁的现代化与热情，方便也就不言而喻啦；其二这家汉庭很新，尤其是转角的房间还有红色的墙和透明的隔板，体现了品位；the last but not the least,一开始酒店安排的房间有烟味，但是后来服务员很礼貌的帮我做了无烟处理，在我们还是抱怨不理想以后，他们没有任何犹豫就帮我们换了房间，所以真的希望将来出行的城市也有汉', '短评打分': 5}
{'短评内容': '地理位置佳，环境舒适。', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '清洁又卫生，服务也好！', '短评打分': 5}
{'短评内容': '打开窗...就看到一堵墙.忘记房号了.\r\n其他都不错', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
