{'短评内容': 'good good。', '短评打分': 5}
{'短评内容': '装修四星级，不含早餐不好，周围没有吃早餐的地方，只能吃酒店的早餐，78一位，很不值。!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '这里的前厅接待态度较好，餐厅包房服务态度不好，这里只适合大型活动住宿餐饮，对家庭和小团体不适合。但是这里环境比较好，背靠山，前面有水池，但水质不太好。有一对黑天鹅很优美', '短评打分': 1}
{'短评内容': '这家酒店明显是会议酒店，风格和宽沟非常象，有标准而精致的人造景观。标准统一的客房，自助餐厅，干净。但作为度假酒店缺乏风格。房间闷闷的，空调调到了统一温度26度，还铺着大厚棉被，让人盖也不是不盖也不是。照片上展示的露台是不可能用的，房间的门和窗都是锁死的，不能开。游泳池很好，但客人不能免费游，还要交钱。前台服务员的脸总是倒挂的，估计象我们这样的散客不受欢迎。如果是团体来开会公家掏钱也还能将就。', '短评打分': 1}
{'短评内容': '环境非常好，酒店后面有小山，右边有一个小广场和湖，养了一群鸭子，还有两支黑天鹅，小孩喂的很高兴，值得推荐。应该是挺新的酒店，设施很不错，很新，但有一个问题，房间没有窗户，阳台门又不让开，屋子很闷，一大败笔。', '短评打分': 5}
{'短评内容': '北京唐韵酒店的环境还是不错的，青山绿水环绕，空气新鲜，是和家人和朋友度假的好地方。', '短评打分': 5}
{'短评内容': '环境真的不错，酒店错落有致，喜欢。', '短评打分': 3}
{'短评内容': '很喜欢唐韵的环境，下次还会选择唐韵住', '短评打分': 3}
{'短评内容': '酒店不错我喜欢，下次还去住。', '短评打分': 3}
{'短评内容': '是一个很大的地方，环境不错，希望大家有时间去看看。', '短评打分': 5}
{'短评内容': '房间很小，房间内连冰箱都锁住的，可见没怎么人来，搞笑的是，服务员结账时候还问我是否有消费，我说我想找点东西吃，冰箱都上锁了，真是晕的。\n价格贵，我住市区比他房间大，品质高的酒店都比他便宜点。出差那地方没办法，也没有比他再好的酒店了，只能将就。', '短评打分': 1}
{'短评内容': '此酒店在环境卫生方面做得有些地方不到位，希望能注意到角落的卫生。', '短评打分': 5}
{'短评内容': '酒店院内环境很好，有山有水小桥，成群的鸭子和鹅，很美。只是房间有点小。', '短评打分': 3}
{'短评内容': '酒店不好找啊，酒店内部环境还不错，交通不是很方便的说。。。', '短评打分': 5}
{'短评内容': '环境确实不错，儿子很喜欢\n餐饮也实在不值得推荐\n服务一般般\n感觉主要是面向会议而不是散客', '短评打分': 5}
{'短评内容': '我在近期入住了该酒店，印象如下：\n1、酒店整体规划不合理，行动路线繁复；装修粗糙，室内用具不到位；住宿不够舒适但是自然环境不错。\n2、酒店基层服务人员态度可亲，很友善，能为顾客着想；管理混乱、松散，多个服务电话发生无应答情况，各级工作人员对基本业务不够专业。', '短评打分': 1}
{'短评内容': '该酒店应该属于大唐通信旗下的吧，是一个周末度假休闲的好地方，设施也挺好，房间也小了点。美中不足的是服务欠佳，房间的每天卫生不叫还不打扫呢！应该努力改进。', '短评打分': 5}
{'短评内容': '酒店的内外部环境都非常不错，我很喜欢和适合休闲度假，娱乐设施相当齐全。', '短评打分': 5}
{'短评内容': '酒店房间面积宽敞，明亮房间很干净很舒适。', '短评打分': 5}
{'短评内容': '酒店的设施很好配置也很全娱乐设施有。，有游泳池、KTV、保龄球等等，住的还是和舒服的。', '短评打分': 5}
{'短评内容': '房间干净舒适，配置硬件全，酒店的环境也很好，对唐韵还是非常满意的。', '短评打分': 5}
{'短评内容': '酒店依山而建，环境很好，有天鹅，野鸭亭子楼台。', '短评打分': 5}
{'短评内容': '床又大又舒适，很柔软，收拾的也很干净。', '短评打分': 5}
{'短评内容': '因为在怀柔，还怕信号不好呢，结果通信质量很好，有什么需要服务员也随叫随到，挺满意的。', '短评打分': 5}
{'短评内容': '这个山庄带着个大院子，晚上可以出来溜达溜达，空气又好，住的挺值的。', '短评打分': 5}
{'短评内容': '房间很宽敞，隔音效果也好，一点都听不到车的声音，不错。', '短评打分': 5}
{'短评内容': '收拾的真干净，连卫生间都非常干净，非常喜欢这一点。', '短评打分': 5}
