{'descr': '挺好的 交通方便 出差必住的地方 很满意 周围吃饭的地方也很多 商场也离的很近 环境也不错 干净简洁', 'star': 5}
{'descr': '离家比较近，可以推荐朋友住.标准的快捷酒店。', 'star': 5}
{'descr': '离家比较近，可以推荐朋友住.标准的快捷酒店。', 'star': 5}
{'descr': '交通很方便、环境很好', 'star': 3}
{'descr': '交通很方便、环境很好', 'star': 3}
{'descr': '附近有好几家汉庭 感觉这一家的地理位置比较好', 'star': 5}
{'descr': '附近有好几家汉庭 感觉这一家的地理位置比较好', 'star': 5}
{'descr': '位置很好 个人感觉很满意 汉庭的装修永远都是这么新   有机会下次还要住这里 ', 'star': 5}
{'descr': '位置很好 个人感觉很满意 汉庭的装修永远都是这么新   有机会下次还要住这里 ', 'star': 5}
{'descr': '服务不错 位置也蛮好 出门就是公交  走路五分钟十号线地铁双井', 'star': 5}
{'descr': '服务不错 位置也蛮好 出门就是公交  走路五分钟十号线地铁双井', 'star': 5}
{'descr': ' 房间不错,周围环境非常便利,前台服务员服务周到。就是挂衣服的地方和镜子在一起,挂上衣服后就不能照镜子了。总体来说推荐。', 'star': 3}
{'descr': ' 房间不错,周围环境非常便利,前台服务员服务周到。就是挂衣服的地方和镜子在一起,挂上衣服后就不能照镜子了。总体来说推荐。', 'star': 3}
{'descr': '房间很干净，住的比较舒服且交通便利!', 'star': 3}
{'descr': '房间很干净，住的比较舒服且交通便利!', 'star': 3}
{'descr': '不错，服务好，房间干净。入住退房效率都很快，前台人员一直带着微笑，酒店的员工都能主动和客人打招呼。性价比不错的酒店', 'star': 5}
{'descr': '不错，服务好，房间干净。入住退房效率都很快，前台人员一直带着微笑，酒店的员工都能主动和客人打招呼。性价比不错的酒店', 'star': 5}
{'descr': '地铁公交都很便利，周围吃饭还算方便。房间还算干净，就是下水道有味道，太难闻了。希望卫生方面还能再提高。', 'star': 5}
{'descr': '地铁公交都很便利，周围吃饭还算方便。房间还算干净，就是下水道有味道，太难闻了。希望卫生方面还能再提高。', 'star': 5}
{'descr': '订的豪华大床间  入住一看，没想到空间那麽小  又窄又挤的 也就有介绍说的面积一半。不会向我的朋友推荐这家酒店。就占了一个交通方便', 'star': 1}
{'descr': '订的豪华大床间  入住一看，没想到空间那麽小  又窄又挤的 也就有介绍说的面积一半。不会向我的朋友推荐这家酒店。就占了一个交通方便', 'star': 1}
{'descr': '酒店位置比较方便，离地铁和公交站都很近。旁边吃饭也方便，有双流老妈兔头、西北莜面村和KFC。房间干净，就是价格有点小贵。', 'star': 5}
{'descr': '酒店位置比较方便，离地铁和公交站都很近。旁边吃饭也方便，有双流老妈兔头、西北莜面村和KFC。房间干净，就是价格有点小贵。', 'star': 5}
{'descr': '服务员态度都很不错，房间也很干净，毛巾等用品也都很整洁。地理位置也很好，交通方便，在北京堵车的情况下可以去坐地铁，相当方便。总的来说，物有所值。', 'star': 5}
{'descr': '服务员态度都很不错，房间也很干净，毛巾等用品也都很整洁。地理位置也很好，交通方便，在北京堵车的情况下可以去坐地铁，相当方便。总的来说，物有所值。', 'star': 5}
{'descr': '这个房间各方面都是不错的，电视要能换成液晶的就更好了。', 'star': 3}
{'descr': '这个房间各方面都是不错的，电视要能换成液晶的就更好了。', 'star': 3}
{'descr': '酒店设施一般，房间比较小，好的是周围吃饭的地方比较多，而且都比较有特色~', 'star': 5}
{'descr': '酒店在地铁十号线双井出口，和如家双井店毗邻，如果店名改为汉庭双井店就更好找了', 'star': 5}
{'descr': '很好  很干净。环境不错。地段也算可以。', 'star': 5}
{'descr': '服务态度和房间都特别特别的好，100元周日房太值了。就怕以后订不上啊。整个浴室都是透明的，有点尴尬，不过情侣还好。', 'star': 5}
{'descr': '服务很不错，房间也很干净，虽然房间面积小了些，但是还是很不错的酒店，值得推荐！', 'star': 5}
{'descr': '位置挺好找 总体还是不错的 网速有些慢 结账速度Ok', 'star': 5}
{'descr': '位置好！就是酒店的有些房间略显拥挤。总体感觉还可以吧！', 'star': 5}
{'descr': '很喜欢的一家酒店！以后还会常来光顾。位置不错！', 'star': 5}
{'descr': '呵呵，公司每逢有什么重大的活动都要安排员工入住这家酒店，位置好！服务好!', 'star': 5}
{'descr': '经常入住的一家酒店，位置不错，房间内也干净。接待人员态度也非常好！下次还来！', 'star': 5}
{'descr': '酒店很干净', 'star': 3}
{'descr': '位于北京CBD中心区，性价比非常非常高，房间不错，很干净。', 'star': 5}
{'descr': '位置极佳，客人不愿去别的地方了。', 'star': 3}
{'descr': '房间很干净，地理位置很方便，可以考虑介绍给朋友。', 'star': 5}
{'descr': '还满意', 'star': 3}
{'descr': '卫生，硬件等都和其他城市差不多，主要是位置比较方便。', 'star': 5}
{'descr': '位置比较好，比价方便。缺点是房间很小，几乎转不过身来。', 'star': 5}
{'descr': '地理位置好，离地铁10号线双井站200米，附近特色餐饮众多。', 'star': 5}
{'descr': '地理位子不错，交通方便，房间卫生不错。干净，整洁。', 'star': 5}
{'descr': '服务非常好，地理位置好，大床房，空间有点小', 'star': 5}
{'descr': '卫生设施比较脏，以后不会再住这个酒店了。', 'star': 1}
{'descr': '房间小了点，位置还算好的，服务人员也很热情', 'star': 5}
{'descr': '汉庭都挺好的~~~环境交通都挺好的~~~不过我住的房间里电视频道不全。。比如湖南浙江什么的都没有', 'star': 5}
{'descr': '干净整洁，服务规范，不足之处是房间有点太小了', 'star': 5}
{'descr': '地理位置比较优越，服务员态度挺好的，环境也不错，适合出差和旅游人士', 'star': 5}
{'descr': '还行。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '还行。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '位置不错，一切都还可以。。。。。。。。。。。', 'star': 5}
{'descr': '位置不错，一切都还可以。。。。。。。。。。', 'star': 5}
{'descr': '还不错 挨着三环，晚上有点吵，电视信号不好，没有几个台，而且重复的很多', 'star': 5}
{'descr': '＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊お勧めです。', 'star': 5}
{'descr': '很干净服务也不错', 'star': 3}
{'descr': '卫生，干净，很舒服，下次还来住啊，物有所值', 'star': 5}
{'descr': '交通方便，价位适中。\r\n建议：1、浴室莲蓬头和固定底座明显不配套，水横着喷，极不方便；\r\n      2、配塑料袋和几张信纸\r\n      ', 'star': 5}
{'descr': '性价比比较高，很卫生。干净，舒适，价格挺合理', 'star': 5}
{'descr': '工作人员服务态度不错 设备不错 感觉还是可以的', 'star': 5}
{'descr': '味道太大  服務還可以 值得', 'star': 3}
{'descr': '還可以  就是味道太大', 'star': 3}
{'descr': '味道有点重  其他都很满意', 'star': 5}
{'descr': '不错，，酒店很卫生。。。', 'star': 5}
{'descr': '一个人说不好,两个人说不好,也许不是真的不好,但是就看这酒店随时想定都有房,在地理位置这么好的地段,竟然随时有房,就知道这真不怎么样.', 'star': 3}
{'descr': '卫生条件很好，设施很好，交通方便', 'star': 5}
{'descr': '北京地铁10号线出口300米处，设施很新，服务员态度很好。在路边但几乎听不到车声，性价比很高的酒店。我住的洗手间的排水管似乎有裂缝，因为不开抽风的话，能闻到一点点的臭味。', 'star': 5}
{'descr': '大堂感觉有些凌乱，走廊和电梯拐角处有些窄，一些指示牌做的不是很醒目，卫生，服务都不错，设施也蛮新的，性价比较高', 'star': 5}
{'descr': '酒店感觉挺新的，房间里打扫的挺干净的，位置也不错，出行挺方便的，价格方面也蛮实惠的。值得推荐。', 'star': 5}
{'descr': '干净卫生', 'star': 3}
{'descr': '在三环边上，交通便利，服务很好', 'star': 5}
{'descr': '主要是交通便利', 'star': 5}
{'descr': '1 入住时，网站给定了房间，居然没有进入酒店入住系统，差点没住上。\r\n2 房间有异味，淋浴间向外溅水。被子很奇重，不舒服。\r\n3 晚上十点回到房间，房间没打扫。\r\n4 12：50 退房，要加收半天房费。\r\n', 'star': 1}
{'descr': '房间太小了。还有蟑螂。', 'star': 3}
