{'短评内容': '位置方便，服务好，卫生干净。', '短评打分': 5}
{'短评内容': '龙脉温泉硬件条件较差，软件服务更差，总体感觉消费不值，尤其是停车还要收费。', '短评打分': 3}
{'短评内容': '这家宾馆环境一般  价格很贵  不值  服务态度也不好  ', '短评打分': 1}
{'短评内容': ' 基本满意', '短评打分': 5}
{'短评内容': '服务不错，功能齐全，主要是能停车。性价比较高。', '短评打分': 5}
{'短评内容': '房间还算舒适、整洁，基本符合我的要求，性价比不错', '短评打分': 5}
{'短评内容': '涨钱了。。。住着一点都不实惠了，嗨。。选择其他地方吧', '短评打分': 1}
{'短评内容': '总的来说各方面都不错，就是没有电吹风。刚住进来的时候卫生间的排水口有点味道，后来工人来用了很简单的办法就将其堵住了，就解决了。', '短评打分': 5}
{'短评内容': 'haohaohaohaohaohaohao', '短评打分': 5}
{'短评内容': '性价比极低！位置也不好找！当地人都不知道在哪！以后不会在住！', '短评打分': 3}
{'短评内容': '经济实惠，卫生服务一般。地理位置还可以。', '短评打分': 1}
{'短评内容': '挺好的，真的真的 的的的的的的的的的的的的的得到的的 的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '比想象中的好挺多的，交通也比较方便，虽然有点点简陋，不过在北京性价比还可以的', '短评打分': 3}
{'短评内容': '货不对版，说是在北京大学东门站附近，其实离地铁站超级远', '短评打分': 1}
{'短评内容': '这家酒店环境不怎么样，卫生还可以，设施很陈旧很简陋，看了房间想退房酒店说电脑记账不能退了，只好忍耐一晚了。下次再也不住了。', '短评打分': 1}
{'短评内容': '卫生不好，前台服务员也不好，打扫卫生的还行，设施不错，就是房子太小了，而且这个价位的不算太好。', '短评打分': 5}
{'短评内容': '服务，卫生还可以，就是空调不好用，还有一出风口坏了，价格适中', '短评打分': 3}
{'短评内容': '卫生，服务，设施都还可以，就是价格稍贵些', '短评打分': 5}
{'短评内容': '前台服务实在是不怎么样，是不是不会微笑？还爱理不理的。宽带一天能有一次能上去的就已经很不错了。下次绝对不会来了。', '短评打分': 1}
{'短评内容': '总体还是可以的，就是服务态度有需提高，还要就是里面的浴室设施要进行更换啦，比较陈旧。。。。。', '短评打分': 5}
{'短评内容': '还行,可以推荐.', '短评打分': 3}
{'短评内容': '三个字，不推荐。\r\n再三个字：太差了！', '短评打分': 3}
{'短评内容': '没有什么可说的，这家宾馆。方方面面都太差了。', '短评打分': 1}
{'短评内容': '除了价格外，个人感觉一无是处。', '短评打分': 1}
{'短评内容': '位置稍微有点不好找，主要是好像离地铁不进，但住宿环境还可以。', '短评打分': 5}
{'短评内容': '不错  在  和学校和 医院 都很近', '短评打分': 5}
{'短评内容': '很差的招待所！！！！！！！！！！', '短评打分': 1}
{'短评内容': '挺好的就是那个空调为啥关不了内？？', '短评打分': 5}
{'短评内容': '总体很好。。。', '短评打分': 5}
{'短评内容': '这家宾馆还不错，就是卫生好像不是太好设施还不错我下次还去哪里预订', '短评打分': 5}
{'短评内容': '从嘉茂购物中心步行走了有半小时，不好找！下次肯定不会去了。', '短评打分': 1}
{'短评内容': '地方比想象中的好、干净，交通也挺方便的', '短评打分': 5}
{'短评内容': '最大的特点就是位置很好，又相对不高的价格，所以性价比很高，环境很居家，不花里胡哨，个人感觉比较好。', '短评打分': 5}
{'短评内容': 'hao ', '短评打分': 5}
{'短评内容': '比较便宜，再便宜一点就好了；位置很好，在交通大学东路；楼下有小饭馆，小超市；比较安静；房间比较大，有电视机；卫生间在屋里，用玻璃隔成的小单间；', '短评打分': 5}
{'短评内容': '热水只能坚持10分钟！不隔音！除了位置没有任何推荐的地方！', '短评打分': 1}
{'短评内容': '非常之吵，而且早上5点不到就被楼道里的服务人员吵醒了，这哪儿有宾馆的感觉，简直和住宿舍一样', '短评打分': 1}
{'短评内容': '卫生很差，设施也不是很好，服务滞后', '短评打分': 1}
{'短评内容': '价格便宜，位置好找，窗户对着走廊，在三层，比较干净，值得入住！', '短评打分': 5}
{'短评内容': '非常破旧，没有电梯。脏。不值得推荐。', '短评打分': 1}
{'短评内容': '位置不错，就是卫生和设施不怎么样。不过因为价位比较低，也不好说什么了。', '短评打分': 1}
{'短评内容': '整体不错\r\n\r\n但不适合长期住 ', '短评打分': 5}
{'短评内容': '性价比一般吧~~还好~~就是设施不全~~卫生差点~', '短评打分': 5}
{'短评内容': '很干净 就是所谓的双人床竟然是两张单人床并起来的呵呵~~', '短评打分': 5}
{'短评内容': '房间的隔音效果很差我住的那个离马路很近的晚上太吵了我都没有睡着,服务也没有感觉到,房间的设施和卫生也挺一般的,位置还行,我反正下次是不会去这家了.', '短评打分': 3}
{'短评内容': '真的很一般。感觉比旅店好这么一点点。', '短评打分': 1}
{'短评内容': '太差了，没有对外的窗户，只有一个窗户还是对这楼道，床很脏，一上去浑身痒痒，拖鞋也不是一次性的。', '短评打分': 1}
{'短评内容': '价格比较低，交通也比较方便，打车去后海不到20元。但是窗子前有个台阶，安全度不够，没有空调。适合临时居住，舒适度不够', '短评打分': 1}
{'短评内容': '房间隔音不好，没有电梯，浴室喷头不好用，地漏也不通畅。位置还可以。周边很多餐厅。', '短评打分': 1}
{'短评内容': '酒店房间卫生不太好,打扫的不即时,安全性比较差了,住宰三楼,但二楼是租出去的,整体感觉比较乱了,不像一家整体的酒店.', '短评打分': 3}
