{'短评内容': '硬件条件有所升级，性价比高，很好！', '短评打分': 5}
{'短评内容': '环境好，超值。', '短评打分': 3}
{'短评内容': '小院感觉很舒适。服务目前还可以。但由于配套设施不完善就是缺少餐饮娱乐的地方。', '短评打分': 3}
{'短评内容': '这次选择的中式小院，房间不如欧式的感觉好，泡池比欧式的深，感觉也很不错的', '短评打分': 5}
{'短评内容': '才来泡了几次妈妈说我的皮肤有明显的改善，夏天泡温泉还是非常合适的，皮肤排毒，就是夏天蚊子太多了，幸好房间里有蚊香', '短评打分': 5}
{'短评内容': '酒店从入住到退房都非常满意，尤其服务员的态度非常好，始终选择的是欧式，确实是温泉水，硫磺泉对皮肤不错的，坚持就会有效果', '短评打分': 5}
{'短评内容': '一直坚持每周都来一次，服务特别好，欧式的房间很大，以后还会继续去的', '短评打分': 5}
{'短评内容': '中式小院很干净 设施很新 可以自行打扫泡池 建议带点消毒液', '短评打分': 3}
{'短评内容': '很好的酒店，从入住到退房都很满意，确实是真正的温泉水，千万别把浴巾带进泡池，会染色的。这个价位的房间还配有冰箱和吹风机，晚上很安静，坐在小院里喝着啤酒看夜空很自在。不足之处就是没有吃饭的地方。总之这个价位很超值。', '短评打分': 5}
{'短评内容': '入住后，浴袍沾湿溫泉水，留下一点黄水渍，退房时，还要收取清洗费，难道几百元的住宿费不包含卫浴用品洗涤的成本么？', '短评打分': 3}
{'短评内容': ' 酒店舒适整齐，欧式前面强有些低，温泉温度自调，很好，隐秘性好', '短评打分': 3}
{'短评内容': '这家酒店纯粹是温泉为主要卖点，适合情侣开着车过来度个周末什么的。完全的荒郊野外，吃饭购物得开车十五分钟以上。', '短评打分': 5}
{'短评内容': '独门独院 私家车位 蚊香 吹风机 冰箱 一应俱全。。唯一觉得温泉水为什么会有水锈和臭味那。。。质疑到底是不是温泉水 夏天果然蚊子多。。不过环境不错 吃的地方不方便。。据说马上就要有餐饮了。。建议自备干粮。。价格适中！', '短评打分': 5}
{'短评内容': '房间挺大的，也比较干净，毛巾和浴巾说是比较容易染色，小心翼翼的。温泉的水硫的味道比较重，而且很多的小虫子，热水是限量的，开始不知道，第二天发现没热水了。服务员态度还不错，就是附近没什么吃东西的地方，只能去益园的餐厅吃饭，但是挺贵的，建议去的时候多带点吃的东西去。', '短评打分': 1}
{'短评内容': '房间干净，宽敞。除去酒店位置不太好找外，值得推荐。', '短评打分': 5}
{'短评内容': '欧式房较比中式房间内的温泉泡池大，交通也方便，设施较新，好像刚开业不久。', '短评打分': 5}
{'短评内容': '很好的酒店啊!非常值得推荐，私家小院，温泉池，很干净舒服!还有个火辣身材，服务态度很好的前台接待啊!', '短评打分': 5}
{'短评内容': '酒店和图片上一样，非常舒适，服务非常好，只是这里吃饭不怎么方便。下次还选这里', '短评打分': 5}
{'短评内容': '位置稍偏但很安静，适合休闲居住。位于昌平农业科技园内，可以采摘到很贵的新鲜水果如草莓、樱桃等。室内温泉水很好。可惜就餐不方便。下次还会选择。', '短评打分': 5}
{'短评内容': '小屋很温馨,是个周末休闲的好去处.温泉水是硫磺泉,对皮肤很好.就是夏天来了,蚊子多了点.', '短评打分': 5}
{'短评内容': '位置有些偏僻，周边配套设施也没有，不过房间本身很不错，干净舒适宽敞，私汤温泉很棒，温泉水不限量，服务态度也很好，尤其是帮忙清洁温泉池的大姐，特别亲切。而且价位不高，独门独院，值得一去。', '短评打分': 5}
{'短评内容': '挺好的，就是去晚了没有私家车位的小院了……', '短评打分': 5}
