{'短评内容': '房间比较小，虽然隔音效果不好，但晚上蛮安静的。', '短评打分': 1}
{'短评内容': '正如大家所言，交通便利，环境较好。前台人很好，热情，请我吃西瓜。第一次去呢，没有那么慌乱，比较实惠，网络很快。经济型的，可以挑选哦。', '短评打分': 5}
{'短评内容': '住了一个晚上，感觉马马虎虎吧。\n好：交通还是比较方便的，酒店位置也在市中心，房间也比较多，前台的工作人员挺有责任心的，笑脸相迎。\n不足：我住的是单人间，感觉房间很小，刚好摆一张床和一个床头柜就没有多余空间了，有电视盒一张桌子。不是很干净，厕所的淋浴都断了，不过还能喷水。\n如果要求不高，这个条件我个人感觉可以接受。毕竟在市中心的', '短评打分': 5}
{'短评内容': '服务还是不错的，价格很便宜，交通也非常的便利', '短评打分': 5}
{'短评内容': '总的来说还可以的，就是有些房间的窗户在过道口，比较吵。。  还好吧。。呵呵', '短评打分': 5}
{'短评内容': '挺不错，环境好，交通便利，就是不能抽烟郁闷', '短评打分': 3}
{'短评内容': '经济实惠，服务不错，地理位置优越，下次还住这里', '短评打分': 5}
{'短评内容': '服务态度还好，房间很小，如果单人住的话还可以。', '短评打分': 5}
{'短评内容': '去广铁集团很方便\n有利于办事\n吃饭也方便\n就是房间太小，没窗户很难受。电梯也从来不开。。。。\n\n隔音效果也差，隔壁女人半夜叫床吵死我了', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '入住后房间空气不好！会员价格的特价房还不如不是会员的入住。是会员的入住130元。不是会员的108员！', '短评打分': 3}
{'短评内容': '还不错、网速超快、就是没有窗户的房间有点异味', '短评打分': 3}
{'短评内容': '环境还不错，卫生条件也很好！空调/电话/宽带/电视/一应俱全', '短评打分': 3}
{'短评内容': '酒店环境不错，交通也很发达', '短评打分': 3}
{'短评内容': '地理位置不错,交通方便,房间—般', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': ' 酒店外部看起来比较小, 里面装修还算新, 隔音不好', '短评打分': 3}
{'短评内容': '整洁，安全。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很吵，而且隔音太差，基本一晚没睡，前台也不支持刷卡，再也不会去了。', '短评打分': 1}
{'短评内容': '酒店的设施实在糟糕,环境还算干净,也很安静,但是配套的设施很是一般.', '短评打分': 1}
{'短评内容': ' 还不错 比较实惠', '短评打分': 3}
{'短评内容': '网速可以，房间的电视频道很多，电话可以免费打，不错，就是房间有蚂蚁和蟑螂', '短评打分': 1}
{'短评内容': '新酒店，离地铁近，方便，附近可买火车票。干净。', '短评打分': 5}
{'短评内容': '整体来说还不错  那个地段这个价位已经很便宜了  服务也还可以  网速超级块 电视用的是电信我的E家 能点播很多东西很爽', '短评打分': 5}
{'短评内容': '房间很新，很安全。退房时已是下午二点，但店主没有加我钱，非常感谢！推荐', '短评打分': 5}
{'短评内容': '隔音太差 晚上又比较吵 我那個房間的空調也壞了  熱得要命 ', '短评打分': 1}
{'短评内容': '地点和卫生还算补充，长处是免费市话和长途，短处是优惠价的房间都没有窗户。', '短评打分': 5}
{'短评内容': '酒店较新，服务好。但希望房间更加安静，洗手间去水不是很好~', '短评打分': 5}
{'短评内容': '这家酒店就是位置还好，周边交通挺便利。', '短评打分': 3}
