{'短评内容': '房间小，洗澡不方便', '短评打分': 5}
{'短评内容': '希望尽快解决上网慢和有时候没网的情况，其他的服务都很好！特别推荐商务大床房，环境很好，因为是新楼所以更显得干净', '短评打分': 5}
{'短评内容': '酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。酒店不错。', '短评打分': 5}
{'短评内容': '酒店环境还不错！但是这个消费券怎么换取啊？', '短评打分': 3}
{'短评内容': '除了有时网络不太好，其他还是比较满意的！希望尽快改善宽带环境，保障上网流畅~', '短评打分': 3}
{'短评内容': '态度很好，就是阁楼太热，川酒店的拖鞋地有点滑，尤其是洗澡时候', '短评打分': 5}
{'短评内容': '168元的小房间布局合理，干净卫生，住着很舒服，就是房间隔音效果不好，离地铁有点远。 ', '短评打分': 5}
{'短评内容': '酒店总体感觉很不错，房间内装修风格也很好，干净整洁，简单！前台的工作人员服务也很热心，唯一美中不足之处就是房间内的宽带上网总是出问题，希望今后能改善~不过还是推荐大家住店的！', '短评打分': 5}
{'短评内容': ' 酒店很干净 房间很好 但地点在小街路 离地铁站有点远', '短评打分': 3}
{'短评内容': '入住，舒适。', '短评打分': 3}
{'短评内容': '服务员态度太差，问路都不耐烦，还有跟致命就是上网要设置，按照酒店操作步骤还是上不了，叫了技术人员调了半天还是上不了，耽误我那天晚上工作。', '短评打分': 1}
{'短评内容': '服务和环境都不错  价值便宜', '短评打分': 3}
{'短评内容': '酒店周围很多饭店 位置还不错 离地铁有点远 但是五一这个价格已经很便宜了 性价比很高 房间干净', '短评打分': 5}
{'短评内容': '很干净的小屋，每天都来换毛巾和一次性用品，挺好', '短评打分': 5}
{'短评内容': '床很硬，枕头很低，服务还行。', '短评打分': 3}
{'短评内容': '非常靠谱的酒店，服务好，又干净，就是是是坐式的马桶，没有电吹风，有点瑕疵。另外，酒店里做的菜好好吃啊，价格还行，就是打电话定餐的人有些凶。总体来说很不错，下次去北京还住儿！', '短评打分': 3}
{'短评内容': '总体来说，一般吧', '短评打分': 3}
{'短评内容': '交通方便，附近餐饮店较多，门口就有火车票飞机票售票处，环境也还行。推荐。', '短评打分': 5}
{'短评内容': '很干净，就是打电话给前台的时候把B出口听成了D出口，结果白花了打车钱，房间网络很不稳定，几乎没有连续上网超过5分钟过，就又要重启电脑。', '短评打分': 5}
{'短评内容': '环境不错，很满意', '短评打分': 3}
{'短评内容': '挺不错的。。温馨。。就是空间有点儿小。不过还挺好找的', '短评打分': 5}
{'短评内容': '旧的那栋楼环境不错，新楼还有一点装修的气味。服务员态度很好，值得推荐', '短评打分': 5}
{'短评内容': ' 酒店很舒服，睡觉很安静，很好，下次还住。', '短评打分': 3}
{'短评内容': '就是位置难找点，但是很干净，地方也很安静，比较值。', '短评打分': 5}
{'短评内容': '找到小肥羊就找到了此店，内部餐厅价格比较实惠，周围的小吃店也不少，50米内的餐饮业很发达。房屋有最低价121元每日，我这个房168元有窗户，房卡估计每天换一次好点，我的房卡用了一天就不好用了，服务台服务好。宽带只能登录QQ，后面给总台打个电话，请师傅来，把ip地址告诉了，因为时间太紧了，第二天要赶飞机，没顾上上的。服务员看我要继续住一天，铺床就没有重新铺。不过经济型酒店也就这样了。', '短评打分': 5}
{'短评内容': '哪儿有22平米啊，也就12平米，太能扯了，新装修的B座，上当，倒霉！', '短评打分': 1}
{'短评内容': '酒店不错~房间还可以~洗澡水也比较大~所以还是赞一个', '短评打分': 5}
{'短评内容': '酒店还不错，比较满意', '短评打分': 3}
{'短评内容': '房间设计较合理，洗漱和卫生间分开。但空间有点小，水流不大。床垫、被都有点薄。总的来说，性价比还可以。', '短评打分': 5}
{'短评内容': '不错，离车站很近，服务态度很好。价格也比较合理。', '短评打分': 5}
{'短评内容': '很不错的地方，适合商旅人士和情侣住宿。 ', '短评打分': 3}
{'短评内容': '环境不错，装修不错，就是单人房是顶楼，没有窗户房顶很低，个高的人住会觉得闷', '短评打分': 5}
{'短评内容': '不错 已经是第二次入住了', '短评打分': 3}
{'短评内容': '环境一般。价格在这了。就是一般的酒店。\n还不错总的来说', '短评打分': 5}
{'短评内容': '大清早就开始装修，吵死人。', '短评打分': 3}
{'短评内容': '不错，服务态度好，房间也比较干净,就是位置难找了点。。。', '短评打分': 5}
{'短评内容': '房间还算干净，格局一般。离地铁站有点远，交通还算方便。周围环境有点乱。', '短评打分': 5}
{'短评内容': '不错，干净卫生。就是有楼内噪音有点大。顾客开门关门很扰民。', '短评打分': 5}
{'短评内容': '虽然位置有点点难找，但是地理环境还是可以的，客服态度也不错。。好评~O(∩_∩)O~', '短评打分': 5}
{'短评内容': '房间不错，价格合理，公交比较方便，但是离地铁站很远，不方便。周围吃饭的地方和购物都有比较方便', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '环境还不错···卫生搞得挺好··服务也挺好···有些缺点就是地点有些难找····其他都挺好的···', '短评打分': 5}
{'短评内容': ' 比想象中差很多 空调怀的 房里还有一股烧焦味 房间很小很压抑 不会来住了', '短评打分': 3}
{'短评内容': '旅馆没有窗，但是面积和床铺大小都还可以。交通便利，环境清净。就是单人间浴室的格局有点不太便利，也没有防滑措施。', '短评打分': 3}
{'短评内容': '这次住的酒店房间大床的一边是塌的，希望尽快解决', '短评打分': 1}
{'短评内容': '房间稍微“别致”些，适合于小情侣。床稍硬。地理位置不错 但对路不熟 不太好找 周围很大的商场 枫蓝国际 挺方便 门口 订火车飞机票 门外就是小肥羊 ', '短评打分': 5}
{'短评内容': '不错的地理位置~ 但周围环境 嘈杂 配套设施 周围商场 24小时店 火车飞机票点 餐饮店 齐备，员工服务热情 房间最适合 小情侣居住 呵呵', '短评打分': 5}
{'短评内容': '有免费的麻', '短评打分': 3}
{'短评内容': '比较难找', '短评打分': 3}
{'短评内容': ',宾馆比较干净,离北站也较近,比较满意!\r\r糜连春', '短评打分': 3}
{'短评内容': '    房间还挺干净,只是我选择的大床房,屋顶是斜坡,太不好看,很不舒服,稍微往前一点就碰头,服务员说:大床房都这样.当天又没别的房间.以后,我不再住大床房了.可选别的房间.', '短评打分': 5}
{'短评内容': '服务还可以', '短评打分': 3}
{'短评内容': '我是第一次从网上预订酒店，订的单人间，顺利入住。位置交通挺方便的，房间挺干净的，还不错。就是房间小点', '短评打分': 5}
{'短评内容': '房间很干净,整洁。下次一定还来。王学', '短评打分': 3}
{'短评内容': '步行至北京北站约10到15分钟，附近小吃选择挺多。房间和卫生间挺干净。房间设备有电视，空调（暖气），电热水壶。卫生间有牙刷，牙膏，洗发液，沐浴露提供，毛巾和浴巾，而且每天都会更换。热水24小时提供。服务员态度不错。早上通知有灯泡坏了，上午回去就已换速好。外面有火车票，飞机票点每天房费：178元。个人感觉还挺值得的。', '短评打分': 5}
{'短评内容': '环境不错，前台热情，交通方便，就是淋浴热水要放好久才热喔，房间很干净，服务人员办事速度很快！大家可以去体验下啦！总之还不错，挺满意的！', '短评打分': 5}
{'短评内容': '各项都不错，就是房间没有窗户，挺舒适的', '短评打分': 3}
{'短评内容': '干净度不错，位置么，需要找一下下，并非太明显\n晚上住的那间在楼梯口，旁边是消防间，所以还是很安静的\n就是没有窗子，感觉有些闷闷的', '短评打分': 5}
{'短评内容': '很不错的 我住的是大床房 两个人感刚好 性价比高 首先地理位置很好 离公交车站很近 坐一站就可以换乘地铁  其次房间卫生很不错  而且附近有早点和夜市 推荐！！', '短评打分': 5}
{'短评内容': '很不错的酒店，设施齐全，位置好，交通方便，价格也比较便宜，以后还会来住。', '短评打分': 5}
{'短评内容': '虽然有点贵，但是房间干净舒适，条件设施齐全，在北京性价比还是不错的吧', '短评打分': 5}
{'短评内容': '太差了，单人间像监狱，无窗，排气扇也是坏的。', '短评打分': 1}
{'短评内容': '这个价格下条件是不错的~虽然单人间的确有点小，但是也够用。\n不过位置确实不好找，我是出租车司机带我找的。', '短评打分': 5}
{'短评内容': '这家酒店位置还不错，往南走大概1.5KM左右就是西直门地铁站，2、4、13线几乎可以到达北京的任何一个地方，卫生状况也很好，很干净（木有发现小强），服务态度上佳，阁楼的房间不错，很适合单身青年居住，唯一不足就是周围饭馆太少，吃饭不方便，总之很OK的啦~', '短评打分': 5}
{'短评内容': '交通真的不是很便利，而且118房间门的锁可能有点问题，不容易关上，空调也不是很给力，房间也有点小，但是卫生条件很好，态度也不错。', '短评打分': 5}
{'短评内容': '不错，交通比较方便，隔音效果也很好。很干净，下次还会入住。', '短评打分': 5}
{'短评内容': '订的是标准房，房间还算干净，但因为在底楼，窗户极小，自然通风通气几乎没有，服务有但提高，极小的吹风机要交100元押金，还老是借不到，前台比较忙，对附近道路也不熟悉，态度也谈不上热情，有点小失望。', '短评打分': 1}
{'短评内容': '很好，在北京这地价格还可以，很干净很安静。就是位置不太好找，第一次来找了好半天', '短评打分': 5}
{'短评内容': '很舒适很干净，单人间，阁楼，很喜欢这样温馨的小阁楼。虽是单人床，但可以住下我和儿子两个人。宾馆外有很多的小店，吃饭很方便。', '短评打分': 5}
{'短评内容': '大床房居然是阁楼，这个在网站上没有任何说明，窗户超级小几乎可以忽略！！！位置不好找，反正挺烂的', '短评打分': 1}
{'短评内容': '还行吧！还行！还行!提前订会比较好！好！！！！！！！！！', '短评打分': 5}
{'短评内容': '不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '不错,交通比较方便，以后有机会还会再去~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '性价比不错，房间不算小了，隔音效果也算满意了！在北京来说和这个价格也比较匹配了', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '房间小 装修不错 木地板 格局有特色\n交通比较方便 但地方难找 周边餐厅很多\n有的单人间无窗 就比较难受', '短评打分': 5}
{'短评内容': '地方好小', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店什么都还成，唯独洗澡水太小', '短评打分': 3}
{'短评内容': '环境很好~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 3}
{'短评内容': '卫生条件，服务都不错。性价比还可以，离办事的地方不远且周边环境好', '短评打分': 5}
{'短评内容': '酒店比较卫生，房间布置较为温馨，周边交通方便，吃的地方也多，很推荐。', '短评打分': 5}
{'短评内容': '性价比还可以，值得一住 性价比还可以，值得一住 性价比还可以，值得一住', '短评打分': 5}
{'短评内容': '挺好的，就是地方比较难找，交通不方便，离车站较远', '短评打分': 5}
{'短评内容': '环境还不错,性加比也可以,就是电视质量差点,不清楚…', '短评打分': 3}
{'短评内容': '很8错，，，属于性价比很高的一家酒店。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '早餐有着落了 5元一位的早餐也是可以吧！哈哈 房间干净整洁 就是床有些硬 周围环境杂乱 到离同一首歌很近 ', '短评打分': 5}
{'短评内容': '离公司很近，很是方便，门口定火车票飞机票也很方便，周边环境杂乱，早晨无早饭不太方便，服务周到热情，房间整洁干净，不错的选择', '短评打分': 5}
{'短评内容': '不错的地理位置，房间小而精致，就是可惜貌似没有早饭，不太方便，周围环境有些杂乱，位置相对靠里，不询问不太好找。服务热情周到，房间干净整洁，还会再去的', '短评打分': 5}
{'短评内容': '  很给力的房间！给力推荐', '短评打分': 3}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '酒店环境不错交通也方便，就是大床房是斜顶的很郁闷', '短评打分': 3}
{'短评内容': '很干净，就是位置不是很好找，服务态度也不错，房间有点小，床还蛮大的', '短评打分': 5}
{'短评内容': '卫生不错，房间也挺好。我们住的是阁楼是斜屋顶感觉有点挤，其他还好。。', '短评打分': 5}
{'短评内容': '离公司很近，招待客户的首选，环境整洁，服务也不错，就是貌似没有早饭很不方便', '短评打分': 5}
{'短评内容': '我跟女友住的是单人间，挺好，挺温馨，卫生间也很好，就是没有提供电吹风，最好前台能够有电吹风供应，因为女孩子洗头发要吹，没有的话很不方便。床很软很舒服，整体感觉很干净很不错。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': ' 打扫很速度，就是没有淋浴时能穿的拖鞋，而且有上网端口没有网线，很纠结……', '短评打分': 3}
{'短评内容': ' 房间很干净就是卫生间小了点，洗澡不太方面，但前台服务不错。下次还会来。', '短评打分': 3}
{'短评内容': '房间虽小但是五脏俱全，而且特价房那么小的面积还有窗户，不错。美中不足的是枕头只有一个。。。', '短评打分': 5}
{'短评内容': '酒店不错就是不太好找哈哈', '短评打分': 3}
{'短评内容': '整体不错，尤其是卫生间相当不错，不过就是枕头太薄太低', '短评打分': 5}
{'短评内容': '房间是半地下，空气不畅。不推荐大床房', '短评打分': 3}
{'短评内容': '我住的是单人间，设施比较齐全，房间还不错，比较干净。房间比较静，不过门外隔音效果不怎么样，可以听见打扫卫生的声音。交通比较方便，但位置难找，总体来说不错。', '短评打分': 5}
{'短评内容': '不错的，第二次入住了', '短评打分': 3}
{'短评内容': '酒店的位置比较安静~房间虽小但是这个价位已经可以了~周边吃饭的地方挺多~', '短评打分': 5}
{'短评内容': '卫生和隔音都还可以，这个价钱在北京还算很不错了！', '短评打分': 5}
{'短评内容': ' 还不错，价格这样，可以了', '短评打分': 3}
{'短评内容': '除了房间卫生间小了点，电视效果不好外，还不错！干净整洁', '短评打分': 5}
{'短评内容': '很不错哦，服务人员态度很好~除了房间有点小，其他都很好~', '短评打分': 5}
{'短评内容': '还不错~~性价比挺好,房间虽然小但是挺温馨的', '短评打分': 5}
{'短评内容': '经济实惠 没其他的了          地段相当不错', '短评打分': 5}
{'短评内容': '不错，就是单人间太小了，还有就是店面价格如果有会员卡比网上还便宜', '短评打分': 5}
{'短评内容': '公司边上的酒店，很方便，价格公道！就是没早餐不太方便.情侣房很温馨，哈哈，就是没试过！就是床太硬了，不舒服.', '短评打分': 5}
{'短评内容': '离公司很近的选择！酒店房间适合蜜月小夫妻，很温馨。目前没早餐时一大问题。价格适中，下回还会再定它！', '短评打分': 5}
{'短评内容': '还可以~挺干净的~就是床不太舒服~地方周围吃饭的很多~5曾德大床房~房顶是斜的~有时候会磕到脑袋~电视都不太清楚~', '短评打分': 5}
{'短评内容': '还行，呵呵》》》》》》》》》》》》》》》》', '短评打分': 5}
{'短评内容': '酒店环境还不错，就是单人间的床不是很舒服，附近交通也还是挺方便的。', '短评打分': 3}
{'短评内容': '很不错的酒店，位置很好，当时住的一层房间有点小，不过物有所值', '短评打分': 5}
{'短评内容': ' 环境不错', '短评打分': 3}
{'短评内容': '大床房的性价比不错，房间有点小，屋顶斜的。', '短评打分': 5}
{'短评内容': '离文慧桥北车站挺近的，交通便利。房间干净整洁，很温馨，很安静，并且设施齐全。价格在此地段已经是最经济实惠的了！！！', '短评打分': 5}
{'短评内容': ' 都挺不错的', '短评打分': 3}
{'短评内容': '很不错的酒店，地段我觉得很好，因人而异吧', '短评打分': 5}
{'短评内容': '这次元旦，又来到北京，还是选择了母校附近的金泰之家，还是在楼下吃了一顿小肥羊，依旧不错。', '短评打分': 5}
{'短评内容': '已经是第好几次住了，离家里近，比较放表，总体满意', '短评打分': 5}
{'短评内容': '条件还可以，卫生，舒适，总体性价比高，，，，，', '短评打分': 5}
{'短评内容': '非常好 地理位置 住宿环境 服务都非常棒，下次还来住', '短评打分': 5}
{'短评内容': '位置有点偏， 离公交车站1000米左右。 服务很好。 设施有点陈旧。', '短评打分': 5}
{'短评内容': '房间巨小，但很干净，洗澡也很方便。\n位置隐藏在小胡同里，不太好找', '短评打分': 5}
{'短评内容': '服务不错，就是位置不太好， 离公交车站要800米左右。 ', '短评打分': 5}
{'短评内容': '快捷酒店比较干净,会推荐给朋友的。就是没有窗', '短评打分': 5}
{'短评内容': '离着北京动物园比较近，就是位置不是很好找，需要多和前台沟通。', '短评打分': 5}
{'短评内容': '价钱还可以，房子比较整洁，在阁楼住别有一番感觉，但是床睡着不是很舒服', '短评打分': 5}
{'短评内容': '价格合理，就是位置不太好找，但是环境相对安静。是理想的经济酒店。', '短评打分': 5}
{'短评内容': '此酒店房间虽小，但是整洁舒适，洗澡和暖气都不错，所以我又续住了几天。', '短评打分': 5}
{'短评内容': '酒店房间和卫生间虽小，却干净清爽，无异味，特别是洗脸池和卫生间隔开，感觉还不错，因为距离我办事的地方很近，我就又续住了几天，只是有时水池等卫生搞得不够彻底，洗浴用品不是每天都放全，其它还较满意。', '短评打分': 5}
{'短评内容': '之前住过的，很不错，但是这次住的特价房条件不怎么好，门闩坏了，地板居然有两块是掉的，特别强调的一点是，关上厕所门后因为外面翘起的地板挡着，会经常打不开门！特别不方便，如果一个人住的话，小心被锁在里面……', '短评打分': 5}
{'短评内容': '房间干净，服务还可以，整体感觉不错，缺点是网速慢。', '短评打分': 5}
{'短评内容': '干净温馨实用，就是标准间稍显小了点', '短评打分': 3}
{'短评内容': '还行就是房间有点小', '短评打分': 3}
{'短评内容': '很好，干净', '短评打分': 3}
{'短评内容': '金泰之家（北京西直门）个人感觉还不错，价格也很低在北京才210的酒店估计也没有几家有这个条件了。', '短评打分': 5}
{'短评内容': '住的是158元的单人间，在三楼，光线充足。房子虽小但是五脏俱全，床很软，厕所和淋浴都很好用。在北京这个位置的酒店，这家已经是性价比很高了，真后悔没有早点找到这里！如果是常住的，可以在前台花30元办个会员卡，可以优惠更多。', '短评打分': 5}
{'短评内容': '连锁酒店 感觉干净 离办事的地方近 以后还会去住', '短评打分': 5}
{'短评内容': '酒店位置有些偏，打电话问了好几次才找到，设施很不错，很干净，隔音效果也还行，就是床有些硬，没睡好。', '短评打分': 5}
{'短评内容': '木质装饰 很温馨，结构也不错，就是房顶是斜的。', '短评打分': 3}
{'短评内容': '服务态度很好，位置还算可以，离西直门交通又20多分钟的路程吧。总的来说，住的很舒适。', '短评打分': 3}
{'短评内容': '服务态度很好，位置还算可以，离西直门交通又20多分钟的路程吧。总的来说，住的很舒适。', '短评打分': 5}
{'短评内容': '交通方便，设施且全。唯一的缺点就是没有电吹风。但是总而言之在那样的地段有这样宾馆性价比还是挺高的。', '短评打分': 5}
{'短评内容': '地方稍有点小，综合还不错。基础设施都有，比较适合学生。', '短评打分': 5}
{'短评内容': '酒店很干净，但是厕所很袖珍，位置不好找，幸亏有导航。', '短评打分': 3}
{'短评内容': '+酒店很干净 但是位置不好找 ', '短评打分': 5}
{'短评内容': '我住的是单人房，单人房有点小，住起来有点别扭，感觉有点憋，其他还好！', '短评打分': 5}
{'短评内容': '位置不错，环境也可以，是一间性价比高的酒店', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '住了好几次了，一直很好。经济实惠，屋子也很干净', '短评打分': 3}
{'短评内容': '房间木质感很强，显得很温馨，和温暖。但是床的弹簧太突出了，有待改进。', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': ' 金泰之家西直门店：很干净，就是单人房有点小，位置也不是太好找。', '短评打分': 5}
{'短评内容': '地理位置好，由于大门不临街，不太好找，建议临街的招牌做明显一点。', '短评打分': 5}
{'短评内容': '不赖ddddddddddddddddddddddddddddddd', '短评打分': 5}
{'短评内容': '这是一家高性价比的酒店，很实惠！下次还来！', '短评打分': 5}
{'短评内容': '还行，已经成了公司在北京出差的宿舍了……', '短评打分': 3}
{'短评内容': '还算不错，和这个价格相比，卫生比较干净，服务态度很好，顶下', '短评打分': 5}
{'短评内容': '位置有点难找，空间有点小，还好床很舒服，附近有大型超市', '短评打分': 3}
{'短评内容': '还可以，可惜大床房是斜顶的。有地方停车................', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '酒店的性价比不错，交通位置还行,xiwangtigaofuwuzhiliang', '短评打分': 3}
{'短评内容': '床很舒服，附近有商场买东西方便，但一开始比较难找，还有就是空间有点小。总体感觉还不错。', '短评打分': 5}
{'短评内容': '位置不错，交通便利，服务周到，价格合理，酒店周围有许多餐馆，很方便', '短评打分': 5}
{'短评内容': '单位离得近，价位又还可以，所以就只有这家了……', '短评打分': 5}
{'短评内容': '房间格局不好，显得卧室太小，总体感觉还不错，比较卫生，强烈推荐他们的半地下室房间，又大又舒适。', '短评打分': 5}
{'短评内容': '很不错，很干净！', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '卫生不好，打扫得不及时，角落也不扫，水杯和漱口杯从来没换过，剩水也不倒， 我每天都自己洗杯子。床单也要三天才换。\r\n规定的十二点退房，十一点后回房发现房卡已被锁死了，事先也没有任何通知。\r\n房费出现小数点后的零头，开发票也不给进上去，说是只能往少开不能往多开。谁都不会在意这一点钱，可是也够可气的了。何况我是在这里住了近二十天的顾客。\r\n房间信息也严重失实，网上公布的小房间十平米，实际6 平米都不到', '短评打分': 1}
{'短评内容': '第二次住了，还行。就是离公司很近。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还是挺方便的了\r\n满干净的\r\n郁闷的是电话不能用= =', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '地理位置不错，出门不远就有公交车，到地铁站有两站路。房屋虽然很小，但卫生条件不错，适合要求不高的旅客。服务态度挺好。', '短评打分': 5}
{'短评内容': '条件还可以 性价比还不错 卫生好 周边环境闹中取静 只是交通不是很方便', '短评打分': 5}
{'短评内容': '太小太小的房间了，本来以为快捷连锁怎么也都是如家或者7天那样的，没想到还会更小，洗澡的地方几乎是塞进去一个人不能转身，索性本人比较瘦，真担心身材魁梧一些的人怎么来完成里面的搓洗动作', '短评打分': 1}
{'短评内容': '设施一般，服务还行，不太干净！', '短评打分': 1}
{'短评内容': '总体还行，就是大床房窗户好小，不爽', '短评打分': 3}
{'短评内容': '还行吧。一般般。价格不好，可以接受了', '短评打分': 5}
{'短评内容': '推荐~', '短评打分': 5}
{'短评内容': '房间有点小，顶楼的阁楼好矮。卫生还不错。', '短评打分': 3}
{'短评内容': '房间有点小，卫生什么的都很好。', '短评打分': 5}
{'短评内容': '很不错的一家酒店~', '短评打分': 5}
{'短评内容': '位置不错，房间色调比较温馨，比较干净！大床房就是窗户较小，有点不爽', '短评打分': 5}
{'短评内容': '还不错，就是在周末入住的人比较多的时候，前台速度有点慢。', '短评打分': 5}
{'短评内容': '院子大门标志太不明显，不好找到。住过会再回头的。', '短评打分': 5}
{'短评内容': '房间面积有些小', '短评打分': 5}
{'短评内容': '住的还可以，服务也挺好的，就是1楼太潮了，偶尔还有点吵', '短评打分': 5}
{'短评内容': '性价比比较高，105订到的特价房很小，但是还挺舒服的，比较干净，位置不是很好找', '短评打分': 5}
