{'descr': '干净，卫生，服务态度也很好', 'star': 5}
{'descr': '服务和环境都不错，只是晚上睡觉的时候不知从哪里传来的排水的声音', 'star': 5}
{'descr': '位置很好，装修很新，服务不错，性价比高，值得推荐！', 'star': 5}
{'descr': '不错，很干净.就是房间有点小，交通便利，', 'star': 5}
{'descr': '房间小巧精致，位置在市中心，很不错，各方面感觉都还不错', 'star': 5}
{'descr': '位置在市中心地段，交通便利，房内暖气挺热的，布置也温馨，早餐不错。', 'star': 5}
{'descr': '干净，整洁，实惠，方便，是出差旅游的最佳选择', 'star': 5}
{'descr': '位置很好，装修也比较新，买东西很方便，房间也比较干净，值得推荐', 'star': 5}
{'descr': '地处市中心,交通方便,闹中取静;卫生条件较好,服务周到,实至名归.', 'star': 5}
{'descr': '挺好的，帮朋友第二次定了，以后如果有需要，应该还会再来的！', 'star': 5}
{'descr': '房间大，设施齐全、舒适。服务热情有效率。美中不足的是没有免费茶叶，隔音效果一般。总体来讲性价比较高，值得入住。', 'star': 5}
{'descr': '位置非常好\u3000核心商圈内\u3000如家的服务没得说好棒\u3000我最喜欢就是如家的大床了\u3000一个人滚来滚去\u3000很爽', 'star': 3}
{'descr': '方便~~购物，出行都很方便。新建的酒店，各种设施都很新，很干净。不错！', 'star': 5}
{'descr': '两瓶水还真不够，还得烧水喝。早餐该直接包括在里面就好了，天天买票真麻烦。\n整体感觉还不错，房间干净，装修还不错。我住的是商务大床，不知道其他房间怎么样哦。总得说：不错。', 'star': 5}
{'descr': '挺好的挺温馨的…就是每天就给两小瓶水…不够喝…然后在要水就得要钱…希望以后能够提供免费的水…', 'star': 3}
{'descr': '被子不舒服，房间还可以，喜欢大大的窗户！', 'star': 5}
{'descr': '很不错的酒店，位置好。。。。。。。。。。。。', 'star': 5}
