{'短评内容': '网上订的标准间 到酒店没有了  给换成三人间 空调也没有   最恶心的是房间一点不隔音   一大早工作人员还在房间外面大声喧哗', '短评打分': 3}
{'短评内容': '经过一段辛苦的旅程之后，终于到达大理，入住玉兰宾馆，卫生条件还可以，谈不上豪华，作为旅途小住还是可以的，郁闷的是只订了一天，国', '短评打分': 5}
{'短评内容': '房间挺干净的，服务态度也很好，老板娘人很好，还带我们去了一家超好吃的（有肥胖硕大老鼠的）饭店~~还有，非常谢谢老乡了~~~下次去大理还会住这里。唯一缺点就是离古城有一点点远。', '短评打分': 5}
{'短评内容': '很有白族风格的地方，房间很干净，老板也很热情滴说~~只可惜这次是出差，时间短，没来得及去老板介绍的地方~下次去还住那里~', '短评打分': 5}
{'短评内容': '还行，就是离古城稍为有些远。服务态度不错', '短评打分': 5}
{'短评内容': '宾馆老板娘非常热情，给人家的感觉。感觉宾馆其实一家人都很热情，感觉很好！如果再去大理还会选择那里！', '短评打分': 5}
{'短评内容': '这个宾馆太好了，价格公道，设施良好…服务态度不错，推荐呀', '短评打分': 5}
{'短评内容': '当地白族家庭式的院落很有特点，老板一家人都很好，老人还和我们在一起弹民族乐器唱歌，离洋人街很近，店外面就有很多家饭馆，吃饭很方便。', '短评打分': 5}
{'短评内容': '除了位置比较偏外，其他真是比较满意，尤其是坐在阳台上就能看到沧山，到露台就能看到洱海，房间干净，整洁。服务态度也非常好！下次来还住这里！', '短评打分': 5}
{'短评内容': '能在早餐加上一份鸡蛋，就是好上加好了，早餐新煮的稀饭不错。感谢赵总及宾馆的全体员工。去大理就住玉兰宾馆。。。', '短评打分': 3}
{'短评内容': '建议早晨能加一个鸡蛋。也不至于去外面再买，一个鸡蛋不过0.50钱的事。。感谢赵总冒雨送我们上车。。。。。。', '短评打分': 5}
{'短评内容': '一般啦，性价比差点', '短评打分': 5}
{'短评内容': '入住豪华房，个人感觉如下： 1）整洁、干净，作为一家家庭式宾馆，卫生工作比较到位； 2）服务员服务热情，有求必应； 3）位置安静，虽然坐落在大马路旁，但并不吵闹。 4）门口就是2路车的站牌，到古城区很方便，只需3~5分钟。 结论：很满意。 （老板娘自家腌制的豆酱真好吃！！！） \r\n', '短评打分': 3}
{'短评内容': '入住豪华房，个人感觉如下：\r\n\r\n1）整洁、干净，作为一家家庭式宾馆，卫生工作比较到位；\r\n2）服务员服务热情，有求必应；\r\n3）位置安静，虽然坐落在大马路旁，但并不吵闹。\r\n4）门口就是2路车的站牌，到古城区很方便，只需3~5分钟。\r\n\r\n结论：很满意。\r\n\r\n（老板娘自家腌制的豆酱真好吃！！！）', '短评打分': 5}
{'短评内容': '老板特别热心。', '短评打分': 5}
{'短评内容': '大理玉兰宾馆很温馨，老板娘人很好很热情。', '短评打分': 5}
{'短评内容': '宾馆的服务是非常好的~因为新开时间不长，所以很多设备还不齐，我要用网线就立即给我调了一间房，宾馆的房屋建筑很有白族民居特色，就是三坊一照壁，布置的也很雅致，老板人非常好，虽然说话有点点听不懂，但是非常热心，很喜欢这家宾馆。', '短评打分': 5}
{'短评内容': '啥也不说了。有点期望过高了。', '短评打分': 1}
{'短评内容': '附近的餐饮比较少，用餐不是很方便.酒店的服务态度很好.硬件和软件服务都比较到位，总得来说还可以.', '短评打分': 5}
{'短评内容': '这里位置很好，距离大理古城和三塔比较近，离码头也不远。宾馆卫生条件也很好，被褥干净，房间安静。宾馆经理和工作人员很亲切，帮我们购参观门票和船票，省了不少钱。我们虽然仅住了一天，但印象非常好，临别竟有点恋恋不舍。下次有机会去一定还住这里。早餐品种有点少，如果有鸡蛋就更好了。', '短评打分': 5}
{'短评内容': '环境很好，老板也很热情！还有免费早点吃。离古城比较近，非常满意！', '短评打分': 5}
{'短评内容': '性价比较高，车还可停在专门的停车场，安全性较高，这点很满意！！', '短评打分': 5}
{'短评内容': '老板很热情，房间设施还不错！离古城也不是很远！', '短评打分': 5}
{'短评内容': '地理位置还是很不错的。它的宾馆属于大理地方特色的建筑。很是有地方特色', '短评打分': 5}
{'短评内容': '宾馆十分整洁，距离大理古城大约500米，对于游览还是十分便利的', '短评打分': 5}
{'短评内容': '新开业的宾馆，简洁干净，店家非常热情，宾至如归，强烈推荐', '短评打分': 5}
{'短评内容': '各方面都不错，就是由于新开不能刷卡不太方便，屋子里没有电话，找前台只能自己去找', '短评打分': 5}
{'短评内容': '总的来说还是比较满意，就是用空调要加钱不是很让人满意', '短评打分': 5}
