{'短评内容': '名不副实，性价比很低！典型的景区酒店。', '短评打分': 2}
{'短评内容': '房间很大，卫生也很干净就是隔音效果不太好，总体来说还可以接受', '短评打分': 5}
{'短评内容': '就在速8酒店隔壁。如果你不是对服务比较敏感的人，单论硬件的话，跟速8的价格比起来划算多了。', '短评打分': 5}
{'短评内容': '酒店很新，硬件挺好的，不过服务很一般。我们订的商务标间很宽敞，还有配电脑。早餐无比难吃，而且只供应到8点半。', '短评打分': 5}
{'短评内容': '什么都挺好，就是早餐实在差的离谱，也许是春节的原因吧', '短评打分': 5}
{'短评内容': '相信在下个月婺源的油菜花开了，这个酒店就会很紧张了', '短评打分': 5}
{'短评内容': '网速很快，而且服务员态度热情，就是大堂走进去觉得很冷', '短评打分': 5}
{'短评内容': '还算整洁为生，空调也很好，由于是春节，所以人很少，但总体感觉不错。', '短评打分': 5}
{'短评内容': '房间卫生条件还可以，在婺源来说位置还算比较好找不过离市区稍微偏些，服务态度一般化，价格还算可以。', '短评打分': 5}
{'短评内容': ' 淋浴水不热', '短评打分': 5}
{'短评内容': '卫生倒是挺好的，餐饮稍微差了一些，位置也是挺偏的吃饭不是很方便出门就必须打车，价格的话一般。', '短评打分': 5}
{'短评内容': '一家设在婺源县郊的新酒店，我订了350元的豪华标房（40平），要求加一张床，没有多收我的费用，设施只能达到三星的水平了，但是设在去婺源东线景点的必经路上，在旅游局对面，交通很方便，到博物馆才一点路。', '短评打分': 5}
{'短评内容': '服务不错，位置不错，价格一般，食物可以可以，可以入住，去、', '短评打分': 3}
{'短评内容': '还不错，位子好，去景点快，周边环境有点吵，在马路旁，服务员态度热情很周到，价格比较公道', '短评打分': 5}
{'短评内容': '酒店设施摆放独到，方便齐备，房间专修典雅别致，庄重不失民俗，平庸不失精致', '短评打分': 5}
{'短评内容': '以婺源当地特色菜为主，兼有杭帮菜和湘菜的特色餐点，在旅游的时候最需要的就是游览过后有一桌好菜以解饥肠，首选推荐哦', '短评打分': 5}
{'短评内容': '地处旅游区附近，可步行更好的领略名宿风光，服务态度认真负责，富有民俗风味', '短评打分': 5}
{'短评内容': '非常滿意臺前服务,我会推荐此酒店.', '短评打分': 5}
{'短评内容': '不错的酒店，早餐不咋滴', '短评打分': 5}
