{'短评内容': '好好', '短评打分': 5}
{'短评内容': '房间小很拥挤，家具陈旧，床铺很矮，卫生间小，房间味道重，性价比低。这类宾馆在大城市只值150元左右。', '短评打分': 1}
{'短评内容': '酒店卫生环境和周围环境都不错，服务态度也很好，性价比高！有机会还会再来.', '短评打分': 5}
{'短评内容': '酒店环境非常好', '短评打分': 3}
{'短评内容': '环境不错挺干净。第一次网上订房满意', '短评打分': 3}
{'短评内容': '只能说一分钱一分货吧。性价比中性。总体还过得去，干净，在市中心。但价格在一个县级市来说也是贵的。。。。。。', '短评打分': 5}
{'短评内容': '酒店卫生环境和周围环境都不错，服务态度也很好，性价比高！有机会还会再来。', '短评打分': 3}
{'短评内容': '酒店前台接待很热情主动,房间很干净,确实如其他客人所评论的那样.稍有不足的是早晨退房时只有一位服务员接待,当时同时有几批客人要退房,所以等待时间稍长.建议酒店在早晨8点到10点退房高峰期间多安排些人手.', '短评打分': 5}
{'短评内容': '不错,房间很大, 也很干净, 出行比较方便.', '短评打分': 5}
{'短评内容': '房间设计合理，空间比较大，就是隔音效果不好，总体很值得去！', '短评打分': 5}
{'短评内容': '环境不错，以后还会选择，价格适中\n环境不错，以后还会选择，价格适中', '短评打分': 5}
{'短评内容': '环境不错，以后还会选择\n环境不错，以后还会选择', '短评打分': 5}
{'短评内容': '4楼房间的味道实在太大，晚上还被虫子咬了，手腕肿了三天还不消。最可恨的那个淋浴房，1平米不到，洗澡抬头就能撞到墙上，低头就能碰到玻璃门。', '短评打分': 1}
{'短评内容': '酒店布置有特色.很现代.价格适中.不错!', '短评打分': 3}
{'短评内容': '房间设施不错，物有所值！服务态度也不错，下次出差或旅游还住南苑。', '短评打分': 5}
{'短评内容': '酒店比较旧，总体不如锦江之星和汉庭，其实只要铺地板就可以，铺了地毯反而脏兮兮的感觉。晚上对门喝醉酒骂街找总台也没人管。实在是奉化没有其他快捷酒店没办法选它了。', '短评打分': 1}
{'短评内容': '酒店不错，比较干净整洁，但是我去的时候9月份，怎么热空调不能打', '短评打分': 5}
{'短评内容': '设施不错，性价比也不错。在奉化市中心部分，所以交通比较便利。服务员服务太不蛮不错的，下次来奉化应该会继续来这。', '短评打分': 5}
{'短评内容': '特别好 非常好 真的很好 很大 房间很豪华 还很便宜', '短评打分': 5}
{'短评内容': '地理位置相当好，在步行街入口处，交通也很便利，前台服务态度很好哦，房间我很满意，以后还要住那个房间，希望房价包含早餐就更好了！总之，值得推荐！', '短评打分': 5}
{'短评内容': '  南苑e家商务连锁酒店（奉化店），服务态度还不错。', '短评打分': 5}
{'短评内容': '房间不错，住的是最高层的，就是浴室水有点小，其他的很OK啦', '短评打分': 5}
{'短评内容': '酒店附近缺乏吃饭的地方，房间里有蚊子，不舒服', '短评打分': 1}
{'短评内容': '在南苑e家众多连锁店中,算是比较好的.在奉化也算可以了,都知道的.下次去还会住那边的.', '短评打分': 5}
{'短评内容': '不错！推荐一下！', '短评打分': 3}
{'短评内容': '停车场位置充足。房间蛮干净的。就是免费的洗漱品少了电。', '短评打分': 5}
{'短评内容': '感觉非常的贴心，每次；房间干净，前台文员非常热情，还会入住', '短评打分': 5}
{'短评内容': '设施比较新，服务也不错，停车场也很大，值得推荐', '短评打分': 5}
{'短评内容': '环境位置都比较好，房间安静，服务人员热情，下次还会入住。', '短评打分': 5}
{'短评内容': '地理位置不错，服务员态度也很好，住的很舒适。不过房间内地毯很脏，赤脚走到地上脚底很脏。原本应该是驼色的地毯现在都变成黑色了，我觉得地毯会吸附杂味，一进房间的时候有比较重的味道（估计是烟味）。据说这家连锁店是南苑E家的第一家连锁店，看来也有些年头了，室内的地毯是不是到了该换的时候了呢？', '短评打分': 5}
{'短评内容': '服务态度不错，房间较宽敞，如果房间费用保含早餐那就更好了。', '短评打分': 5}
{'短评内容': '比较好', '短评打分': 3}
{'短评内容': '感觉不错，房间也干净，早餐好，下次还会住。', '短评打分': 5}
{'短评内容': '不错啊，值得推荐，干净，整洁。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店比较干净，总台服务很好，设施一般，停车场地小了点，不过性价比还可以。', '短评打分': 5}
{'短评内容': '已入住\n', '短评打分': 3}
{'短评内容': '好地方', '短评打分': 3}
{'短评内容': '前台服务不错，房间还可以的,早餐还行吧，下次还会去的', '短评打分': 5}
{'短评内容': '干净，位置在市中心，感觉不错。服务态度也不错，赞一个。', '短评打分': 5}
{'短评内容': '酒店干净，房间很大，不错。入住的大床房，1.8米的床。就是中央空调制热效果不是很好', '短评打分': 5}
{'短评内容': '干净、方便，价格再优惠点就更好了~\n停车啊什么的很方便。', '短评打分': 5}
{'短评内容': '酒店位置很好，硬件设施还过得去，就是面积比较小，而且价格稍贵了点', '短评打分': 5}
{'短评内容': '房间的格局挺好的，卫浴也满意，这个价钱还是值得的。', '短评打分': 5}
{'短评内容': '豪华单间可以看一下风景，出门就是步行街，交通方便，就是无早餐。', '短评打分': 5}
{'短评内容': '性价比不错的酒店，附近也有麦当劳和KFC。', '短评打分': 5}
{'短评内容': '位于市中心，购物、小吃在附近，很方便，设施不错，环境好，入住后感觉很安静', '短评打分': 5}
{'短评内容': '地点不错！宾馆设施也新。\r\n就是隔音效果稍微差了点，可能是靠着道路的原因吧。', '短评打分': 3}
{'短评内容': '+很不错！', '短评打分': 5}
{'短评内容': '总体感觉还行，但是性价比感觉不够高，下一次不一定会选择入住', '短评打分': 3}
{'短评内容': '先说下优点：房间、卫生间比较干净！\r\n缺点：网速很慢（下载只有200K/S左右）、浴室洗澡水很小、早餐品种非常之少！牛奶居然是奶粉冲的！水果也是最小的那种盘子，一个人都不够吃！', '短评打分': 1}
{'短评内容': '总体尚可，毕竟要对得起其等级。无早餐赠送心理上不好受，其实也就10元一个人。', '短评打分': 5}
{'短评内容': '已经住过三次了，地理位置不错，在奉化步行街的边上。房间让人有住家的感觉，蛮亲切，这次的大床房的自动遮阳布很人性化也很可爱，卫生设施也很到位，最喜欢中央空调，这是小宾馆做不到的。\r\n下次可能还是会住南苑E家的，就是价格有点小贵，比奉化大酒店还要贵一点哦。', '短评打分': 5}
{'短评内容': '走廊里有难闻的味道', '短评打分': 1}
{'短评内容': '地理位置不错，也听安静的。周围吃饭办事都比较方便，超出我的期望值，对得起这个价格', '短评打分': 3}
{'短评内容': '还奉化来说这个酒店还算可以的，超过期望值，比想象中好一些，交通比较方便，硬件设施也对得起这个价格。', '短评打分': 5}
{'短评内容': '这家酒店我觉得还行，在同一类型的酒店中环境还不错，位置也比较方便，值得推荐\n\n', '短评打分': 3}
{'短评内容': '入住前已经要求安静及无烟，所以入住后感觉还不错，不过还是有点点味道。整体设计还比较时尚，就是二百多的价格不带早餐，有点说不过去。', '短评打分': 5}
{'短评内容': '我住的是个大床房，整个的环境服务都挺不错的，但是我觉得他里面的设计比较适合情侣，他卫生间和浴室的隔断都是透明的，我不是很习惯，其他方面都挺不错，价格也可以接受。', '短评打分': 5}
{'短评内容': '不好的地方就是烟味太重和隔音太差。', '短评打分': 5}
{'短评内容': '酒店比较实惠，价格适中位置方便，服务和环境都比较不错。', '短评打分': 5}
