{'短评内容': '若在标准间加床没地方', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 3}
{'短评内容': '地理位置不错，就是价格不菲，屋子太小，其他都能接受', '短评打分': 1}
{'短评内容': '服务良好', '短评打分': 3}
{'短评内容': '位置比较好，临近亚运村，旁边就是地铁站。房间干净，各方面配套设施都还不错。', '短评打分': 5}
{'短评内容': '性价比挺高的，环境很好。交通很便利，去虹桥机场那边还不到20分钟。周边很多购物和吃饭的地方。', '短评打分': 5}
{'短评内容': '服务态度生硬，价格偏高，其他还好！', '短评打分': 3}
{'短评内容': '一般般，但是离地铁实在是近，不过也不是太差 设备有些差，第一个房间暖气有问题 还不给退', '短评打分': 1}
{'短评内容': '房间还行 就是宾馆有些老旧了 小冰箱里面竟然什么都没有，要小冰箱有什么用', '短评打分': 5}
{'短评内容': '酒店是挂三的，一家性能价比都不错的酒店，唯一不足的地方就是酒店的备品和三星的酒店不符，倒像是经济型酒店的备品。而且跟酒店到啤酒杯，给提供的是漱口的水杯。很可笑。', '短评打分': 5}
{'短评内容': '酒店设备陈旧。卫生间小而且有很重的下水沟的臭味。', '短评打分': 1}
{'短评内容': '交通便利  价格合理   就是房间设施有些旧了。', '短评打分': 5}
{'短评内容': '服务态度好，设施完善，性价比较高，交通方便，很好！下次还要选择牡丹宾馆。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '到北京出差，只住了一个晚上。交通十分方便，就在地铁边上。房间还算整洁，服务也还不错。', '短评打分': 5}
{'短评内容': ':P', '短评打分': 3}
{'短评内容': '方便，地理位置好！\n周围什么都有，吃饭的地儿特别多！不错', '短评打分': 5}
{'短评内容': '酒店设备陈旧。卫生间小而且有很重的下水沟的臭味。 价格还可以。地点也不错， 地铁共交都方便。', '短评打分': 1}
{'短评内容': '给别人订的,他说还可以!', '短评打分': 3}
{'短评内容': '老牌子酒店，性价比很高，位置也好找。推荐。                                              ', '短评打分': 5}
{'短评内容': '＋交通比较便利。', '短评打分': 3}
{'短评内容': '酒店不错，卫生干净，交通很方便，够安静，没什么噪音，服务比较周到，服务员比较热情。美中不足就是房间小了点，没有网上说的那么大。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '帮朋友订的，应该还好吧，000............', '短评打分': 5}
{'短评内容': '交通方便，但房间较小。网上说房间23平方米，但实际只有15平方米左右', '短评打分': 5}
{'短评内容': '条件还可以,就价格高一些. 不过在北京还算是可以的.值得一住', '短评打分': 5}
{'短评内容': '给客户定的，去北医三院很方便，老牌宾馆，设施不新，但服务没问题。', '短评打分': 5}
{'短评内容': '一般吧，有点贵。服务一般，房间也不是很好', '短评打分': 1}
{'短评内容': '交通不错，价格在北京这个地段还算可以接受，住的单人豪华房间有股霉味，浴巾床单被套比较旧，看上去不是很干净，和普通房间没有什么差别', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '又一次续住，各方面服务还不错。就是房费和礼品部的东西价格略有一点高。总体上还值得推荐。', '短评打分': 5}
{'短评内容': '交通方便，靠近地铁站。不过单人间348的价格只能说可以接受，和很多经济型商务酒店比，竞争力不算很强。卫生、餐饮等方面还可以。', '短评打分': 5}
{'短评内容': '宾馆服务员都很好。房间干净。坐地铁太方便了。只要三分钟。', '短评打分': 3}
{'短评内容': '房间 走廊霉味太大  主要是因为地毯时间长久 需要更换', '短评打分': 1}
{'短评内容': '交通便利，硬件软件都不错。但介绍酒店的说明中有桑拿浴室，本想去蒸一下汗，但一问，并没有，郁闷。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '朋友的手机充电器落在房间，谢谢服务中心帮助保存 。', '短评打分': 5}
{'短评内容': '酒店房间太小 卫生间设备简陋 毛巾感觉不干净 不过床还是蛮舒服得', '短评打分': 3}
{'短评内容': '各方面都不错', '短评打分': 3}
{'短评内容': '枕头很舒服有一软一硬可选', '短评打分': 3}
{'短评内容': '酒店很不错  住过多次  会推荐给朋友  下次还会在住', '短评打分': 5}
{'短评内容': '宾馆还好  就是贵点', '短评打分': 3}
{'短评内容': '交通方便、周围餐饮非常丰富。很适合中等价位的商旅入住。', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 3}
{'短评内容': '4月14日介绍朋友入住的。位于牡丹园地铁站，离翠微商厦不远，从花园东路上四环去机场很方便。卫生、服务都不错。性价比居中，早餐要外加18元。', '短评打分': 5}
{'短评内容': '地理位置优越,交通便利.房间宽敞,用餐也很方便', '短评打分': 5}
{'短评内容': '条件不错，性价比很高，位置不错', '短评打分': 3}
{'短评内容': '酒店不错 交通还算方便  最近常住 下次再来', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店交通方便  整体感觉不错 最近经常入住\n', '短评打分': 5}
{'短评内容': '酒店不错  交通方便  下次还会再住 也会推荐给朋友', '短评打分': 5}
{'短评内容': '主要是我妈妈跟他朋友住的还算不错\n不过最近在装修', '短评打分': 5}
{'短评内容': '感觉不怎么样，我肯定不会是牡丹宾馆的回头客。', '短评打分': 1}
{'短评内容': '离地铁非常近  条件一般  价格便宜  性价比还可以', '短评打分': 5}
{'短评内容': '已入住6023和3022两天', '短评打分': 3}
{'短评内容': '地理位置还算好。不过宾馆有点旧，卫生一般，服务也一般。', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '服务不错，环境也不错', '短评打分': 3}
{'短评内容': '我们已入住,服务可以,条件也行', '短评打分': 3}
{'短评内容': '酒店还可以', '短评打分': 3}
{'短评内容': '房间里挺干净的，电视、空调都有，还能上网，感觉挺不错的。', '短评打分': 3}
{'短评内容': '酒店位于街道比较繁华地带，周边购物吃饭很方便，交通也很便利。', '短评打分': 3}
{'短评内容': '房间布局很合理，让人感觉很整洁，服务上热情周到，位置也很好，出行交通很便利的。', '短评打分': 5}
{'短评内容': '酒店不是很新了，但是卫生做得还不错，基本设施都有，位置很好，交通购物很方便的。', '短评打分': 5}
{'短评内容': '卫生方面还是相当不错的，这点很满意，服务上也挺热情，感觉挺亲切的。', '短评打分': 3}
{'短评内容': '位置非常不错，周边有美食街，大商场，交通方面也很便利。性价比方面还算不错。', '短评打分': 5}
{'短评内容': '卫生很好，每天都及时打扫，位置很好，离地铁站挺近，打车乘公交也挺方便的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '前台服务还不错，办事效率挺快的，卫生方面也还不错，位置很好，出行很方便。', '短评打分': 5}
{'短评内容': '性价比还是蛮高的.位置还好方便出行，其它各方面条件也很好，综合水痘很好.', '短评打分': 5}
{'短评内容': '服务态度很热情，处理事情很积极，设施挺齐全，就是有些陈旧，整体感觉性比还可以。', '短评打分': 3}
{'短评内容': '房间大小还成，卫生打扫的很好，设施有些陈旧，服务上还是很到位的。', '短评打分': 3}
