{'短评内容': '每次去几乎都住这里，环境很好', '短评打分': 5}
{'短评内容': '离海天酒店很近的，千万不要打车哈，我就被烧了....位置稍显偏，但还是不错的，窗外是一条小路，可以看见远处的红房子，离海水浴场很近，酒店很干净，但前台是的服务员动作很慢的..', '短评打分': 5}
{'短评内容': '酒店的位置很好找，就在一疗公交车站30米以内的位置。距离三浴也只有区区100米。早饭么，不提了，毕竟不是60一位的美式早餐。好吧。很好的酒店。', '短评打分': 5}
{'短评内容': '还行，就是被蚊子咬了。感觉服务很热情，早餐一般，希望能多提供几家旅行社以共选择。\n\n\n\n\n\n\n\n\n\n\n', '短评打分': 5}
{'短评内容': '先说一下这个酒店的优点：\n1、位置很好：离海水浴场很近，三浴基本上5分钟就可以走到，而且路上很幽静阴凉；可惜的是三浴今年都是海草，远远看去就像是到了绿色的草原，没办法游泳，所以...;\n2、交通方便：出门转到香港西路上公交车很多，大多数的景点都可以到达，从机场来座701到海天大厦，走路20分钟可至；不过，酒店不负责给叫出租车，门口的出租车都是希望你能去崂山的；\n3、环境安静：不靠大马路，所以很安静', '短评打分': 5}
{'短评内容': '参加牡丹卡的活动，打了9折，性价比还是不错的，离海边很近，走路10分钟就到，酒店在公园旁，空气好，周围交通方便，闹中取静。就是晚上想加床被子居然没有。', '短评打分': 5}
{'短评内容': '酒店就在国内公园旁边，比较安静，空气也好，离海边很近，走路10分钟就能到。离公交站台也近，往五四广场、石老人方向、栈桥火车站方向、台东方向都有直达车。就是酒店附近没什么有特色的吃饭的地方。房间嘛就是如家一贯的风格，还是不错的。', '短评打分': 5}
{'短评内容': '位置不错，交通便捷的同时也不失闹市中的静土。离海边很近。', '短评打分': 5}
{'短评内容': '，酒店设施一般，价格略显高了点', '短评打分': 3}
{'短评内容': '旅店地理位置很好', '短评打分': 3}
{'短评内容': '位置非常好，去八大关、中山路、五四广场都很方便。门口就是太平角公园，适合散步。商务大床间，房间大，设施什么也还可以，和其他如家比，没有那种局促感。就是自助早餐性价比不高。', '短评打分': 5}
{'短评内容': '交通很方便，位置也很好，服务员态度都不错，就是有点吵', '短评打分': 5}
{'短评内容': '位置很好，真的离八大关以及海水浴场很近，也很安静', '短评打分': 5}
{'短评内容': '位置好，环境安静，离第三海水浴场、朗园酒吧十分近。', '短评打分': 5}
{'短评内容': '第一天入住的时候，因为是周六，人多，给我安排了阁楼，屋子特别小，还有一般的屋顶是斜的，老公几次碰到了头，窗户提别的小，像是一个监狱的小房子，生怕你跳楼跑了；而且周六的价格比平时还贵很多，感觉挺不值的；\n周日中午给换了房间，到了三楼的商务大床，房间还算不错，至少窗户很大，屋子很敞亮；\n房间的电视挺小的，还是老式的那种；\n优点：地段很好，因为周围都是老干部腐败的地方，所以环境很不错，安静，闲适，出门五', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '交通方便，价格合理。下次到青岛还住这儿。', '短评打分': 5}
{'短评内容': '不行5分钟就到海滨，八大关等景点也很近，交通很方便。', '短评打分': 5}
{'短评内容': '位置相当好，离海边很近，附近就是八大关，而且交通方便；就是早餐一般', '短评打分': 5}
{'短评内容': '环境不错 很安静,服务也很周到,工作人员都很热情', '短评打分': 5}
{'短评内容': '环静很好', '短评打分': 3}
{'短评内容': ' 阳台挺大的。', '短评打分': 3}
{'短评内容': '服务态度还不错,就是隔音效果不好,装修比较陈旧', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '位置不错，服务不错，五楼是阁楼比较压抑，虽然提示小心碰头我还是碰到了。', '短评打分': 5}
{'短评内容': '一开始入住的房间又一股臭臭的味道，后来换了房间还好一些', '短评打分': 1}
{'短评内容': '因为酒店不沿街，前面又是太平角公园所以晚上很安静，更方便的是离海边、八大关都很近，公车也方便', '短评打分': 5}
{'短评内容': '想象不到的满意，紧靠大海，观景方便，交通便利，而且房间陈设干净整洁，服务周到，房子面积也大，下次去还住这里，真是太好了！', '短评打分': 5}
{'短评内容': '酒店地理位置非常好，地处青岛八大关内，房间也比较干净，就是单独付款的12元/人的早餐太差。', '短评打分': 5}
{'短评内容': '位置还是比较好的，在新城旧城中间，到哪里打车都不是很贵，离八大关很近，可以步行。只是不在大路上，晚上黑走路还是有点害怕', '短评打分': 5}
{'短评内容': '地理位置非常好，靠近海边，紧挨八大关，每次来青岛都会想要住这里~', '短评打分': 5}
{'短评内容': '服务确实不错，房间也挺大，靠海边近，就是早餐比较少，还要去一楼拿票，再下负一楼吃，有点麻烦，应该改成跟其他如家那样用房卡，不用票。', '短评打分': 5}
{'短评内容': '超级好的位置，风景也很给力，可惜天气还有点冷，要不晚上在海边玩玩太爽了，宾馆配置和其他如家一样，夏天必须住这，希望不要涨价', '短评打分': 5}
{'短评内容': '在八大关里面，离各个景点都很近，是到青岛旅游的最佳选择。餐厅人手较少，晚上六点点餐，六点半才能吃上。不过我连续住了四天，房间内的牙刷、毛巾等不及时更换，跟前台沟通后才补充更换，一个男服务员还颇有微词，不爽', '短评打分': 5}
{'短评内容': '服务态度超级好；员工人人见你都会想你致意；真的是不多见的！\n餐厅早餐物美价廉；\n酒店位置在青岛的风景名胜八大关里面，自不必多说。\n唯一感到不悦的是，晚上去报到的时候，给的两个大床房间都是边边角角的房间。\n可见 预定其实只能保证你当晚有房间，而且就是比牌价便宜个5块10块的，呵呵。至于房间位置说了也白说的。', '短评打分': 5}
{'短评内容': '这家酒店非常好。位置挺不错的。我和老婆在这里住了三天，很时候旅游人士入住，唯一不好的就是附近没有什么吃的。', '短评打分': 5}
{'短评内容': '酒店位置很好，离海边和八大关都很近，酒店员工服务态度也很好，总之很满意', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '非常好的位置，特别是朝南的房间有个公园，太棒了，当然价格不便宜。', '短评打分': 5}
{'短评内容': '非常好的位置，特别是朝南的房间有个公园，太棒了，当然价格不便宜', '短评打分': 5}
{'短评内容': '这次一共订了2间，朋友觉得离海边很近，就是餐厅不是最满意。', '短评打分': 5}
{'短评内容': '第2次住了，挺不错的。就是下面餐厅如何弄的亮堂些，提供的食物再多些就更加完美了。', '短评打分': 5}
{'短评内容': '简单舒适,价格合适.地理位置极佳,离海相当的近阿', '短评打分': 5}
{'短评内容': '周边环境很好，交通便利，几乎就在海边。', '短评打分': 3}
{'短评内容': '入住价格比网上预定的价格多了5元', '短评打分': 3}
{'短评内容': '酒店很不错，前台人员服务好，环境周围也很好。', '短评打分': 5}
{'短评内容': '没有传说中的那么好。较旧。晚上来说相对比较偏僻。。。', '短评打分': 1}
{'短评内容': '总体还可以，早餐很好，交通也方便，是一家不错的酒店，已经住了多次啦\n', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '位置非常好 很干净 出门不到二十分钟就是 海水浴场 风景很好 ', '短评打分': 5}
{'短评内容': '房间还行价钱略有点贵.前台服人员态度差.感觉好像我欠她钱', '短评打分': 5}
{'短评内容': '店员服务超好，离海很近，很安静 空气也很好', '短评打分': 3}
{'短评内容': '这家如家总体还是很不错的！卫生好，服务也到位，位置极佳！是旅游者不错的落脚点！', '短评打分': 5}
{'短评内容': '服务员态度非常好，离海水浴场也很近日，很安静，值得去住', '短评打分': 5}
{'短评内容': ' 入住', '短评打分': 3}
{'短评内容': '点评晚了，不过房间还是很满意的，比较干净，服务中肯，距离海边较近，适合度假~~！', '短评打分': 3}
{'短评内容': '位置很好，出行比较方便；紧邻太平角和八大关，门前还有一个小公园，而且离第三海水浴场只有几百米，环境很能代表青岛的特色。', '短评打分': 5}
{'短评内容': '第二次入住了，离海边很近的。出门5分钟有公交车就可以到你想去的地方，还算很方便。就是本身酒店自己的餐厅东西不是很好吃，要是想出去吃的话，周围是没有。总的来说还是不错的，适合家庭出游时入住。', '短评打分': 3}
{'短评内容': '酒店地理位置极佳，服务很好！酒店后门有一家菜市场，可以买到活的海鲜，让酒店加工一下，很鲜美的！', '短评打分': 3}
{'短评内容': '整体来说还算可以吧，位置不错，就是把我们分成一楼一个房间，五楼一个房间，第二天把我们调到一个楼层了，可换的那间房好像上面是个机器，一晚上噪音很大，根本没法睡觉，对于出去旅游的人来说，休息是多么重要啊，希望能有所改进。', '短评打分': 5}
{'短评内容': '酒店位置很好，服务也很好！', '短评打分': 5}
{'短评内容': '酒店的设施服务么...反正如家都一样，不用多说的。本来定的是标准间，后来换成了数码大床间，只加20元每晚就行了，没背笔记本很明智，哈哈！\r\n位置不错，出门走不多远公交车很多，到哪儿都很方便，另外青岛打车很便宜，前提是坐起步价7块的。\r\n酒店门口就是太平角公园，早晚在太平角的小路里散步很惬意，走着去第三海水浴场，不过太晚了小心迷路，另外附近有个朗园酒吧，很有情调，不过有点小贵，食物一般，吃个气氛。\r', '短评打分': 5}
{'短评内容': '服务环境都非常好  周围交通方便 也很安静', '短评打分': 5}
{'短评内容': '给亲戚订的,总体很满意,周边风景很好,还有个海鲜市场可以买回来让酒店餐厅加工,性价比很高!', '短评打分': 5}
{'短评内容': '优势就是离八大关景区非常近，周围的环境很不错，但是吃饭和逛街是不方便的，而且就如家本身也没可推荐处。\n～倪斌～', '短评打分': 5}
{'短评内容': '位置不错，比较干净,靠近公园和浴场。第一次住如家，以后也会考虑。', '短评打分': 5}
{'短评内容': '环境还好 交通比较便利', '短评打分': 3}
{'短评内容': '离第三海水浴场很近，走过去很方便。周围环境还蛮好的，走到八大关也需要十分钟，交通很方便，去浮山所的家乐福购物、去栈桥火车站都有公交车直达。房间要住楼上的，入住时还是要开开窗通风，不然会感觉房间里有点点霉味。', '短评打分': 5}
{'短评内容': '不错 交通比较便利 条件也还可以  只是七月份旅游旺季价格稍贵', '短评打分': 5}
{'短评内容': '这次旅行是和妹妹一起来的，酒店位置很好，酒店的房间太畅销了。下次来还会入住，我很喜欢八大关那，下次来青岛还会来住。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '这家酒店不错，仅靠海边。朝南的房间很难订到。性价比很高', '短评打分': 3}
{'短评内容': '很好。交通很方便，离马路就几十米远，花一元乘公交车就到栈桥、鲁迅公园等。到海边游泳也只需在房间里换好泳衣，步行几分钟就到。来的住客很多，打扫房间的工作人员很热情也很辛苦，总是看见她们忙个不停。有事找她们，她们会马上停下手中的活来为我们服务，一点也不嫌我们烦，然后又去忙着干活。这里特别要赞一下。房间不错，简单干净。我们住双标房。三口之家出来也可以住住，1.2米的床可以挤挤。感觉价格还是贵了点。', '短评打分': 5}
{'短评内容': '位置不错，服务员的态度也很好。其他就都一般了。不过也推荐一下。', '短评打分': 5}
{'短评内容': '去青岛游玩人士的首选，属于八大关地区，又在香港路边上，性价比、交通、游玩、都很好。推荐。', '短评打分': 5}
{'短评内容': '离海边很近，出门交通方便，非常适合一家人出去玩住，但有的房间靠香港路有点吵，周围吃饭的地方少。', '短评打分': 3}
{'短评内容': '离海边很近，出门交通方便，非常适合一家人出去玩住，但有的房间靠香港路有点吵，周围吃饭的地方少。', '短评打分': 5}
{'短评内容': '不错的，感觉不到哪里有特别的不好，各个方面性价比比较平均。5月初去的，有件事，拍死了一个吸饱血的大蚊子！可能是前面的住客的，墙上还有印记呢。哦，对了，因为才提前一天预订的房间，位置不太好，其它好的房间估计都没有了，要定还是要提早一点好。', '短评打分': 5}
{'短评内容': '房间干净温馨,服务人员热情,店的位置非常好,去海边或八大关步行很近.店内餐厅像其他网友所说味道很好价钱还很实惠,确是一家不错的店', '短评打分': 5}
{'短评内容': '住了两天,感觉非常好,离八大关也很近,出门几分钟就到,只是相对来说房价偏高一点点,呵呵', '短评打分': 5}
{'短评内容': '设施有些陈旧，入住的时候发现房间里的灯都坏了一盏，最不满意的是浴室，下水很慢，整个脚都泡在脏水里，感觉很不舒服。', '短评打分': 1}
{'短评内容': '酒店地理位置好，旁边就是太平角公园，环境好，很安静。\r\n出行方便，无论是去火车站还是崂山，都有很多公交车经过这里。\r\n服务人员都很有礼貌，主动问好。\r\n预订的数码房，房间空间大，电脑速度很快，非常方便。\r\n酒店后马路边有小型超市，可满足简单需求。或坐公车四站至\r\n浮山所，便可在家乐福购物。\r\n总之非常值得推荐！', '短评打分': 5}
{'短评内容': '本来预定太平角的如家是因为他的位置在八大关，应该比较安静，结果，很遗憾，定的商务大床房，只在北面有一扇小窗，还正对着车流密集的香港中路，整晚都能听到车辆行驶的声音。另外，房间很小，房型不正，床对面的墙是斜的，电视只能歪着看。卫生间设计的也不科学，马桶在门后，很别扭。总之，对这次订房很不满意。', '短评打分': 1}
{'短评内容': '位置不错，靠香港西路，靠近八大关，出行方便', '短评打分': 5}
{'短评内容': '补充：去时还是有些冷的，屋里的空调制暖是没问题，可是只在空调下面那块区域暖和，屋里温度上不去。有待改进!', '短评打分': 3}
{'短评内容': '位置相当的好。去景点坐公车都是四五站。甚至我都是沿着海走过去的。慢慢沿海滩漫步，感觉很好。酒店就和太平角公园三步之遥。站在窗口就可以看见公园和百米外的海滩，沿着海滩向右手走就是八大关。在主路上的公车也非常多，到火车站到五四广场到家乐福都是有多趟公车可达。前台办理手续很麻利。餐厅的五花肉炒皮管很好吃，就是量太少~~!', '短评打分': 5}
{'短评内容': '不错的经济型酒店，就是冬天有点冷。', '短评打分': 3}
{'短评内容': '在海边位置非常好，下一次去青岛还会住的。', '短评打分': 3}
{'短评内容': '位置、服务都很好的酒店，就是冬季稍冷一点。', '短评打分': 5}
{'短评内容': 'Nice location', '短评打分': 5}
{'短评内容': '位置好，环境好，离海边很近，坐公交车很方便', '短评打分': 5}
{'短评内容': '冬天去的，但是向南的房间阳光很好很舒服，窗外就是风景。24小时热水，很痛快。房间很简单，但是足够了。交通也还算方便，就是附赠的早餐差了点，呵呵', '短评打分': 5}
{'短评内容': '空调不太好用，楼上有装修，其他还不错', '短评打分': 5}
{'短评内容': '元旦去的，地理位置很好，只是屋子里没有暖气，空调开至最高也很冷。找服务员又要了一条被子，两个被子一起盖才行。LP住的两天愣是没敢洗澡，怕冻感冒。\r\n地理位置很好，其他方面都不错。除了冬天其他时间去应该首推这里。很安静。', '短评打分': 5}
{'短评内容': '对于度假客人来讲，位置相当好。但早餐较简单且冬天没有暖气只有空调暖风，不是很舒服', '短评打分': 5}
{'短评内容': '地址位置非常方便，穿过公园直达海边，无论市区景区交通都非常方便，青岛的出租费太便宜了，一般就是10元左右', '短评打分': 5}
{'短评内容': '位置靠近海边离车站也很近.性价比很好.', '短评打分': 3}
{'短评内容': '位置很好，比较方便，距离我们的办事处，相对来说很合适', '短评打分': 5}
{'短评内容': '酒店还不错,房间里面应该有些小食品就好了,位置靠近海边离车站也很近.性价比很好.', '短评打分': 3}
{'短评内容': '就是价格有点贵，环境不错，出行方便', '短评打分': 5}
{'短评内容': '性价比各方面都不错，前台服务态度也蛮好', '短评打分': 3}
{'短评内容': '位置比较好找，酒店硬件还行', '短评打分': 5}
{'短评内容': '地理位置、设施、卫生和服务都非常好！性价比高，下次还会去入住。只是12元的早餐不是太满意，希望改进。', '短评打分': 5}
{'短评内容': '从地理位置上来说，这家酒店非常不错。主要是觉得空气很好，去海边很近，周围环境宜人，交通也很方便，无论打车还是公交。最近对面在建疗养院吧，白天有些噪音，晚上7点多的时候周围居民喜欢在酒店旁边的空地上跳操，音乐有点大，好在不会持续特别久。经济型酒店的通病在于隔音效果不好，入住酒店的人素质一般。当你睡觉的时候，总能听到隔壁开始洗澡刷牙了，要不就是同层房间的人关门声音超大，早上五点多，就有人乱敲门。我住在', '短评打分': 5}
{'短评内容': '卫生挺干净的.设施和服务也还好,位置靠近海边,挺不错的,价格有些偏贵了,其他的都很满意的.', '短评打分': 3}
{'短评内容': '各方面感觉都很一般，说不上好还是不好，我要是下次去青岛的话，会选择别的对比一下', '短评打分': 3}
{'短评内容': '这家的位置非常好,好几个方位都能走到海边,也就300米吧,走几分钟就到了,而且如家经常住,环境很好,很温馨,住着比较舒适,回来以后就推荐给朋友了.', '短评打分': 3}
{'短评内容': '隔音效果有点差.隔壁讲话都听得到.房间卫生一般了,服务态度还可以,价格方面还算比较实惠了.', '短评打分': 3}
{'短评内容': '地理位置不错,方便出行.卫生及设施都算比较好的,因为是连锁酒店,如家来讲算是连锁酒店中性价比比较不错的,入住决对没问题,', '短评打分': 3}
{'短评内容': '这家酒店唯一的优势就是位置真好，门口就是太平角公园，三路和公园两条路都通海边，只要两百米。走不远就有公交线到家乐福，JASCO都方便，还有2家小饭馆。 除了这些以外，酒店本身没有任何可推荐指出，房间装修简陋，电视机很小，没有冰箱，住的5楼大床间窗户太小，住了3天平均也要259一天，性价比不高。 清洁阿姨非常客气，什么时候见面都会打招呼，但是前台接待不专业也不太热情。房间没有冰箱，酒店也不人性化，上', '短评打分': 5}
{'短评内容': '很干净，离海很近，但不潮湿，适合度假，就是吃饭不太方便，找了好久才找到吃的。前台服务马马虎虎，入住的时候态度不怎么样，离开的时候到蛮好的，呵呵，倒过来了，可能不是同一个人。', '短评打分': 5}
{'短评内容': '和一般的如家一样，但是价格比一般的如家贵，而且不新，所以性价比不高。地处八大关附近，离海比较近，但是买东西不方便。只有朝南的大床房对着八大角公园，不太合理。周围环境没有别人说的这么好。', '短评打分': 1}
{'短评内容': '位置较好，就在海边不远，出行业很方便，但房间隔音效果太差。', '短评打分': 5}
{'短评内容': '位置不错服务也好房间也干净 就是贵了点儿', '短评打分': 5}
{'短评内容': '酒店性价比一般，价格有点高，环境还可以，不错服务态度不太好', '短评打分': 3}
{'短评内容': '这个如家的位置非常的不错，交通很方便，而且房间宽敞，干净，就是窗户稍微小了一点，其他都很不错。', '短评打分': 3}
{'短评内容': '酒店的卫生条件还不错,硬件设施方便也蛮好的,就是前台服务人员太少了,所以等待时间比较长.', '短评打分': 3}
{'短评内容': '这家店位置真好，门口二十米就是太平角公园，这是来之前网上好像没人提到的。两条路都通海边，只要两百米。生活也还算方便，公交方便、基本购物也有，离八大关很近，从海边可以走到花石楼，很浪漫的路。也许第三海水不如第二海水浴场，但是人不多，方便到可以回来上个厕所再来也不费事。忘带东西可以随时回去拿。\r\n到酒店一直没来地下餐厅吃饭，以往对地下都没好感，但是没想到最后一天去吃早饭，自助真得很好，超过想象，比一些', '短评打分': 5}
{'短评内容': '酒店位置比较好,设施也不错,卫生和服务也都满意总体感觉还是很不错的.', '短评打分': 5}
{'短评内容': '酒店的整体不错的，装修有点陈旧了，酒店的服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，酒店的价格还可以的。', '短评打分': 5}
{'短评内容': '酒店还算不错的，这个如家的位置，周边环境，到他们人员的服务和房间内的清洁设施摆放都比较不错。', '短评打分': 5}
{'短评内容': '酒店的很干净，服务设施都很好的，酒店的位置以及交通都很好的，性价比不错的酒店', '短评打分': 5}
{'短评内容': '不错.物有所值', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，位置出行交通也很方便。周围环境也还不错，价格合理适中。房间的配置硬件设施也很不错，整体来讲算是比较不错的酒店，值得推荐入住。', '短评打分': 5}
{'短评内容': '挺好的,没什么意见,关键看重的是酒店位置很方便,而且价格也能接受.', '短评打分': 5}
{'短评内容': '酒店还可以吧,服务一般,不过位置还不错,离海边挺近的,比较适合旅游的客人.', '短评打分': 5}
{'短评内容': '酒店的住宿环境还是可以的,不过就是觉得交通位置不是很方便,价格还可以.', '短评打分': 5}
{'短评内容': '地理位置优越,闹中取静,环境幽雅,服务热情,价格与其他如家相比较高.住这里非常舒服.', '短评打分': 5}
{'短评内容': '所处之地比较安静,离八大处和第二浴场很近,走过去10分钟.去栈桥.五四广场也很方便,打车也是10块左右.', '短评打分': 5}
{'短评内容': '酒店住着还可以，感觉如家都差不多，不过就是当时去的时候正好赶上五一，所以价格有上调，不过也是可以理解的。', '短评打分': 5}
{'短评内容': '房间蛮干净的,环境也比较安静,而且价格也很实惠,跟之前上网查的差不多', '短评打分': 5}
{'短评内容': '酒店的服务卫生都还不错，位置出行交通都很方便，距离市政府非常近，应该是青岛比较繁华的地段，价格合理适中，配套的硬件设施舒适度也很达标，值得推荐的连锁型酒店。', '短评打分': 5}
{'短评内容': '酒店就是价格稍微有点好，其他的方面都还不错，像是他这里交通就挺方便的，环境硬件设施也都不错。', '短评打分': 5}
{'短评内容': '酒店后面是停车场，房间隔音不太好，有点吵，酒店的卫生，设施都没有问题，服务人员不太主动，不够热情', '短评打分': 5}
{'短评内容': '总体感觉还可以，干净卫生，服务也不错，价格也很实惠', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错,位置出行交通也很方便,虽然不是市中心位置但是交通都还不错,价格也很优惠的.', '短评打分': 5}
{'短评内容': '酒店的隔音不好，有点吵，不过酒店的位置还可以，交通挺方便的', '短评打分': 5}
{'短评内容': '性价比还算可以，相对而言，有些偏贵，特价房间都是地下的，不能住，如果再便宜点会更好！总体来说还可以，值得入住。', '短评打分': 5}
{'短评内容': '离海边非常近，走路10分钟就到了~！', '短评打分': 5}
{'短评内容': '空间很大 ', '短评打分': 5}
{'短评内容': '很不错，由于是新年期间住的，服务员态度非常好，一进门就问声“新年好”，特温馨！', '短评打分': 5}
