{'descr': '哎！浴巾好脏呀，全是白色的印，不知道是什么有点心理阴影', 'star': 5}
{'descr': '订的两间房去了只给留了一间，房间太小，感觉很闷，洗漱用品很少，而且整体感觉不是很卫生，不推荐大家。', 'star': 1}
{'descr': '环境一般', 'star': 3}
{'descr': '服务差   枕套都发黄了 最关键的是热水有问题！一会是冰水一会是烫水 根本没法洗', 'star': 1}
{'descr': '非常好很干净\n房间干净，主要是因为我要去北大口腔医院挂号。周围吃饭也很方便', 'star': 5}
{'descr': '房间还可以。洗澡间水很热、靠近北京大学口腔医院！', 'star': 5}
{'descr': '位置好，交通方便，周围饮食方便，但房间过小，连放包的地方都没有，隔音太差，服务一般，住了两晚竟然一次也没有打扫房间。只在需要在附近办事的时候考虑入住。', 'star': 5}
{'descr': '房间条件还可以  服务一般般   铺床的男生似乎是非专业的 .', 'star': 3}
{'descr': '房间干净，主要是因为我要去北大口腔医院挂号。周围吃饭也很方便。', 'star': 3}
{'descr': '房间风格我很喜欢，整天很清新的感觉。硬件设施蛮好，电脑很给力。但是洗漱用品给的比较少，另外就是床品质量不是特别好，有点偏硬，总体来说很推荐。', 'star': 5}
{'descr': '离地铁有很长的距离,房间的窗户很小很高,感觉很压抑.下次不会入住.', 'star': 1}
{'descr': '酒吧卫生不错', 'star': 3}
{'descr': '地理位置相当好，北面口腔医院，南面国家图书馆，边上民族大学，公交非常方便，地铁走五分钟就到。酒店设施齐全，卫生环境也很好。稍有不足就是隔音稍差，可以接受。', 'star': 5}
{'descr': '价格不算便宜，一个经济型的酒店，不过那个地方也没有什么便宜的酒店了，就凑合的住了，没办法，北京就这样子', 'star': 5}
{'descr': '整體不錯，但電視線路檢修，無法正常收看。', 'star': 3}
{'descr': '房间有点小……', 'star': 3}
{'descr': '酒店不错，交通方便，很好找，就在中央民族大学斜对面。餐饮也很方便，楼下就是必胜客。房间设施不错，特别是大床睡着很舒服。下次来北京还会住这儿。', 'star': 5}
{'descr': '地理位置好，服务还可以，房间设施不错，有电脑同时可以接数字电视，就是窗户不太好，几乎所有房间外面有都有铁栅栏格，挡光。', 'star': 5}
{'descr': '还可以，以后有机会办个会员卡。还可以，以后有机会办个会员卡。还可以，以后有机会办个会员卡。还可以，以后有机会办个会员卡。还可以，以后有机会办个会员卡。', 'star': 5}
{'descr': '酒店服务很不错,房间设施齐全,很干净,就是感觉床有些短,值得入住', 'star': 3}
{'descr': '已入住,感觉还行,就是房间过小', 'star': 3}
{'descr': '设施很不错，就是有点吵，躺在床上看不到电视，不过有电脑很不错，真是很好的宾馆！', 'star': 3}
{'descr': '酒店不错', 'star': 3}
{'descr': '住的家庭房，是个上下铺的，下铺是个大床，呵呵搞笑，一般般吧，没什么特殊，电脑没法用，估计中毒了', 'star': 1}
{'descr': '只住了一晚，总体感觉还不错，尽管临街并不吵，也干净，就是被子有明显的小破洞，美中不足。', 'star': 5}
{'descr': '房间条件一般', 'star': 3}
{'descr': '房间不错，毕竟是商务房，需要注意的是5、6楼房间外有空调机噪音。', 'star': 5}
{'descr': '位置比较好服务尚可房间比较干净不打折没有早餐', 'star': 5}
{'descr': '酒店还好，交通挺便利，住宿条件还好，挺适合商务出行的。', 'star': 5}
{'descr': '房间不大，但是挺干净，床挺大，睡着挺舒服的。', 'star': 5}
{'descr': '酒店离4号地铁挺近，出行挺方便的。服务和卫生也不错。', 'star': 5}
{'descr': '卫生条件不错，隔音效果一般，位置挺好，吃饭交通挺便利的。', 'star': 3}
{'descr': '这里能寄存行李，这点感觉挺方便，房间倒是挺干净，设施一般，出行还挺方便。', 'star': 3}
{'descr': '服务上挺好的，房间有点小，但还算干净，整体感觉还好。', 'star': 3}
{'descr': '酒店装修的比较简单，卫生方面很好，位置很好，出行挺方便。', 'star': 3}
{'descr': '挺好，房间挺干净整洁，服务态度挺好。', 'star': 3}
