{'短评内容': '很好的酒店 距离办事的地方很近 楼下还有好吃的烧烤 不错', '短评打分': 5}
{'短评内容': '环境不错，就是位置有点偏，不过公交还倒挺方便的！', '短评打分': 5}
{'短评内容': '酒店性价比高，经常住这家，就是这次房间里只配了一人的洗漱用品', '短评打分': 5}
{'短评内容': '各方面条件都不错，房间很大，床也很大，就是周围环境一般，小商品市场什么的比较乱，但是总的说来性价比是超高了', '短评打分': 5}
{'短评内容': '价格非常实惠，适合年轻人、背包客。\r\n位置有点偏，出租车司机都找不到~', '短评打分': 5}
{'短评内容': '就在汽车东站旁，交通方便，环境舒适，干净整洁，性价比高，值得入住，真的挺好！', '短评打分': 5}
{'短评内容': '总的来说还是不错的，性价比较高，就是位置较偏，旅馆周围环境差。', '短评打分': 5}
{'短评内容': '如果前台的服务态度好一点，或许让人舒服很多。最忍不住提一句的是，晚上十点多洗澡，洗了一半，突然发现池子里都是黑水，等了一刻钟，还是黑水，打电话问前台，结果说是修锅炉，半小时之后能好。修理锅炉之前没有任何通知。等到零点了，还是黑水。。。。无奈得很！', '短评打分': 5}
{'短评内容': '干净整洁舒适经济方便.', '短评打分': 5}
{'短评内容': '还不错，但是洗浴不漏水，脏东西都返上来。说了两次也没修好，还是自己把地漏敞开', '短评打分': 3}
{'短评内容': '还不错，但是洗浴不漏水，脏东西都返上来。说了两次也没修好，还是自己把地漏敞开', '短评打分': 5}
{'短评内容': '还可以了,就是比较远一些，环境还可以，距离西湖不用倒车的', '短评打分': 3}
{'短评内容': '卫生条件不错，每天都换床单和被子，服务态度也不错，只是位置比较偏，坐公交比较远，如果出门打车就无所谓了。', '短评打分': 3}
{'短评内容': '价格很公道，房间布置还行，交通业不错。缺点是：设备比较陈旧了', '短评打分': 3}
{'短评内容': '还可以吧，很不错了', '短评打分': 3}
{'短评内容': '这个酒店还很好的\r\n相对这个价钱来说不错的了', '短评打分': 5}
{'短评内容': '还算可以了', '短评打分': 5}
{'短评内容': '+还可以，路不太好', '短评打分': 5}
{'短评内容': '条件不错，位置偏。', '短评打分': 5}
{'短评内容': '环境还行挺干净的，就是没有香皂比较不适应', '短评打分': 5}
{'短评内容': '厕所的马桶有点问题，总是会不停的放水，不过综合其他方面，还是蛮划算的', '短评打分': 5}
{'短评内容': '和价格一样的，房间大，但偏僻了点，很难找', '短评打分': 5}
{'短评内容': '很干净的房间，就是这家太难找了，路不好。', '短评打分': 5}
{'短评内容': '很好 \r\n卫生3分 服务3分 设施3分 位置3分 舒适度3分 性价比3分', '短评打分': 5}
{'短评内容': '很难找的地段，连服务员都问我是怎么找到的，我是倒了3趟公交车，然后摩的过去的。\r\n进房间之后，设施一般。但是床睡得很不舒服，被套也不干净。', '短评打分': 1}
{'短评内容': '位置在市场旁，停车位不够，房间没有多余东西，牙刷，梳子等最好自备，牙刷没牙膏的，没有启用的工具的，下水有点堵，床比较舒服，晚上比较安静。', '短评打分': 5}
{'短评内容': '环境挺不错的，价格在杭州算超便宜了，就是附近没有什么吃饭的地方。总体评价：性价比高。', '短评打分': 5}
{'短评内容': '太偏了,离景区远打车有不方便,加上周围是批发市场,又有两家大型网吧,感觉不太好吧,不过价格倒是很便宜', '短评打分': 3}
{'短评内容': '位置偏了点,周边环境不好,出行坐公交不方便', '短评打分': 3}
{'短评内容': '位置偏了点,周边环境不好,出行坐公交不方便', '短评打分': 1}
{'短评内容': '酒店位置有些偏，离市中心比较远，前台服务员很好。总体来说性价比比较高，如果自己有车出来旅游，这里是个不错的选择。', '短评打分': 1}
{'短评内容': '+挺好的服务态度非常好环境挺干净的', '短评打分': 3}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '交通挺方便 各方面条件都还不错,对的起99元的价格', '短评打分': 5}
{'短评内容': '价位合适，地理位置非常好', '短评打分': 5}
{'短评内容': '差', '短评打分': 3}
{'短评内容': '定的标间，实际拿到一楼的很差，后来换了2楼单人间，这次实在太差了', '短评打分': 1}
{'短评内容': '还不错，性价比较好。', '短评打分': 3}
{'短评内容': '价格挺优惠的，性价比还不错。', '短评打分': 5}
{'短评内容': '位置有些偏僻，性价比还好。', '短评打分': 5}
{'短评内容': '环境很好的，服务态度也不错，周围有早餐，有一个比较大的批发市场，地处汽车东站，逛的地方比较多，唯一不足的地方就是稍微优点难找，在一个小巷子里', '短评打分': 3}
{'短评内容': '价格便宜。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '性价比不错的一家连锁旅馆，不足的是位置稍微有点偏，第一次去的人不太好找', '短评打分': 5}
{'短评内容': '总体一般，还不如招待所。', '短评打分': 1}
{'短评内容': '地理位置较为偏僻，出行不便，很多出租车司机不知道地址。被子有股消毒水为味，但价格还是合理的。', '短评打分': 1}
{'短评内容': '整体感觉还是不错的，性价比非常高，房间也很舒适，就是位置有点偏，在小巷子里面，没有提供梳子和浴帽。', '短评打分': 5}
{'短评内容': '位置离高速很近，离火车城站比较远，打车要18元左右，不过价格很实惠。床也很舒服。', '短评打分': 5}
{'短评内容': '一般吧，有点吵，不过我很喜欢里面那个三合一浴液，我特意住了一晚是因为我发现那个洗衣服不错，还有香味，泡沫也多……，PS：我是自备浴液和洗发乳的。。。', '短评打分': 1}
{'短评内容': '位置有点偏，但是价格便宜，节省资金可以多玩几个地方，挺合算的。', '短评打分': 5}
{'短评内容': '工作人员服务态度很好，介绍了许多杭州著名的景点给我们，还提供路线，服务很到位。', '短评打分': 5}
{'短评内容': '空调、电视都有，房间也收拾的干净，挺值的。', '短评打分': 5}
{'短评内容': '服务员总是面带微笑，问什么问题也很耐心，提升了我们对整个旅馆的感觉。', '短评打分': 5}
{'短评内容': '旅馆附近就有超市、公园，周围也有小餐馆，非常适合经济能力一般的人住。', '短评打分': 5}
{'短评内容': '卫生还可以，不过位置相当偏僻，对杭州不熟的人还不太好找到。\r\n付款不能刷卡，害得我又出去取钱（异地跨行，手续费贵呀）。\r\n房间隔音不好，走道有人说话，声音相当大。房间没有梳子，要入住记得自己带梳子。\r\n', '短评打分': 1}
