{'短评内容': '也很干净，设施齐全，环境也非常好，你开会的地方非常近。', '短评打分': 5}
{'短评内容': '挺不错的酒店，装修的不错，带小花朵的被子，挺温馨的。地段也好，附近吃饭也方便。附近的几个旅游景点也都不远。', '短评打分': 5}
{'短评内容': '酒店位置很好，离各主要景点都不远。\n酒店硬件条件还不错，服务也挺好的。\n但价位相对有一点点高。', '短评打分': 5}
{'短评内容': '非常好，交通便利，环境也不错，就在万达广场附近', '短评打分': 5}
{'短评内容': '位置非常好，紧邻万达广场，环境还可以，服务一般', '短评打分': 5}
{'短评内容': '管理不错，地点市中心，5层有的房间味道不好，建议改进。大堂小一点，相对价格稍高了！', '短评打分': 5}
{'短评内容': '确实不错，环境和房间设施都不错，下次还继续入住。', '短评打分': 5}
{'短评内容': '不错 很好 下次还来 一点也不冷 比锦江之星好多了', '短评打分': 5}
{'短评内容': '距回民小区比较近，我喜欢。以后来济南可以经常住在这里，吃东西就方便啦。', '短评打分': 5}
{'短评内容': '地理位置可以。位于市中心繁华地段。麻将机比较差。环境还可以。', '短评打分': 5}
{'短评内容': '还不错,万达旁边,挺方便的', '短评打分': 3}
{'短评内容': '环境稍嘈杂', '短评打分': 3}
{'短评内容': '现在价格涨了，之前真是物超所值，一开始把我安排了没装修的，住这家酒店一定要住重修装过的', '短评打分': 5}
{'短评内容': '酒店不错，但房间不能开窗，外面周围都在施工。\n本来可以免费健身，但平时是关门的，要去还要找人要钥匙。', '短评打分': 5}
{'短评内容': '入住时正值装修,早上六点就开工了,无法休息,住了一晚急忙退房.地理位置不错,知名度也较高,有机会等装修完后看看.', '短评打分': 1}
{'短评内容': '总体还行,服务也很好,最大的缺憾就是规模还算不小的宾馆,居然连两瓶矿泉水都不配备,喝水得喝自来水,望改善!', '短评打分': 3}
{'短评内容': '总体感觉还可以\n地理位置差了点', '短评打分': 3}
{'短评内容': '硬件不错,性价比不错.早餐差点.值得推荐!', '短评打分': 5}
{'短评内容': '酒店整体还行，周边商业，交通都很方便，下次还住', '短评打分': 5}
{'短评内容': '酒店早餐太差，品种少，质量也与三星级酒店不符。酒店周围购物环境还行，但具有山东特色的餐馆太少。', '短评打分': 1}
{'短评内容': '该酒店地处繁华街道，附近正施工，比较乱，酒店牌子不明显，内部硬件设施一般，大堂小气，房间一般与三星标准不符，但服务人员很好，比较热情，服务较周到。', '短评打分': 1}
{'短评内容': '酒店位置不错，出行购物都很方便。。。。。。。', '短评打分': 5}
{'短评内容': '比起那些四星级的酒店装修好多了，唯一可惜的就是大厅小了些，早餐也比较单调，不过总的来说是很好的酒店\n', '短评打分': 5}
{'短评内容': '外墙装修刚刚完成，不过内部的装修算得上四星级啦，房间很大感觉很好，价格又便宜', '短评打分': 5}
{'短评内容': '现在不会推荐 晚上睡觉 外面的噪音太大 并且没有地方停车 周围正在施工 ', '短评打分': 1}
{'短评内容': '基本上还可以，就是房间略小，而且楼层还在施工当中，给人感觉很不好。', '短评打分': 5}
{'短评内容': '鲁能大厦挺好', '短评打分': 3}
{'短评内容': '酒店住过好多次了，各方面不错，就是停车不方便，停不下车。', '短评打分': 5}
{'短评内容': '万达夜间施工，浇注混凝土，噪音无法入睡。。\n但房间内部设施硬件非常好。如果早餐档次再高点就好了', '短评打分': 1}
{'短评内容': '酒店位置和装修还是可以的。就是正直酒店装修，真是吵得的要命。不得以第二天换到别家了，还有这个酒店的二楼餐厅菜真的很一般，更搞的是湿巾竟然5元每包。所以这家装修好住住还好，吃就不要在这里吃了', '短评打分': 5}
{'短评内容': '不是很好，第一次找了半天没能找到，第二次找了老长时间才找到。', '短评打分': 1}
{'短评内容': '就在万达广场的旁边,不错,卫生条件可以,有一个小书桌,可以让孩子在上面做作业,以后还会考虑住这里的,只是门口的停车不方便.', '短评打分': 5}
{'短评内容': '酒店还是不错的。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '在济南每次都会入住，酒店位置不错，环境和卫生也都还过得去，性价比还可以', '短评打分': 5}
{'短评内容': '第一天住的房间有点冷 第2天的房间很满意 房间很干净 唯一不太满意的就是浴室下水道有问题 酒店工作人员很热情', '短评打分': 5}
{'短评内容': '第一天住的房间有点冷   第2天的房间很满意      房间很干净  唯一不太满意的就是浴室下水道有问题     酒店工作人员很热情 ', '短评打分': 5}
{'短评内容': '酒店服务和卫生都不错。洗澡水很冲。旁边是万达广场，吃饭买东西都很方便。\n最近在外墙装修，早上8点以后会有点儿小噪音。\n水龙头里的水有氯气的味道，不能烧水喝。', '短评打分': 5}
{'短评内容': '位置很好，旁边就有万达广场。价格很合适，比一般的商务酒店要好！', '短评打分': 5}
{'短评内容': '如果不是酒店外部装修，真是个完美的选择，吃饭购物出行都很方便~~~~房间也够大~装修毕竟是短期施工，所以值得推荐！', '短评打分': 5}
{'短评内容': '房间很温馨，24小时热水，洗漱很方便，空调很足，这个价位值。不足的是水有味道，需要自己买矿泉水喝', '短评打分': 5}
{'短评内容': ' 早晨装修太乱', '短评打分': 3}
{'短评内容': '总体还不错  但是一进门有异味  影响不大、、、', '短评打分': 5}
{'短评内容': '地理位置优越，与新万达广场隔壁之距，方便至极', '短评打分': 3}
{'短评内容': ' 好', '短评打分': 3}
{'短评内容': '位置好，到新万达就三分钟路程   卫生间小，垃圾桶没垃圾袋很奇怪，卫生不错，暖气很足~~', '短评打分': 5}
{'短评内容': '价格合理，但是最近外墙在进行装修，白天比较吵', '短评打分': 5}
{'短评内容': '酒店位置很好，旁边就是新建的万达广场，购物和吃饭都很方便。在万达看电影中午12点前是半价。\n酒店房间的内饰和摆设挺下心思的，很喜欢这儿带有田园风情的床单被罩，显得干净又温馨。\n早餐10元很实惠，不过品种少了点儿，仅能裹肚。\n大堂跟之前的评论一样，略为简单了些。前台服务态度很好，能补点儿分。\n以后来济南还会入住这里。', '短评打分': 5}
{'短评内容': '性价比极高，300块之内能住到这种位置的四星级标准房间非常不错，不足是房间小了点，没有送餐服务', '短评打分': 5}
{'短评内容': '这次住的房间虽然不如上次的好 但是也算不错。。研究生考试 房间紧张  还算满意了。。', '短评打分': 5}
{'短评内容': '不错··还是遥控窗帘··赞一个····就是数字电视太惹人烦了·很卡···', '短评打分': 5}
{'短评内容': '去各个地方比较方便，下次还会选择！希望在不足的地方继续努力！', '短评打分': 5}
{'短评内容': '比较干净卫生，周边购物、逛街挺方便，但交通较拥堵', '短评打分': 5}
{'短评内容': '服务不错 环境不错。。条件也不错。。很舒适。。。', '短评打分': 5}
{'短评内容': '整体设施不错，就是运气不好，碰到电视网络改造，没有电视看，电脑网络使用也不叫麻烦。', '短评打分': 5}
{'短评内容': '还行，室内新装修，周围的购物环境很是方便', '短评打分': 5}
{'短评内容': '总台很小，服务一般。\n房间卫生间太小，淋浴门都没有。\n房间窗帘拉不严密，早上很容易被亮光射进来。\n号称3星，性价比差。', '短评打分': 1}
{'短评内容': '物有所值，值得一去，绝对有四星的享受，下次还住那儿。', '短评打分': 5}
{'短评内容': '房间比较干净、入住后感觉很舒适。唯一不足就是附近正在施工，夜间休息时噪音太大，影响休息。', '短评打分': 5}
{'短评内容': '酒店软硬件尚可，位置适中，交通方便。不足之处是临近施工噪音大，影响休息；还有房间异味较浓，感觉不是很舒服。', '短评打分': 5}
{'短评内容': '地点很方便，房间很干净，但有些味道，早餐很差！', '短评打分': 1}
{'短评内容': '环境还可以，感觉挺温馨的，隔音效果也很好，离火车站不远', '短评打分': 5}
{'短评内容': '酒店外观看起来不是那么好，但是酒店内部设施相比较来说还是不错的', '短评打分': 5}
{'短评内容': '酒店好着里 下次还来住 空间大 卫生 住起来很舒服', '短评打分': 5}
{'短评内容': '性价比非常高。比得上济南大多数四星级，位置无敌方便', '短评打分': 5}
{'短评内容': '酒店的卫生差劲就不用说了，还有就是酒店太老了，交通还行，下次来不会住了。', '短评打分': 1}
{'短评内容': '客房还好，大厅太小........................................', '短评打分': 3}
{'短评内容': '很不错的酒店，在济南性价比较高，位置也很好，从酒店走到趵突泉20分钟左右。但是我们入住的时候，周边都是工地在施工，稍微有些噪音，但还是在可接受的范围之内。酒店大堂是比较小，但是酒店的走廊和客房装修挺不错的，客房超大，液晶电视，对的住238元的价格，强烈推荐！！！', '短评打分': 5}
{'短评内容': '酒店位置不错，配套设施不错，但是外面施工太吵了', '短评打分': 5}
{'短评内容': '+房间还不错，就是大厅小，不能做预售', '短评打分': 5}
{'短评内容': '鲁能大厦的前台和大厅很小，但进去走廊和房间以后还是不错的。缺点是浴室较小，淋浴时下水较慢；上网方式复杂，苹果电脑就更复杂了我因为设置不成功就没上；特别奇怪的是不让用信用卡做押金预售，非要现金最后付款也不问我用什么方式直接就用现金了。但是就住宿本身来说室内还是挺舒适的，床铺也挺舒服，价格适中。位置距离火车站不远，万一堵车或打不到车，步行20－30分钟也可以到。\n总的来说还是值得推荐的。', '短评打分': 5}
{'短评内容': '环境不错 也挺好找的  里面的饭店的菜也挺好吃~~~就是旁边在施工  有点小吵  不过还好 影响不大', '短评打分': 5}
{'短评内容': '我还要表扬一下，客房与工程部的人员及时帮我解决了问题，至少表现出这家酒店总体软件服务有正规三星标准。', '短评打分': 3}
{'短评内容': '房间挺好，位置也好，目前隔壁房地产开发，酒店外卫生有些影响。', '短评打分': 5}
{'短评内容': '性价比还行  房间挺舒服的，有机会来济南还住这里', '短评打分': 3}
{'短评内容': '+感觉不错', '短评打分': 5}
{'短评内容': '，房间很新，也很干净，不错。', '短评打分': 5}
{'短评内容': '还不错，性价比挺高的!就是隔壁装修噪音大些，不过可以体谅', '短评打分': 5}
{'短评内容': '  外观平常,但内部设施很齐全,也很卫生,比较适合商务住宿,饭菜亦好,但东边有一个工地,早晨和中午会有一些噪声!', '短评打分': 5}
{'短评内容': '可以。。还会再住。。性价比还行吧、就是房间小了点。。不过价格上可以', '短评打分': 5}
{'短评内容': '服务员非常热情，五星标准，床和枕头非常舒服，不次于五星酒店。', '短评打分': 5}
{'短评内容': '住得很舒服。推荐大家入住！！设施条件都好，只有外面的工地所以很吵。就是这点毛病，其他都很好。', '短评打分': 5}
{'短评内容': '第二次入住了，还是很舒服。就是早餐太差了还要10元钱。', '短评打分': 5}
{'短评内容': '不错 服务不错 房间质量也相当不错 值得入住', '短评打分': 5}
{'短评内容': '酒店很好给留了地停车位，房间很新和大，不错的选择.', '短评打分': 3}
{'短评内容': '性价比不错的酒店,酒店硬件较新,服务很好!房间较大,卫生较干净.还给你预留地下停车位,有专人看.自驾很方便.推荐给各位朋友', '短评打分': 5}
{'短评内容': '位置一般，周围环境不太好，在修建中。住房的设施还可以，比较温馨。就是有点味道，新装修的味道。', '短评打分': 5}
{'短评内容': '不错的酒店，就是酒店周围在施工，这点美中不足。', '短评打分': 5}
{'短评内容': '比街对面的海润商务酒店好得多，中央空调、地毯，液晶电视，都很新', '短评打分': 5}
{'短评内容': '位置很好，就是周边环境较差，所以价格较低', '短评打分': 5}
{'短评内容': '位置离趵突泉步行约20分钟，交通方便，大堂太小，有些凌乱，但房间干净，但周围有施工，噪音大', '短评打分': 5}
{'短评内容': '一个住起来很舒服的酒店，这个价位这种房间，在济南应该是性价比很高了', '短评打分': 5}
{'短评内容': '其它都还好，就是有点吵！', '短评打分': 5}
{'短评内容': '该酒店不错,值得推荐.', '短评打分': 3}
{'短评内容': '距离趵突泉、大明湖不远。适合家庭自驾和度假休息', '短评打分': 5}
{'短评内容': '确实不错的,下次还住这里.', '短评打分': 5}
{'短评内容': 'Very Good！', '短评打分': 3}
{'短评内容': 'Good！~', '短评打分': 5}
{'短评内容': '很满意 外面看起来不起眼 但是到里面很喜欢 之前住过四星的华能大厦  感觉不如他~  价格快400    总之很满意   下次还会选择这里', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错。。就是上网麻烦点。', '短评打分': 5}
{'短评内容': '酒店环境中等，周边全是工地施工，需要晚上安静的朋友就不要住这了。', '短评打分': 5}
{'短评内容': '酒店各方面非常好，去济南一定住', '短评打分': 5}
{'短评内容': '酒店前后都在施工，不过幸亏是在高考期间，晚上不准施工，所以睡了个好觉，另外建议房间多配报纸。', '短评打分': 5}
{'短评内容': '这是我第三次入住了。只可惜周边在施工，且停车位很少。不过性价比是不错的。', '短评打分': 5}
{'短评内容': '性价比比较好的酒店', '短评打分': 5}
{'短评内容': '房间比较闷，周边就是工地', '短评打分': 3}
{'短评内容': '后面万达广场造房很吵', '短评打分': 5}
{'短评内容': '不错的酒店，房间内很干净，很安静，尤其是碎花被让人感觉道很温馨，网速也很快。不足之处在于卫生间太小，两人一起洗漱很觉挤促，早餐品种不够丰富。总体来说性价比还是比较高的。', '短评打分': 3}
{'短评内容': '酒店的外观不敢恭维，比较脏，但可能是因为周围正在修万达广场，酒店大厅很小。入住房间后整体感觉不错，很干净，很整洁，床的软硬度比较合适，窗户也是我喜欢的落地窗，只是卫生间较小，容纳两人后就比较显得局促了。不过整体来说不错，性价比比较高，下次去济南如果没有什么安排，还会选择住这里。', '短评打分': 5}
{'短评内容': '位置不错，交通方便。房间内干净整洁，床品是小碎花的，很温馨。但是旁边正在施工，全是灰尘。早餐品种很少，中餐价格不低，可选择性不大。\r\n\r\n', '短评打分': 3}
{'短评内容': '位置不错，周围有工地，但不影响睡眠', '短评打分': 5}
{'短评内容': '位置不错，交通方便。房间内干净整洁，床品是小碎花的，很温馨。但是旁边正在施工，全是灰尘。早餐品种很少，中餐价格不低，可选择性不大。', '短评打分': 5}
{'短评内容': '酒店房间的是没有空调也没有暖气,所以房间很冷,不过酒店的地理位置非常好,很方便,卫生环境也还算可以,价格也蛮优惠的.', '短评打分': 3}
{'短评内容': '酒店楼上的单间比较好,感觉性价比挺好的,标间不是很好,而且晚上周边的工地在施工,所以会吵些,不过地理位置挺好的,靠近商业区,去哪都挺方便的.', '短评打分': 3}
{'短评内容': '感觉不错  下次下榻  我还会选这里的  ', '短评打分': 5}
{'短评内容': '整体看还不错，就是停车太麻烦，地下车位太小', '短评打分': 5}
{'短评内容': '我觉得酒店的位置比较方便，环境还可以，总的来看还不错，值得推荐', '短评打分': 3}
{'短评内容': '地理位置非常好,离市中心很近,出行都很方便,而且性价比也很高,呆着还是比较舒适的,就是当时酒店周围在拆迁,环境不太好.', '短评打分': 3}
{'短评内容': '酒店比较新，价格也不贵，附件办事很方便', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '酒店的位置不错，价格也很合理，在附近办事很方便', '短评打分': 3}
