{'短评内容': '还好吧', '短评打分': 3}
{'短评内容': '酒店不干净，这次住的6211房间，马桶的进水管漏水，楼上的马桶也漏水，厕所天花上都有黄色的液体滴下来，哎。。。。。。。', '短评打分': 1}
{'短评内容': '酒店真的很脏很差，不推荐。唯一的好处是地理位置', '短评打分': 3}
{'短评内容': '虽然离三里屯很近，出行方便，但是酒店本身的环境及设备都不好，卫生间漏水，房间很旧很潮，而且晚上十二点还在装修，吵得人无法入眠。', '短评打分': 1}
{'短评内容': '我们住的是标准间。一进房间有一股发霉的味道，靠门的一张床床板从中间断了，向服务台说想调换一间，服务台说没有标准间了，要换就换豪华间。', '短评打分': 1}
{'短评内容': '还不错的，网上提前订，到店就有房，而且价格很适中，棒哦。还不错的，网上提前订，到店就有房，而且价格很适中，棒哦。 \n \n', '短评打分': 5}
{'短评内容': '交通便利,价格较便宜.但服务质量不太好,宾馆没电梯', '短评打分': 5}
{'短评内容': '该店服务还可以、卫生一般、早餐一般、总的来说还可以。', '短评打分': 5}
{'短评内容': '恩，挺不错的，在网上提前订的，到店就有房，而且价格很棒哦。。', '短评打分': 5}
{'短评内容': '酒店卫生很是问题，设备也太破旧，除了位置好点，其他没有任何值得推荐的地方。', '短评打分': 1}
{'短评内容': '没有电梯是个麻烦，房间很小，浴室和卧室之间是玻璃的', '短评打分': 1}
{'短评内容': '干净舒适', '短评打分': 3}
{'短评内容': '看球后入住，出了工体东门就能看到，位置还行，房间不大，临时居住尚可', '短评打分': 5}
{'短评内容': '去大使馆办签证，房间比较小环境一般，但是离使馆区很近很方便。', '短评打分': 5}
{'短评内容': '交通方便，价格合理，特别适合去法语中心考试的同学', '短评打分': 5}
{'短评内容': '位置很好，路标指示也很清晰。房间稍微有点小，不过不妨碍什么。装修挺不错的，安装的是电热水器。总的来说很满意。', '短评打分': 5}
{'短评内容': '离考试地方挺近的，就是环境一般，房间有些小。', '短评打分': 5}
{'短评内容': '地方还好，如果你想在塞万提斯学院考试的话，再考虑经济能力的前提下，这里是一个还不错的地方，只是我去的时候正在装修，中午睡觉的时候有电钻的嘟嘟声，很是不爽啊！', '短评打分': 5}
{'短评内容': '地方还不错，蛮好的。交通方便，干净服务还可以。', '短评打分': 5}
{'短评内容': '离使馆区教近，办事方便。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '卫生间门是透明的 与朋友住不方便', '短评打分': 3}
{'短评内容': '交通方便位置好，就是有点小', '短评打分': 3}
{'短评内容': '酒店不错,性价比高', '短评打分': 3}
{'短评内容': ' 住的还算不错 价格也不贵', '短评打分': 3}
{'短评内容': '第三次在智胜住了，很不错，地理位置太好了，条件也很不错，以后还会入住。', '短评打分': 5}
{'短评内容': '比较便宜 可以住一下 卫生还好  位置也不错 ', '短评打分': 5}
{'短评内容': '地理位置较好，服务态度好，卫生，就是房间略显紧凑~~', '短评打分': 5}
{'短评内容': '主要是方便。条件倒是一般，比如热水器洗澡不太方便。', '短评打分': 5}
{'短评内容': '北京智胜快捷酒店确实是出差旅游人士的最佳选择，她快捷，方便，卫生，安全和服务质量是她的特点。今后我还会选择智胜。', '短评打分': 5}
{'短评内容': '服务态度好，距离朝阳医院很近，设施较全。房间稍小。', '短评打分': 5}
{'短评内容': '设施不错，房间稍小，整体不错。距离朝阳医院15分钟步行', '短评打分': 5}
{'短评内容': '一般，还可以，离工人体育场很近，很方便。各方面条件都不错', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': 'pppppppppppppppppppppppppppppppppppppppppppppp', '短评打分': 1}
{'短评内容': '  安静，离工体和三里屯走路十分钟 ，条件尚可。', '短评打分': 3}
{'短评内容': '好＇', '短评打分': 3}
{'短评内容': '前台服务态度不错，房间整洁，用具齐全，安静，缺点是房间偏小，温度要打开空调才可以，我住的二楼，光照条件不好，最主要的是热水器只能供十分钟左右的热水，不建议在房内洗澡', '短评打分': 5}
{'短评内容': '房价小，地板受潮翘起了已经，就是酒店位置适中了…………', '短评打分': 1}
{'短评内容': '酒店卫生条件不错，服务态度也可以，如果有早餐就更好了。', '短评打分': 5}
{'短评内容': '态度超差  前台说话的人嘴比大便还臭 真TM没素质 垃圾地方 ', '短评打分': 1}
{'短评内容': '地点比较方便，房间有些气味，可能是因为附近的饭店带来的。卫生间的条件可以改善。', '短评打分': 5}
{'短评内容': '地理位置很好，也干净，缺点是隔音很差。', '短评打分': 3}
{'短评内容': '已入住北京智胜酒店217和216房间', '短评打分': 3}
{'短评内容': '服务态度不错，就是有点冷，阁音不好，其他的还不错拉', '短评打分': 3}
{'短评内容': '位置很好，服务很好，设施一般，没有电梯，适合旅游度假年轻人。', '短评打分': 5}
{'短评内容': '服务很好，地理位置很好。就是热水器的水少点。', '短评打分': 5}
{'短评内容': '房间味很大，一进门卫生间就有股味，别的还可以', '短评打分': 3}
{'短评内容': '给人感觉非常老旧，也不便宜，不像其他连锁酒店好', '短评打分': 1}
{'短评内容': '环境很好，设备很齐全，下次还会选择入住，价格也比较合理，不错。', '短评打分': 5}
{'短评内容': '离我要去的大使馆非常的近~就是酒店的隔音效果差了点~', '短评打分': 5}
{'短评内容': '我己入住贵店', '短评打分': 3}
{'短评内容': '酒店较卫生,但无早餐', '短评打分': 5}
{'短评内容': '地段好，没电梯。', '短评打分': 5}
{'短评内容': '地理位置特别好&#183;&#183;&#183; 环境什么的还行&#183;&#183;', '短评打分': 5}
{'短评内容': '房间感觉挺典雅，地理位置也不错，就是热水感觉不太好', '短评打分': 3}
{'短评内容': '因为去使馆区办事，所以在网上查到了这个酒店，但办好入住手续进入房间后就失望了，整个酒店除了位置比较好找外，其他的诸如设施、服务等都让人直摇头。', '短评打分': 1}
{'短评内容': '+我昨晚已成功入住智胜快捷酒店', '短评打分': 5}
{'短评内容': '可笑！我要只住一天，我会定三天然后来投诉你们说是没给确认返券吗？！还有那一元钱，不是我斤斤计较，你可以去问问你们前台收款的服务员，27号中午退的312房，是不是退押金的时候让我给了20，最后给我找了80.，押金是100，你们自己去看看，顺便看看312是住了几天！大家看见了吧，这个酒店就是这么做生意的，迟早关门大吉！', '短评打分': 3}
{'短评内容': '性价比很高，地点很好，房间设施可以加强，在北京这样的地点可以找到这样高性价比的酒店挺好的', '短评打分': 5}
{'短评内容': '房间太小，一点也不新，地理位置是很好。', '短评打分': 5}
{'短评内容': '旅馆房间比较小，被子太薄了，关着窗户和空调还是冷，中秋节去的一晚上冻感冒了，其他还好。交通比较便利。', '短评打分': 3}
{'短评内容': '旅馆房间比较小，服务还算不错。交通很方便，距离三里屯和世贸天阶都很近。值得推荐。', '短评打分': 5}
{'短评内容': '说实话，房间不值这些钱，性价比低,下次不会入住', '短评打分': 1}
{'短评内容': '房间有股霉味，而且就在路边，开窗的话会很吵', '短评打分': 1}
{'短评内容': '酒店位置不错，旁边的桂林米粉很好吃，去三里屯很方便，房间感觉不错，就是热水不充足，整体还算不错的。', '短评打分': 5}
{'短评内容': '别图便宜 这地方太差了 我交钱了 进去了 然后立即退房了 房费不给退 我也不在这遭这个罪了 很差！', '短评打分': 1}
{'短评内容': '10分，打7分。。。比较干净，房间小。浴室是玻璃的，门没有锁', '短评打分': 3}
{'短评内容': 'goodgoodgoodgooodgoodgoodgood', '短评打分': 3}
{'短评内容': '干净，房间较小', '短评打分': 5}
{'短评内容': '还是不错的~我个人比较喜欢~挺适合去考法语和面签的同学住~', '短评打分': 5}
{'短评内容': '还不错了，位置很好，对于法语考试和签证的学生来说很方便。以后还会考虑入住', '短评打分': 3}
{'短评内容': '客房不大，楼下有大桶水，没有电梯，一共三层，这是我唯一的不方便', '短评打分': 5}
{'短评内容': '，洗澡水太小，不热，房间也小，服务态度还可以', '短评打分': 5}
{'短评内容': '地理位置好，但是离地铁有点远。服务不错，免费上网，到三里屯近。', '短评打分': 5}
{'短评内容': '+环境可以，卫生也不错。', '短评打分': 5}
{'短评内容': '服务有待于加强', '短评打分': 1}
{'短评内容': '位置绝对好，就是房间设施需要更新了，不过下次还是会去。', '短评打分': 5}
{'短评内容': '性价比很高，以前的噪音问题也没有了，对于一家快捷酒店来说基本没有什么缺陷了', '短评打分': 3}
{'短评内容': '第二次入住了，还是为了去法国文化中心，还推荐了同学来住，评价都很好，这次给我换了靠北的房间，安静多了。', '短评打分': 3}
{'短评内容': '地理位置非常好，性价比很高，距离法国文化中心和西班牙文化中心很近，就在工体东门，以后还会入住', '短评打分': 5}
{'短评内容': '距离考试地点非常近，地理位置好，就是酒店的地板得是发洪水了？？我也没钱服务员的房费，干嘛对我黑着一张脸啊！不过还好，也算是对得起价钱，作为穷学生来说性价比高', '短评打分': 3}
{'短评内容': '性价比较高，距离光彩国际公寓还是很近的，就是不清楚楼上怎么就漏水了呢？？？？', '短评打分': 3}
{'短评内容': '作为来北京考试的学生来说 ，这样的酒店还是很合适的！', '短评打分': 5}
{'短评内容': '朋友定的，酒店不错，感觉像是星级的', '短评打分': 5}
{'短评内容': '床还算舒服，卫生条件一般，房间里有潮湿的气味，开窗通风了半天才好，洗澡水不错，服务态度一般，地理位置很好，对面是工体，离朝阳公园不远，周围饭店也不少', '短评打分': 5}
{'短评内容': '房间和被子上有不知名的小虫子在爬，卫生间有小蟑螂到处爬，胆子小的同志可别来。下水道欠通畅。服务嘛，钱已预付3天，每天都要到前台刷卡，否则打不开门。所以要多爬爬楼罗。其他没什么好说的，价位在这，想要多么好也不可能的。外出旅游住住也挺方便的。', '短评打分': 5}
{'短评内容': '一般  有蚊子  空间小', '短评打分': 1}
{'短评内容': '方便，性价比还好。', '短评打分': 5}
{'短评内容': '再也不会住了！服务人员态度超级差！！！我们有个朋友上来看我们，先是前台打电话来用质问的口气问我是不是带朋友上来，叫我们下去登记。过了没多久保安就上来砸门，而且出言不逊，说;&quot;我就跟你们吼咋了？&quot; 最后到了前台，我们说要投诉保安，他居然给我们来了一句：“你投诉啊，我怕你？”\n建议大家全都别去住！简直是出钱找气受！', '短评打分': 1}
{'短评内容': '位置很好', '短评打分': 5}
{'短评内容': '房间配置跟七天差不多，住着挺舒服的。如果去工体看演出的话在这儿住相当方便。', '短评打分': 5}
{'短评内容': '不错的酒店，就是房间小了点。\r\n对于参加北京法语考试的同学是个非常好的去处，到法国文化中心距离不到10分钟路程，非常近，只需要过一次马路就好。\r\n比较安静，浴室是电热水器。', '短评打分': 3}
{'短评内容': '不错的酒店，就是洗澡和别的宾馆有所不同，电热水器。不过，其他还是很不错的。靠近三里屯。', '短评打分': 3}
{'短评内容': '离光彩国际公寓很近，而且靠近三里屯，白天办事，晚上酒吧，很好很好。而且，酒店价格很合理，就是房间有点小，而且洗澡的是电热水器，虽然没有什么不方便的。哈哈。', '短评打分': 5}
{'短评内容': '地理位置非常好，交通方便，吃喝玩乐更方便', '短评打分': 5}
{'短评内容': '性价比不错,地段也还行', '短评打分': 5}
{'短评内容': '位置很好～但是环境真的很差', '短评打分': 5}
{'短评内容': '地理位置很不错，就在工体东门对面，附近环境挺好，性价比也不错，唯一不好的就在于房间隔音不是太好，走廊吸尘器声音比较大，我住的是南边的房间212，窗户外面是一座黑黑的小楼，影响观瞻，还人声鼎沸，总体来说还可以，比较适合去法国文化中心和西班牙文化中心考试的学子', '短评打分': 5}
{'短评内容': '地理位置很好  很满意   就是刚一到房卡打不开门 让人很是纠结  其次是第二天早上9点左右外面的吸尘器声音非常大  第二天可能是有人有意见了  就把地上铺了一地的床单 让人感觉不是很舒服   别的没什么  离考试地方很近 很满意  楼下也有吃的  都不错  总的来说  还不错  ', '短评打分': 5}
{'短评内容': '房间整体格局比较紧凑，非常符合当前社会的低炭环保理念，卫生间整体落地磨沙玻璃，超有感觉！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': 'good!', '短评打分': 5}
{'短评内容': '价格比较有吸引力，但是卫生实在太差，到了晚上窗外一片喧哗，至少持续到十一点，可能和旁边有一家日韩烧烤店有关。', '短评打分': 1}
{'短评内容': '经朋友介绍来这个酒店入住的，住过很多经济型酒店和一些连锁酒店，感觉这个酒店卫生、服务、位置上绝对没说的，特别是酒店人性化的管理，包括我到店有人给提行李，出门有人叫车，还特别交代要注意要票，不要被一些出租车给绕道；真的这个酒店每一位员工想的太周到了，就是一个家的感觉！下次还要入住智胜酒店！', '短评打分': 5}
{'短评内容': '不錯', '短评打分': 3}
{'短评内容': '属于经济型的酒店，没有太多优点，就是交通方便', '短评打分': 5}
{'短评内容': '对面商家及马路吵', '短评打分': 5}
{'短评内容': '房间设施一般，新旧度居中。卫生一般。离工人体育场和酒吧街比较近。其他的没发现有什么优势。如果看演唱会或者玩夜店的。可以将就休息。', '短评打分': 5}
{'短评内容': '进门后一股子说不清道不明的霉酸味道混杂着卫生间的味道，让人犯恶心。', '短评打分': 1}
{'短评内容': '还是很不错的~~', '短评打分': 5}
{'短评内容': '地理位置不错，经济实惠', '短评打分': 3}
{'短评内容': '酒店一般，位置不错', '短评打分': 1}
{'短评内容': '和这个价格比较起来,性价比还是可以的.', '短评打分': 5}
{'短评内容': '还不错，比价方便，适合出差', '短评打分': 5}
{'短评内容': '位置不错，性价比高，就是设施简单了点，没有早餐供应，边上购物不是很方便！卫生间的地太滑了，这个一定要引起注意！', '短评打分': 5}
{'短评内容': '位置很不错,房间设施尚可，冬天的时候暖气挺热。唯一不足的就是卫生间地面太滑，尤其洗完澡后很容易滑倒。', '短评打分': 5}
{'短评内容': '环境很不错，卫生和服务非常好，价格很合适，以后去北京本人还会选择\n', '短评打分': 3}
{'短评内容': '酒店的服务很不错，也挺干净的，设施条件也还行，他的地理位置很合适。', '短评打分': 3}
{'短评内容': '服务态度还可以,酒店的性价比挺不错的,房间的卫生和设施都还比较不错,位置是挺好找的,还是挺不错的酒店.', '短评打分': 3}
{'短评内容': '真是太差啦，第一天到达酒店，暖气坏的，后面住的三天，都是只有十分钟热水，只能每天冰水热水间隔使用，真是悲惨啊，如果不是因为地理位置比较合适，不真的不来这家，还有价比较平易', '短评打分': 1}
{'短评内容': '酒店位置相当不错，娱乐服务太少，设施太一般。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境不错，但有点潮湿，卫生间里有的点异味，别的都还好，服务不错，地段很便利，关键价格不贵', '短评打分': 3}
{'短评内容': '房间挺干净的，位置也特别方便我办事，我就觉得服务人员的服务态度太一般了', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '   酒店位置还好，就是下晚堵车特别厉害，还有酒店的装修老了点，期待有进一步改进', '短评打分': 1}
{'短评内容': '地理位置很好，酒店环境一般', '短评打分': 5}
{'短评内容': '装修比较古朴，没有电梯！卫生间反味很大。', '短评打分': 1}
{'短评内容': '酒店很干净，硬件条件的配备也比较不错，而且位置很好，交通非常的方便，离我要去的地方也很近，很不错。', '短评打分': 3}
{'短评内容': '酒店太小；我在那里住了一个星期卫生没有一次感觉满意的。我还专门测试了一下，我在床头柜下放了张纸，从我住的第一天都最后天都没有扫走。\r\n但是位置很好，离大使馆近。但是都要打车。因为对面有新建的楼，所以很吵。', '短评打分': 1}
{'短评内容': '酒店的服务人员太少了，不过打个电话也能很快赶，还算周到，内部环境也还可以，酒店地理位置挺方便的，不过价格有些偏高。', '短评打分': 3}
{'短评内容': '酒店服务很好，本身环境也还可以，设施一般。就是离地铁站有点远，走路要20来分钟，感觉位置不太方便 ', '短评打分': 3}
{'短评内容': '酒店房间的隔音效果挺差的,其他方面基本上都还可以,装修也比较有特色,价格也比较适中.', '短评打分': 5}
{'短评内容': '订的标准间，虽然是特价房，但是房间有点小，可以说很挤，服务态度还可以，但是反应很慢，通常需要打两遍电话才会送来你想要的东西。最让人抓狂的是打外线电话，基本每天都需要重新要求前台开启外线', '短评打分': 1}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置以及交通都还可以的，酒店的价格还可以接受的。', '短评打分': 5}
{'短评内容': '1', '短评打分': 5}
{'短评内容': '这家酒店蛮经济实惠的，服务人员也挺随和的，房间打扫的也挺干净，设施方面也比较齐全。感觉性价比挺不错的，值得推荐。', '短评打分': 5}
{'短评内容': '这次因为办理签证，又选择了智胜酒店，一进门前台人员一下子认出我之前来过，让我感觉非常的高兴，而且房间的卫生也比上次提高了很多，总之这次入住即温馨又舒服。下次有机会我还是会选择这个酒店的。', '短评打分': 5}
{'短评内容': '酒店的地理位置好，交通比较方便，服务态度也不错，价格也比较优惠', '短评打分': 5}
{'短评内容': '服务挺好，设施有点陈旧，这样的设施价格就有点高了。位置还成，挺方便的', '短评打分': 5}
{'短评内容': '感觉酒店还不错 ，卫生是最好的，特别干净，服务也不错，就是房间太小了，设施比较一般', '短评打分': 5}
{'短评内容': '酒店不好，前台和预定联系差', '短评打分': 1}
{'短评内容': '服务很热情,房间也很舒适,周边交通很便利,价格也适中', '短评打分': 5}
{'短评内容': '酒店的服务不错，也很干净，在配套的硬件设施方面比一般的快捷酒店要好一点感觉，而且也挺方便的，要是在其他城市也有就好了。', '短评打分': 5}
{'短评内容': '除了位置比较便利点,其它都很一般.', '短评打分': 1}
{'短评内容': '酒店各方面感觉都挺不错的,没有遇到舒适不太满意的地方,挺满意的', '短评打分': 5}
{'短评内容': '酒店的服务，环境都挺好的，而且我们要办事所以选择这里，交通挺方便的。', '短评打分': 1}
{'短评内容': '酒店的卫生服务方面都还可以，价格也能接受，就是位置稍微偏点不太好找。', '短评打分': 5}
{'短评内容': '   前几天住的这个酒店，感觉还不错，房间空间也还可以，没有上面说的那么小。\r\n卫生，服务都还好。关键地理位置好。这个酒店性价比相当高，是散客来京游的最佳选择。\r\n', '短评打分': 5}
{'短评内容': '房间小，装修一般', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
