{'短评内容': '挺好的！', '短评打分': 5}
{'短评内容': '挺好的 环境部错，交通方便。购物也很方便，离南京路很近', '短评打分': 5}
{'短评内容': '很好找，交通很方便，离南京步行街很近，下次还会选择', '短评打分': 3}
{'短评内容': '挺干净的，就是晚上空调有点吵，去签证也有点距离，后来是打车去的', '短评打分': 5}
{'短评内容': '在繁华地段这个价格还是很划算的，设施还算可以。', '短评打分': 5}
{'短评内容': '位置很好，性价比很高，很有历史味道，订的景观房很大，设施齐备，但是服务质量尚待改善', '短评打分': 5}
{'短评内容': '酒店不错，位置极佳，交通方便', '短评打分': 3}
{'短评内容': '不错的旅馆，就是价格偏高了点，因为地理位置好吧。', '短评打分': 5}
{'短评内容': '还不错，就是不明白为什么门外都挂着请勿打扰的牌子了，保洁每天还是会超执着地按门铃，直到给予回应XD', '短评打分': 5}
{'短评内容': '酒店性价比还行，但是早餐种类太少啦，酒店位置不错，对初次来上海的人，是个很好的选择。', '短评打分': 5}
{'短评内容': '地理位置很好，就在国际饭店旁边。大堂接待好像是在自己家的客厅里一样，穿着维妮熊卫衣，完全素颜，还以为是私人旅店的老板娘。房间装修很奇怪，镜子周围没有插吹风机的插口，热水壶最近的插口又和壶的插头不配合，厕所的卫生纸架低到坐在那儿够不到。。。不知道是谁设计的，反正是用到什么都想爆笑。', '短评打分': 1}
{'短评内容': '旅馆可以，早餐也不错。位置在市中心，出行方便。', '短评打分': 5}
{'短评内容': '地理位置很好，设施也不错，早餐一般，牛奶是冷的。', '短评打分': 5}
{'短评内容': '酒店位置在市中心，房间和早餐也不错。就是进门处没有无障碍便道，轮椅车要上2格台阶，很费力，也没人帮助，有点像以前招待所的体制。前台较不显眼。', '短评打分': 5}
{'短评内容': '酒店位置很好，房间也不错。就是前台比较不显眼。', '短评打分': 5}
{'短评内容': '帮同事订的，她一直住这家酒店，下楼即是人民广场', '短评打分': 5}
{'短评内容': '同事每次出差都住这家酒店，离人民广场非常近', '短评打分': 5}
{'短评内容': '出行真的很方便，就在地铁出口对面，房间很整洁，物有所值', '短评打分': 5}
{'短评内容': '地理位置超好，房内也挺大的，挺干净的，朋友挺满意的。', '短评打分': 5}
{'短评内容': '很不错的地方！！！！超方便', '短评打分': 3}
{'短评内容': '酒店环境不错，性价比比较高，出行也很方便，早餐还可以', '短评打分': 5}
{'短评内容': '第二次入住，这次的房间比上次还舒服，很好，真是物超所值，舒服，公司同事说要推荐公司签协议。', '短评打分': 5}
{'短评内容': '住了三十多年酒店第一次洗衣服要在送衣服回来时当场付现金的', '短评打分': 3}
{'短评内容': '服务很不错，性价比比较高，房间还是蛮大的，虽然设施有点旧，但还可以接受。\n交通非常方便，出门就是地铁了，打车也很方便。\n如果洗手间的洗手盆能大点，把洗刷的用品能放上，就更加完美了。', '短评打分': 5}
{'短评内容': '同事一直住这个酒店，所以超棒的，她非常喜欢 \n', '短评打分': 5}
{'短评内容': '酒店大堂不怎麼樣,但入住樓層很不錯,毛巾有點舊,但整體尚算簡潔舒適。\n\n交通方便,所以很超值。', '短评打分': 5}
{'短评内容': '酒店非常方便，人们广场8号出口对面就是，早餐也很卫生，用餐环境很好，被褥也干净。只是用吹风机的地方没有镜子，而又镜子的地方又没有电源插座来用吹风机。性价比算是比较高的。', '短评打分': 5}
{'短评内容': '房间一般，但是地理位置绝对好，出门马路对边就是地铁站，出门方便才是最重要的。', '短评打分': 5}
{'短评内容': '交通方便,房间较大,闹中取静', '短评打分': 3}
{'短评内容': '交通方便，二号线人民广场8号出口正对着就是，酒店环境也不错，性价比高。', '短评打分': 5}
{'短评内容': '很不错的，房间宽敞，卫生干净，如果下次还去上海的话，我还会选择上海市体育俱乐部的', '短评打分': 5}
{'短评内容': '交通非常便利，靠近人民广场和南京路步行街，服务也不错', '短评打分': 5}
{'短评内容': '酒店地段很不错。隔壁就是国际饭店。就是单人房马桶的位置不太好。只能侧着身子。房间还算宽畅。交通也很方便，一号线八号出口对面就是。', '短评打分': 3}
{'短评内容': '交通方便，闹中取静，价格适中非常不错的酒店，唯一的缺点是客房没有电吹风不太方便。', '短评打分': 5}
{'短评内容': '老建筑风格酒店，别有一番风味。', '短评打分': 3}
{'短评内容': '感觉不错，价位比较合理，下次还会选择这家酒店', '短评打分': 5}
{'短评内容': 'CITY CENTER. AT PEOPLE SQUARE. CLASSIC ARCHITECTURE STYLE.', '短评打分': 5}
{'短评内容': '同事一直住这个酒店，所以超棒的，她非常喜欢', '短评打分': 5}
{'短评内容': '交通非常便利，周边酒店最低还要700-800，房间不错，下次还住。', '短评打分': 5}
{'短评内容': '酒店价格十分给力，地理位置在市中心，交通非常便利。房间也很好', '短评打分': 5}
{'短评内容': '同事每次都住此酒店，离商圈非常近，而且交通十分方便', '短评打分': 5}
{'短评内容': '酒店地理位置不错，很好找的。房间还比较干净，硬件马马虎虎', '短评打分': 5}
{'短评内容': '清净，干净，地铁近！就是没有吹风机', '短评打分': 3}
{'短评内容': '位置很好，但就是房间小，设施有些陈旧，但是服务还好，手机落下了，打扫的阿姨很诚实的主动还给我', '短评打分': 5}
{'短评内容': '酒店的交通很方便，酒店内部干净，早餐很不错，服务也好，下次有机会还会入住', '短评打分': 5}
{'短评内容': '不错，就在繁华的南京路上，出门就是人民广场的地铁线，非常适合出游、逛街。房间很干净，大床是2米的，卫生间很大，有浴缸，水大。非常值得推荐。美中不足的一点就是洗发水，护发素差，希望改进。', '短评打分': 5}
{'短评内容': '挺好的，欧式风格，干净、安静、交通便利。\n', '短评打分': 5}
{'短评内容': ': 已成功入住，房間很乾淨，附近很方便，惜無保險箱.', '短评打分': 3}
{'短评内容': '还是不错的，酒店的地理位置很好，在黄金周这个价格就挺便宜的了', '短评打分': 5}
{'短评内容': '环境很好，价目格适中。', '短评打分': 3}
{'短评内容': '非常方便的地点，房间乾净，早餐很棒。这是一栋古老的建筑物，如果在国外，肯定卖很贵的价格，唯一缺点就是服务软件太弱了！', '短评打分': 5}
{'短评内容': '很一般的酒店，基本没有服务意识，房间设施看上去是想往四星靠，实际上差的很远，我在房间的衣橱里居然发现一条蚰蜒，也就是地理位置好些罢了。', '短评打分': 1}
{'短评内容': '已入住上海体育俱乐部。谢谢', '短评打分': 3}
{'短评内容': '离人民广场非常近，所以预定，酒店很古典，也很干净，同事住的非常舒心，下周出差考虑再入住。希望可以再优惠一点。', '短评打分': 5}
{'短评内容': '人民广场地铁站8号出口对面就是上海市体育俱乐部，非常方便。出门100多米就是南京东路步行街了，性价比不错。', '短评打分': 5}
{'短评内容': '酒店的地理位置没的说，就在地铁站出口的马路对面，交通很方便。前台服务一般，刷卡机也旧了点，总是刷不出来。2楼的歌厅确实有点儿吵，我住的是观景房，很宽敞，没有压抑感，就是里面的设施和备用品差了点儿，不过可以将就。要是图方便和价位，绝对没的说，要是讲究舒适的话，需要考虑考虑。总体来说可以推荐。', '短评打分': 5}
{'短评内容': '替朋友代订的，地理位置极佳，房间也可以，只是基本无服务。点评非得50字有点过了。搞得我都不想写了，形式主义的东西。。。。。。', '短评打分': 5}
{'短评内容': '人民广场南京西路上，地铁人民广场站8号出口走2分钟即到，非常方便。杜莎夫人蜡像馆就在附近，持动车票二日内对折优惠。房间整洁、装潢尚好。夜间空调有些噪音，不知是空调水流声还是整流阀声音，叫电工关了就可以。总之，性价比较高。', '短评打分': 5}
{'短评内容': '在南京西路上，如果是到南京路办事或游览的话，非常好的选择，价格合理，交通便利！\n\n周边的几家我都住过，这家性价比较好，下次还会去住！', '短评打分': 5}
{'短评内容': '位置很好，太方便了，对面就是人民广场地铁站。住的是六楼单人房，其实是1.8M大床，我们一家三口正好。装修也不错干净、宽敞，酒店也安静，在闹中取静。', '短评打分': 5}
{'短评内容': '酒店还不错，离地铁站也很近，很方便，下次还会去！ ', '短评打分': 5}
{'短评内容': '地点好。房间宽大。早饭还可以。 服务态度也很有好。', '短评打分': 5}
{'短评内容': '酒店不错，位置好，吃喝玩乐都方便。值得推荐', '短评打分': 5}
{'短评内容': '酒店很好，入住很顺利。赞一个！', '短评打分': 3}
{'短评内容': '老酒店，但是地理位置好，什么都方便。可惜用品陈旧了些，希望换新。', '短评打分': 5}
{'短评内容': '挺好的，地段好，出行方便，服务态度也不错~给国外客户订的，住的还是很满意的', '短评打分': 5}
{'短评内容': '位置没得说，后面是黄河路美食街，房间也还可以。', '短评打分': 5}
{'短评内容': '位置非常好，不是专业酒店，服务一般，房间还比较大，性价比可以', '短评打分': 5}
{'短评内容': '酒店位置很不错，房间也还行，性价比高。', '短评打分': 3}
{'短评内容': '地理位置很好，出门左转不到200米就是南京东路步行街了。也的确是在地铁人民广场8号出口，对面过马路就是，只不过我从8号出口出来看了半天，没有发现这个宾馆，门口是上海体育局的牌子，右边是一个商店，左边是一个银行，宾馆的前台在老里面了，害的我东瞅西瞅了半天。离上海一日游通常的集散点也很近，一般在新世界集合，就在出门左手。有的集散点在人民政府，走路也就七八分钟吧。不过乌镇一日游我可是强烈不推荐的。\n这里', '短评打分': 5}
{'短评内容': '体育大厦位置超好，人民广场地铁八号出口对面就是。虽然楼下演艺吧有点吵，但对睡眠好的人影响不大。酒店装修较新，价格对得起这个地段。', '短评打分': 3}
{'短评内容': '地理位置很不错，就是早餐菜忒少了，希望能改进', '短评打分': 5}
{'短评内容': '体育俱乐部就像招待所改建的，所以整体感觉不太到位，有些不够专业，其它各方面也显得很一般.', '短评打分': 3}
{'短评内容': '地理位置非常不错，距离地铁站很近，出行极为方便，其它各方面也不错.', '短评打分': 5}
{'短评内容': '客房干净整洁而且前台办事效率也快，出行挺方便的.', '短评打分': 5}
{'短评内容': '位置好，地段不错，出行挺方便的，就是感觉服务方面有待提高.', '短评打分': 5}
{'短评内容': '性价比不错，而且客房入住率高，挺紧张的，不过好在提前预定，还算满意.', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '：房间很干净。总台服务到位，交通方便。', '短评打分': 5}
{'短评内容': '体育俱乐部就是招待所改的，服务员基本没有服务意识，甚至连酒店最常见的水单都不提供。唯一的有点就是位置好，地铁人民广场8号口出来就是，如果对于位置有特别需求，建议考虑。倘若不是如此，没必要体验。', '短评打分': 1}
