{'descr': '房间有点小，总体还不错', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '很差，很一般。淋浴水下不去。房间内没有空气。', 'star': 1}
{'descr': '酒店位于苏州路边上，房间设施不错，离南京西路步行街不算太远，就是周边交通和生活不方便，离地铁站和公交车站还有些距离。', 'star': 5}
{'descr': '交通非常方便，去南京路等中心地带也很方便，卫生条件还不错。', 'star': 5}
{'descr': '交通便利，干净清洁，价位合理，服务周到，环境优美', 'star': 5}
{'descr': '還好未達到我的要求', 'star': 3}
{'descr': '房间非常小，紧邻马路非常吵，世博期间房价非常贵。', 'star': 1}
{'descr': '房间太小,价格适中,地段可以,交通进出不是很方便,但价格优惠幅度较小', 'star': 5}
{'descr': '还行，就是太小了', 'star': 3}
{'descr': '房间还好，服务也行，就是会有小强出现，希望酒店改进', 'star': 3}
{'descr': '房间如传说中这么小，周边晚上吵', 'star': 3}
{'descr': '酒店可以', 'star': 3}
{'descr': '恩，地段不错，在南京西路商圈边上，吃饭和出租车都很方便，购物也很方便，算是廉价连锁中比较好的了。可以出差的时候住住。', 'star': 5}
{'descr': '位置非常不错，相较于其他连锁酒店，格林豪泰算是不错的了，地点很好，里办公室很近，离商业区也很近，下次还会选择这家来住的。', 'star': 5}
{'descr': '格林豪泰一直是很不错的商务经济型的酒店，这次入住的石门二路店很好的展示了格林豪泰的特色，卫生服务都很到位！', 'star': 5}
{'descr': '＋桌子和网线不在一起的。奇怪的设计', 'star': 5}
{'descr': '酒店位置很中心，但停车不是很方便，服务人员很有礼貌，主动帮助我们停车等，很热情，房间设施一般，早上热水要放很长时间。', 'star': 1}
{'descr': '房间舒适 液晶电视 交通不便', 'star': 5}
{'descr': '还不错，离地铁比较近，不过临街，外面车辆声音都能听到，总的来说是不错的', 'star': 3}
{'descr': '...一般的不能再一般了，。大床房空间很小', 'star': 1}
{'descr': '总体而言满意。房间偏小，靠高架，其他都挺好。', 'star': 5}
{'descr': '除了位置稍微有点不方便，其他 都很不错。环境，卫生及服务态度。', 'star': 5}
{'descr': '位置不太好，不好打车，环境还行，走的时候太早了没来及吃早餐，不知道早餐怎么样', 'star': 1}
{'descr': '酒店地理位置不错，交通方便,卫生设置也不错，值得推荐。', 'star': 5}
{'descr': '不错就是价格有点偏高', 'star': 3}
{'descr': '条件不错，服务也挺好，就是房间里的用品有点旧。', 'star': 3}
{'descr': '酒店环境太差', 'star': 5}
{'descr': '酒店很干净，很舒适。只是打车不太方便，距离地铁不是很远', 'star': 5}
{'descr': '卫生间有蚂蚁！卫生间毛巾等破烂不堪。床单存在未洗干净现象。', 'star': 3}
{'descr': '酒店服务实在不敢恭维！中午入住后发现房间奇小，且床单上有鼻屎，电话三次要求服务员换单，结果晚上回房间还没有换，两次电话后派保安送来床单要我们自己换。连续住四天，要求换一个大点的房间坚决不换，且态度不好，建议酒店加强管理。交通不是便，离地铁转远。', 'star': 1}
{'descr': '还行，太贵了\r\n性价比不是很好 \r\n房间比较小', 'star': 1}
{'descr': '已入住，谢谢！', 'star': 5}
{'descr': '房间好小 窗口还垫着浴巾 估计是漏雨 用来吸水的 ', 'star': 1}
{'descr': '品牌连锁，基本保障质量和卫生，世博期间，价格就不要多议论了。。。没可比性。', 'star': 3}
{'descr': '还可以', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '价格偏高，门口为单行线道路，使用导航仪的自驾游游客要注意寻找。', 'star': 5}
{'descr': '位置很好，服务也不错，房间小巧精致，个人很喜欢，就是世博期间价高了点，下次还会去住', 'star': 3}
{'descr': '位置非常不错，房间小了点，但舒适度很好，下次还会去住', 'star': 5}
{'descr': '经济型酒店在上海都差不多，只是世博期间太贵了！', 'star': 5}
{'descr': '外观很一般，还以为是招待所一类的，但里面还是比较干净舒适的，窗外就是恒丰路桥，车水马龙的，累坏了也没觉得太吵了。离我办事的地方远了一点，号称离南京西路地铁站直线距离800多米，走路化了我20多分钟，累！从南京西路几乎走到火车站了，哈哈！总体来说，住住还是挺好的，就是位置比较偏了。', 'star': 1}
{'descr': '还不错哈，就是房间显得小了些', 'star': 5}
{'descr': '总体感觉都不错，就是房间里面有蚂蚁，不怎么好，服务还是很好的，我和女朋友吃饭的几个餐厅都是服务员介绍的！', 'star': 5}
{'descr': '下了地铁翻个桥10分钟的样子  住的大床房 床很大 房很小  附近有个小饭馆 楼下有卖水果的', 'star': 1}
{'descr': '酒的设施还行,卫生不错,但配套的餐饮档次太差了,就跟大排档一样.\r\n另外我明明订了三间房,也入住了,付了款了,怎么我的帐单上显示的只有一间房的信息呢,我的积分也没了?', 'star': 5}
{'descr': '酒店虽小，还算干净！', 'star': 5}
{'descr': '网上订279，实际293，第一次没经验，回来后与客服联系了，送了几张消费卷，就当积累经验。希望以后价格能和网上一样，环境还是蛮好的，位置也好。。', 'star': 5}
{'descr': '总体来说不错', 'star': 5}
{'descr': '地图上看离地铁站很近，实际要翻越一座大桥，周围也比较荒凉。房间基本情况还好，就是有点小……', 'star': 1}
{'descr': '房间好小，不过服务态度很好。', 'star': 5}
{'descr': '房间有点小，不整齐 ， 隔音不好, ', 'star': 5}
{'descr': '房间有点小，隔音不好', 'star': 5}
{'descr': '服务还好，房间比较小，但是东西很全，交通方便 离市中心很近', 'star': 5}
{'descr': '还不错，就是停车有点不方便', 'star': 3}
{'descr': '地理位置很好，离市区很近，购物方便，房间太小', 'star': 5}
{'descr': '房间小', 'star': 1}
{'descr': '不错的~~离人民广场很近 ', 'star': 5}
{'descr': '总体还行 就是房间好小', 'star': 5}
{'descr': '前台的服务人员效率很高，很短时间内可以处理很多入住需求。设施一般，卫生可以。', 'star': 5}
{'descr': 'Good location for shopping', 'star': 5}
{'descr': '经济快捷的连锁酒店~还办了张会员卡~下次还会来的哈哈', 'star': 3}
{'descr': '方便快捷出差首选', 'star': 5}
{'descr': '位置还可以，但服务一般。\r\n', 'star': 5}
{'descr': '交通比较便利，离市中心不远。', 'star': 5}
{'descr': '没暖气用空调还是很冷哦。\r\n空调噪音有点大。', 'star': 1}
{'descr': '就在苏州河边，过桥再走几分钟就到了地铁汉中站，交通还是很方便的。酒店打扫得很干净，但是不足的就是单人房有可能正对着过河的大桥，距离实在很近，完全没办法开窗。', 'star': 5}
{'descr': '就是房间稍微小了一点，停车不是很方便。不过其他都挺好。\r\n没吹风机，下次要自己带', 'star': 5}
{'descr': '用餐打车不是很方便', 'star': 1}
{'descr': '价格相对低，环境位置好！靠近马路的房子太吵！', 'star': 5}
{'descr': '不值得推荐', 'star': 1}
{'descr': '经济型酒店吧', 'star': 5}
{'descr': '离上海火车站很近，离梅龙镇广场也很近，走过去15分钟左右，去梅龙镇美国面签的话，住这里很方便', 'star': 5}
{'descr': '酒店的硬件和服务条件都比较不错的，环境也挺好的，价格适中，位置也算是比较方便的，如果还到这个附近，还是可以考虑的。', 'star': 3}
{'descr': '很好', 'star': 5}
{'descr': '房间隔音效果稍低些，下次去上海还会选择入住格林豪泰（上海石门二路店）', 'star': 5}
{'descr': '房间有些小设施还是比较不错的,服务还是可以,位置挺好找的出行也很方便,性价比还是比较不错.', 'star': 3}
{'descr': '蛮舒服，就是位置离地铁要走20分钟左右。配套的服务比较少', 'star': 5}
{'descr': '网速实在太慢了，回到拨号时代了。', 'star': 5}
{'descr': '由于附近在修路,酒店外围灰尘太大,酒店门前只可能2-3辆汽车,如果以满需停在旁边需付20元.', 'star': 3}
{'descr': '附近在维修道路,酒店外环境比较差,不过去德国大使馆需要走20分钟!', 'star': 5}
{'descr': '方便、性价比高。', 'star': 5}
{'descr': '衛生非常好,服務員勤快,能及時整理房間,服務台服務員能幫客人及時解決問題,态度誠懇.唯一就是浴室內只有一只頭頂大花灑,如不想洗頭就會有些困難.', 'star': 5}
{'descr': '酒店的环境硬件设施都比较不错，挺新的，位置比较好。价格还算便宜。房间的配置硬件设施舒适度也算达标，整体来讲算是比较不错。在上海算是比较超值的了', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '环境挺舒适的，价格也合适，挺不错的酒店', 'star': 5}
{'descr': '酒店里挺干净的，服务也不错，地理位置也比较好，很方便，价格适中，就是酒店外面现在在装修，脚手架什么的有点乱，其他都不错。', 'star': 5}
{'descr': '酒店的环境硬件设施都比较不错，位置出行交通方便。价格合理适中。房间的配置硬件设施舒适度也比较达标，整体来讲算是比较不错的酒店可以推荐入住。我下次过去会考虑再次入住。', 'star': 5}
{'descr': '酒店的硬件还算可以，服务环境还不错，而且我对那边还算比较了解的，所以选了这个位置，交通还是挺方便的。', 'star': 5}
{'descr': '配套硬件不齐全像是吹风机酒店就没有，停车场酒店内部就没有，环境卫生都还不错，出行交通也很方便，价格比较适中，整体来讲还都不错，值得推荐入住的酒店类型。', 'star': 5}
{'descr': ' 单人房很小，但是设施非常精致', 'star': 5}
