{'短评内容': '卫生还好，房内温暖都不用开空调', '短评打分': 5}
{'短评内容': '房间太小，还算干净，房间空气很差，希望能有所改进，价格有点贵', '短评打分': 5}
{'短评内容': '总体还是不错的，性价比还是高的，又位于闹市区', '短评打分': 5}
{'短评内容': '简洁，反现比较麻烦，最好能简单就好，操作越简单越好', '短评打分': 5}
{'短评内容': '还不错的，交通很方便，楼下就有很多的士可以打，如果要逛逛街，也很方便', '短评打分': 5}
{'短评内容': '酒店干净，虽然有点小但是挺温馨的，第二天因为网络的问题免费升级到商务大床，服务挺好的', '短评打分': 5}
{'短评内容': '房间太小了，那天还没有电梯，5楼啊，跑上跑下累死!', '短评打分': 1}
{'短评内容': '三次入住如家，感觉还不错，只是电梯坏了，给我创造了一次难得的运动机会', '短评打分': 3}
{'短评内容': '余姚酒店特别贵，这里性价比很高，交通方便！', '短评打分': 5}
{'短评内容': '酒店还不错了，在市区，很方便的一个酒店。', '短评打分': 5}
{'短评内容': '简单，干净，舒服，服务一般，商务大床房空气好！', '短评打分': 5}
{'短评内容': '位置确实不错！就是隔音太差了！晚上都凌晨了噪音还很大！卫生和服务都不错！', '短评打分': 5}
{'短评内容': '小小的，还是蛮舒服的，上午真的有点吵，工作人员工作可以理解，', '短评打分': 5}
{'短评内容': '不错 干净 实惠 地段好 就是隔音效果差', '短评打分': 5}
{'短评内容': '帮出差的同事订的，没有收到投诉，应该还是不错的。', '短评打分': 5}
{'短评内容': '出差住过的最袖珍版酒店，但“麻雀虽小五脏俱全”，房间内设施很齐全。也很干净整洁，适合一个人出差居住，比较实惠。应该算是在余姚市中心，晚上可以出去逛逛街。', '短评打分': 5}
{'短评内容': '＋总体不错，就是服务员工作效率不行！', '短评打分': 3}
{'短评内容': '值房价。。房间偏小，个人居住还行，房间内空调电视都正常可以使用，就是隔音确实不是很好。', '短评打分': 5}
{'短评内容': '退房办理手续, 动作比较快, 房间虽小,但干净卫生. 隔音不太好, 总体还行', '短评打分': 5}
{'短评内容': '挺干净的,就是隔音真的不太好, 隔壁还有楼上的洗漱下水, 半夜哗啦哗啦响.', '短评打分': 5}
{'短评内容': '继承如家的风格：房间整洁，服务热情，设施较好-经济型酒店的作风。', '短评打分': 5}
{'短评内容': '小，但却很干净整洁，的确隔音不是很好，但也不影响住宿，总的来说，挺不错的', '短评打分': 5}
{'短评内容': '还蛮干净的，整体不错，不过特惠大床房真的好小，随便住住也行的，至少麻雀虽小，五脏俱全，不过隔音效果是真的太差了点。总体还行', '短评打分': 5}
{'短评内容': '非常赞的一次！很温馨，卫生做的特别干净，通行的阿姨都说非常好！下次去余姚还是选择如家，交通十分便捷，虽然没有早餐供应，但周围很多吃的倒是增色不少~', '短评打分': 5}
{'短评内容': '一如既往的。。。不是第一次了。。。不错', '短评打分': 3}
{'短评内容': '房间小，隔音差，服务差。刚开始还给了我一个窗户对着员工更衣室的房间。', '短评打分': 3}
{'短评内容': '记得是4029 十余年来在全国住过最最最迷你的如家  宽2米5  长3米的房间+卫生间', '短评打分': 1}
{'短评内容': '问服务员2点退房多少钱说加一半房费，钟点房4小时才80，郁闷。以后一定不住这家了，', '短评打分': 3}
{'短评内容': '房间比较小，还算干净，房间隔音不好。性价比不如7天及汉庭。', '短评打分': 5}
{'短评内容': '房间还不错，设施齐备，就是隔音效果不太好', '短评打分': 3}
{'短评内容': '住的是标间，很舒服，窗外景色也不错。电信的数字电视，有回放功能，就是隔音效果不太好，早上外面的人退房很吵', '短评打分': 5}
{'短评内容': '不错的酒店, 干净卫生, 最好在酒店公共区域禁烟.', '短评打分': 5}
{'短评内容': '1, 酒店位置不错 2, 房间确实隔音不佳 3, 床和被褥不错 ', '短评打分': 5}
{'短评内容': ' 嗯…整体挺不错的…房间不小…床够大…很舒适…', '短评打分': 3}
{'短评内容': '房间很干净，也很温馨，电视小了点，但是节目很多！', '短评打分': 5}
{'短评内容': '我住的是特惠房，隔音效果很差，其他都还好。   ', '短评打分': 1}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '地理位置优越，环境舒适，隔音效果有点差，其他都还好，性价比比较高了', '短评打分': 5}
{'短评内容': '没有早饭，一点都不如家，网络也不通。', '短评打分': 3}
{'短评内容': '比较温馨，\n大床特惠房，隔音效果不怎么好/', '短评打分': 5}
{'短评内容': '服务周到，卫生整洁，最好提前预定，要不到酒店就没优惠房了', '短评打分': 5}
{'短评内容': '虽然房间小点，但是挺安静，挺温馨的，宜家还是挺不错的一个品牌', '短评打分': 5}
{'短评内容': '嗯，挺好，挺不错的，交通也很方便的，下次还会去住的，好', '短评打分': 5}
{'短评内容': '嗯，挺不错的，而且交通非常的方便，附近那个 烧鸭店味道不错，下次还会去的', '短评打分': 5}
{'短评内容': ' 房间干净，还不错', '短评打分': 3}
{'短评内容': '酒店很干净，服务热情，交通方便，附近的街道吃饭的地方很多，推荐。', '短评打分': 5}
{'短评内容': '隔音有点差。。不过总体很好。。交通方便布置很温馨', '短评打分': 5}
{'短评内容': '地理位置挺好的，附件很多小吃店和饭店，推荐入驻', '短评打分': 5}
{'短评内容': '在市中心，出行很方便。室内装修很温馨，被子也挺舒服。就是隔音不太好，隔壁讲话都能听到。', '短评打分': 5}
{'短评内容': '环境还可以,就是无窗,有点压意,下次还会考虑住,相对于其他地方,这家有点小贵', '短评打分': 5}
{'短评内容': '单纯只是住房，没问题，只是隔音效果差了点。。。。现在大多的酒店都如此。。', '短评打分': 3}
{'短评内容': '干净，整洁，舒适，交通方便。', '短评打分': 3}
{'短评内容': '挺干净，装修颜色很温馨，如果空间再大点的话就更好了', '短评打分': 5}
{'短评内容': '很不错，房间布置得很温馨，看起来也很干净。性价比在余姚算是比较高了。就是房间比较小，但是这可以接受。好像房间有点闷，主要是没有对外的窗户的原因，但是总体来说还是非常满意的。以后如果需要住店，还会再来', '短评打分': 5}
{'短评内容': '隔音有点差，其他还不错。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '值得推荐，不过房间隔音差了点，听得到隔壁间的动静', '短评打分': 5}
{'短评内容': '酒店还是比较新的，出行什么都比较方便。但是房间的隔音效果实在是不敢恭维。', '短评打分': 1}
{'短评内容': '环境还好  就是房间小了点  门头在小巷子里', '短评打分': 5}
{'短评内容': '之前在这里住了两天，这次是给朋友定的，总体还可以，房间换是很小，隔音效果也一般。', '短评打分': 5}
{'短评内容': '物超所值，值得推荐，不过房间隔音差了点，听得到隔壁间的动静', '短评打分': 5}
{'短评内容': '还不错，比较干净，不过遇到停电，耽误的时间比较长了点，这个希望以后改进', '短评打分': 5}
{'短评内容': '很不错。内部装饰很好，很温馨。服务也不错。酒店地理位置也不错。', '短评打分': 5}
{'短评内容': '有家的感觉.就是隔音不咋的。', '短评打分': 3}
{'短评内容': '酒店位置不错，楼下就是商业街、房间比较小，没有早餐，停车位很少。', '短评打分': 5}
{'短评内容': '经济实惠，房间很温馨，浴室也很干净···', '短评打分': 5}
{'短评内容': '我是在网上的订的酒店，房间就是隔音效果真的有点差，电梯反应有点慢，就是结账的时候没有消费单，还是不错的', '短评打分': 5}
{'短评内容': '还不错，挺干净的，温馨舒适，价格也比较的实惠', '短评打分': 5}
{'短评内容': '感觉整体还不错,价格也实惠.唯一不足的是被子太厚', '短评打分': 5}
{'短评内容': '环境还可以的，就是隔音效果有点差，还算是经济实惠吧', '短评打分': 5}
{'短评内容': '环境不错、就是有点难找、内部结构不错、下次还会入住、', '短评打分': 5}
{'短评内容': '还可以挺干净，就是停车不方便。20202020202020202020个字\n', '短评打分': 5}
{'短评内容': '房间整洁、干净。但是没有停车场很不方便。', '短评打分': 5}
{'短评内容': '隔音效果不是很好。\n其他都还不错，环境比较清新，干净整洁。', '短评打分': 5}
{'短评内容': '1.位置处于南站和北站之间,从火车站过来的话,坐公车只要4-5站,打车只有起步价,很便利.\n2.我订的是无窗大床房,还可以,干净整洁,惟一不足的是,有窗,在走走廊处.', '短评打分': 5}
{'短评内容': '酒店就在南雷路上，比较繁华，临街店铺比较多，但是住在5楼丝毫没有感觉到外面的吵闹。房间不大但比较简洁，下次来还可以考虑。', '短评打分': 5}
{'短评内容': '很干净，服务人员态度良好，电梯的速度稍慢了点，都要等上一段时间。', '短评打分': 5}
{'短评内容': '总体还可以吧 就是隔音不怎么好！服务价格还可以，希望可以改进隔音', '短评打分': 5}
{'短评内容': '还不错...', '短评打分': 3}
{'短评内容': '商务大床房还是不错的.\n空间比较大\n如家的服务不错, 有些小细节比较注意, 比如牙刷,牙膏. 刷牙的杯子分不同颜色.\n还送矿泉水,进房间口渴正好喝', '短评打分': 5}
{'短评内容': 'ggjj......................................................................................', '短评打分': 5}
{'短评内容': 'gjing..............................................gjing..........', '短评打分': 5}
{'短评内容': '不错，交通挺方便，还算干净。以后还会再次入住', '短评打分': 5}
{'短评内容': '酒店条件不错.很干净.\n离高速出口5KM, 我是从舟山往杭州的途中去入住的, 还算方便.\n东边有条小街, 可以吃早点.\n最大的问题: 房间的隔音效果有点差', '短评打分': 5}
{'短评内容': '干净，整洁。很温馨，很不错！再稍微大一点就更好了！', '短评打分': 5}
{'短评内容': '干净，整洁，服务态度好，交通方便。下次还是住这里', '短评打分': 5}
{'短评内容': '总体来说价格优惠，性价比高。很有家的感觉', '短评打分': 5}
{'短评内容': '房间小小的，很有家的感觉，值得推荐，算是余姚比较好的经济酒店了', '短评打分': 5}
{'短评内容': '小巧干净', '短评打分': 3}
{'短评内容': '很新的酒店，房间不大，但很温馨，配置合理，很干净，电视节目很好，可以点播大片，洗手间有吹风机，配置很全的宾馆，非常好，下次再会入住', '短评打分': 5}
{'短评内容': '我会支持如家酒店，如家是一个上市公司，\n我很喜欢如家酒店，我出差都住如家，因为环境很好，卫生也不错，就是房间小了点，哈哈。\n', '短评打分': 5}
{'短评内容': '房间很好，很干净', '短评打分': 3}
{'短评内容': 'gjing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,', '短评打分': 5}
{'短评内容': '还不错，房间挺干净整洁的，就是房间有点点小，里面的电视机也有点小，不过前台服务员的态度很好哦，值得推荐！', '短评打分': 5}
{'短评内容': '性价比好，以后如果出差去余姚的话，还会去住的哦。', '短评打分': 5}
{'短评内容': '性价比很高，离我这次出差去的客户那里也很近，以后如果出差去余姚还是会去住。', '短评打分': 5}
{'短评内容': '环境卫生都很不错，房间空间小了点，132的房间，合适我们出差的人消费，嘻嘻', '短评打分': 5}
{'短评内容': '淋浴房的装修设施很不错，但是走廊的隔音效果不是很好，', '短评打分': 5}
{'短评内容': '环境还OK，卫生间的颜色很OK，我很喜欢淋浴房的设施', '短评打分': 5}
{'短评内容': '性价比还可以，就是特价房的窗是面向走廊，房间以及房间的洗手间的隔音不是一般的差啊', '短评打分': 5}
{'短评内容': '服务态度很好，推荐！而且房间干净整洁，只是有些不隔音，还需改进！', '短评打分': 5}
{'短评内容': '酒店位置好，房间小但是很干净，很温馨的哦\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店位置好，房间小但是很干净，很温馨的哦', '短评打分': 5}
{'短评内容': ' gangjing ..............................', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '一贯的干净整洁，只是疏忽了，浴帘没装，导致洗澡水外溅', '短评打分': 5}
{'短评内容': '干净...........................', '短评打分': 5}
{'短评内容': '价格变得太快了，我第二天住的房间比原来要贵100多', '短评打分': 1}
{'短评内容': '酒店新装修的很干净，服务态度很好。缺点是窗户关不上有点吵', '短评打分': 5}
{'短评内容': '交通挺方便，房间太小，电梯太慢，隔音效果一般', '短评打分': 5}
{'短评内容': '干净..................', '短评打分': 5}
{'短评内容': '干净,出行方便................................', '短评打分': 5}
{'短评内容': '不错啊，值得推荐，干净，整洁。。。。。。。。。。\n', '短评打分': 5}
{'短评内容': '不错的酒店阿，服务态度满好的阿。。。。。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '房间很干净，也很舒适，装修也很新，就是隔音效果不太好', '短评打分': 5}
{'短评内容': '不错啊，值得推荐，干净，整洁。。。。。。。。。。', '短评打分': 5}
{'短评内容': '如家，全国都一样...\n不错 蛮安静的...', '短评打分': 5}
{'短评内容': '第二次来住了，感觉还不错，这次住的是特价房，屋内设施不错。与我在日照等地方住的感觉一样，相信品牌的力量', '短评打分': 5}
{'短评内容': '房间很干净。就是小了点。', '短评打分': 3}
{'短评内容': '酒店装修比较新，摆设确实有“如家”的感觉，服务员态度不错，推荐入住！', '短评打分': 5}
{'短评内容': '隔音太差,其他还好,纵酒噶几,,,,,,,', '短评打分': 5}
{'短评内容': '住宿还可以，不过可能由于最近刚装修完，房间味道很重', '短评打分': 5}
{'短评内容': '位置蛮好的，房间偏小，隔音太差，设施都需要改进', '短评打分': 5}
