{'短评内容': '方便', '短评打分': 5}
{'短评内容': '干净卫生   环境很好              各种娱乐的游戏    还有每天固定时间播放电影\n', '短评打分': 5}
{'短评内容': '1.酒店服务。这是汉庭旗下的一个子品牌，必须会员预订才能入住，不接受前台现场非会员订房，比较独特的规定。我6月20日到了之后，问店面地址，服务生比较热情，虽然烟台话有一点，指点方向全部用东南西北，不用地名，北方人的特点。接待和退房，服务都很好。唯一要注意的是，入住后，我得到的答复是，必须退房后，才有人清理卫生，平时都是你自己动手清理。\n2，日用品。切记此条，日用品千万自带！！！酒店不免费提供一次性', '短评打分': 5}
{'短评内容': '价钱还不错，但是房间真的很小，环境也行，不过要自己带洗漱用品哦~', '短评打分': 5}
{'短评内容': '条件可以', '短评打分': 3}
{'短评内容': '这个酒店很神奇，房间不大，20平左右吧，一个人住还不错，两个人有点挤，情侣就例外了。你们懂得。 有免费的上网（一个小时）还有免费的无线网，价位也很便宜，适合出差的人或是自费旅游的年轻人。 \n重点说说缺点吧：\n第一，不能多开发票，如果真需要就是得买他们的东西，一包外面卖7块的红塔这边卖10元。出差的人纠结吧。没法。\n第二，没有免费的一次性洗漱用品包括拖鞋，要单买，每样一元钱。（毛巾是免费的）浴巾太小', '短评打分': 5}
{'短评内容': '服务态度不错，很干净，交通便利，就是白天停车不方便', '短评打分': 5}
{'短评内容': '酒店位置好，房间设施也不错，温馨，舒适，适合商旅人士，情侣住宿！', '短评打分': 5}
{'短评内容': '酒店环境卫生都不错，还可免费玩台球，上网等娱乐设施，地段繁华，离振华等大型商厦和超市都很近，购物便利，住的舒适。推荐..', '短评打分': 3}
{'短评内容': '空间比较紧凑，但是很干净，没有拖鞋，也没有洗漱用品，性价比一般。', '短评打分': 3}
{'短评内容': '酒店位置好，房间还可以，就是房间小了些！', '短评打分': 5}
