{'短评内容': '性价比最高', '短评打分': 5}
{'短评内容': '经常住的酒店，三环边离地铁也不远，不错，但是为什么同价钱的五楼豪华单间与七楼的豪华单间房间面积不一样？下次住希望直接给我七楼的房间（我住的731）', '短评打分': 5}
{'短评内容': '。第二次入住，很满意。附近吃饭，出行也方便，好打车。', '短评打分': 3}
{'短评内容': '位置不错，房间不错。交通非常便利，值得向大家推荐。', '短评打分': 5}
{'短评内容': '离家很近的宾馆，招待朋友非常好。朋友每次来，必住。', '短评打分': 5}
{'短评内容': '，房间很干净，很温馨，让人一眼想到的就是洁白的床单，可以安心入睡，非常便捷舒适！', '短评打分': 3}
{'短评内容': '酒店环境，设施都挺好的，比较温馨舒适，物有所值！', '短评打分': 5}
{'短评内容': '酒店性价比不错，位置还行，没有餐厅，离地铁站稍远，走路至少10分钟。房间面积不大，还算干净，最大的问题在于隔音效果不好，隔壁人说话听的清清楚楚。', '短评打分': 5}
{'短评内容': '卫生环境不错，比那些商务酒店好多了，在北京的严冬感受到了温暖，服务态度也很好。缺点就是隔音效果差，希望有改进', '短评打分': 3}
{'短评内容': ' 还行,交通便利。', '短评打分': 3}
{'短评内容': '已入住，房间条件还不错', '短评打分': 3}
{'短评内容': '总体不错.多次入住.\n待改进的好象卫生有点敷衍...\n', '短评打分': 5}
{'短评内容': '位置不错,多次入住.但新发现一个问题.房间隔音效果不是太好.', '短评打分': 5}
{'短评内容': '换了一间阳关房.比阴面的微大,感觉不错.', '短评打分': 5}
{'短评内容': '酒店总体不错\n服务员态度也好\n缺点是没有餐厅', '短评打分': 3}
{'短评内容': '位置不远不近。酒店没有餐厅，真够“商务”的。房间还算整洁，但是也不大。', '短评打分': 5}
{'短评内容': '地理位置还算不错，离十号线牡丹园地铁站大约需要步行15分钟。算可以的了。\n门面不算奢华，房间还算过得去，不算太大。但是整个酒店确实是“商务”的，竟然没有餐厅！早中晚饭一概没有。', '短评打分': 5}
{'短评内容': '环境不错的商务酒店.但不足的是浴室稍微差一点儿.', '短评打分': 5}
{'短评内容': '性价比高，周报有菜场饭店，吃饭什么的都很方便，就是离地铁有点远，要走10分钟左右。', '短评打分': 5}
{'短评内容': '帮朋友定的酒店，朋友反馈不错，还会再定。', '短评打分': 5}
{'短评内容': '房间环境还可以，交通也方便，可惜没有含早餐', '短评打分': 5}
{'短评内容': '随便住住还行，在北京性价比还行吧。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '以前来过2次，印象都不错。交通方便，安静,周遍吃饭的地方多,服务态度不错.所以这次选他,但这次来价格涨了,感觉卫生变差了,一些设施也坏了(比如浴室门关不严,猫眼坏了,卫生间还有小虫).', '短评打分': 5}
{'短评内容': '印象不好 卫生条件堪虞', '短评打分': 3}
{'短评内容': '交通方便，机场大巴北太平庄下，十分钟步行，性价比还好', '短评打分': 5}
{'短评内容': '环境较好，服务也比较好，价格稍微高了些，交通方便。', '短评打分': 5}
{'短评内容': ' 交通不是很方便，周围有个美廉美，没有冰箱不是很方便', '短评打分': 1}
{'短评内容': '常客了，每次来北京一般都会选择这里。房间挺大的，性价比很高。周边也很方便，有超市和菜场，还有很多吃饭的地方。', '短评打分': 5}
{'短评内容': '交通方便，物有所值。广告上说“五星级的享受”言过其实。前台服务热情，一楼餐厅很方便。离地铁站大约一公里。', '短评打分': 5}
{'短评内容': '服务很好,特别是一楼的男生女生.', '短评打分': 3}
{'短评内容': '酒店还行，就是不能容忍毛巾旧的连毛边都掉线了，与宣传的还是有差距的，卫生还需弄的更好些\n', '短评打分': 5}
{'短评内容': '不错\u3000 ', '短评打分': 3}
{'短评内容': '酒店外观很差，里面房间设施还行，水龙头水不大，有蚊子', '短评打分': 5}
{'短评内容': '条件不错，价格适中，美中不足的是早餐太差，改善一下就好了。', '短评打分': 5}
{'短评内容': '此酒店真的不错，从前台服务到室内卫生都可以。', '短评打分': 5}
{'短评内容': '环境不错，房间也很干净，周报有很多饭店，还有菜场，非常方便。出差的常选。', '短评打分': 5}
{'短评内容': '环境不错，房间也挺大，周边也很方便，有很多饭店，还有菜场。每次出差的常住选择。', '短评打分': 5}
{'短评内容': '性价比相当不错，房间住得很舒适，很安静，下次还来住。', '短评打分': 5}
{'短评内容': '酒店条件很好 可以去住 很好。 \n\n下次还去那里住', '短评打分': 5}
{'短评内容': '酒店房间很宽敞，配备很到位，是一家标准的商务级酒店，性价比适中，值得推荐！', '短评打分': 5}
{'短评内容': '已经入住，感觉还不错。', '短评打分': 3}
{'短评内容': '环境不错，房间不错，总体感觉比较好；不过如果房间能更大点就更好了。', '短评打分': 5}
{'短评内容': '非常不错，以后还会住的，期待性价比更高些', '短评打分': 5}
{'短评内容': '住宿条件不错 \n对得起这个价格\n\n餐厅很一般 还贵 \n所以都不在餐厅吃 \n\n', '短评打分': 5}
{'短评内容': '环境不错空间宽敞', '短评打分': 3}
{'短评内容': '还行，没有以前好了。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '＋维也纳北京花园路店很好', '短评打分': 3}
{'短评内容': '很宽敞，设备不错，装修还行，值得推荐.....', '短评打分': 5}
{'短评内容': '周边环境不错，酒店卫生很好，服务一般，房间有股胶粘剂的味道，希望以后这种房间通风一段时间后才让住客入住。', '短评打分': 5}
{'短评内容': '现在服务没有以前好了、也没有以前干净了。。。。。。。总体还行', '短评打分': 5}
{'短评内容': '交通便利，环境也不错，楼下餐厅的东西一般，总的来说，性价比还不错', '短评打分': 5}
{'短评内容': '还好，还不错，比较适 还好，还不错，比较适', '短评打分': 5}
{'短评内容': '总体性价比较高！交通餐饮方便！酒店陈设环境较为舒适！', '短评打分': 5}
{'短评内容': '房间很舒适，性价比高，是这个价位最好的酒店了。', '短评打分': 3}
{'短评内容': '设施比较好，而且地铁也方便，附近吃饭也比较方便，推荐！', '短评打分': 5}
{'短评内容': '和其他分店一样的干净，舒适，还有地下停车场。但就是房间有点陈旧，感觉有些设施老化。', '短评打分': 3}
{'短评内容': '性价比不错。\n浴室的淋浴需要改进，一个问题是水量小，另一个问题是水温变化，使得淋浴变成了很不愉快的体验。\n别的方面都不错。位置好，周围吃饭的地方不少，花园路环境也好。\n', '短评打分': 5}
{'短评内容': '酒店周边饭馆很多，还有超市。住宿的感觉还算是舒适，但是用的毛巾可能是时间长了原因颜色发灰，好像洗不出来似的。整体还算满意。', '短评打分': 5}
{'短评内容': '住过很多次了，各方面都还可以，不过年底涨价了。', '短评打分': 5}
{'短评内容': '很好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '房间比较干净，周围小吃比较多，房间比较干净，周围小吃比较多，', '短评打分': 5}
{'短评内容': '设施不错，交通很方便，服务也很好，将来还会入住，希望继续努力。', '短评打分': 5}
{'短评内容': '还不错，房间设施比较齐全，有点小，服务态度不错！值得推荐！', '短评打分': 5}
{'短评内容': '服务不太好,电视太差,卫生间纸巾两天收拾房间都没有检查，经提醒后才放入新的纸巾。', '短评打分': 1}
{'短评内容': '酒店不错，很温馨，很干净服务很好，下次来了还去那住！', '短评打分': 5}
{'短评内容': '地方不错，周围吃饭很方便，交通比较方便，离地铁比较近', '短评打分': 5}
{'短评内容': '朋友说还不错，地理位置很好，在北三环和四环中间，周边就餐也方便，还有个美廉美超市。', '短评打分': 5}
{'短评内容': '性价比很高 各个方便都不错 下次还会入住', '短评打分': 5}
{'短评内容': ' 不错…', '短评打分': 3}
{'短评内容': '维也纳酒店（北京花园店）感觉不错的，到办事的事情方便，交通一般，卫生较好，早餐一般，商务来说吧也还行了。', '短评打分': 5}
{'短评内容': '感觉不错的，到办事的事情方便，交通一般，卫生较好，早餐一般，商务来说吧也还行了。', '短评打分': 5}
{'短评内容': '整体感觉不错，以后还住，最近也常常住.只是服务员动作有点慢。', '短评打分': 5}
{'短评内容': '  离地铁站位置较近，附近也有不少吃饭的地方，比较方便；\r\n  但是床单看起来不是很干净，不知道是不是前面客人退房后没有更换', '短评打分': 5}
{'短评内容': '酒店挺安静房间大小还可以电梯的地板需要加强卫生', '短评打分': 5}
{'短评内容': '+房间不错性价比高', '短评打分': 5}
{'短评内容': '房间很舒服，床的软硬度很合适，就是觉得中央空调有点冷，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店不错 特别是白天房才100元 很干净 房间也很大 比速8之类的好多了', '短评打分': 5}
{'短评内容': '性价比很高 各方面都很不错 五星享受二星价格 ', '短评打分': 3}
{'短评内容': '性价比很高 各方面都很不错 五星享受二星价格 ', '短评打分': 5}
{'短评内容': '酒店位于花园路 出行十分方便 酒店内设施也不错的 而且很宽敞的 下次还住这里 价格稍贵了点', '短评打分': 5}
{'短评内容': '还不错,比如家要好,下次再去住,就是略显陈旧.', '短评打分': 5}
{'短评内容': '下了地铁LINE 10牡丹园，走了有些久才找到，中间地方应该放个标示牌引导下客人。最开始的那段“花园路”很脏，好像是市场吧！心里犯嘀咕，该不会酒店那边也很乱。刚写到这里，忽然一个服务生没有敲门就冲进来了，我吓坏了，她说看下消费品是否补齐了，她连说“不好意思培”，看来酒店培训要加强。无乱任何时候，进来客人房间都要敲门。破门而入的情况有点让我吃惊', '短评打分': 3}
{'短评内容': '我和朋友住这里一个星期左右，酒店服务态度非常好，处理事情也很灵活', '短评打分': 5}
{'短评内容': '，房间稍小，还方便。', '短评打分': 3}
{'短评内容': '，钟点房能订吗？', '短评打分': 5}
{'短评内容': '还可以，只是价格高了点。最好早餐能更加丰富一些。', '短评打分': 5}
{'短评内容': '下了地铁LINE 10牡丹园，走了有些久才找到，中间地方应该放个标示牌引导下客人。最开始的那段“花园路”很脏，好像是市场吧！心里犯嘀咕，该不会酒店那边也很乱。刚写到这里，忽然一个服务生没有敲门就冲进来了，我吓坏了，她说看下消费品是否补齐了，她连说“不好意思培”，看来酒店培训要加强。无乱任何时候，进来客人房间都要敲门。破门而入的情况有点让我吃惊', '短评打分': 5}
{'短评内容': '网络很慢，8楼噪声比较大，而且房间比较小，其他楼层都还不错。', '短评打分': 5}
{'短评内容': '还可以，但完成预定后又涨价很不好！尽管只有10元，但有违诚信！', '短评打分': 3}
{'短评内容': '房间很大，干净，床也很宽敞，是两张大床，不足之处在卫生间，墙地砖比较老旧，靠床的一侧是磨砂玻璃，很不方便。若是一家三口，洗澡得要注意避讳。', '短评打分': 5}
{'短评内容': ' 屋内空间大,宽床,光线充足,挺不错', '短评打分': 5}
{'短评内容': '已经确认了的订单为什么还要涨价？尽管10元不多，但于诚信有问题。不知道是E-long涨价还是酒店涨价？另外，客人到店了却查不到预订，问题出在哪里？', '短评打分': 1}
{'短评内容': '不错的酒店，房间比较大，商务出行的首选，浴巾好换了，跟深圳总部有差距。酒店附近吃饭的地方挺多，不过找附近传说中的包子店结果没找到，', '短评打分': 5}
{'短评内容': '性价比不错。床也很舒适。只是房间有些空荡荡。', '短评打分': 5}
{'短评内容': '不到300,278能住到这么大房间的酒店不错。可是地板太旧，一开始很不习惯。后来还好，床舒服，床上用品档次比如家之类的要好很多。', '短评打分': 5}
{'短评内容': ' 酒店挺好，比北京有些五百价位的酒店还要好很多。以后只要来北京都会住这里。', '短评打分': 5}
{'短评内容': '条件很好，服务态度也很好，床又大又舒服，性价比很好，走路10分钟到地铁站，有商场和超市！卫生也可以，在经济型酒店中算是很好的了！顶~', '短评打分': 5}
{'短评内容': '房间很大，卫生也不错，性价比不错。就是设施稍微有点旧了，感觉没有深圳的维也纳好', '短评打分': 5}
{'短评内容': '服务员态度极其的差，没见过这么对客人的，要这要那的，太死性！房间也没有说的那么好 性价比差。', '短评打分': 1}
{'短评内容': '各方面表现较为平均，只能说商务住宿还不错，性价比在北京这个地段也就这样了。。。唯独不能忍受的是网络，有时候飞快，有时候网联着却断线，这个搞的很郁闷，影响了工作，个人感觉。。。', '短评打分': 5}
{'短评内容': '这个位置性价比比较高的一个酒店，虽然不含早餐，但附近可吃的东西不少，如果是在附近办事，可以住', '短评打分': 5}
{'短评内容': '设施齐全，在京城按性价比来说还有位置来说都算比较高的了', '短评打分': 5}
{'短评内容': '该酒店卫生很好，离地铁站的距离还不算太远，周边环境一般。舒适度很好，只是价格有点儿偏高。', '短评打分': 5}
{'短评内容': '位置不错，闹中取净，\r\n房间很大，床也很大，总之300元之下的酒店，这里是不错的选择。\r\n顺便说下，早餐虽然种类不多，但是味道不错', '短评打分': 5}
{'短评内容': '还是不错的，酒店管理还行！', '短评打分': 5}
{'短评内容': '酒店位置不错，也很舒适', '短评打分': 5}
{'短评内容': '很好 ', '短评打分': 5}
{'短评内容': '净卫生，可以与四星级的酒店媲美，美中不足，价格略高！', '短评打分': 5}
{'短评内容': '酒店非常好，床大，干净。', '短评打分': 5}
{'短评内容': '新酒店，感觉一切都很亮。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '地理位置较为方便，卫生条件不错。就是有的房间内部结构不好，卫生间在房间正中，而且是玻璃结构，半夜上卫生间开灯会影响到同屋的其他人。', '短评打分': 5}
{'短评内容': '需要卫生,服务,设施,舒适度,全面升级才能与北京大都市同步.', '短评打分': 1}
{'短评内容': '很好的酒店，性价比高，双人间房间很大，床也很大，很舒服，就是厕所的门不能关严。', '短评打分': 5}
{'短评内容': '酒店空调的问题，开了一天都没暧气。只能另外盖被子。酒店网络实在太差了，老断线。希望改进一下。酒店价格有点高。', '短评打分': 5}
{'短评内容': '总体来讲都很不错，可惜4月1号开始涨价了，哎，遗憾啊', '短评打分': 3}
{'短评内容': '可惜4月1号开始涨价了，这是唯一的遗憾啊！', '短评打分': 5}
{'短评内容': '离电影学院很近，机场大巴北太平庄站下车后到酒店大概200米，挺方便的，附近吃饭的地方也不少，卫生啥的还可以，很好的一点是房间大，感觉透气，还是不错的一个选择。', '短评打分': 5}
{'短评内容': '可以，卫生不错，干净', '短评打分': 5}
{'短评内容': '性价比不错，设施好，卫生不错', '短评打分': 5}
{'短评内容': '位置很好，房间有些不隔音，能听到楼道里人走动的声音。总体还不错，值得推荐。', '短评打分': 5}
{'短评内容': '房间设施优点旧，隔音较差，其他还可以，服务较好，但是早餐不方便。', '短评打分': 5}
{'短评内容': '整体而言还不错', '短评打分': 5}
{'短评内容': '较好\r\n中央空调声音有些大', '短评打分': 5}
{'短评内容': '现在的服务员少了，客房的服务不如以前，要加强。', '短评打分': 5}
{'短评内容': '酒店不错，交通方便，服务很亲和，就是清洁太差。。。还有，通过总台联系出租车很不方便，自己出门打出租还可以。', '短评打分': 5}
{'短评内容': '交通方便，尤其是到机场', '短评打分': 5}
{'短评内容': '酒店是独立的一栋楼，隔壁是总参干休所，离北影很近。交通也很方便。房间很安静，窗外视野还行（我住6楼）。我没有在酒店吃过饭，因为同一条街附近5分钟的距离内有很多不错的饭店，炸酱面，羊肉泡馍，包子铺，东北菜都这几家都很不错，不过只有包子铺有早餐提供，其他几家都是10点才开门。', '短评打分': 5}
{'短评内容': '这次的新服务员较多，服务没有 以前好 ！', '短评打分': 5}
{'短评内容': '整体感觉还可以，性价比还是比较高的。交通方便。', '短评打分': 3}
{'短评内容': '不错，性价比高，268的价位，很舒适。\r\n早餐不行，但出门斜对面有一家早点很不错，包子，小米粥，呵呵，很香。', '短评打分': 5}
{'短评内容': '两点多到的店开房，上五楼，服务员告诉我房间位置，进去放下书包，转过头差点没晕掉，房间根本没收拾，一切乱七八糟，找服务员却告诉我先在屋里休息一下，等半个小时，当时我就急了，服务员立马10分钟整理完毕！真是的，其他别的地方还可以，中央空调很暖和，床很大很大，不过枕头不是很舒服！', '短评打分': 5}
{'短评内容': '总体来说还是很不错的,就是没有好点的餐厅.', '短评打分': 5}
{'短评内容': '交通比较方便，环境较好', '短评打分': 5}
{'短评内容': '适合商旅', '短评打分': 3}
{'短评内容': '对于在北2-4环附近的工作非常便利,且周遍都是饭店/超市/商场,酒店的商务餐也不错.', '短评打分': 5}
{'短评内容': '酒店的整体不错的，服务卫生以及设施都很好的，酒店的位置不错的，方便出行，酒店的价格有点高了', '短评打分': 5}
