{'短评内容': '质量不错，满意。', '短评打分': 5}
{'短评内容': '酒店位置很好，高铁出北广场就是，出租车就在广场周边，出行十分方便。\n早餐一般般，管饱，面条好吃。\n房间小，外装内装都比较旧，没有外环境（路边）。\n干净，方便，贵。', '短评打分': 1}
{'短评内容': '主要是参加音乐节，所以才去的镇江，这个酒店和火车站太近了，出乎我意料，总之交通非常方便。', '短评打分': 5}
{'短评内容': '房间太旧，需要重新装修了，早餐看上去还行，但吃了炒面和蔬菜，都市冷的。保温装置好像没有用。', '短评打分': 5}
{'短评内容': '不错的酒店， 离火车站很近， 价格稍微有些贵。 早餐有些简单', '短评打分': 5}
{'短评内容': '离火车站近，酒店设备老了些，早餐品种不够丰富。', '短评打分': 5}
{'短评内容': '设施有点旧，服务不错。', '短评打分': 3}
{'短评内容': '酒店时间有点长，但还不错。', '短评打分': 3}
{'短评内容': '卫生间设备陈旧!', '短评打分': 3}
{'短评内容': '离火车站步行大概5分钟左右，周围公交车很多，去各个景点很方便。唯一不足之处就是卫生设备陈旧，不符四星标准，早餐没有吃（因为要赶长途汽车），不过在这小城市应该算是可以的！值得一提的是5楼的客房服务人员态度很好！', '短评打分': 5}
{'短评内容': ' 挂牌四星级酒店，就是老了一点，不过房间有电脑。', '短评打分': 5}
{'短评内容': '我去得时候有会议，4星部分没住到，住的是（经济房），很差，不如快捷酒店。', '短评打分': 5}
{'短评内容': '感觉有点旧。不明白的是，有些房间的淋浴处，为何布帘短一截，造成淋浴后卫生间遍地是水，无法下脚。布帘的价格应该不贵，若要节约，再接上一段也可以呀。', '短评打分': 5}
{'短评内容': '以前住过副楼，这回住主楼，有点儿失望。感觉房间和副楼没什么区别。浴缸里竟然有长短不同5，6根头发。脸盆水龙头漏水。不过地理位置确实优越。打车很方便。', '短评打分': 5}
{'短评内容': '房间有些小，但挺干净的。周围有挺多饭店，以后还会去的。顶一个。\n不足之处是没有自助早餐。\n\n--------------------------------------------------------------------------------\n', '短评打分': 1}
{'短评内容': '环境不错。只是大堂经理的反应有点慢罢了。希望可以改正。房间还可以。只是，如果可以大些就更好了。 离火车站的距离刚刚好。\n', '短评打分': 5}
{'短评内容': '交通很方便， 火车站边上， 吃饭也可以， 来镇江首选，  蛮好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！1', '短评打分': 5}
{'短评内容': '交通便利，环境整洁，价格适中。不足之处是卫生设施陈旧。', '短评打分': 5}
{'短评内容': '挺方便，离火车站步行不过几分钟，只是标间的面积略小。', '短评打分': 5}
{'短评内容': '离火车站很近, 很方便, 缺点是房间有点小.两床一放很挤!!!', '短评打分': 5}
{'短评内容': '服务一般，但是离火车站较近，出行方便，所以来镇江时还是住在这里。', '短评打分': 5}
{'短评内容': '酒店周围环境太差，有脏乱的感觉。早餐内容似乎永远不变，希望改进', '短评打分': 5}
{'短评内容': '入住时钥匙无法打开门，希望在将钥匙交给客人时，先确认一下，以免耽误客人的时间并给客人造成不良的印象', '短评打分': 5}
{'短评内容': '靠近火车站，交通方便，早餐还不错。但老楼与主楼分割开，早餐退房等不方便。', '短评打分': 5}
{'短评内容': '房间比较新，不过他家不同级别的房间差别比较大，早餐一般没什么可吃的，just so so', '短评打分': 3}
{'短评内容': '这个月还打算住镇江大酒店，但是商场购物曾买到过期商品，心情不爽。', '短评打分': 5}
{'短评内容': '靠近火车站，交通方便，早餐还不错。但是商场内出售过期商品，希望加强监管', '短评打分': 5}
{'短评内容': '太破旧了，要不是觉得交通方便就不定这个了，这个价格再镇江可以住的很好，', '短评打分': 1}
{'短评内容': '设施有点旧的酒店, 房间不怎么样, 地点在火车站旁, 方便到周遍.', '短评打分': 1}
{'短评内容': '推荐这家酒店推荐这家酒店推荐这家酒店推荐这家酒店推荐这家酒店', '短评打分': 5}
{'短评内容': '位置不错，施设有点旧', '短评打分': 3}
{'短评内容': '如果是为了坐火车方便，推荐\n\n其他方面，虽然是挂牌四星，但明显是很久以前的事情了，\n服务很一般\n设施很一般，\n早餐更加一般般，\n', '短评打分': 5}
{'短评内容': '就在火车站的边上，座动车非常方便。酒店条件不错，就是有点贵。', '短评打分': 5}
{'短评内容': '酒店有点陈旧，应该装修一下，房间不够大，交通方便', '短评打分': 1}
{'短评内容': '服务设施太陈旧，房间也不是很大，就是交通还是很方便，靠近火车站', '短评打分': 1}
{'短评内容': '镇江大酒店早餐不错', '短评打分': 3}
{'短评内容': '不错 507房  于瑛', '短评打分': 3}
{'短评内容': '我已经成功入住镇江大酒店感觉不错很爽谢谢', '短评打分': 3}
{'短评内容': '位置不错，\u3000环境不错，\u3000性价比较高，，，，，，，', '短评打分': 5}
{'短评内容': '住了二次了。第二次涨了20元。再涨的话不会再来了。', '短评打分': 5}
{'短评内容': '酒店在火车站附件，很方便。早餐不错，下次还来住。', '短评打分': 5}
{'短评内容': '酒店设施较好，性价比高，但周围环景差。', '短评打分': 3}
{'短评内容': '0很好很干净', '短评打分': 3}
{'短评内容': '价格偏贵，房间马马虎虎，早餐种类偏少。像是老饭店，没有变化。', '短评打分': 1}
{'短评内容': '十火车站附近,很方便。但房间设施较阵旧,房间太小,上网很慢,连收发邮件都不可以。看来下次要换酒店啦。507', '短评打分': 3}
{'短评内容': '酒店不错，满意。', '短评打分': 3}
{'短评内容': '算是镇江比较好的酒店，地理位置优越。不建议住在副楼，环境条件比主楼较差', '短评打分': 5}
{'短评内容': '额，今天评论了很多次了，再说一遍，位置很好，出差的人会很喜欢，但是一分钱一分货永远是王道~', '短评打分': 5}
{'短评内容': '这个酒店的位置不错，就靠着火车站和长途车站，出差的人方便', '短评打分': 5}
{'短评内容': '这个酒店的位置很好，就靠着火车站，长途车站啥的，出门办事的人可以选择', '短评打分': 5}
{'短评内容': '经常入住，房间还可以，比较宽敞~设施是有年头了，但是在镇江这个地方还可以，位置很好', '短评打分': 5}
{'短评内容': '住了很多次了，早饭还可以，服务也还到位~', '短评打分': 5}
{'短评内容': 'very nice hotel with low price. no disturbing calls. \n', '短评打分': 5}
{'短评内容': '镇江大酒店位于火车站北广场，下火车或长途汽车寻找即到。房价还可以，248元标间还有电脑。', '短评打分': 5}
{'短评内容': '说是4星，但是实际和4星距离差距太大，装修太老了，上世纪90年代的，隔音效果相当差，隔壁脱衣服的声音都听见，说话更不用说了。根本和价格不符合。而且早餐什么的很简单，地方也小，和经济酒店的早餐厅一样。实在不建议再住了。', '短评打分': 1}
{'短评内容': '都还不错，位置与性价比都可以，但房间的毛巾、浴巾不但质量差，而且好像没洗干净，不能接受。', '短评打分': 5}
{'短评内容': '除了房间的毛巾、浴巾不太好之外，其它还可以，建议毛巾、浴巾洗涤质量要提高，不然受不了。', '短评打分': 5}
{'短评内容': '房间不怎么样，但又送水果又送牛奶，让人很舒服，早餐锅盖面味道很好。', '短评打分': 5}
{'短评内容': '不错，价格公道，服务尚可，卫生状况良好．', '短评打分': 5}
{'短评内容': '靠近火车站，汽车站，地理位置优越，交通便利！酒店环境还可以。', '短评打分': 5}
{'短评内容': '镇江大酒店我已入住过几次，主要是方便、周到。服务也不错。只要我来镇江还是会选择住镇江大酒店', '短评打分': 5}
{'短评内容': '饭店虽然是个老饭店好像重新装修过，房间里面的设施有点老，但是和价格来说性价比也是不错的。楼层服务员的服务态度很不错，值得表扬！！！', '短评打分': 5}
{'短评内容': '优势：地理位置优越，紧邻火车站和长途汽车站；价格适中，248的标双房间空间够大，配备电脑，免费赠送水果、奶茶和纯净水；部分细节设计合理，淋浴间有放置沐浴用品的托台，衣柜为敞开式，便于晾晒换洗小衣物；服务热情有礼。\n\n不足之处：1号楼为收购其他旅馆改造房间，硬件略显陈旧，家具有脱落；淋浴设计不合理，没有隔离门，仅靠布帘隔离，洗澡时布帘会黏住身体不舒服，排水不畅；长途电话收费偏贵，7毛/分；服务指南编', '短评打分': 5}
{'短评内容': '一般去镇江 就入住这 还好吧 就是商品部东西有点少', '短评打分': 3}
{'短评内容': '酒店的性价比还可以，早饭很一般，房间的干净程度也很一般，最不靠谱的就是我的房卡竟然能打开别人的房间！', '短评打分': 3}
{'短评内容': '很不錯, 會考慮下次再住.\r\n房間有電腦, 很方便.\r\n就是早餐不好吃.', '短评打分': 5}
{'短评内容': '算是镇江的不错的酒店,性价比还不错.因为紧邻火车站,交通很便利.', '短评打分': 5}
{'短评内容': '酒店太陈旧了，环境也不好。', '短评打分': 1}
{'短评内容': '交通好，设施真的不好。特别提醒大家，二楼的中餐馆菜非常非常油腻，厨师大概小时候缺少油水吧，向服务员提出，服务员说，菜油多放点好吃，见鬼。', '短评打分': 1}
{'短评内容': '二楼房间有霉味道', '短评打分': 1}
{'短评内容': '还行吧 每次去镇江 都住这', '短评打分': 5}
{'短评内容': '不是一般的差', '短评打分': 3}
{'短评内容': '实话实说，房间感觉就像是旅社，竟然房间和大堂不在一起，在边上的低矮房子里，咖啡色的毛巾和浴巾，质量很差，看起来很脏，下水道是不通的，水排不出去，房间很小，没窗户，完全对不起这个价格，订的大床被换成标间，态度很差。以后再也不会去了', '短评打分': 1}
{'短评内容': '适合商务暂住，公社房间毛巾、浴巾质量较差。', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '设施旧了，位置还好，不推荐', '短评打分': 3}
{'短评内容': '酒店设施有点旧了，一般', '短评打分': 3}
{'短评内容': '性价比不错，还会住', '短评打分': 5}
{'短评内容': 'yiban', '短评打分': 3}
{'短评内容': 'yiban', '短评打分': 1}
{'短评内容': '凑合', '短评打分': 5}
{'短评内容': '虽然是四星,但是感觉还没有三星的好,晚上空调里会有烟味传出,很不舒服.', '短评打分': 1}
{'短评内容': '就在火车站广场边上，坐火车很方便。酒店很一般，感觉不舒服。', '短评打分': 5}
{'短评内容': '硬件一般，有些老化了；坐火车方便；服务态度不错！', '短评打分': 3}
{'短评内容': '这个酒店在镇江属于不错的,值得一住', '短评打分': 5}
{'短评内容': '酒店地点很好，交通方便，而且入住还有水果赠送，给人的感觉温馨。', '短评打分': 5}
{'短评内容': '房间靠厨房，一股海鲜的腥味和厨房操作的巨大噪音，很简陋的房间，真的对不起这个248元的价格。', '短评打分': 1}
{'短评内容': '酒店位置不错，离火车站很近。可设施较陈旧，毛巾磨损很可以了。早餐也很差，感觉每什么可吃的东西。下次不会去住了。', '短评打分': 1}
{'短评内容': '酒店交通位置不错，很方便，还算干净！', '短评打分': 3}
{'短评内容': '酒店交通位置很好，还算干净！', '短评打分': 5}
{'短评内容': '重新装修后比想像中强太多了，是镇江目前值得推荐的酒店', '短评打分': 5}
{'短评内容': '其他不错，早饭一般，交通方便', '短评打分': 3}
{'短评内容': '其他都不错，早饭一般！', '短评打分': 5}
{'短评内容': '很方便，离火车站近；', '短评打分': 3}
{'短评内容': '离火车站很近', '短评打分': 3}
{'短评内容': '离火车站很近', '短评打分': 5}
{'短评内容': '方便舒适，地理位置好', '短评打分': 5}
{'短评内容': '是 挂靠在镇江大酒店上，除了位置好点，其他均一般。', '短评打分': 1}
{'短评内容': '宾馆很不错，早餐很好，就是外围环境一般', '短评打分': 3}
{'短评内容': '住了308/晚的房间，感觉比如家啊七天啊之类的快捷酒店还不如！主要是卫生，床上有个靠枕，正面看还好，反面居然有干了类似鼻涕或？液之类的东西，很长的两条，觉得很恶心，就穿了长袖长裤睡觉。服务员做卫生真的很不仔细！窗帘也关不紧，很早就被阳光照醒。唯一的好处就是离火车站超近。下次再不会住这家。', '短评打分': 1}
{'短评内容': '很一般的酒店,离火车站很近,还是比较方便,早餐种类太少,凑合的住吧.在镇江地区也没有什么特别好的酒店.', '短评打分': 5}
{'短评内容': '位置很好，服务也不错，只是酒店看着有点老了，性价比差一点！', '短评打分': 5}
{'短评内容': '稍贵一点。要是能订半天的，比如当天住进在下午六点前退房算半天就好了', '短评打分': 5}
{'短评内容': '镇江大酒店的1号楼的4层服务员的服务态度非常好，一楼早餐的服务员也非常好，特别是负责馄饨和面条的服务员，每天都主动给老年客人送上一碗馄饨，只是建议总台在客人已经交了押金的情况下，尽量不要使房卡失效，以免发生意外。', '短评打分': 5}
{'短评内容': '不错，还会来住的', '短评打分': 3}
{'短评内容': '不错的酒店，还蛮干净的，早餐也不错', '短评打分': 5}
{'短评内容': '价廉物美', '短评打分': 5}
{'短评内容': '很不错的酒店！～', '短评打分': 5}
{'短评内容': '我觉得1号楼行政房虽然与主楼的标间价格相差不大，但是房间的差距较大，还有就是主楼的地毯很好，感觉上档次，但是房间内却有一点不尽人意。', '短评打分': 1}
{'短评内容': '就在火车站旁边，网络很快，周围吃饭也很方便。', '短评打分': 5}
{'短评内容': '酒店离火车站很近，还蛮方便的。就是卫生条件实在比较差，电视机上一层灰...', '短评打分': 3}
{'短评内容': '房间不太干净，位置还算不错', '短评打分': 1}
{'短评内容': '酒店位置不错，房间卫生条件也好，对外说是四星，但是好像达不到，三星差不多', '短评打分': 5}
{'短评内容': '服务员基本都是懒得搭理你的样子，房间比较旧。\r\n唯一的亮点就是地处火车站广场，坐火车的话很方便。', '短评打分': 1}
{'短评内容': '我对这家酒店不太满意,出来还可以,位于火车站附近,出行还方便外,其它的都很差,房间打扫的不干净,设施也太陈旧了,下次不会选择这家酒店了.', '短评打分': 3}
{'短评内容': '一般般，价格还行，设施太差 ', '短评打分': 5}
{'短评内容': '位置很好，餐厅价格有些贵，前台服务再好些会更好。', '短评打分': 3}
{'短评内容': '位置方便，饭菜价格有些贵，前台服务再耐心一些会更好。', '短评打分': 5}
{'短评内容': '地理位置非常好,就在火车站旁边,出行都很方便,但酒店的环境不太好,硬件设施有些陈旧了,其它的都不错,服务也很周到.', '短评打分': 3}
{'短评内容': '地理位置非常好,就在火车站旁边,出行都很方便,但酒店的环境不太好,硬件设施有些陈旧了,其它的都不错,服务也很周到.', '短评打分': 3}
{'短评内容': '位置较好,坐火车方便.酒店比较干净', '短评打分': 5}
{'短评内容': '酒店挨着火车站，交通壕爱是方便的，但是硬件条件和环境都不怎么样，也不值这个价格。', '短评打分': 3}
{'短评内容': '环境很好，靠近火车站，卫浴毛巾感觉不太舒服，建议消毒后软化再重新包装，旅客不需要使用就不要拆封。', '短评打分': 5}
{'短评内容': '镇江大酒店还是比较不错的，从服务到硬件配备都挺好的，价格也适中，交通算是比较方便，感觉还是比较满意的。', '短评打分': 3}
{'短评内容': '该酒店地理位置、服务质量都较好，就是进入大堂再进入1#楼不方便，要穿过二楼餐厅。如餐厅关门就要走出酒店再进大堂，和不方便，', '短评打分': 5}
{'短评内容': '因为很晚入住，又赶早，只印象靠近火车站，其它一般。', '短评打分': 5}
{'短评内容': '洗澡时只有温水，略感冷。次日自助早餐里的蚕豆是馊的。客房里的火柴只有4根且回潮，无法用。茶叶只放了一包。这是我第二次入住该酒店，发现其最大的优点是靠近火车站。但不足之处太多了。我下个月再去镇江时，会考虑更换一家酒店。', '短评打分': 1}
{'短评内容': '不错，就是设施成旧了点，洗澡水量偏小，好在是夏天，冬天就惨了!', '短评打分': 5}
{'短评内容': '这家酒店我感觉就是设施方面一般了,像空调都不好用了,还漏水,服务卫生方面还可以了,周边环境也不错交通挺方便的,价格方面还是比较合适的.', '短评打分': 5}
{'短评内容': '酒店位置很好出行很方便,服务挺好的挺到位的,设施还可以,卫生也不错,性价比比较好.', '短评打分': 5}
{'短评内容': '蛮舒适的，也比较干净，不过为什么是住到旁边的什么80公社？', '短评打分': 5}
{'短评内容': '酒店的条件挺好的，硬件设施，环境服务都还不错，最主要就是他的位置好，交通比较方便，价格我也能接受，挺不错的。', '短评打分': 5}
{'短评内容': '设施比较旧，对于它这个价位来说挺不值的，下次我是不会选择这家酒店', '短评打分': 1}
{'短评内容': '酒店的价格相对比较高,房间的通风不是很好,有股味道,卫生还可以,位置交通也还不错.', '短评打分': 1}
{'短评内容': '酒店的整体感觉不错，价格合适，服务和卫生条件也不错，挺满意的', '短评打分': 5}
{'短评内容': '酒店开业时间比较长了,设施有些陈旧了,但卫生弄的还是挺干净的,住起来还是挺舒服的,价格还是挺合适的.', '短评打分': 5}
{'短评内容': '适合度假，适合商旅', '短评打分': 5}
{'短评内容': '主楼标房的家具卫浴设施及床上用品均不错，挺干净的。餐厅亦不错，只是比当地水平稍贵了些。缺点之一是隔音极差，隔壁房间稍有说话声均能听到。缺点之二是浴室供水量太小。我们入住的那天晚上维修供水系统，半夜二点多钟竟然敲打水管。真弄不明白为何维修不放在白天，非得在半夜施工不让人睡觉。好在第二天半夜就不再施工扰民了。今后我将定期前往镇江联系业务，会考虑继续入住该宾馆。', '短评打分': 5}
{'短评内容': '地理位置在镇江市中心,出行交通都很方便,环境卫生都很好就是硬件包括配置有些偏旧了,价格挺合理的.还是值得考虑入住的酒店类型.', '短评打分': 5}
{'短评内容': '酒店相对这个价格来说可以,位置还不错,在闹市区,交通蛮便利,就是当洗手间里有些设备是坏的', '短评打分': 5}
{'短评内容': '酒店房间面积较小,其他方面还可以,酒店靠近火车站,很方便', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
