{'descr': '总的来说还不错，就是网速实在是太慢，连电影都看不成', 'star': 3}
{'descr': '保安服务态度不好,房间很小，一般般，下次肯定不会来这里。', 'star': 1}
{'descr': '交通极其便利~附件有交通3、4、7号线，还有多条公交线。附件吃的逛的一应俱全。', 'star': 5}
{'descr': '服务可以，周围环境不错，交通方便，卫生情况较好', 'star': 5}
{'descr': '卫生差，热水量小，大堂也没有无线宽带', 'star': 3}
{'descr': '还不错的，性价比很好', 'star': 3}
{'descr': '服务还行，就是靠近路边，有点吵，建议订房时注明不要靠近路边的房间', 'star': 5}
{'descr': '\r\n不错', 'star': 3}
{'descr': '位置不错，离3、4号线也不远，走路大概10分钟左右，环境卫生都较好，床比较高，很舒服', 'star': 5}
{'descr': '世博入住，交通一般，性价比一般。就这样，应该不会再住了', 'star': 5}
{'descr': '门口的保安态度太差了，一副与客人为敌的脸孔，死板。', 'star': 1}
{'descr': '＋环境还不错', 'star': 5}
{'descr': '+酒店不错，服务态度很好！', 'star': 5}
{'descr': '网线和办公桌分开的，而且绝对够不到，很难接受', 'star': 3}
{'descr': '一直很信任格林豪泰，环境和服务都很赞，舒适度高。', 'star': 5}
{'descr': '世博期间入住，性价比还行，就是距离地铁站远了些', 'star': 5}
{'descr': '已入住上海格林豪泰武宁路店', 'star': 3}
{'descr': '已入住', 'star': 5}
{'descr': '＋房间不大。早上沿马路太吵', 'star': 5}
{'descr': '觉得酒店的地理位置很好，上外滩、上世博交通都很方便。价格也可以', 'star': 5}
{'descr': ' 总的来说不错 就是去地铁站要将近二十分钟 有点远', 'star': 5}
{'descr': '帮几个朋友预定，回来以后反映还不错，据说周围吃饭比较方便', 'star': 3}
{'descr': '帮几个朋友预定的，回来以后反映还不错，据说周围吃饭比较方便', 'star': 3}
{'descr': '就前台服务员的态度需要提高。高楼层房间的水普遍太小，影响使用的很。', 'star': 3}
{'descr': '15点到的酒店，却还被告知房间都还有人住，昨晚的客人又续住了半天。要知道我已在Elong做过信用卡担保，酒店却不付责任的还为前晚的客人续房，一间房间一天要赚几个客人的钱呢？要求升级房间，答复不可以，没空房。要求减免房费，也不予理睬。未有任何道歉的诚意。房间很小，转身都困难 ，却还要 RMB 312块，不值。', 'star': 1}
{'descr': '酒店的电话计费有问题。明明对方没接通，却老是要收我钱。已经好几次了。', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '酒店安保做的不错，门缝里也没有小纸片。位置挺好，周围有许多吃的。', 'star': 5}
{'descr': '虽然不是很热闹的地方，但是世博会期间300左右的房价还是可以的，房间不算大，10p左右，还算干净，卫生间比较干净，还有不知是不是世博的关系，电梯口一直有人值班，没有前台登记那是绝对上不去的，哈哈，晚上3点那个帅哥还在的。看到中年妇女没有带身份证想入住，还特地去附近老派那里补手续了', 'star': 5}
{'descr': '离地铁7号线，步行二十分钟，周围有超市，早餐店，还算方便。房间比较小。总的来说还可以。', 'star': 5}
{'descr': '帮朋友定的，还不错，交通方便，周围市场很多，楼下、周围吃饭都方便。', 'star': 5}
{'descr': '便宜地點還算可以，周邊店家也不少，如是自己付錢可考慮，報公帳就請你選星級的酒店。', 'star': 5}
{'descr': '不错 价格很实惠 位置很好 距离地铁站很近 其他设施也很好..', 'star': 5}
{'descr': '第一次住格林豪泰，比想象中的好，\r\n主色调绿给人很舒服的感觉\r\n拖鞋和卫浴用品是放在漂亮竹篮中，很不错\r\n凭世博门票送牛奶\r\n离地铁站还是有点距离的，走路均速15分钟\r\n打的到人民广场30块，到上海火车站18块', 'star': 5}
{'descr': '大床房很小 标间的床不小屋子也大 卫生还不错 设施还好 电视信号不好 位置很好 性价比在上海算很高了', 'star': 5}
{'descr': '马马乎乎，世博期间不能期望太高，毕竟价格在这里', 'star': 1}
{'descr': '品牌连锁，不错的管理。。。卫生、位置都很好。。。世博期间价格没有参照性。。。', 'star': 3}
{'descr': '房间好小好小，还有霉味，只有两盏台灯，房间很暗，不推荐', 'star': 1}
{'descr': '  住的是家庭间，感觉服务水平一般，前台及大厅服务人员一问三不知，态度较冷漠；地处居民区，早饭好解决；交通不算方便，在两个地铁站中间，步行至少15分钟；名为家庭间其实就是标间，只不过是将其中的一张单人床换成大床而已，洗漱用具也只提供了两套，向前台反映后，至离店也没有增加。为什么？难道你们家小孩就不洗漱？卫生间地面太滑，极易滑倒。大厅公告：下榻客人凭世博会门票每晚可获赠送牛奶一盒。实际情况是：去的早', 'star': 1}
{'descr': '选择这家因为位置，谷歌地图上查询这家离地铁近：从酒店步行到镇坪路站比曹杨路站近，中速15分钟（镇坪路站旁有更近的酒店）；周边吃的方便，便利超市方便（推荐酒店旁不远处都锅贴店，味道好。但是酒店附近有个菜市场，环境卫生条件一般。选择的是大床房，确实如上评论所说，很小，卫生间面积凑合。由于世博，这样价位的酒店住住还不算贵，很一般都酒店，这样都旅游旺季，住住也凑合，综合还是写个推荐', 'star': 5}
{'descr': '我是8月1日入住这家酒店，入住以后感觉卫生、设施、服务都挺好的。\r\n交通比较方便，轨道4号线连接上海火车站、世博2、3号门。\r\n性价比方面可能是世博会的原因差了点儿。\r\n', 'star': 5}
{'descr': '作为经济型酒店来说，基本上都不错，不足的是大夏天所配备的被子太厚，尽管可以开空调，但是盖在被子里的和露在被子外的皮肤感受差别太大。', 'star': 5}
{'descr': '去世博很方便，环境不错，价位不高，就是设施旧了点!!!', 'star': 3}
{'descr': '还不错,价格适中,交通也还可以.', 'star': 3}
{'descr': '总体不错~~~', 'star': 3}
{'descr': '世博会期间性价格比还可以, 距离地铁步行10分钟左右,不远.', 'star': 5}
{'descr': '    说是离地铁三、四号线很近，出地铁后走路去酒店，结果走了好远！大床房间比宣传的小多了。价格很高，可能跟世博会期间有关，服务人员态度不冷不热，感觉性价比不高。', 'star': 1}
{'descr': '地理位置不错，交通方便，环境较好，就是设施旧了点！！', 'star': 5}
{'descr': '距离地铁很近，10分钟路程，周边也很热闹', 'star': 5}
{'descr': '还可以，但走到地铁站还是有点路的，所以去人民广场都选择打的，25左右，性价比在世博算很ok了', 'star': 5}
{'descr': '位置很好，服务还可以', 'star': 5}
{'descr': 'good,just a little bit dear', 'star': 5}
{'descr': '位置不错，旁边有个格我广场，吃饭娱乐都方便。服务也很周到，下次还会入住', 'star': 5}
{'descr': '各方面都不错 推荐！', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '经济型酒店，在上海的，一般都不太差。', 'star': 5}
{'descr': '不错的酒店', 'star': 5}
{'descr': '房间有点小，但是卫生间不错！！交通很便利！下次来还会住这里', 'star': 5}
{'descr': '由于是在上海世博会期间，所以上海住的地方都很贵很紧俏，所以这个地方在这个背景下还是不错的选择。酒店位置不错，服务到位，就是设施有些旧 了', 'star': 5}
{'descr': '以为会很难找，才发觉还是挺方便的，而且周边设施比较全~~很方便：P', 'star': 5}
{'descr': '还算不错，房间小了些，周围吃饭挺方便的。', 'star': 5}
{'descr': '房间很小，也没有穿衣镜。入住的时候霉味还很重，透了一天气，第二天才好点。。。', 'star': 1}
{'descr': '格林豪泰一直是不错的选择，这家周围吃的还是比较多的，也比较方便。浴室的水太小了，洗澡不太舒服。', 'star': 5}
{'descr': '很方便', 'star': 5}
{'descr': '还不错，就是房间小了点', 'star': 5}
{'descr': '价格实惠，卫生好，性价比高，我会推荐给朋友。', 'star': 5}
{'descr': '不错的酒店', 'star': 5}
{'descr': '除了房间小点，其他的都不错。', 'star': 3}
{'descr': '住的时候房间是靠街的，发现有2层玻璃，都挺厚，噪音感觉就少了很多，整体感觉就房间小了些，活动空间不够大，灯不够亮，看书吃力的，其他都还好，床比一般的高一些，感觉睡着舒服多了。', 'star': 3}
{'descr': '还可以，交通也挺便。', 'star': 5}
{'descr': '交通挺方便，卫生也好，就是房间有点小，周围吃早餐种类不少，整体还是不错的。', 'star': 5}
{'descr': '266的大床房和293的大床房，区别在于房间小一圈，少了个床头柜，293的有个两门的衣柜，266的是单门壁柜，这就是区别了，不过房大了还是舒服不少，我选266的也是因为293的房订不了我需要的天数而已', 'star': 3}
{'descr': '格林豪泰几乎成了我去上海时唯一入住酒店，个人认为酒店设施完善，服务态度很好，隔音效果很棒，能避免不少尴尬，房间住起来很舒服，性价比很好，所以，如果我能订到这个酒店，相信它会是我的第一选择的。', 'star': 5}
{'descr': '前台服务真的差的不是一星半点，一入住就说明了是要住4天的，前台刷了预授权。但第三天晚上11点前台打电话到房间说预授权不够了，要我马上下楼给钱，不给钱不让住？还有这样的酒店！！跟她说第二天就退房，现在都休息了，第二天还要起早。前台就是不肯。下楼到前台一算帐就差100多块钱，结果前台又要刷我一天的房费，我跟她说差多少就刷多少消费不就可以了吗。还是不同意，说什么这是龟腚？其实预授权不够那也是酒店前台的问', 'star': 1}
{'descr': '生活小区内，比较方便。', 'star': 5}
{'descr': '设施齐全,让人感觉住得非常舒适,就是离地铁远了点.', 'star': 3}
{'descr': '设施齐全,性价比非常高,值得推荐', 'star': 5}
{'descr': '不错，还会住。', 'star': 5}
{'descr': '服务不错，位置也较为方便，只是房间太小了一点', 'star': 5}
{'descr': '位置很好，距离高速公路入口近，服务也可以，缺点是没有餐厅，但是好在门口买早点的很多。值得推荐。', 'star': 3}
{'descr': '地点交通很方便，服务也很好，但是酒店没有餐厅，不方便，好在门口卖早点的很多。总体评价还不错。', 'star': 5}
{'descr': '性价比还不错，酒店门面很大气的，服务不错，门卫很负责任，周边交通有4号地铁，走到地铁站需要20分钟左右，超市、小吃、早餐都很方便，总体来说不错的，会考虑再入住的', 'star': 5}
{'descr': '在上海相对性价比事可以的！', 'star': 5}
{'descr': '酒店服务尚可，硬件太差，房间小，霉味太重', 'star': 1}
{'descr': '周末入住的，最初门卡调错了，小问题。经常出差 这次没有大手大脚 就住的经济型酒店，发现 格林豪泰要强于模台168 和 如家 真的是。第一感觉。而且发现从客房服务员和保安都非常敬业，虽然没有假日酒店等高级酒店那样的逢人问候，但是只要是帮忙，显的非常专业和热心，令人印象深刻。经济型酒店 个人觉得是最好的服务态度~~~ 性价比是不错的，房间显的温馨的很。唯一不爽的是 同是商务大床房 我朋友住一间 我住一', 'star': 5}
{'descr': '不错，床很大', 'star': 5}
{'descr': '地理位置真的很好，坐地铁很方便，走着6,7分钟就到了。', 'star': 5}
{'descr': '一般', 'star': 5}
{'descr': '以这样的价格来说，性价比真的很高，在那么多的经济型连锁酒店里，一直觉得格林豪泰是做的最好的，因为比较喜欢他们家的装修，不像一般的经济型酒店，感觉很低档，感觉像是一般的三星酒店的装修风格，简单又不失高雅。就是有一点不好，晚上睡觉能听到卫生间楼上冲水后水从水管流下的声音，仔细一看，房间和卫生间当中有一个很小的排风扇，声音应该是从哪里传出来的。', 'star': 5}
{'descr': '房间不亮', 'star': 1}
{'descr': '老酒店改建不彻底，霉味烟味太重。', 'star': 1}
{'descr': '不错', 'star': 5}
{'descr': '比较方便，价格很好，适合商务旅行', 'star': 5}
{'descr': '感觉挺不错的，性价比高，也非常舒适，我住在7楼，还可看看窗外的风景，设施也挺完善的，就是卫生间有一股怪味道，虽然不是很浓，希望有所改善。', 'star': 5}
{'descr': '房间比较干净，毛巾也比较卫生．只是卫生间里镜子旁侧无法挂毛巾．不太方便．周边吃饭也很方便，也可以停车．下次还会来', 'star': 5}
{'descr': '交通很方便奥，性价比不错\r\n还满划算的。下次还会来住', 'star': 5}
{'descr': '性价比高', 'star': 5}
{'descr': '环境安静，交通方便，整体印象不错。', 'star': 5}
{'descr': '很好吖 交通也方便 下次还会住', 'star': 5}
{'descr': '地理位置是挺不错的，但是房间太小了，还有房间的空调是坏的，不能改变风向，仔细查看，还是用了根木头称着的，而且装在床上面，风就一直很吹下来，吹的脸好干。还有电视的遥控器是坏的，把电池拿出来后，再装上去才能使用，可能是快没电了或者接触不良吧。这些都是小问题，宾馆服务人员应该会注意到，应该及时更换。', 'star': 1}
{'descr': '酒店房间小点，很干净，但挂壁空调在床头上，不合理有点吵。前台人员很礼貌。', 'star': 5}
{'descr': '房间有点小，空调的位置设计的很不好，在床头正上方，很吵。', 'star': 5}
{'descr': '不错的地方，买东西也方便，就是房间稍微小了点，其他的么都还不错拉。', 'star': 5}
{'descr': '酒店的服务还可以，设施条件和地理位置都比较不错，价格也挺合适。', 'star': 3}
{'descr': '蛮不错的', 'star': 5}
{'descr': '一直认为这样价位的快捷酒店里面格林豪泰的性价比是最好的，比什么家，什么庭的性价比要好．虽然酒店开了有些年头，但是保持的还是不错', 'star': 5}
{'descr': '上次住的房间比较小，环境还可以，怎么就标间有电脑房啊，大床房也该有个', 'star': 3}
{'descr': '卫生一般还可以，设施完善，地理位置交通方便，服务热情周到，性价比还可以', 'star': 3}
{'descr': '酒店房间空间有点小,环境还可以,空调不太好用,位置也不是很好,交通不是很方便,性价比一般.', 'star': 3}
{'descr': '卫生一般,设施比较完善,地理位置比较方便,服务人员态度冷漠,很不好,性价比还凑合,下次会挑其他酒店在入住看看', 'star': 3}
{'descr': '整体来说酒店的设施和服务还是不错的，就是住在顶楼的话房间的热水部室很热', 'star': 5}
{'descr': '房间上网不方便，周边又无网吧。\r\n公司有事需网上处理下较麻烦', 'star': 5}
{'descr': '基本还行！就房间小了点但很干净！', 'star': 5}
{'descr': '各方面都挺好的，性价比高，下次还会选择格林豪泰', 'star': 5}
{'descr': '交通便捷，方便', 'star': 3}
{'descr': '位置不错，交通便捷', 'star': 5}
{'descr': '卫生很干净整洁,而且服务态度也非常好,就是位置有点偏,在一个弄堂里不是太好找.其他还可以.', 'star': 3}
{'descr': '酒店是性价比可以，服务很好，地段靠近武宁路这里。就是早上打车难打', 'star': 5}
{'descr': '酒店非常不错，地段很方便，而且那天我们是到凌晨2点多才到酒店，服务人员也和热情的给安排房间，很周到', 'star': 5}
{'descr': '性价比还是不错的 ', 'star': 5}
{'descr': '酒店还是比较干净的,服务也不错,性价比挺高的', 'star': 5}
{'descr': '酒店的服务、环境很好，而且酒店离过车站很近，周边也很繁华，地理位置还是比较不错的', 'star': 5}
