{'短评内容': '环境不错，就是房间小', '短评打分': 5}
{'短评内容': '酒店的硬件非常给力，浴室与房间的隔离也很人性，就是没有浴帽有点奇怪。有送矿泉水，床也超级舒服，总之，这家酒店还是会再住。', '短评打分': 5}
{'短评内容': '酒店不错，很温馨人文化，地点还可以，交通不是很方便。前台服务有待提高，自助早餐没有可选余地，吃饱为主。如果想吃得好，还是走出去到福朋喜来登一层比较好。', '短评打分': 5}
{'短评内容': '还是不错的，就是没赶上优惠！！！！！！！', '短评打分': 5}
{'短评内容': '经常入住，总体还不错，就是价格越来越贵了！', '短评打分': 5}
{'短评内容': '按龙萃会员的价格来说性价比还可以,不过酒店前台服务人员的服务差距比较大,有的比较热情,有的就让人觉得不爽', '短评打分': 5}
{'短评内容': '温馨、浪漫。早餐不错，晚餐吃一次，等了半个多小时。', '短评打分': 5}
{'短评内容': '环境优雅，服务热情，设施齐全，温馨舒适，标准一流，我喜欢！', '短评打分': 5}
{'短评内容': '这是一家很安逸的酒店，有一种宾至如归的感觉，非常好。有国际酒店的范儿，餐厅还聘有外国服务员，闲时可和他们用英语聊天，很惬意。我会向朋友推荐这家酒店，价格也行，我自己也会再选这家酒店的。', '短评打分': 5}
{'短评内容': '处于世纪城商圈内，非常方便商务活动。安静、舒适、方便。力荐！', '短评打分': 5}
{'短评内容': '很环保的一家酒店，床很舒服，电视信号不太稳定。', '短评打分': 5}
{'短评内容': '高峰期洗澡水不足，空调也不好，很失望，这次感觉很不好', '短评打分': 1}
{'短评内容': '设施，服务良好，有特色', '短评打分': 3}
{'短评内容': '舒适的快捷酒店，干净整洁。只是最近酒店在改造，大床房很紧张。', '短评打分': 3}
{'短评内容': '为朋友订了间大床房，入住时店方接待了个大型团队，原订户型没有了，免费给升级到临近的福朋喜来登公寓，非常超值！赞一个！', '短评打分': 5}
{'短评内容': '我个人很喜欢这家酒店！只是双床的房间床很大，显得空间有点小，但是房间设计得酷！', '短评打分': 5}
{'短评内容': '房间还可以，就是对面的酒店在装修，附件没什么逛的', '短评打分': 5}
{'短评内容': '非常不错的酒店，经常入住，就是价格稍贵！', '短评打分': 5}
{'短评内容': '国际化管理，酒店很专业，交通也方便，在金源购物也很方便，感觉很温暖，就是价值涨了，希望不能再涨价了，要不就没法住了', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '很不错的酒店。干净，宽敞，床很舒服。我会向朋友推荐这个酒店。', '短评打分': 5}
{'短评内容': '酒店不错，很温馨人文化，地点还可以，交通不是很方便，但饭店的一楼餐厅比较贵，而且我们那天为了考试住进来的，千叮咛万嘱咐要中午人到马上开饭，结果所有人都来了也没饭吃，等好半天，质量也不好了，服务员也乱套了，不知干嘛好，总之让人不愉快，中午也没休息。', '短评打分': 5}
{'短评内容': '喜达屋的经济型酒店，相比威斯汀不是一个档次，但是比起其他3、4星老酒店算很不错啦，房间很炫。。。', '短评打分': 5}
{'短评内容': 'Moden, new and nice hotel.', '短评打分': 5}
{'短评内容': '第一次雅乐轩的经历 感觉还不错 就是房间在现在时尚酒店林立的时代 已经不是那么不一样了', '短评打分': 5}
{'短评内容': '早餐不错，中西结合。大厅里面的商店狠莫名其妙。房间的窗户设计不好，但是床很好。', '短评打分': 5}
{'短评内容': '整体还是不错，但是确实价格不是很好，位置也一般，附近实在是没有别的可以住的了', '短评打分': 5}
{'短评内容': '理念不错，但执行的实在很糟糕。说是环保酒店，很多东西不提供，这个可以理解，但这不代表烂了边的毛巾还拿出来继续使用。而且如果客人实在有需要，不是很为难的问题是不是可以考虑帮助解决一下呢？比如只是想要一个浴帽，没有。浴袍，没有。借剪刀用，没有。后来电脑故障，需要借鼠标试一试看是否是电脑故障，答案没有悬念的是：没有。于是只能跑到中关村电脑城买了一只鼠标。想起去年类似的情况住在另一家四星酒店，问了服务生有', '短评打分': 1}
{'短评内容': '挺好的。就是离市中心有点远，而且不是太好找，一楼大厅的环境不错。', '短评打分': 5}
{'短评内容': '价格比较贵，大堂也就是一般商务酒店的水平，哪有什么准4星级啊，房间还行，服务还不错，有早餐，有餐厅，', '短评打分': 5}
{'短评内容': '位置有些偏了，但是去中关村还是比较方便。酒店设计的很有新意，大堂的酒吧和公共活动区域很有意思。房间设计的也是第一次见到，有颠覆感！双人间的床很大，也很舒服。另外双写字台和双网线接口的设计值得称赞，双人入住很方便的！', '短评打分': 5}
{'短评内容': '位置不错，服务不错，价格有点儿高，性价比一般！\n', '短评打分': 5}
{'短评内容': '很不错的酒店，环境好，设施全，位置好，喜来登品牌，价格可以接受。', '短评打分': 5}
{'短评内容': '电梯刷卡才可以使用,客人来访非常不方便.地下车位费比较贵.房间很OK', '短评打分': 1}
{'短评内容': '干净卫生、条件好。交通比较便利，周围有新燕莎购物中心，靠近西四环。', '短评打分': 5}
{'短评内容': '很新很时尚，价格也不贵，非常喜欢，值得入住', '短评打分': 5}
{'短评内容': '很新的酒店\r\n各种设备都很fansion', '短评打分': 3}
{'短评内容': '离香山和颐和园比较近，公交车出行还算方便。', '短评打分': 5}
{'短评内容': '看到前台旁有电脑触摸可直接办理登机牌手续，没试过，真的可以吗？', '短评打分': 3}
{'短评内容': '非常时尚的酒店，设计新颖，整体很舒适，早餐很不错。电视节目丰富，免费可看卫星和电影频道。惊喜优惠价的活动使性价比很高。推荐大家入住。', '短评打分': 5}
{'短评内容': '  装修的很fansion的酒店 有点像喜达屋在国外的W酒店简装版\r\n  总体很不错。可能是季节没到开暖气的时候，房间有点冷。', '短评打分': 3}
{'短评内容': '酒店很好，自助早餐简单了一点。', '短评打分': 5}
{'短评内容': '非常fansion的酒店  设施很新，跟快捷假日很像', '短评打分': 5}
{'短评内容': '酒店服务实在太差了，提前7天预定说是有个10％的折扣，同时每次入住应有300元的消费券，但入住时前台冷冰冰的一句没有就给打发了，说是享受了10％的折扣就不能拿300元的券，70元和300元哪个更优惠，难道消费者这也辨别不清嘛，把客户当傻子耍，这样的酒店不住也罢！', '短评打分': 1}
{'短评内容': '酒店的装修风格不错，适合年轻人，卫生很好，服务还算热情，但是位置比较偏，出行不便', '短评打分': 3}
{'短评内容': '由于离我家很近，每次来客人都住这里，硬件不错，床很大很舒服，干净，就是服务跟不上', '短评打分': 5}
{'短评内容': '适合年轻人，卫浴部分一般，反正公款，个人消费不推荐', '短评打分': 1}
{'短评内容': '不知是否到店较晚的原因，前台接待毫无笑容，比较比较冷淡，横眉冷对的感觉，令人失望！', '短评打分': 1}
{'短评内容': '有点偏，交通不便，不通地铁', '短评打分': 5}
{'短评内容': '有特色！', '短评打分': 3}
{'短评内容': '整体一般，感觉尚可', '短评打分': 5}
{'短评内容': '酒店比较安静，然后客房也比较有特色，床比较舒适。不过性价比不高。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '有卖点，适合年轻人', '短评打分': 3}
{'短评内容': '我喜欢', '短评打分': 5}
{'短评内容': '很干净温馨，地点也比较安静，价格可以接受。不足是没有梳子，没有浴袍。房间来客没有房卡岂不是很麻烦？', '短评打分': 5}
{'短评内容': '电梯要瞄准插卡，浪费时间。\r\n快捷三星标准的设施，没有梳子，薄拖鞋，一个椅子，没有躺椅，没有浴缸.....\r\n\r\n\r\n', '短评打分': 1}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间的卫生和设施方便都很不错,住着很舒适,而且服务人员也比较热情,但就是位置有点偏,不太好找.', '短评打分': 3}
{'短评内容': '房间有点小了  电视还不错', '短评打分': 5}
{'短评内容': '很有特点的酒店，不错', '短评打分': 5}
{'短评内容': '不错的酒店.离购物中心很近', '短评打分': 5}
{'短评内容': '酒店靠近远大路金源燕莎购物中心，TAXI到中关村大约15-20分钟，很方便。\r\n服务人员态度非常好，当离店后发现手机落在了房间，致电询问，总台与客房服务人员核实后，确认已经代为保管了，次日也已物归原主。\r\n服务人员工作严谨、认真，在此略表谢意。', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '酒店的装修风格比较偏向年轻化，很有动感，因为08年才开业，所以相对设施也很新，前台服务效率也很高，退房时好像没查房就退了。房间有熨衣板和熨斗，考虑的比较周到。有煮咖啡的壶，不过免费的咖啡味道很一般。电视可以搜到很多台，另外网速快的没话说，将电脑连接到电视上看视频也觉得超舒服。不过，有些小细节还是要说下，洗漱的地方没有梳子，所以洗完头发没法梳理，另外酒店不提供浴袍。饮料或者其他用品要自己在楼下大厅买', '短评打分': 5}
{'短评内容': '很适合年轻人的酒店,房间很干净,而且设施绝对是一流的.可以说是全时数字化房间,很多借口预留的很到位,可以用笔记本接电视看DVD,哈哈', '短评打分': 5}
{'短评内容': '我觉得在北京来讲性价比还是不错的,值得推荐', '短评打分': 3}
{'短评内容': '前台的工作人员态度都和很热情.', '短评打分': 5}
{'短评内容': '酒店和喜来登挨在一起，晚上打车过去不是特别好找，标识牌在喜来登酒店这里，特别小。酒店内麻雀虽小，五脏俱全，风格简洁，明快。书桌前电子设备接口特别多，都不知道干什么的。房间内所有的杯子都是一次性杯子。\r\n餐厅菜单基本都是中式快餐类食品，上菜速度比较慢。\r\n大堂休息区挺好，玩了不少东西。Wii是免费的，桌球一小时20元。服务区一个胖胖的小伙子服务特别热情。', '短评打分': 5}
{'短评内容': '酒店前台办理手续时很慢,会耽误一些时间,不过酒店内部环境还是挺好的,就是离市中心有些远,不过也要看个人需要了', '短评打分': 5}
{'短评内容': '   是一个比较自在的空间 无拘束感', '短评打分': 5}
{'短评内容': '喜达屋管理的酒店从没让人失望过,除了房间服务有些慢,其它都很完美.尤其是房间的电子设施很好,很人性化!下次还会入住的,当然价格能在优惠些就更加完美了!', '短评打分': 5}
{'短评内容': '就是酒店不太好找，其他都不错，价格实惠，环境和服务也很好', '短评打分': 5}
{'短评内容': '这是一个超值好酒店，也许因为刚开业为了吸引客人价格很低，周末只要400一晚，而酒店硬件设施绝对达到四星级。停车位充足住店客人免费。房间配有47寸飞利浦液晶电视，床垫很厚软硬适中，床上用品档次很高，柔软鸭绒被非常暖和。收费电影选择很多而且暂时免费。酒店大堂休息区宽敞舒适，配有一圈布艺沙发，感觉浪漫温馨。稍微不足，由于朝向不好，大堂光线较阴暗。', '短评打分': 5}
{'短评内容': '喜欢这间酒店的理由：\r\n卫生：非常清洁，终日房间里能保持有清新空气。这一点远远胜于国内大多数的五星级酒店。\r\n设施：房间里的网络配套设施很齐备，适合IT精英，企业家实现远程办公自动化。另外，健康加油站有特色。\r\n舒适度：远胜于大多数的五星级酒店，尤其是床铺的舒适度，和卫生间的设施配置。\r\n不足：地理位置偏远，性价比不是优势。这间酒店不适合游客的出行和百姓的探亲访友。', '短评打分': 1}
{'短评内容': '酒店环境，服务都很不错，但感觉价格偏贵了些', '短评打分': 5}
{'短评内容': '十分好的酒店，最欣赏的是有提供熨斗/熨衣板及咖啡机，电影还可以点播电影，虽说是要收费的，但价格是0元。 房间内的网在线不到网，但收到无线上网，所以也不受影响，较不好的是浴室地台中间会积水，洗手盘的塞很难弄开。\r\n\r\n地点有点偏，坐地铁去可到巴沟站转的士(四季青医院对面的喜来登酒店旁)，一般11-12元就到，但第一天去被那个司机转了个大圈...坐公交车可坐992\r\n\r\n送的早餐有点单调…\r\n', '短评打分': 5}
{'短评内容': '酒店的位置比较偏，出行不是很方便，基本都要打车，不过价格挺合适的，硬件也很不错，感觉挺舒服的。', '短评打分': 5}
