{'短评内容': '就是实惠，别的还好，马路上一直很吵，睡觉的时候床板在震', '短评打分': 5}
{'短评内容': '地理位置比较偏，服务态度尚可，离马路比较近，周围环境比较差，吃饭成问题 ，晚上马路上车来车往睡觉床也会晃动，感觉有点吓人', '短评打分': 1}
{'短评内容': '地点偏僻，卫生尚可，服务员态度又恶劣又笨的。不支持去', '短评打分': 1}
{'短评内容': '客房还不错,我去的时候预订的房型售完了,客服给我免费升级了,从这点来说还不错!不过房间感觉有点冷,不是很温馨,希改进!', '短评打分': 3}
{'短评内容': '还不错 蛮干净的 住的是二楼房间 没有想象中的那么吵 主要是关着窗户的 里面的服务员蛮可爱漂亮的 哈哈~~~', '短评打分': 5}
{'短评内容': '酒店的价格还是很实惠的.酒店内设施简陋,但还是挺干净的.地点有点偏.不过去宁波大学挺近的.附近吃的地方不好找.', '短评打分': 3}
{'短评内容': '估计是特价房，所以服务设施有些。。。但是服务态度很好！值得推荐。性价比很高了！', '短评打分': 5}
{'短评内容': '还可以吧，可以无线上网，就是酒店周边环境不太好，这里是郊区', '短评打分': 5}
{'短评内容': '性价比还是挺高的，但这次去没上次感觉专业，这次好像换了老板了。啥都没有~', '短评打分': 5}
{'短评内容': '挺好挺干净的~~是去宁波考试的，离宁波大学不远，很方便~~~', '短评打分': 5}
{'短评内容': '酒店卫生搞得超好，二个字干净。房间和房间之间比较安静，但马路上的车开动带来的噪声太大了，房子都在晃动，有点吓人。', '短评打分': 5}
{'短评内容': '不错~~!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '特价房便宜， 而且设施比较好，但是，如果你是去考试，或者公务，建议换别家，因为这家实在是太吵了，楼下的马路汽车经过房间都会摇晃，而且隔音太差。', '短评打分': 5}
{'短评内容': '很不错！还给我优惠到了13点退房。就是周围环境有点乱，去宁波大学的话肯定会选，但去其他地方。。。', '短评打分': 5}
{'短评内容': '房间装修的还不错~但是靠近马路~晚上比较吵~但是考虑到性价比算是这一带较好的一家了', '短评打分': 5}
{'短评内容': '服务还不错。物有所值，下次来宁波还会入住。', '短评打分': 5}
{'短评内容': '价格还是很多诱惑力的哦  酒店一般般把 就是地方不太好啊 ', '短评打分': 5}
{'短评内容': '和网上介绍的有不小差距，没有晚餐也没有早餐，付钱也没有，气死了', '短评打分': 3}
{'短评内容': '酒店如果是地毯就更好了', '短评打分': 3}
{'短评内容': '酒店还不错啦，离宁大很近的。每次去找同学玩都住在这里。', '短评打分': 5}
{'短评内容': '价格还过得去，但我住的是单人间阳面5层，每天晚上那个马路上的大货车能够带动整个床震动，不够隔音，周围吃饭不是很方便。', '短评打分': 5}
{'短评内容': '酒店还算干净，位置也不是特别偏，从性价比角度考虑是不错的选择', '短评打分': 5}
{'短评内容': '宾馆内部环境和服务都不错，但周围环境一般，离宁大不近', '短评打分': 3}
{'短评内容': '离学校比较近，条件还可以，就是晚上噪音大了点', '短评打分': 5}
{'短评内容': '交通不方便，尤其是环境不太好。吃饭也不方便。不推荐了', '短评打分': 1}
{'短评内容': '＋宾馆不错，公交非常方便', '短评打分': 3}
{'短评内容': '环境设施一般，没有24小时热水。离市区还是远了点，价格感觉便宜太少了。', '短评打分': 3}
{'短评内容': '远的要死   烂 下次肯定不会去  还有电脑呢 订了有电脑的给我个没有电脑的', '短评打分': 1}
{'短评内容': '上当，这地方都快出宁波了，就在公路边上，吵得要死，附近连个吃饭的地方都没有，无线网络非常差，贪便宜，没想到竟然这么远，后悔死了', '短评打分': 1}
{'短评内容': '离市区有点远，无线网络根本无法用，如果愿意多花点钱，还是建议去住市区的酒店', '短评打分': 1}
{'短评内容': '酒店价格比较有优势，而且设施也挺好！唯一不足就是马路边上稍微有些吵', '短评打分': 5}
{'短评内容': '还不错，下次还会去，价格比较核算，价格比电话定要便宜', '短评打分': 5}
{'短评内容': '酒店各方面还可以，吃饭不太方便，设施尚可，性价比不错。', '短评打分': 5}
{'短评内容': '特价房非常实惠！就是酒店位置有点偏，周边环境一般。', '短评打分': 5}
{'短评内容': '酒店性价比很高，设施不错，就是周边环境稍微有些不好', '短评打分': 5}
{'短评内容': '酒店环境倒是挺干净的，性价比不错，就是位置靠近一条公路，晚上有些吵', '短评打分': 5}
{'短评内容': '好 我喜欢他的卫生间 其他的都还不错 服务态度也很好', '短评打分': 5}
{'短评内容': '房间不错，价格也实惠。总体感觉还是很好的。', '短评打分': 3}
{'短评内容': '  房间不错哦', '短评打分': 5}
{'短评内容': '周边环境一般，周围灰土很大，可能是那块最近在搞建设把。\r\n10.1期间，这个价格在宁波，算可以了。。', '短评打分': 5}
{'短评内容': '价格合适，经济实惠，很不错，只是位置稍微偏了点。', '短评打分': 5}
{'短评内容': ' 还不错，去宁波大学考托福住这里还算靠谱', '短评打分': 5}
{'短评内容': '服务好~~~~touch忘在那里他们给寄回来了~~~ 感谢！', '短评打分': 5}
{'短评内容': '卫生好，态度佳，服务上乘，交通方便，离宁工近，到宁工东校区探望孩子的家长入住最为合适。', '短评打分': 3}
{'短评内容': '不错的酒店，设施及环境可以媲美3星级酒店，离宁波大学也比较近，建议到宁波大学看学生的家长入住。', '短评打分': 5}
{'短评内容': '环境很舒适', '短评打分': 5}
{'短评内容': '+室内环境挺好的，服务态度也挺不错.就是白天开窗户能听到汽车的喇叭声', '短评打分': 5}
{'短评内容': '性价比高，还算干净，很实惠，一个人出差刚好，不错，值得推荐。', '短评打分': 3}
{'短评内容': '出差去住很不错哦，还满干净的，性价比很高，就是位置偏了点。值得推荐', '短评打分': 5}
{'短评内容': ' 订的是大床房，房间很干净，很舒服～离宁波大学也就三站的公车的距离，很方便', '短评打分': 5}
{'短评内容': '位置不是太好，前台的服务还可以，卫生条件不错，房间里德无线宽带可以满足数据查询的需求，性价比很好！推荐！', '短评打分': 3}
{'短评内容': '位置不是太好，前台的服务还可以，卫生条件不错，房间里德无线宽带可以满足数据查询的需求，性价比很好！推荐！', '短评打分': 3}
{'短评内容': '位置不是太好，前台的服务还可以，卫生条件不错，房间里德无线宽带可以满足数据查询的需求，性价比很好！推荐！', '短评打分': 5}
{'短评内容': '性价比超高,而且硬件和软件服务也比较到位,综合水平很高.', '短评打分': 5}
{'短评内容': '还行，总之感觉还可以，住住就这样吧，各位朋友也可以去看看，去了解一下', '短评打分': 5}
{'短评内容': '    让人犹如来到自己打扫的干干净净的家里一样 温馨 舒适 ~&#183;', '短评打分': 5}
{'短评内容': '设施还可以，就是离军用机场太近，吵了点。', '短评打分': 3}
{'短评内容': '宁波北城商务酒店离宁波大学挺近的，关键价格适中，房内设施卫生不错，还有无线路由的哦。唯一就是经常有战机低空飞行太吵了。', '短评打分': 3}
{'短评内容': '离宁波大学挺近的，关键价格适中，房内设施卫生不错，还有无线路由的哦。唯一就是经常有战机低空飞行太吵了。', '短评打分': 5}
{'短评内容': '一般吧。位置不是很好。环境么性价比来说还行。。。', '短评打分': 5}
{'短评内容': '住着还行', '短评打分': 5}
{'短评内容': '马路边总有点汽车声的，总体不错', '短评打分': 5}
{'短评内容': '就是位置偏了一点，一开始我还没能找到。\r\n设施什么的都还行。\r\n性比价很高，出差的朋友住这肯定不错。', '短评打分': 5}
{'短评内容': '酒店性价比很高  服务态度也不错  唯一不足的是靠马路 比较吵', '短评打分': 5}
{'短评内容': '总体来说还行，就是离市中心远了。', '短评打分': 5}
{'短评内容': '性价比高，就是晚上有点吵。在路边。', '短评打分': 5}
