{'短评内容': '服务好，入住送早餐，下次再来。', '短评打分': 5}
{'短评内容': '酒店有点老，房间有些旧，价钱合适。\n地铁站很近，购物街不远，物有所值。', '短评打分': 5}
{'短评内容': '明明定的大床间，到时就给了个标间。房间就只能是二星的标准，唯一好处就是比较方便。', '短评打分': 1}
{'短评内容': '旺中带静，交通方便，地铁就在旁边。到南京路和外滩都很方便', '短评打分': 5}
{'短评内容': ' 离南京东路地铁站两三分钟，交通非常方便。但是不含早餐，早餐需要加30块，上网也要收费，10元封顶', '短评打分': 3}
{'短评内容': '上海之行首选酒店', '短评打分': 3}
{'短评内容': '饭店交通位置很方便，就是空调效果不太好，隔音效果也比较不理想…', '短评打分': 3}
{'短评内容': '酒店挺干净，地理位置也不错。 房间有点小。', '短评打分': 5}
{'短评内容': '房间朝向不好，楼间距很小；房间也是小的可怜，仅有一张大床的位置，还不如经济型连锁酒店；设备较为陈旧，电视老式的，卫生间尽然还有蟑螂...；除了饭店位置好之外，其他真的很烂，但是南京路步行街的其他经济型连锁酒店位置也差不多，设施、房间比这好，所以，下次还有机会绝对不会再住这家酒店了。', '短评打分': 1}
{'短评内容': '这个酒店的地段离南京东路非常近，如果想逛市中心的，从地段上可考虑。但酒店内房间的设施比较旧，如果对房间舒适度有要求的，不建议。', '短评打分': 1}
{'短评内容': '己入住上海南京饭店，出行方便，服务好。', '短评打分': 3}
{'短评内容': '南京饭店价格合理.地理位置好,处于上海最繁华的南京东路步行街,交通非常方便,1,2,10号地铁都有,外滩就在附近.是个信价比高的酒店', '短评打分': 3}
{'短评内容': '位置较好，紧邻南京路步行街。安全放心，旁边就是派出所。就餐方便，附近很多小吃。只有一部电梯，房间有点小，但是很干净，宽带收费比较少见！可以兑换少量外币。服务态度还不错。', '短评打分': 5}
{'短评内容': '地理位置很好，虽然房间不怎么好，但那个位置对得起这个价格。', '短评打分': 5}
{'短评内容': '干净，整洁，离紫金山比较近，环境比较安静，还比较好！就是早餐太简单了。。。', '短评打分': 5}
{'短评内容': '各方面的服务都不错，离南京路又近，是旅游住宿的首选入住酒店。', '短评打分': 5}
{'短评内容': '位置优越，除了南京东路的一号出口不到一百米，对面就有很多饭店和便利店，而且也算干净，如果对房间要求不是太高应该是个不错的选择。', '短评打分': 3}
{'短评内容': '地理位置较好，管理也很好，到上海我们都喜欢住这里。', '短评打分': 5}
{'短评内容': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', '短评打分': 5}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', '短评打分': 5}
{'短评内容': '酒店条件不错,距离玩的地方都很近,非常方便,服务也不错.', '短评打分': 5}
{'短评内容': '就在地铁边上，交通方便，设施一般', '短评打分': 3}
{'短评内容': '如果在上海游玩非常方便，外滩、东方明珠、豫园、城隍庙距离很近，住宿条件一般，毕竟2星级酒店吗，但是还算干净卫生！', '短评打分': 5}
{'短评内容': '地理位置方便，就在步行街上，到豫园、城隍庙、外滩都可以步行。可是入住前预订的大床房，但拿到房卡却是标准间，酒店回应没有大床房，第二晚才给做的调换了', '短评打分': 5}
{'短评内容': '订的大床房为什么给的是8楼头都能碰到顶的极差标准房？', '短评打分': 3}
{'短评内容': '交通方便，环境还可以。价格有点高。！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': ' 地理位置很好，交通便利。就在南京步行街里，离地铁站、外滩都比较近。只是房间内设备比较陈旧', '短评打分': 3}
{'短评内容': '地段好。。。不错，外表旧了点。服务还可以。。。', '短评打分': 5}
{'短评内容': '这次房间与上次大不一样。\n这次在8楼。不只是何原因？', '短评打分': 5}
{'短评内容': '服务不错！可惜陈设装修太旧，没有电脑啊！', '短评打分': 1}
{'短评内容': '干净，交通方便，旁边就是2号地铁和南京路步行街。', '短评打分': 5}
{'短评内容': '地段是最主要的。。。南京路上离外滩也不远。。。。', '短评打分': 5}
{'短评内容': '交通很方便，服务也可以，就是饭菜有点贵，不过还是不错的选择', '短评打分': 5}
{'短评内容': '在这么一个咫尺闹市区的酒店下榻，办事方便，\n交通之方便。性价比也可以。\n下次如果在附近办事，我还会选择南京饭店。', '短评打分': 5}
{'短评内容': '地理位置非常好，从地铁2号线一号出口出来右转再右转就看见了，5分钟都不到，离外滩不远，出门左转就是南京路步行街，里离豫园和人民广场都只有一站地，非常方便。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '不错不错，很方便，离地铁近，非常方便！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '所处地区繁华  买东西极为方便 房间挺干净很袖珍 房价略高 服务还好 推荐', '短评打分': 3}
{'短评内容': '服务质量好，希望订房价格能有所下降。', '短评打分': 3}
{'短评内容': '酒店离步行街很近购物很方便，去外滩也很近酒店卫生也不错，价格也适中下次去还会住', '短评打分': 5}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': ' 位置很理想', '短评打分': 3}
{'短评内容': '地理位置较好，各种交通方便，酒店附件就是商业街。挺好的', '短评打分': 5}
{'短评内容': '位置绝佳！去哪里都方便！尤其是到南京路步行街！20米而已！', '短评打分': 5}
{'短评内容': '位置没的说，就在南京东路上，喜欢购物或者商业气氛的朋友，应为首选。离外滩也近。最难得的是就在地铁口上。家具装修是旧些，但价格也比较合理。别的朋友曾点评隔音不好，的确有些问题，但不至于影响睡眠。服务跟态度都算可以啦。唯一不喜欢的是餐厅。吃过一顿中饭，出品不敢恭维。不是我对上海菜没感觉，邻座的几位操上海口音的，付款时拉着楼面经理理论，说吃过难吃的但没吃过这样难吃的，可见是忍无可忍。希望本人下次再入住前', '短评打分': 5}
{'短评内容': '不错，地点就在地铁出口边上，方便。就是酒店设施太简陋，440的标间居然卫生间没有挂钩，排气扇还是坏的。建议挑剔的就不要选这家了。', '短评打分': 5}
{'短评内容': '房间干净，地段佳。沿街的小吃很多，味道不错。值得推荐', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '是锦江旗下的酒店，内部环境不错，旁边就是地铁二号线南京路东站', '短评打分': 5}
{'短评内容': '这家酒店位置优越，位于2号地铁1号出口的50米外，旁边就是外滩派出所。治安可以保障。酒店历史悠久，在国外的名气比较大。可以看得到很多的外国旅行社都会安排在这家酒店。相对来说，国内游客的比例不是特别高。餐厅价格平民，味道不错。酒店是比较老，但是总的来说，很不错。商务中心希望能重新改善一下，于形象不符合。餐厅服务人员素质很高，在同等级的酒店里面相当罕见。', '短评打分': 5}
{'短评内容': '上海南京饭店不锴，地处闹市，身临煞华。环境整洁。服务良好，价格公道，的确是来沪游览住宿首选。', '短评打分': 3}
{'短评内容': '地方不错！就在步行街边上！很方便，下次到上海再会入住', '短评打分': 5}
{'短评内容': '帮朋友订的,他指定住这家酒店.........', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，离南京路，市中心很近。', '短评打分': 5}
{'短评内容': '不错，挺干净的，酒店本身应该比较有历史了，交通方便。', '短评打分': 5}
{'短评内容': '帮朋友订的，出门既是地铁站。地理位置优越，房间很宽敞，有免费的宽带。可惜，朋友到的很晚，周边没有餐饮了，有点小遗憾。', '短评打分': 5}
{'短评内容': '位置很好， 交通肯购物都很方便。 性价比不错。', '短评打分': 5}
{'短评内容': '方便,离市中心很近,帮朋友订的......................', '短评打分': 5}
{'短评内容': '位置很好，出行非常方便。我们订的440元的房间，要的五楼，房间空间也较大，墙纸是新换的，而且卫生打扫也很干净，只是被子有点硬，但按照二星的标准来说，这已经不错了。外面有个小阳台，如果酒店能用点心布置一下阳台，种点花呀什么的就更好了，当然如果这样也就不是二星了，起码也上四星了。', '短评打分': 5}
{'短评内容': '服务很好，比较替客人着想。', '短评打分': 3}
{'短评内容': '地理位置方便，性价比高，很值的，房间还有阳台，意外之喜', '短评打分': 5}
{'短评内容': '地理位置优越。其他的只能说是勉强过得去。但毕竟是在世博期间，有的住就很不错啦', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，在南京路的中间位置，离外滩和人民广场都很近。酒店外边虽然很热闹，但房间很安静，就是房间小点。', '短评打分': 5}
{'短评内容': '以前也一直住这儿，交通方便，但停车不是很方便，总体满意', '短评打分': 3}
{'短评内容': '感觉还可以,可以住,服务也可以.可以尝试.', '短评打分': 5}
{'短评内容': '不错,地段好,很方便,房间虽小,但卫生干净.下次还选择他.', '短评打分': 5}
{'短评内容': '交通非常方便', '短评打分': 3}
{'短评内容': '已入住。谢谢你们的服务。', '短评打分': 3}
{'短评内容': '酒店周围很繁华，是客人指定要住的酒店！！', '短评打分': 5}
{'短评内容': '这个酒店周围很繁华，是客人指定要住这个酒店的', '短评打分': 5}
{'短评内容': '酒店距南京路实在太近了，出门就是，酒店门口有几家上百年小吃店，距外滩，城隍庙都很近。\n服务员比较热情，房间的空调实在太热了，房间比较小，宽带每日二十元封顶。', '短评打分': 5}
{'短评内容': '交通非常方便，就在南京路边上，对面有家小吃店，味道也不错，前台服务员也很热情。但是饭店的确老了点，挑剔的朋友要慎重考虑', '短评打分': 5}
{'短评内容': '這個價格純粹買的是地理位置.除了位置很好-近地鐵口\\步行街\\外灘.其他就沒什麽好了,很破舊的一個小酒店,隔音很差,隔壁房的人在掛衣服,吐痰我都能聽得清清楚楚,一開始我還以爲有人在我房間裏呢.所以,如果您是無需太考慮價格的,都建議不要來這個地方.', '短评打分': 1}
{'短评内容': '地理位置真的很方便，酒店一般吧 单人间比较的小，但是该有的也都有。', '短评打分': 3}
{'短评内容': '  除房间小之外,都还好。', '短评打分': 3}
{'短评内容': '就是方便， 房子小了点， 旁边的小巷子 也有类似价格的', '短评打分': 5}
{'短评内容': '看着确实很旧，房间也很小，价格不算太便宜，不过想想别人开在南京路边上，离地铁近，离外滩近，性价比很不错了，很适合到上海玩的人住。另外，真的很安静。', '短评打分': 5}
{'短评内容': '这真是一家到上海无论是商务还是旅游的性价比非常高的酒店，酒店离地铁2号线非常近。酒店门口有正宗的上海小吃，早上往北一拐弯还有北方人爱吃的豆腐脑和油条。清晨出来在南京路上可以看到很多上海退休老人锻炼的景致。离外滩非常近，在去外滩的路上可以买到南京路最有名的鲜肉月饼，我们一气买了6盒带回北京。以后到上海优选这家老饭店。', '短评打分': 5}
{'短评内容': '位置很好，出去玩方便。酒店本身条件一般，但是反正去趟上海又不是为了住酒店。', '短评打分': 5}
{'短评内容': '在世博会的今天能住这样交通便利的地方，已经不错了，不能再有其他要求了，', '短评打分': 3}
{'短评内容': '总的很好，在这个特殊的日子，世博啊世博，人就是太多了，这叫一个热闹', '短评打分': 5}
{'短评内容': '地铁二号线与十号线交叉口，交通十分方便。地处繁华的南京东路，购物、步行到外滩十分方便。尤其是夜晚，在南京路逛街比住在其他一到夜晚就黑乎乎的地方有趣得多。房间条件一般，但干净，关键是价格在世博期间算是比较低的，工薪族看世博应是比较好的下榻地。', '短评打分': 5}
{'短评内容': '地理位置挺好的，这算是一大优点，离地铁站很近，但是服务态度很一般，房间设施也算简陋，感觉比较陈旧，隔音设施不好，房间里面的电视放大声一点，整条走廊都可以听到，郁闷！要求服务员收拾房间，床单上面竟然有大大的脚印，床底竟然还有蟑螂窜出来！但是如果只是为了交通方便，其他没有什么要求，还是可以选择这间酒店入住的！', '短评打分': 1}
{'短评内容': '位置不错，离外滩和南京路很近，房间干净但有点旧！', '短评打分': 3}
{'短评内容': '+还可以', '短评打分': 5}
{'短评内容': '酒店地理位置很不错，只是价格有一点高了，毕竟是世博会期间嘛。', '短评打分': 5}
{'短评内容': '上海“南京饭店”交通很方便，离地铁2、10号线“南京东路”站很近。世博期间房价也还不算贵，毕竟饭店位于南京东路步行街，离外滩很近。饭店的卫生、服务还可以，但我住的房间床铺不是很舒服。上网要自费，糊里糊涂被收了25元上网费，不爽。', '短评打分': 5}
{'短评内容': '酒店房间很小，设施陈旧。入住那天大堂的女服务员服务态度很差，全程从入住到离开服务人员始终都没有笑容，好像欠她钱似的。建议大家都不要入住。', '短评打分': 1}
{'短评内容': '地处黄金地段，十分方便，不过条件价格比差很多，建议短期旅行可以入住。', '短评打分': 5}
{'短评内容': '位置很好，很方便，前面是南京路步行街，交通也方便', '短评打分': 5}
{'短评内容': '这里最大的优势就是位置好，交通便利。无论是去世博，火车站，机场，购物都很方便', '短评打分': 5}
{'短评内容': '位置很好，其他方面还可以，世博后如果价格再低点更好。', '短评打分': 5}
{'短评内容': '非常好！去之前还担心嘈杂，没想到闹中取静（非靠山西路那侧），房间虽小但整洁无异味儿，地铁站拐角就到、小吃更是出门便到。真是方便。', '短评打分': 3}
{'短评内容': '房间很小，但很方便！', '短评打分': 5}
{'短评内容': '世博会期间，这个位置和价钱应该不错了，非常不爽的就是上网花钱，现在各级酒店上网花钱的很少呀。', '短评打分': 5}
{'短评内容': '房间有点小，但位置很好，对得起这房价。', '短评打分': 5}
{'短评内容': '大概因为是世博期间，酒店的工作量比较大，所以酒店的服务不太好，特别是客房服务。我们因为要带小孩子，订的是大床房，这种房间只有一床被子，我们提出要加被子，得到的答复是一个床就只有一个被子，不管是几个人住，如果加被子等同加床，要收80圆。这种规定在任何一家酒店都是不合理的。', '短评打分': 5}
{'短评内容': '离地铁二号线转个弯就到，位置真是特别的好，不管到哪里地铁全都搞得定，而且这个时候这个价格真是不错哈', '短评打分': 5}
{'短评内容': '门面很小，但是内部空间让人满意。而且能看到东方明珠', '短评打分': 5}
{'短评内容': '很方便，多次入住啦!不过世博期间房价上涨啦！', '短评打分': 5}
{'短评内容': '环境还不错，就是设备有点旧了', '短评打分': 5}
{'短评内容': '地理位置优越,交通十分方便__离地铁仅50米；购物十分方便_紧靠中华第一商业街南京东路；观光十分便捷，步行十分钟便可游外滩、上海博物馆、南京东路步行街。\r\n    十分不解的是房价过五百大元的三星酒店，上网竟要收0.1元/分钟。', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '喜欢这个酒店，真的太方便了，又很安全，如果是到上海旅游，这里是很好的选择。', '短评打分': 5}
{'短评内容': '性价比很好的酒店', '短评打分': 3}
{'短评内容': '交通很方便，性价比高。安全，卫生，如果不满的情况下，还会回来住。', '短评打分': 5}
{'短评内容': '交通非常便利。', '短评打分': 5}
{'短评内容': '我每次路过上海都住，已有4次，很理想，很方便，很干净', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '房间比较细,其他还可以.', '短评打分': 5}
{'短评内容': '宾馆位置极佳，交通方便，性价比高。缺点是餐厅菜较差而价格偏高。', '短评打分': 5}
{'短评内容': '除了位置好，其他一无是处。', '短评打分': 1}
{'短评内容': 'it is so good hotel. I LIKE IT VERY MUCH!', '短评打分': 5}
{'短评内容': '替朋友来上海参观世博会订的，从朋友那儿得到的反馈不错，地理位置很好，性价比也高。', '短评打分': 5}
{'短评内容': '地理位置很好，就在步行街，出入很方便。虽然是老房子，还比较干净。性价比算高的。', '短评打分': 5}
{'短评内容': '位置很好，房间太小，大堂对周边的交通不太熟', '短评打分': 5}
{'短评内容': '黑店~~绝对是家黑店~~~，入住的时候什么都不说，网络收费也不说，怎么个收费法也不说，还是在网上看到以前客户留言才知道网络收费，询问的时候前台说每分钟收费1毛钱，每天20元封顶，我们住了5天，总共上网不超过5小时，每天就是上网查看一下电子邮件，看一下股票走势，最后结账竟然收我78块钱的网费，打印出消费明细，明显的多收钱，跟前台理论，竟然不回应，说就是这样的，他妈的，多收30多元你们就能致富了么，绝', '短评打分': 1}
{'短评内容': '很好！非常满意！下次还是会订这里的宾馆。', '短评打分': 3}
{'短评内容': '588000007661 ', '短评打分': 5}
{'短评内容': '方便是无话可说啊，南京东路就在门前，外滩步行不出10分钟，2号地铁南京东路站50米。2号线直达虹桥和浦东机场。真是方便啊。开始定的300元的房间，小到两个人在屋里无法转身无法呼吸，换了350的房间，面积是正常的标间。卫生还可以，设施陈旧了。窗户陈旧不隔音，楼下街道的嘈杂毫无遮拦。提醒大家，酒店对面的一排小饭店饭是差差差，完全是糊弄游客的东西，建议去本地人吃饭的地方。', '短评打分': 5}
{'短评内容': 'Great location at reasonable price ! however, the door and the wall are too thin that you can be waken up all the time in the middle of the night hearing people banging the doors and the noise of “Kam', '短评打分': 5}
{'短评内容': '房间小而且旧，但位置好，南京路边上，价格300还不错，在上海这个价钱将就一下了！', '短评打分': 5}
{'短评内容': '酒店位置非常理想，交通便利。离地铁南京东路站50米。唯一的缺点就是设施比较老了。', '短评打分': 5}
{'短评内容': '如去购物这里是非常好的住处，且交通便利，距地铁站仅2-3分钟路程。', '短评打分': 3}
{'短评内容': '如去购物，这里是理想的住处。\r\n且交通便利，距离地铁站仅2-3分钟路程。', '短评打分': 5}
{'短评内容': '位置超好。干净，舒适，就是自助早餐30元/人，偏贵。', '短评打分': 3}
{'短评内容': '位置超好。干净，舒适，就是自助早餐30元/人，偏贵。', '短评打分': 5}
{'短评内容': '交通方便,南京东路站旁边,购物方便就在南京路上.公出价格可以,自己就贵了点,早餐贵了点,要30元/位,当然门口就有很多小吃,现在卫生比前好多了,可能是世博会搞的.', '短评打分': 5}
{'短评内容': '位置超好', '短评打分': 5}
{'短评内容': '原来我住过，房间有点小，因为是家老牌酒店，尤其是卫生间的设施比较陈旧了，位置在南京路边上，购物方便', '短评打分': 3}
{'短评内容': '地理位置是它的优势，吃饭也比较方便，缺点就是设备相对比较陈旧，而且因为靠闹市，所以比较吵，而且我这房间里还看到了“小强”', '短评打分': 5}
{'短评内容': '这家酒店的标注间的面积小了点,豪华间比较宽敞点了,设施条件还是不错的,挺齐全的,酒店的周边环境也还可以了,交通也挺方便的,价格方面在上海来讲还是比较合适的.', '短评打分': 5}
{'短评内容': '酒店还是可以的,房间里卫生弄的也蛮干净的,设施条件也还不错的,价格也蛮合适的.', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是不错,周边交通也挺方便的,价格也蛮合适的.', '短评打分': 5}
{'短评内容': '房间有点小，设施陈旧，空调制冷郊果不好，当时带母亲出行的，是坐轮椅的，在房间轮椅推不开，卧室到洗手间还有个台阶，非常不方便，酒店位置倒挺好的，旁边就是步行街，年轻人住在这里还是可以的', '短评打分': 5}
{'短评内容': '饭店地理位置不错，靠近步行街，卫生设施旧了点，其他基本满意', '短评打分': 5}
{'短评内容': '性价比还是挺高的', '短评打分': 5}
{'短评内容': '南京饭店所处位置很方便，性价比很高，只是设施能改新点，服务也还可以啊，我要借个吹风机，服务员一会儿就拿来了。下次还想住哦。', '短评打分': 5}
{'短评内容': '酒店的位置很便利，价格针对位置还是可以的，服务和设施也行', '短评打分': 5}
{'短评内容': '因为是老酒店设备有点陈旧，价格很便宜，位置在闹市区也很方便，不过因为只步行街上，打车不好打，出租车不能开进步行街里', '短评打分': 5}
{'短评内容': '酒店服务环境还算可以，价格比较合适，而且他靠近繁华商圈，购物逛街很方便。', '短评打分': 5}
{'短评内容': '前台工作人员态度很差，饭店设施也很老旧，不会再住了。', '短评打分': 1}
{'短评内容': '设施比较陈旧了,配套的设施也比较偏旧,位置出行很方便,价格也比较合理.', '短评打分': 5}
{'短评内容': '位置特别好，出行很方便，酒店的服务、环境也还不错，不过酒店的设施有点老了', '短评打分': 5}
{'短评内容': '房间虽小但清爽干净，外面环境吵杂但吃东西非常方便，床舒服但这几天像再局部装修，位置没得说门口就是南京路步行街，空调没话说想烧烤想制冰你自己拨。这几天想排队买月饼那就更方便了，哈哈哈哈哈哈哈哈。', '短评打分': 3}
