{'短评内容': '虽然刚开始有点不愉快，问题很快解决给力赞', '短评打分': 5}
{'短评内容': '感知很差!700元的房费，房间洗澡房去水口堵塞厉害，我们订的4间都是这样，没有赠饮矿泉水，再有，早餐和温泉离住房超远，早餐地点环境恶劣：脏乱差！像饭堂一样闹哄哄，所有桌子都是12人的大圆桌，餐桌没有人收拾，吃的东西也很难下咽，煮鸡蛋都没舍得给，煎鸡蛋要排长队！！够抠的，就别指望水果了！匆匆喝了碗粥，吃了三块黄金膏就待不下去了！再说温泉区，如果你是穿着浴袍直接去，那么遥远的路途非冷得你打喷嚏，电瓶车', '短评打分': 1}
{'短评内容': '听名字就知道有一种回归自然的味道，很喜欢，特别是太太。', '短评打分': 5}
{'短评内容': '公司周六组织去，订的是别墅4房1厅。\n前台办理入住时有点混乱，没有跌序。下午2点入住，到别墅发现竟然还未搞卫生？？？度假村的管理真的是很差很差啊！\n入住酒店送森波拉乐园门票（单买门票80元/张，凭房卡购买50元/张）。但乐园里没啥好玩的，机动游戏只适合10岁以下小孩玩，而且全部要另外付款的，基本都要20元/项目。温泉区营造的环境还是不错的，但是温泉就感觉一般般，没啥特色，感觉是煲的温水。\n度假村周', '短评打分': 5}
{'短评内容': '温泉不错，人少、池多，有特色，还有恐龙主题公园，适合带小朋友全家休闲……', '短评打分': 5}
{'短评内容': '酒店环境清幽，服务精良，宣传生动，值得您去享受。', '短评打分': 5}
{'短评内容': '早餐没什么好吃的，性价比不高。房间内入住时居然发现遗留两团丢弃纸巾，卫生都不知道怎么搞的。住的方面比不上真正的五星级酒店。', '短评打分': 1}
{'短评内容': '自然环境给人一种很舒服的感觉，服务也好。', '短评打分': 3}
{'短评内容': '不满意', '短评打分': 3}
{'短评内容': '去那多温泉度假村最有五星级感觉的一家,下次一定要再去,里面水上乐园挺不错很先进很大,温泉也好,酒店各方面非常有风格很豪华,推荐我住的从林别墅,风景非常漂亮!', '短评打分': 5}
{'短评内容': '酒店位置偏远，房间小，服务设施落后。不值得推荐。', '短评打分': 1}
{'短评内容': '酒店环境不错，装修也不错，但隔音稍有不足.', '短评打分': 5}
{'短评内容': '房间比较干净，很安静，蚊子多，价格较高。希望酒店能够在从广州到佛冈的交通要道设置路牌标志，便于自驾者很快找到酒店。', '短评打分': 5}
{'短评内容': '不错。挺干净。环境非常安静，有田园风味。', '短评打分': 5}
{'短评内容': '房间很干净，条件不错，价格偏高。夏天入住一大问题：蚊子太多。希望认真解决。', '短评打分': 5}
{'短评内容': '酒店室内条件不错，比较干净。酒店处于森波拉园区内，非常安静。园区里有森波拉奇妙世界，是休闲游玩的好去处。房间价格偏高。', '短评打分': 5}
{'短评内容': '价格虽然有些贵，但是舒适不错哦，酒店内舒服整洁，丛林餐厅价位、口味与服务均不错。定酒店还有篝火自助晚餐券送，还送早餐券，还有公园的门票，还可以无限次进出冰川水谷，冰川水谷内若项目全部开放，还是不错的，内部有些是成人玩的水上项目，还算刺激。森林公园环境很好，还有小车租用可以自己开，公园内部有儿童娱乐项目，不错。还得说一下酒店房间，因为晚上下了一场雨，清晨空气真的很棒，让我不得不放弃懒觉躺在阳台的椅子', '短评打分': 5}
{'短评内容': '交通方便！酒店环境，服务都不错。房间蚊子少点就好！', '短评打分': 5}
{'短评内容': '酒店不错，很有特色，只是阳台上的木椅很多灰，好像很久没人清洁', '短评打分': 5}
{'短评内容': '酒店08年开业的时候我去过，感觉是温泉中最好的，后来有去过几次，这次去了感觉越来越差，真想找一个好一点地方。不知哪里有！', '短评打分': 1}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '是个有故事的休闲度假好地方，环境优美，温泉内的服务很好！喜欢！', '短评打分': 5}
{'短评内容': '非常好的酒店...............\n', '短评打分': 5}
{'短评内容': '非常好的酒店................', '短评打分': 5}
{'短评内容': '3服务和环境都很好', '短评打分': 3}
{'短评内容': '不错，有温泉和主题乐园，处在森林之中，很放松。', '短评打分': 5}
{'短评内容': '四房一廳 不錯很好!!!!   兩天一夜 不夠  最好三天兩夜!', '短评打分': 5}
{'短评内容': '森波拉酒店环境不错，房间也比较别致，干净，还不错。', '短评打分': 5}
{'短评内容': '房间不错，装修有特色，洗手间有点小；温泉品种多，老人、孩子都很高兴。\n恐龙公园就在旁边，项目不多，但是演员和服务人员很热情。\n也许是我太挑剔，但是温泉服务有些不尽如人意：\n1、无限次进入温泉需要房卡，虽然每个标间有两张，但父母带一个1.2米以上的孩子也要收半票，验票处很夸张的量身高，超1厘米都要补票，态度也不太和蔼，跑这么远去休假，也不差这几十块钱，让人心里很不爽。\n2、从房间出来到温泉要走一段距', '短评打分': 5}
{'短评内容': '泡温泉的池很多，有一定的水平。', '短评打分': 3}
{'短评内容': 'OK,可以。OK,可以。OK,可以。OK,可以。OK,可以。', '短评打分': 5}
{'短评内容': '拿20元亿龙消费券\n\n\n\n\n\n飘过~~~~~', '短评打分': 5}
{'短评内容': '不错，很静', '短评打分': 3}
{'短评内容': '酒店设施开始旧了，温泉水却一流。', '短评打分': 3}
{'短评内容': '森波拉酒店温泉区服务不错，至于住宿这不推荐。坦白说这酒店装修还是有它的特色的，但总的来说；特别是所谓的森林驿站，房间小而且隔音超级差，大门是有缝隙直接看到门外的。。。原始是有点了，不过半夜还能听到隔壁及楼下走动的声音及喧哗；早上十点不到服务员就在隔壁敲打墙壁，整栋楼都能听到。。。真是郁闷。早餐因为旅行团体很多所以没有什么品种味道也差，人多取个早点都要排队，退房也是一样混乱。不推荐住宿，温泉区倒是服', '短评打分': 1}
{'短评内容': '温泉很好，环境幽静，但森林驿站房间较简陋，而且只有一把椅子', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我们已经入住酒店了。', '短评打分': 5}
{'短评内容': '房间的卫生设施都很不错，位置还是很好的。度假村里面的环境也是挺不错的周边还有农家院的之类的吃饭都很方便，态度价格都还可以。', '短评打分': 5}
{'短评内容': '还好啦！就是贵了点', '短评打分': 5}
{'短评内容': '服务很好的酒店尤其是温泉区的，周到体贴。', '短评打分': 5}
{'短评内容': '酒店远离市区回归大自然的感觉，环境很舒适。', '短评打分': 5}
{'短评内容': '环境很好地森林度假村，舒适优雅的环境很不错的选择。', '短评打分': 5}
{'短评内容': '一个不为推荐的度假村：\r\n1、本晚上9点到达酒店打算泡温泉的消除疲劳滴，被告之温泉在夏季不开放，只开放游泳区，但游泳区营业时间为（10:00-22:00）#￥@#%@#……@#…… 泡温泉的计划泡汤了。很明显该度假村的所谓温泉是烧开水=.=\r\n2、作为自称的“5星级”度假村，居然在中午12点准时给电话要求退房，本人回复半小时左右下去。期间居然3次打电话催，太没素质了！在前台询问，改天入住大概100', '短评打分': 1}
{'短评内容': '挺不错的森林酒店的体验，位置相对不是很方便了。', '短评打分': 5}
{'短评内容': '房间布置的很舒适，都是木质的，床也很舒适很有森林酒店的感觉。', '短评打分': 5}
