{'短评内容': '舒服  喜欢', '短评打分': 5}
{'短评内容': '周边环境、房间设施都非常不错，很喜欢房间的颜色、布置，性价比很高，下次去苏州还去。唯一遗憾是离园区火车站较远。', '短评打分': 5}
{'短评内容': '还可以吧 。\n自驾OK\n酒店安静\n挺好\n1', '短评打分': 5}
{'短评内容': '环境很好，周围很开阔，房间很干净，很喜欢里面的床，比较高，电视节目比较多。就是离市区比较远。', '短评打分': 5}
{'短评内容': '早上还没退房，出去了一趟，回来房间打开着，服务员也不在，东西扔了一地，包包还放在柜子里，找到服务员说没看见行李以为退房了，建议打扫房间前先和前台联系，确认退房后再收拾房间。', '短评打分': 5}
{'短评内容': '很好，卫生间很宽敞，床很舒适，很高档次，就是地方偏了点。', '短评打分': 5}
{'短评内容': '很舒适，方便', '短评打分': 3}
{'短评内容': '房间非常舒适，特别是床，真的很好。周围没有商业网点，没车不方便，停车很方便，除了有室外停车场还有地下停车场。酒店有个观光电梯不建议乘坐，速度有点快不适应，说夸张一点有点吓人，特别是还没有到一楼的时候突然看不到外面了（大约2,3楼的样子好像有什么建筑物挡住了），有堕落深渊的感觉，有点怕怕。', '短评打分': 5}
{'短评内容': '很好的商务酒店！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！1', '短评打分': 5}
{'短评内容': '第二次住这家酒店，酒店还是比较新的，很安静。不过大堂门口还在装修，停车不方便，还是要停在地下去。结账的时候实习生完全不懂啊。', '短评打分': 5}
{'短评内容': 'very good business hotel!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '相当不错的酒店，还免费升级到豪华套间，很满意，领导也很高兴！', '短评打分': 5}
{'短评内容': '不错的 ，周边比较安静， 房间格调布局挺让人满意，虽然品味不同，出入的老外还是挺多的。', '短评打分': 5}
{'短评内容': '酒店房间很大，床垫很舒服，虽然靠近马路，但隔音效果很好', '短评打分': 5}
{'短评内容': '干净简洁，服务员态度比较好，叫车服务也很到位，商务好选择。', '短评打分': 5}
{'短评内容': '酒店整体来说还不错，下次来的话还会住这里。', '短评打分': 5}
{'短评内容': '第二次住这家酒店了,做了一次回头客,总体感觉非常不错。', '短评打分': 5}
{'短评内容': '床很舒适，房间也比市区的酒店房间大，唯一的就是偏远了一点', '短评打分': 5}
{'短评内容': '酒店很干净雅致,具有浓郁法国气息;价格也不贵,下次还会选择该酒店!\n', '短评打分': 5}
{'短评内容': '奇怪的法国酒店，偏僻的位置，自己开车很方便，房间很大，卫生间也很大，早餐服务都可以，就是感觉没什么人除了法国人', '短评打分': 5}
{'短评内容': '房间有太妃椅，可以晒月光，健身房设施简陋，早餐内容不够丰富，但价格昂贵，建议改善。', '短评打分': 5}
{'短评内容': '酒店条件一般', '短评打分': 3}
{'短评内容': '很不错的酒店，交通很方便，也安静，值得推荐', '短评打分': 5}
{'短评内容': '法式装修，安静，房间够大，如果价格带早餐就好了', '短评打分': 3}
{'短评内容': '很好，法式酒店，很好很温馨；价格还算能接受，位置稍偏，无车不推荐。', '短评打分': 5}
{'短评内容': '法式酒店，很好很温馨；价格还算能接受，位置稍偏，无车不推荐。', '短评打分': 5}
{'短评内容': '非常不错，不过有点偏，我感觉住房不含早应该是299，单早340，双早370，这样可能住的人会更多的', '短评打分': 5}
{'短评内容': '第二次入住了，挺干净，值得推荐', '短评打分': 3}
{'短评内容': '房间挺大，也干净，但进去有股味道，能提前通风就好了', '短评打分': 3}
{'短评内容': '房间舒适，空间很大，很干净。服务周到。但是周围竟然一个商店都没有', '短评打分': 5}
{'短评内容': '房间舒适，空间很大，很干净。服务周到。但是周围竟然一个商店都没有。\n', '短评打分': 5}
{'短评内容': '感觉不错，性价比高，但是周边配套不够，酒店的送餐还需要改进', '短评打分': 5}
{'短评内容': '房间舒适，空间很大，很干净。服务周到。但是周围竟然一个商店都没有。', '短评打分': 5}
{'短评内容': '苏州商旅美居酒店入住后，感觉不错，值得推荐。房间也蛮大的。不过，在当下季节，感到被子太厚了点，有点热。是否可适时调整一下？', '短评打分': 3}
{'短评内容': '很安静，房间大，隔音好', '短评打分': 3}
{'短评内容': '房间舒适，空间很大，很干净。服务周到。但是周围竟然一个商店都没有。', '短评打分': 5}
{'短评内容': '不错，到了之后帮忙升级了套房，整体环境不错，感觉很温馨。', '短评打分': 5}
{'短评内容': '已经多次入住这家酒店了，非常好的酒店，4星远超很多5星的，不愧为雅高管理的酒店，依旧是那么温馨那么漂亮', '短评打分': 5}
{'短评内容': '已经多次入住这家酒店了，非常好的酒店，4星远超很多5星的，不愧为雅高管理的酒店，依旧是那么温馨那么漂亮。', '短评打分': 5}
{'短评内容': '都很好   好停车   好乾净', '短评打分': 3}
{'短评内容': '房間乾淨  不錯 晚上也安靜  沒有什麼吵雜聲音 而且每一間都有浴缸  很喜歡', '短评打分': 5}
{'短评内容': '环境优美，服务态度好，房间设施体会到法式的优雅，有机会还会住。', '短评打分': 5}
{'短评内容': '酒店房间偏小，但设施还算齐全，服务态度良好，但自助餐种类偏少，建议加强。', '短评打分': 5}
{'短评内容': '是第二次入住，印象还是很好', '短评打分': 3}
{'短评内容': '雅高的酒店相对比较精致，很不错。就是较偏', '短评打分': 5}
{'短评内容': '室内挺好的，卫生间特别大，床也很舒服。就是有点远。', '短评打分': 5}
{'短评内容': '很干净，性价比不错，在工业园区算是较好的选择了。', '短评打分': 5}
{'短评内容': '第二次入住，酒店内部环境很好，房间也不错。\n但是还是服务有待提高。', '短评打分': 5}
{'短评内容': '地方偏了点 其他还不错\n比较安静 不过服务质量有待提高', '短评打分': 5}
{'短评内容': '不愧是法國連鎖酒店系統 服務很好 乾淨 最讚的是 床好好睡 一直想賴在床上 下回還會繼續入住~~~', '短评打分': 5}
{'短评内容': '房间布置的很温馨，餐厅环境很好，卫生条件很好，打扫的很干净，服务比较周到热情，住宿环境还是很好的', '短评打分': 5}
{'短评内容': '酒店的更方便条件还不错,第一次住时条件很好,第二次住时淋浴喷头有些漏水.不过硬件条件和软件服务都挺到位的.位置有些偏不在闹市区我自己有车出行还算方便.综合来讲还不错.', '短评打分': 5}
{'短评内容': '很好找，而且离高速路不远，对像我这样自己驾车出游的客人很方便，况且酒店确实不错。', '短评打分': 5}
{'短评内容': '房间的面积大，整洁，有足够的活动空间，住在里面的感觉非常好。', '短评打分': 5}
{'短评内容': '酒店的设施很新,相比较它的价格,是物超所值，性价比高。', '短评打分': 5}
{'短评内容': '酒店离我出差的地方近，方便办事，客房的配套设施很高档，用着很舒服，不错！', '短评打分': 5}
{'短评内容': '不错 在工业园区离办事的地方近', '短评打分': 3}
{'短评内容': '装修很有特色，现代感强。服务人员服务意识很好，赞。我入住的是大床间，床软硬度好，超级榜。可是啊可是，房间的温度太低了。若干个小时后，我还是不能脱下羽绒服。不敢冲澡，上床蜷缩在被子下。忍不住向客房再借一床被子。服务员来送被子时，也穿着貌似羽绒类的棉服！在苏州剩下的3晚，只好住别的酒店了。', '短评打分': 1}
{'短评内容': '总的还不错', '短评打分': 5}
{'短评内容': '酒店的房间卫生和设施不错，不过早餐提供的种类不多.可选择面比较小.位置很好很方便出行，总体感觉还可以', '短评打分': 3}
