{'短评内容': '还不错的条件，就是早饭差了一点', '短评打分': 5}
{'短评内容': '酒店不错，可以推荐。酒店不错，可以推荐。酒店不错，可以推荐。', '短评打分': 5}
{'短评内容': '办事效率和服务态度很差  酒店的英文版评估表很烂', '短评打分': 1}
{'短评内容': '早餐一般，服务一般，房间太暗', '短评打分': 3}
{'短评内容': '宾馆还行，中规中矩，虽无惊喜，也无差错，晚上网络上不去，心想如果像苏州上次那样宾馆告知网络管理员回家需等明天才能够修理就完了，这还不错，晚上安排有网管员值班，过来给调试了一下，希望继续保持', '短评打分': 5}
{'短评内容': '酒店人气就是不行啊，和周围的比不了，但是整体气派，适合商旅出差会见客户', '短评打分': 1}
{'短评内容': '酒店比较新，就是风格老土，电视液晶的，卫生间干净，地毯干净，床不舒服。', '短评打分': 3}
{'短评内容': '酒店比较新，整体感觉还不错，住的还挺舒服！就是位置有点偏，离火车站还是有点距离的!', '短评打分': 5}
{'短评内容': '距离南京火车站很近，打车起步价，5分钟即到。\n酒店客房管理有点差，前台已让我入住了，可到房间一看，房间还没打扫。通知客房抢扫，结果等了半个小时才有人来清扫。服务态度是很好啦，但反应速度太慢！\n早餐是在是太蹩脚了，8点钟过去什么都没有了，服务员都不及时补上食品！\n出差住个一天可以，度假出行还是另外找个好点的酒店吧！', '短评打分': 1}
{'短评内容': '每次来南京都来这家酒店入住，感觉性价比比较高，而且服务员服务态度很舒服，位置也比较方便，以后会推荐朋友来住的', '短评打分': 5}
{'短评内容': '很好 虽然房间有点mini 但一个人住足够了 设施比较新 有四星的标准 离火车站很近 出租车起步就到 推荐', '短评打分': 5}
{'短评内容': '不错，硬件服务都好！就是晚上有点吵', '短评打分': 3}
{'短评内容': '住的比较安静，安逸。', '短评打分': 3}
{'短评内容': '还行吧，如果正好在附近办事的话推荐，离火车站什么的比较近。\n                                                         ', '短评打分': 5}
{'短评内容': '虽然酒店硬件不错，但是服务态度真是不敢恭维，房间空调不好用，不制冷，找了服务员半天都没人来看，到了我房间竟然说“不是比刚才好多了么”，在强烈要求下才给换房的……', '短评打分': 1}
{'短评内容': '房间挺温馨，酒店的前台服务不错，很客气，更改了几次到店时间，都很耐心，谢谢', '短评打分': 5}
{'短评内容': '短期内第二次来这个酒店了，感觉还不错，以后有机会会常来的', '短评打分': 5}
{'短评内容': '酒店设施陈旧 房间有很大的异味 整体和价位不相符 算个快捷', '短评打分': 5}
{'短评内容': '这个价位还好吧， 相对来说早餐， 地理位置都还行， 就是舒适房面积稍微小了点。', '短评打分': 5}
{'短评内容': '酒店尚可，周围环境不是很好，卫生不错。但是餐饮乱记账情况很厉害，建议一定要看清账单，不要被餐厅给骗了，否则肯定被坑到死', '短评打分': 5}
{'短评内容': '服务水平逐步在下降，房间卫生不比以前了。进房间就有霉味到。', '短评打分': 1}
{'短评内容': '自助早餐不错哦，跟网上大部的评价一致，值得（性价比不错）', '短评打分': 5}
{'短评内容': '酒店比较新，而且含早餐，在南京这个城市来讲，性价比比较高了。', '短评打分': 5}
{'短评内容': '每次来南京都会入住，干净，服务态度也好，就是地段有点别扭，离车站近，但是离市中心比较远', '短评打分': 5}
{'短评内容': '舒适房虽然小，但价格优惠，酒店硬件设施不错，只是周围用餐不是很方便', '短评打分': 5}
{'短评内容': '不错的酒店，各方面都很平均~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '符合它的价格 还不错 讲讲缺点吧 床有点硬 不像4星级 住的时候发现没有星的哈哈', '短评打分': 5}
{'短评内容': '环境很不错，房间很大，也很安静。早餐也很丰富，就是在餐厅里看到几只苍蝇，感觉不太好。', '短评打分': 5}
{'短评内容': '该酒店不提供免费打电话的功能，与宣传的五星级待遇不符。\n外部环境很嘈杂', '短评打分': 1}
{'短评内容': '趕上會議期間房間緊張，被告知必須退房，但是是提前告知的，所有沒有什麽好說的。總體來說是滿意的。', '短评打分': 5}
{'短评内容': '非常不错，下次还住！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '设施比较新的酒店，离车站很近，用餐比较实惠，早餐也挺不错。', '短评打分': 5}
{'短评内容': '去过好多次了，位置地点挺方便的。房间也挺好的。以后还住那里！', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 3}
{'短评内容': '下次继续入住！下次继续入住！下次继续入住！下次继续入住！下次继续入住！下次继续入住！', '短评打分': 5}
{'短评内容': '这个酒店很好，房间舒适，就是打车难打。每次出门都很头疼', '短评打分': 5}
{'短评内容': '我的朋友反映感觉入住当晚，周围环境很吵。', '短评打分': 1}
{'短评内容': '服务态度不好，一大早敲了4回门问要不要换毛巾，晚上不能上网给前台打了3次电话让服务员检查上网线路，始终就是没有人来，酒店的服务态度真的要改进', '短评打分': 5}
{'短评内容': '酒店新建的，各方面都还可以，离火车站不远，就是有施工的，早上有点炒', '短评打分': 5}
{'短评内容': '酒店设施和服务都还可以，就是地理位置不太好，打车吃饭都不方便，周围好像是工业品批发市场，有相关业务的人士倒是可以考虑。', '短评打分': 1}
{'短评内容': '酒店很新,感觉不错!\n房间明亮,隔音效果好.\n淋浴水量大,冲澡舒服.\n网速4M,不算慢啦!\n早餐虽然不算很丰盛,但餐厅宽敞,用餐感觉不错.\n需要登记入住才给双早,和订房时显示的双早个人理解有偏差,因有时邀朋友一起用早餐,但并不一定会过来过夜.', '短评打分': 5}
{'短评内容': '经适房 空间太小了， 而且衣柜门也砸着我了，幸亏没事。 后来服务员给了一个果盘安慰我一下，算平息了吧。另外，隔音太差了。', '短评打分': 1}
{'短评内容': '交通好，安静，各种设施新。但上网上还要电话通知网管，可能是资源不够。', '短评打分': 5}
{'短评内容': '安静，但特价房太了，住一个人可以。设施可以。', '短评打分': 5}
{'短评内容': '房间装修还可以,服务人员态度还好.就是房间有蚊子而且也没有提示. 房间也没有准备咖啡.', '短评打分': 5}
{'短评内容': '  酒店离中央门比较近，里面的商务套餐是垃圾，建议自己到下面点餐，总体一般', '短评打分': 3}
{'短评内容': '酒店比较新，内部装修及房间设施都够得上四星标准，附送的早餐都算OK，品种也还行。只是个人感觉在服务细节上还有所欠缺，事情经过是这样的：入住当晚办理完手续后，出门想打的正好下雨，于是和前台MM说让帮忙电召的士，居然告知说没有，再问能否让酒店门口服务生帮忙叫一部出租车，MM让我自己跟他说，结果出到门口却不见服务生的影子，折回大堂提出能否借把雨伞去到外面大马路打到车后再还回来，得到的答复是酒店可以提供雨', '短评打分': 5}
{'短评内容': '不是一次住这家酒店了，感觉不错，应该还会住的，给力！', '短评打分': 5}
{'短评内容': '总体来说，是一个不错的酒店，早餐挺丰富的，最好的是有点播电视，而且是免费的', '短评打分': 5}
{'短评内容': '在同一地区算是一家性价比高的酒店，值得一住！', '短评打分': 5}
{'短评内容': '房间装修一般', '短评打分': 3}
{'短评内容': '住了10天高级间，房间很小。只有一张椅子，没有茶几沙发（放不下）。卫生比较差，小酒柜的玻璃上竟有一层厚厚的灰尘。换床单需要打电话，把更换床单的提示牌放在床上是没有用的。你给他提意见，他会给你一个莫名其妙的解释。', '短评打分': 1}
{'短评内容': '比想象中好，比较平均没有特别差的，不过去的时候没有大床房了，比较遗憾', '短评打分': 5}
{'短评内容': '位于市中心，还算可以吧。也是帮别人订的房间。', '短评打分': 5}
{'短评内容': '不错， 就是早餐差了点，装修有些老，地段很好，门口就是苏果和公交站台。', '短评打分': 5}
{'短评内容': '不错的酒店：火车站出租排队难叫，可以乘公交几站路就到，避开高峰；房间虽然略小，但该性价比基本可以接受', '短评打分': 5}
{'短评内容': '第二次入住了，环境很好，停车出行方便，去南京还会入住', '短评打分': 5}
{'短评内容': '性价比不错，服务也还可以，房间设施坏过得去', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 3}
{'短评内容': '很不错，值得住。\r\nHU', '短评打分': 3}
{'短评内容': '距离火车站很近，周边氛围有些冷清，房间和服务还是 很不错，值得推荐', '短评打分': 5}
{'短评内容': '酒店装修很好，早餐不错，离火车站距离也不远，很方便。每次都住这里', '短评打分': 5}
{'短评内容': '服务态度挺好，当时飞机晚点，凌晨将近两点才到，多次和酒店沟通帮忙留着房间，酒店态度都很好', '短评打分': 5}
{'短评内容': '总体不错，服务态度很好，房间感觉也挺舒服', '短评打分': 5}
{'短评内容': '房间装修的味道很浓，刺鼻，抽风的声音比较大，还好服务员半夜能给关了，交通还算方便，', '短评打分': 5}
{'短评内容': '房间有点太小。不是一般小，其他房或许会好点', '短评打分': 1}
{'短评内容': '帮朋友预定的酒店，反映还不错。就是早餐品种太少。', '短评打分': 5}
{'短评内容': '酒店环境不错，早餐也比较丰盛，就是周围环境不太好', '短评打分': 3}
{'短评内容': '房间卫生不好感觉有点脏', '短评打分': 3}
{'短评内容': '还不错，就是不知道豪华房的具体标准，有点没底', '短评打分': 3}
{'短评内容': 'a nice hotel, warm and comfortable room with rich TV program, also convenient location to Railway station...', '短评打分': 5}
{'短评内容': '总的来说还不错，就是我定的是大床间可是空间不大。房间的空间要是在大点就好了。', '短评打分': 5}
{'短评内容': '不错，就是早餐不怎么样，有的东西都冷了~结账速度再加快一点。', '短评打分': 5}
{'短评内容': '离火车站不远，起步费就到。\n房间有点小。但是设施很不错。早饭也可口。', '短评打分': 5}
{'短评内容': '酒店其它还好，就是网络不好，而且等人来解决简直是超慢无比，估计不止是我一间的问题', '短评打分': 1}
{'短评内容': '原本订的是舒适房，可是房间太小了，不过前台服务很周到，推荐了一个大房间，感觉还不错', '短评打分': 5}
{'短评内容': '第一次住这家酒店，可能是刚开的原因，出租车司机都不知道，整体还不错', '短评打分': 5}
{'短评内容': '看得出这是一家很用心的酒店，服务很好，早餐稍差，另外，打的很难打！', '短评打分': 5}
{'短评内容': '房间比较新，周围环境差，中餐厅菜品非常少，没有什么可以点。早餐也一般。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店还不错，就是很难找，酒店门头的字也太不醒目了，出租车都找不到', '短评打分': 5}
{'短评内容': '性价比还可以，离火车站近，还不错，以后还会选择的', '短评打分': 5}
{'短评内容': '性价比尚可，晚上较吵，靠近马路，早餐也不错。', '短评打分': 3}
{'短评内容': '酒店的设备很新，比较舒适。位置靠近中央门交通很方便。不错的酒店。如果早餐在丰富一些就更完美。推荐！', '短评打分': 5}
{'短评内容': '房间一般，设施简单，服务还可以，离火车站近，挺方便的', '短评打分': 5}
{'短评内容': '不错的酒店，前台服务很快捷，早餐也挺丰富的，下次应该还会住', '短评打分': 5}
{'短评内容': '到这家酒店已经第4次了,我会一直住下去的', '短评打分': 5}
{'短评内容': '我朋友说这个酒店还可以，所以我推荐这个酒店了。', '短评打分': 5}
{'短评内容': '差，房间奇小无比，漏水声不断，不考虑入住', '短评打分': 1}
{'短评内容': 'convenient, near the coach station and railway station,recommended', '短评打分': 5}
{'短评内容': 'near to the Chongyangmen coach station, rich TV programs, recommending....', '短评打分': 5}
{'短评内容': '性价比不高，硬件尚可，服务一般，不像是专业酒店。', '短评打分': 1}
{'短评内容': '没有想象中的好，希望可以改进，房间太小，和快捷酒店差不多', '短评打分': 1}
{'短评内容': '好酒店，服务很好。早餐人不多，而且，店内送餐的套餐，很适合个人享用。价位也适中。', '短评打分': 5}
{'短评内容': '周边挺方便，吃饭也还好，下次还会选择入住\n\n', '短评打分': 5}
{'短评内容': '环境不错，停车很方便，早餐需要改进。价格偏高。', '短评打分': 5}
{'短评内容': '酒店设施很新，服务也很好，早餐也行，就一点，交通有点不方便，值得推荐', '短评打分': 5}
{'短评内容': '1。酒店的地理位置不是很好，在高峰时段打车比较困难。因附近没有地铁，高峰时段要出行，只能先坐公交车2站路到火车站换地铁。对面有一家大型的苏果超市，买东西还行，饭店四周不多，只有三四家像样的。\n\n2、单人房很小，面积绝对没有15平方米，估计10平方差不多了。床弹性不错,枕头比较高，酒店也有温馨提示,如果不习惯可以换枕头.卫生间配置还不错,电视有点播功能,可以看电视剧和电影,内容还满新的.\n\n3.早餐', '短评打分': 5}
{'短评内容': '酒店的早餐很丰盛，酒店内的设施很好，价格适中，服务员态度很好，性价比很高。', '短评打分': 5}
{'短评内容': '房间很大,很干净，环境还可以，就是出门打车不太方便。值得推荐。', '短评打分': 5}
{'短评内容': '房间大，就是东西不是齐全，位置还可以，打车不太好打', '短评打分': 5}
{'短评内容': '地段有点尴尬，酒店的设施也一般\n上次常驻的酒店提价太高我没法住才选了这家\n', '短评打分': 1}
{'短评内容': '再次光临这个酒店，感觉还是不错，会继续来', '短评打分': 5}
{'短评内容': '不错的酒店，服务也可以，就是可能是新酒店，出租车司机不知道在哪', '短评打分': 5}
{'短评内容': '大堂满大，服务一般，价格还可以，地段太偏', '短评打分': 5}
{'短评内容': 'Very good but not construct yet', '短评打分': 5}
{'短评内容': '房间等各方面尚可，就是暖气不暖，这个令人很难受，早餐没吃，不知如何评价。。', '短评打分': 5}
{'短评内容': '还不错的地方 性价比合理，离长江大桥较近', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友比较满意，就是房间太冷，暖风到晚上就不热了', '短评打分': 5}
{'短评内容': '离中央门长途汽车站很近，交通很方便。\n房间还床有点硬，不太习惯。\n酒店服务人员态度很好。早餐还行。\n', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '设施比较新，房间也挺大，去车站方便，就是离市中心有点距离，早餐要求不高的话，管饱', '短评打分': 5}
{'短评内容': '酒店位置不错,性价比较高', '短评打分': 3}
{'短评内容': '酒店的设备很新，房间大，比较舒适。位置靠近中央门交通很方便。不错的酒店。 但网络遇到了点问题，希望该进。', '短评打分': 5}
{'短评内容': '在目前现阶段的星级酒店中，最具性价比的酒店，酒店门前停车场超大且免费，适合驾车来南京的朋友，我这边算是老住客了，感觉房间挺合适的，除了酒店的客房点餐花式品种太少且多时都未变更，价格也贵了点外，其余一切都好！', '短评打分': 5}
{'短评内容': '酒店还是不错的，比较新，比较安静。但是舒适房显得小了一点。早餐一般。', '短评打分': 5}
{'短评内容': '房间挺大的，浴缸小了些，服务员阿姨还是挺热情的\n早餐一般，没有什么特色\n总体还不错', '短评打分': 5}
{'短评内容': '不错的酒店，房间挺干净的，就是不太好找，打车的司机都不知道', '短评打分': 5}
{'短评内容': '一般吧，酒店的餐厅菜式较少~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '不错,就是热水不太稳定,总体还是不错的。', '短评打分': 3}
{'短评内容': '实在是很一般很一般很一般的酒店\n从地段到设施\n不错早餐很不错', '短评打分': 1}
{'短评内容': '不够四星标准，早餐不值48元，除了洗澡的水好以外，别无可选。还不如住狮子城附近150元的标准间，有时现找酒店倒很便宜，没有回扣吗，哈---哈---哈---', '短评打分': 1}
{'短评内容': '这家酒店浴室好，洗澡舒服，但房间小，早餐也不值48元一位，最多18元或28元。客房人员的服务很好。地点离火车站很近，从机场过去坐班车直接到火车站，再坐两站就到酒店了。如需入住，要看你更看酒店的重哪方面，交通较偏，离景点相对较远，打车到各景点都要30元左右。', '短评打分': 1}
{'短评内容': '房间设施一般,不过挺干净,服务员挺热情,值得一住', '短评打分': 5}
{'短评内容': '该宾馆的设施以及与网上描述的高级间有差距，酒店前台告知我们只是最普通的房间。所以我要强烈抗议', '短评打分': 1}
{'短评内容': '酒店设施,服务都很好,推荐', '短评打分': 3}
{'短评内容': '不错的酒店，入住和退房都很快，服务也挺好', '短评打分': 5}
{'短评内容': '总体还不错呵呵。', '短评打分': 3}
{'短评内容': '酒店外观和大厅都相当不错，可惜客房及管理服务较差，早餐是48，可比起一般酒店20-30元的早餐还差。工作人员好象没经过训练，粗鲁，没教养，所以，我不会向大家推荐这样的酒店', '短评打分': 1}
{'短评内容': '设施较好，酒店新、干净。就是知名度不高，打的司机不知道。', '短评打分': 3}
{'短评内容': '南京的酒店服务都比较一般，298的房间特别小，不过早餐还可以，品种很多的。', '短评打分': 1}
{'短评内容': '人不多，所以很清靜，環境乾淨，有星級酒店的感覺，只是房間設施略顯單調。', '短评打分': 3}
{'短评内容': ' 不错挺好的', '短评打分': 3}
{'短评内容': '房间隔音特别差,隔壁房间特别吵。', '短评打分': 3}
{'短评内容': '作为四星的标准来讲，服务绝对达不到，硬件将将到，将来有很大的升级空间，但是作为298带双早来讲，就是性价比算是较高了，对房间大小没要求的人绝对可以住。', '短评打分': 5}
{'短评内容': '作为四星的标准来讲，服务绝对达不到，硬件也不行，但是作为298带双早来讲，就是性价比算是较高了，对房间大小没要求的人绝对可以住。', '短评打分': 5}
{'短评内容': '房间不错就是网络慢了点', '短评打分': 3}
{'短评内容': '这次是帮朋友订的，朋友也很满意呢！下次再南京还会住这家酒店。', '短评打分': 5}
{'短评内容': '酒店很新，住了感觉很舒服。特别值得一提的是那个大大的停车位，适合自驾的朋友。', '短评打分': 5}
{'短评内容': '这酒店不错，比较新，好的出租车司机还不知道。下次还会住', '短评打分': 5}
{'短评内容': '位置到火车站挺进。酒店内设施不错，符合四星标准。', '短评打分': 5}
{'短评内容': '酒店房间小，早餐48元/位，可基本没有东西可吃，尤其是连续两天的内容完全一样，服务意识差。', '短评打分': 1}
{'短评内容': '南京华茂国际大酒店挺好的，挺干净，也很温馨，就是房间小，但是按价格来说，性价比高\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n，性价比很高了', '短评打分': 5}
{'短评内容': '南京华茂国际大酒店挺好的，挺干净，也很温馨，就是房间有点小，性价比高', '短评打分': 5}
{'短评内容': '地段不错，离火车站非常近，酒店的硬件还可以，但是个别房间会有些异味，电视可以点播节目，但是点播的菜单太少，囧', '短评打分': 1}
{'短评内容': ' 满意', '短评打分': 3}
{'短评内容': '挺好的，挺干净，也很温馨，就是房间有点小，但是按价格来说，性价比很高了', '短评打分': 5}
{'短评内容': '周边环境差，房间有异味，不推荐', '短评打分': 3}
{'短评内容': '不错的酒店，房间挺干净的，服务员也挺热情的', '短评打分': 5}
{'短评内容': '房间非常舒服。就是有些堵车。', '短评打分': 3}
{'短评内容': '位置比较好，出行比较方便.其它各方面也还算不错，比较符合我的心意.', '短评打分': 5}
{'短评内容': '酒店地理位置不是很好,大厅很气派,房间不大,但是很干净,卫生间感觉不错.服务人员态度还好.总体性价比还可以.', '短评打分': 5}
{'短评内容': '离中央门车站不远，周围环境一般，服务一般叫餐好久都送不来。', '短评打分': 5}
{'短评内容': '位置距离火车站很近，卫生好，态度也不错，值得推荐！', '短评打分': 5}
{'短评内容': '因为是舒适房，面积很小，如果不是可以抵扣券298价格高了点，其他还行', '短评打分': 5}
{'短评内容': '性价比不错，设施也很好，就是好像和一个写字楼功用电梯感觉不太爽。', '短评打分': 5}
{'短评内容': '不是第一次入住了，还会入住的。不过每次都没爬的起来吃早餐', '短评打分': 5}
{'短评内容': '该酒店地理位置离市中心稍微有点远，靠近中央门车站，环境不错，楼房也很气派，非常适合开车人入住。', '短评打分': 5}
{'短评内容': '酒店很新，不过配套不完整。由于没有暖气，太冷了', '短评打分': 1}
{'短评内容': '酒店干净整洁,装修豪华,服务态度好.离火车站也近,下次还会入住.', '短评打分': 5}
{'短评内容': '总的来说这家酒店的性价比还是不错的，早餐没有之前网上评论的这么差！\n很适合自驾游的朋友。以后去南京还会选择这里，唯一的不足就是枕头睡的不舒服，和服务员说下换个荞麦枕就行了。', '短评打分': 5}
{'短评内容': '服务勉强吧，卫生不错，东西齐备。有人从门缝扔小卡片，不过没电话骚扰。大厦不错，周边环境不好，配不上这个大厦。', '短评打分': 5}
{'短评内容': '不错，给人感觉很好，而且价格适中。卫生干净\n', '短评打分': 5}
{'短评内容': '交通不方便，酒店不怎么样。可能是因为价格便宜的房间不好，反正不是四星。', '短评打分': 1}
{'短评内容': '酒店非常小， 大堂看起来很大， 客房很小。 服务质量非常的不好， 早餐也不行， 下次不会再住了， 强烈规劝大家不要住', '短评打分': 1}
{'短评内容': '三星水平', '短评打分': 3}
{'短评内容': ' 已入住，整体还算不错', '短评打分': 3}
{'短评内容': '房间虽然小，但是设施都还算不错，前台和礼宾部还蛮热情的', '短评打分': 5}
{'短评内容': '不错，给人感觉很好，而且价格适中。卫生干净 \n', '短评打分': 5}
{'短评内容': '很好,来了好多次了,以后也会一直住.环境舒适又安静!GOOD', '短评打分': 5}
{'短评内容': '很好,来了好多次了,以后也会一直住.环境舒适又安静', '短评打分': 5}
{'短评内容': '普通不值', '短评打分': 3}
{'短评内容': '除了附近没啥吃饭的地方外，其他都很好，房间很大，配置较新', '短评打分': 5}
{'短评内容': '\n好的：房间不错，很新，设施很不错是；服务员态度很好。\n\n不好的：早餐很成问题，餐厅、餐具、食物、服务等方面，从没见过哪家四星这样的，完全是三星级的；另外，酒店外观也印象不好，一座大楼三个牌子，都很醒目。\n', '短评打分': 1}
{'短评内容': '不错，档次可以.停车也很舒心，场地很大，早餐也可以。', '短评打分': 5}
{'短评内容': '酒店设施还不错，地理位置靠近车站。周边餐馆较多，吃饭方便，酒店提供早餐一般。', '短评打分': 5}
{'短评内容': '不错，这个价位的四星很给力。\n房间没有想象的小，房内设施家具很有四星的档次，离火车站也很近。', '短评打分': 5}
{'短评内容': '不错的性价比较高，只是位置有点偏，总的来说还是不错的。', '短评打分': 5}
{'短评内容': '酒店比较新，店内设施也不错,环境好，比较卫生，员工态度好,水时大时小很有问题，早餐品种较少,', '短评打分': 5}
{'短评内容': 'The hotel was promising. The room was very pleasent and as a couple we enjoyed staying there. The location with Taxi was relatively close from the main railway station of Nanjing. If we go back to Nan', '短评打分': 5}
{'短评内容': '房间挺大，但是价格有点偏贵，早餐还不错，挺新的酒店', '短评打分': 5}
{'短评内容': '早餐品种很丰富，房价前后两天不同，有点郁闷。', '短评打分': 5}
{'短评内容': '附近打车很难，南京的出租车拒载的太多。建议先别说去哪里，直接上车就无法拒载了。', '短评打分': 5}
{'短评内容': '酒店设施很新，舒适大床房太小，早餐品种丰富，距离火车站很近，酒店热水很好。', '短评打分': 3}
{'短评内容': '酒店比较新，店内设施也不错。但窗户不密封，冷风呼呼直灌入房间，造成空调效率大大降低，希望酒店能在这个细节上引起重视并改善。', '短评打分': 5}
{'短评内容': '酒店比较新，只是地段不太好，适合有车接送的商务人士入住', '短评打分': 5}
{'短评内容': '整体环境还不错。干净、整洁、服务态度良好。早餐还行，房间还不错，就是枕头太高太硬。不过，可以要求服务员换成荞麦的枕头。', '短评打分': 5}
{'短评内容': '酒店很新,房间很大,設施不錯,早餐一般,性价比高,打的較難.', '短评打分': 5}
{'短评内容': '酒店设施还可，早餐品种太少了点，跟酒店的星级有点不符。', '短评打分': 5}
{'短评内容': '新酒店，住宿还行，位置有些偏，交通不方便', '短评打分': 1}
{'短评内容': '高级房房间还是很大的，甚至有点空旷，水时大时小很有问题，早餐品种较少。', '短评打分': 1}
{'短评内容': '我们6人是6点半到酒店,没有行李员自己找行李车装的.晚上8:40出酒店一件行李寄存因行李员不在,一位座大堂经理位置小姐接待并给了寄存牌.10:20回酒店寄存牌给行李员竟然找不到行李,吓出一身冷汗.原来她没有登记随便一放!还笑嘻嘻的也不道歉!!!早餐不丰富没有蔬菜色拉,服务员挺勤快的不错!客房一般,床太硬不舒服.垫被太薄了.', '短评打分': 1}
{'短评内容': '环境好，比较卫生，员工态度好。下次去还住', '短评打分': 5}
{'短评内容': '特价房很小，异型房间。枕头太高没有一个合适的，只能不用了。早餐还行，自己出差还是选择市内热闹的地吧', '短评打分': 1}
